C27H6.8.1	WBGene00007787	Caenorhabditis_elegans_strain_N2	C27H6.8.1
FBpp0081443	FBgn0037652	Drosophila_melanogaster	FBtr0081963
ENSLACP00000016044	ENSLACG00000014129	Latimeria_chalumnae
ENSEBUP00000016058	ENSEBUG00000010099	Eptatretus_burgeri	ENSEBUT00000016635
ENSLCRP00005044253	ENSLCRG00005016939	Larimichthys_crocea
ENSLBEP00000019980	ENSLBEG00000015364	Labrus_bergylta
ENSCGOP00000005959	ENSCGOG00000002653	Cottoperca_gobio
ENSGACP00000009004	ENSGACG00000006741	Gasterosteus_aculeatus
ENSMMOP00000013545	ENSMMOG00000010389	Mola_mola
ENSSLDP00000002702	ENSSLDG00000002150	Seriola_lalandi_dorsalis
ENSSDUP00000025620	ENSSDUG00000018594	Seriola_dumerili
ENSLCAP00010036365	ENSLCAG00010017043	Lates_calcarifer
ENSSMAP00000021218	ENSSMAG00000012999	Scophthalmus_maximus
ENSCSEP00000016331	ENSCSEG00000010499	Cynoglossus_semilaevis
ENSMALP00000013567	ENSMALG00000009593	Monopterus_albus
ENSMAMP00000015441	ENSMAMG00000010465	Mastacembelus_armatus
ENSATEP00000036391	ENSATEG00000025005	Anabas_testudineus
ENSBSLP00000053173	ENSBSLG00000025075	Betta_splendens
ENSAOCP00000007185	ENSAOCG00000000678	Amphiprion_ocellaris
ENSAPEP00000011333	ENSAPEG00000008109	Amphiprion_percula
ENSAPOP00000032023	ENSAPOG00000019681	Acanthochromis_polyacanthus
ENSSPAP00000030450	ENSSPAG00000022861	Stegastes_partitus
ENSPRNP00000017953	ENSPRNG00000009464	Parambassis_ranga
ENSACLP00000026607	ENSACLG00000018086	Astatotilapia_calliptera
ENSMZEP00005008715	ENSMZEG00005006620	Maylandia_zebra
ENSMZEP00005033053	ENSMZEG00005024649	Maylandia_zebra
ENSPNYP00000018903	ENSPNYG00000014288	Pundamilia_nyererei
ENSHBUP00000032212	ENSHBUG00000018380	Haplochromis_burtoni
ENSNBRP00000004757	ENSNBRG00000003755	Neolamprologus_brichardi
ENSONIP00000006463	ENSONIG00000005142	Oreochromis_niloticus
ENSACIP00000021826	ENSACIG00000016964	Amphilophus_citrinellus
ENSGWIP00000053938	ENSGWIG00000025869	Gouania_willdenowi
ENSXCOP00000018322	ENSXCOG00000013792	Xiphophorus_couchianus
ENSXMAP00000017804	ENSXMAG00000017759	Xiphophorus_maculatus
ENSGAFP00000019566	ENSGAFG00000013220	Gambusia_affinis
ENSPFOP00000008125	ENSPFOG00000008202	Poecilia_formosa
ENSPMEP00000006074	ENSPMEG00000007527	Poecilia_mexicana
ENSPLAP00000028210	ENSPLAG00000017427	Poecilia_latipinna
ENSPREP00000011221	ENSPREG00000007647	Poecilia_reticulata
ENSFHEP00000014381	ENSFHEG00000015924	Fundulus_heteroclitus
ENSCVAP00000008244	ENSCVAG00000010043	Cyprinodon_variegatus
ENSKMAP00000015948	ENSKMAG00000011915	Kryptolebias_marmoratus
ENSORLP00015012677	ENSORLG00015013538	Oryzias_latipes_ASM223469v1
ENSORLP00000006456	ENSORLG00000005118	Oryzias_latipes_ASM223467v1
ENSORLP00020032441	ENSORLG00020000794	Oryzias_latipes_ASM223471v1
ENSOMEP00000017441	ENSOMEG00000019142	Oryzias_melastigma
ENSTNIP00000017868	ENSTNIG00000014827	Tetraodon_nigroviridis
ENSTRUP00000028070	ENSTRUG00000011121	Takifugu_rubripes
ENSHCOP00000028382	ENSHCOG00000021004	Hippocampus_comes
ENSPMGP00000004005	ENSPMGG00000003423	Periophthalmus_magnuspinnatus
ENSGMOP00000001476	ENSGMOG00000001407	Gadus_morhua
ENSELUP00000010362	ENSELUG00000010856	Esox_lucius
ENSHHUP00000008182	ENSHHUG00000005010	Hucho_hucho
ENSCHAP00000062903	ENSCHAG00000027878	Clupea_harengus
ENSDCDP00000055197	ENSDCDG00000032705	Denticeps_clupeoides
ENSEEEP00000019826	ENSEEEG00000009702	Electrophorus_electricus
ENSPNAP00000003080	ENSPNAG00000009469	Pygocentrus_nattereri
