ENSPTEP00000005381	ENSPTEG00000006236	Piliocolobus_tephrosceles	ENSPTET00000008280
ENSPTEP00000014893	ENSPTEG00000016597	Piliocolobus_tephrosceles	ENSPTET00000022290
ENSPTEP00000001399	ENSPTEG00000001549	Piliocolobus_tephrosceles	ENSPTET00000002058
ENSPTEP00000001480	ENSPTEG00000001647	Piliocolobus_tephrosceles	ENSPTET00000002177
ENSPTEP00000025649	ENSPTEG00000025911	Piliocolobus_tephrosceles	ENSPTET00000036258
ENSPTEP00000001203	ENSPTEG00000001312	Piliocolobus_tephrosceles	ENSPTET00000001750
ENSJHYP00000000748	ENSJHYG00000000704	Junco_hyemalis	ENSJHYT00000000961
ENSPMAP00000002574	ENSPMAG00000002335	Petromyzon_marinus
ENSEBUP00000025518	ENSEBUG00000015722	Eptatretus_burgeri
ENSHHUP00000041864	ENSHHUG00000025817	Hucho_hucho
ENSHHUP00000089368	ENSHHUG00000051567	Hucho_hucho
ENSELUP00000029079	ENSELUG00000005904	Esox_lucius
ENSGMOP00000007231	ENSGMOG00000006801	Gadus_morhua
ENSCHAP00000049846	ENSCHAG00000022870	Clupea_harengus
ENSCHAP00000043337	ENSCHAG00000020147	Clupea_harengus
ENSACLP00000034918	ENSACLG00000023632	Astatotilapia_calliptera
ENSMZEP00005028528	ENSMZEG00005021279	Maylandia_zebra
ENSPNYP00000019907	ENSPNYG00000015058	Pundamilia_nyererei
ENSHBUP00000025646	ENSHBUG00000007775	Haplochromis_burtoni
ENSNBRP00000020702	ENSNBRG00000015906	Neolamprologus_brichardi
ENSONIP00000017312	ENSONIG00000013762	Oreochromis_niloticus
ENSACIP00000025972	ENSACIG00000020111	Amphilophus_citrinellus
ENSORLP00020021809	ENSORLG00020001781	Oryzias_latipes_ASM223471v1
ENSORLP00000025853	ENSORLG00000020874	Oryzias_latipes_ASM223467v1
ENSOMEP00000017591	ENSOMEG00000019279	Oryzias_melastigma
ENSGWIP00000018786	ENSGWIG00000010345	Gouania_willdenowi
ENSLCAP00010059889	ENSLCAG00010027886	Lates_calcarifer
ENSLCAP00010017594	ENSLCAG00010008343	Lates_calcarifer
ENSMALP00000024652	ENSMALG00000017160	Monopterus_albus
ENSTNIP00000014481	ENSTNIG00000011531	Tetraodon_nigroviridis
ENSTRUP00000039868	ENSTRUG00000015595	Takifugu_rubripes
ENSMMOP00000000574	ENSMMOG00000000493	Mola_mola
ENSLCRP00005043205	ENSLCRG00005016586	Larimichthys_crocea
ENSBSLP00000051970	ENSBSLG00000024599	Betta_splendens
ENSSDUP00000024057	ENSSDUG00000017487	Seriola_dumerili
ENSSLDP00000025174	ENSSLDG00000019589	Seriola_lalandi_dorsalis
ENSGACP00000011870	ENSGACG00000008860	Gasterosteus_aculeatus
ENSCGOP00000006400	ENSCGOG00000003123	Cottoperca_gobio
ENSLBEP00000029223	ENSLBEG00000022123	Labrus_bergylta
ENSSMAP00000022995	ENSSMAG00000014018	Scophthalmus_maximus
ENSHCOP00000024730	ENSHCOG00000014298	Hippocampus_comes
ENSATEP00000029580	ENSATEG00000020400	Anabas_testudineus
ENSPMGP00000005144	ENSPMGG00000004325	Periophthalmus_magnuspinnatus
ENSAOCP00000001416	ENSAOCG00000004404	Amphiprion_ocellaris
ENSAPEP00000018270	ENSAPEG00000013053	Amphiprion_percula
ENSAPOP00000027415	ENSAPOG00000011976	Acanthochromis_polyacanthus
ENSAPOP00000025863	ENSAPOG00000009303	Acanthochromis_polyacanthus
ENSAPOP00000030329	ENSAPOG00000016828	Acanthochromis_polyacanthus
ENSSPAP00000013753	ENSSPAG00000010400	Stegastes_partitus
ENSPRNP00000026037	ENSPRNG00000013108	Parambassis_ranga
ENSCVAP00000021521	ENSCVAG00000003628	Cyprinodon_variegatus
ENSFHEP00000012626	ENSFHEG00000014111	Fundulus_heteroclitus
ENSPFOP00000000054	ENSPFOG00000000054	Poecilia_formosa
ENSPMEP00000018397	ENSPMEG00000021351	Poecilia_mexicana
ENSPLAP00000001120	ENSPLAG00000002100	Poecilia_latipinna
ENSPREP00000028996	ENSPREG00000019620	Poecilia_reticulata
ENSXCOP00000023921	ENSXCOG00000017859	Xiphophorus_couchianus
ENSXMAP00000005920	ENSXMAG00000005891	Xiphophorus_maculatus
ENSGAFP00000027089	ENSGAFG00000018298	Gambusia_affinis
ENSKMAP00000005156	ENSKMAG00000003822	Kryptolebias_marmoratus
ENSMAMP00000015296	ENSMAMG00000010371	Mastacembelus_armatus
ENSSFOP00015017213	ENSSFOG00015011083	Scleropages_formosus
ENSDCDP00000002509	ENSDCDG00000001331	Denticeps_clupeoides
ENSEEEP00000040664	ENSEEEG00000019252	Electrophorus_electricus
ENSIPUP00000019344	ENSIPUG00000013094	Ictalurus_punctatus
ENSAMXP00000002258	ENSAMXG00000002207	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005001627	ENSAMXG00005000910	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000001618	ENSPNAG00000000839	Pygocentrus_nattereri
ENSDARP00000073057	ENSDARG00000056160	Danio_rerio
ENSDCDP00000014298	ENSDCDG00000010654	Denticeps_clupeoides
ENSPKIP00000013174	ENSPKIG00000000702	Paramormyrops_kingsleyae
ENSSFOP00015033648	ENSSFOG00015021470	Scleropages_formosus
ENSLOCP00000004708	ENSLOCG00000003937	Lepisosteus_oculatus
ENSCSEP00000006018	ENSCSEG00000003879	Cynoglossus_semilaevis
ENSECRP00000027554	ENSECRG00000018650	Erpetoichthys_calabaricus
ENSLACP00000017367	ENSLACG00000015296	Latimeria_chalumnae
ENSTGUP00000010873	ENSTGUG00000010538	Taeniopygia_guttata
