ENSPKIP00000009817	ENSPKIG00000024775	Paramormyrops_kingsleyae	ENSPKIT00000033929
ENSSFOP00015001080	ENSSFOG00015000797	Scleropages_formosus	ENSSFOT00015001111
ENSLCRP00005020271	ENSLCRG00005008275	Larimichthys_crocea
ENSLBEP00000037256	ENSLBEG00000027809	Labrus_bergylta
ENSCGOP00000004871	ENSCGOG00000002516	Cottoperca_gobio
ENSGACP00000023846	ENSGACG00000018051	Gasterosteus_aculeatus
ENSSLDP00000004489	ENSSLDG00000003566	Seriola_lalandi_dorsalis
ENSSLDP00000004521	ENSSLDG00000003590	Seriola_lalandi_dorsalis
ENSSDUP00000000362	ENSSDUG00000000318	Seriola_dumerili
ENSLCAP00010003656	ENSLCAG00010001889	Lates_calcarifer
ENSSMAP00000015605	ENSSMAG00000009575	Scophthalmus_maximus
ENSATEP00000026299	ENSATEG00000018216	Anabas_testudineus
ENSBSLP00000027829	ENSBSLG00000013901	Betta_splendens
ENSMAMP00000028199	ENSMAMG00000018968	Mastacembelus_armatus
ENSCSEP00000013750	ENSCSEG00000008834	Cynoglossus_semilaevis
ENSMALP00000006790	ENSMALG00000004848	Monopterus_albus
ENSTRUP00000011139	ENSTRUG00000004693	Takifugu_rubripes
ENSTNIP00000007920	ENSTNIG00000005243	Tetraodon_nigroviridis
ENSMMOP00000009308	ENSMMOG00000007205	Mola_mola
ENSHCOP00000001059	ENSHCOG00000000063	Hippocampus_comes
ENSAPEP00000025383	ENSAPEG00000018075	Amphiprion_percula
ENSAOCP00000023182	ENSAOCG00000009116	Amphiprion_ocellaris
ENSAPOP00000026738	ENSAPOG00000010766	Acanthochromis_polyacanthus
ENSSPAP00000002238	ENSSPAG00000001564	Stegastes_partitus
ENSPRNP00000014632	ENSPRNG00000007902	Parambassis_ranga
ENSMZEP00005031688	ENSMZEG00005023644	Maylandia_zebra
ENSACLP00000025537	ENSACLG00000017370	Astatotilapia_calliptera
ENSHBUP00000002465	ENSHBUG00000003698	Haplochromis_burtoni
ENSPNYP00000030190	ENSPNYG00000022757	Pundamilia_nyererei
ENSNBRP00000019339	ENSNBRG00000014876	Neolamprologus_brichardi
ENSONIP00000018396	ENSONIG00000014615	Oreochromis_niloticus
ENSACIP00000012807	ENSACIG00000009936	Amphilophus_citrinellus
ENSCVAP00000015643	ENSCVAG00000018478	Cyprinodon_variegatus
ENSCVAP00000008306	ENSCVAG00000010103	Cyprinodon_variegatus
ENSPLAP00000001203	ENSPLAG00000002217	Poecilia_latipinna
ENSPFOP00000007513	ENSPFOG00000007517	Poecilia_formosa
ENSPMEP00000011154	ENSPMEG00000013236	Poecilia_mexicana
ENSPREP00000012843	ENSPREG00000008728	Poecilia_reticulata
ENSGAFP00000030511	ENSGAFG00000020560	Gambusia_affinis
ENSXMAP00000009977	ENSXMAG00000009950	Xiphophorus_maculatus
ENSFHEP00000025468	ENSFHEG00000007738	Fundulus_heteroclitus
ENSKMAP00000000104	ENSKMAG00000000094	Kryptolebias_marmoratus
ENSORLP00020020961	ENSORLG00020021990	Oryzias_latipes_ASM223471v1
ENSORLP00015001808	ENSORLG00015002450	Oryzias_latipes_ASM223469v1
ENSORLP00000039547	ENSORLG00000023518	Oryzias_latipes_ASM223467v1
ENSOMEP00000027755	ENSOMEG00000010412	Oryzias_melastigma
ENSGWIP00000056602	ENSGWIG00000026800	Gouania_willdenowi
ENSPMGP00000001861	ENSPMGG00000001682	Periophthalmus_magnuspinnatus
ENSGMOP00000003525	ENSGMOG00000003329	Gadus_morhua
ENSHHUP00000048711	ENSHHUG00000029521	Hucho_hucho
ENSHHUP00000027919	ENSHHUG00000017723	Hucho_hucho
ENSHHUP00000001571	ENSHHUG00000001058	Hucho_hucho
ENSELUP00000024488	ENSELUG00000023240	Esox_lucius
ENSDCDP00000005915	ENSDCDG00000002863	Denticeps_clupeoides
ENSCHAP00000038859	ENSCHAG00000018170	Clupea_harengus
ENSEEEP00000014138	ENSEEEG00000007023	Electrophorus_electricus
ENSIPUP00000025648	ENSIPUG00000017357	Ictalurus_punctatus
ENSAMXP00000028831	ENSAMXG00000041472	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005050657	ENSAMXG00005022956	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000013383	ENSPNAG00000019288	Pygocentrus_nattereri
ENSDARP00000113372	ENSDARG00000079962	Danio_rerio
ENSLOCP00000008422	ENSLOCG00000006958	Lepisosteus_oculatus
