FBpp0077104	FBgn0031635	Drosophila_melanogaster	FBtr0077413
F37C12.2.2	WBGene00018150	Caenorhabditis_elegans_strain_N2	F37C12.2.2
ENSACAP00000000128	ENSACAG00000000120	Anolis_carolinensis
ENSPVIP00000005217	ENSPVIG00000004247	Pogona_vitticeps
ENSNSUP00000001518	ENSNSUG00000001315	Notechis_scutatus
ENSSMRP00000011488	ENSSMRG00000009039	Salvator_merianae
ENSSPUP00000023751	ENSSPUG00000018210	Sphenodon_punctatus
ENSCABP00000018337	ENSCABG00000013581	Chelonoidis_abingdonii
ENSGAGP00000034225	ENSGAGG00000024311	Gopherus_agassizii
ENSCPBP00000015026	ENSCPBG00000011146	Chrysemys_picta_bellii
ENSPSIP00000017975	ENSPSIG00000015946	Pelodiscus_sinensis
ENSCPRP00005001414	ENSCPRG00005001082	Crocodylus_porosus
ENSLSDP00000010939	ENSLSDG00000008053	Lonchura_striata_domestica
ENSTGUP00000000829	ENSTGUG00000000804	Taeniopygia_guttata
ENSJHYP00000018466	ENSJHYG00000014049	Junco_hyemalis
ENSZALP00000006097	ENSZALG00000005612	Zonotrichia_albicollis
ENSSCAP00000024104	ENSSCAG00000017249	Serinus_canaria
ENSCCEP00000007149	ENSCCEG00000007557	Cyanistes_caeruleus
ENSPMJP00000011418	ENSPMJG00000008859	Parus_major
ENSFALP00000005297	ENSFALG00000005076	Ficedula_albicollis
ENSLCOP00000006497	ENSLCOG00000004831	Lepidothrix_coronata
ENSCPGP00000002062	ENSCPGG00000001545	Calidris_pygmaea
ENSGALP00000056199	ENSGALG00000038097	Gallus_gallus
ENSNMEP00000013244	ENSNMEG00000012087	Numida_meleagris
ENSMGAP00000000094	ENSMGAG00000000719	Meleagris_gallopavo
ENSABRP00000022452	ENSABRG00000019025	Anser_brachyrhynchus
ENSCJPP00005006055	ENSCJPG00005005702	Coturnix_japonica
ENSAPLP00000015675	ENSAPLG00000015775	Anas_platyrhynchos_platyrhynchos
ENSMUNP00000016277	ENSMUNG00000012531	Melopsittacus_undulatus
ENSCPUP00000023528	ENSCPUG00000015973	Calidris_pugnax
ENSCPUP00000023529	ENSCPUG00000015974	Calidris_pugnax
ENSMVIP00005023182	ENSMVIG00005016269	Manacus_vitellinus
ENSARWP00000025039	ENSARWG00000017052	Apteryx_rowi
ENSAOWP00000023427	ENSAOWG00000015822	Apteryx_owenii
ENSAHAP00000026436	ENSAHAG00000018395	Apteryx_haastii
ENSDNVP00000012345	ENSDNVG00000008672	Dromaius_novaehollandiae
ENSVURP00010029029	ENSVURG00010022240	Vombatus_ursinus
ENSPCIP00000049886	ENSPCIG00000023558	Phascolarctos_cinereus
ENSMEUP00000007417	ENSMEUG00000008123	Notamacropus_eugenii
ENSSHAP00000020443	ENSSHAG00000017333	Sarcophilus_harrisii
ENSMODP00000005014	ENSMODG00000004075	Monodelphis_domestica
ENSTTRP00000000179	ENSTTRG00000000193	Tursiops_truncatus
ENSVPAP00000010825	ENSVPAG00000011635	Vicugna_pacos
ENSCHIP00000009885	ENSCHIG00000012595	Capra_hircus
ENSCHIP00000003525	ENSCHIG00000007671	Capra_hircus
ENSBIXP00000001222	ENSBIXG00000028793	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005042923	ENSBIXG00005026519	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000009476	ENSBTAG00000007202	Bos_taurus
ENSBMUP00000031374	ENSBMUG00000023400	Bos_mutus
ENSBBBP00000002120	ENSBBBG00000002039	Bison_bison_bison
ENSBTAP00000065547	ENSBTAG00000031600	Bos_taurus
ENSBIXP00005027615	ENSBIXG00005030403	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000000258	ENSBBBG00000009409	Bison_bison_bison
ENSBMUP00000032137	ENSBMUG00000023965	Bos_mutus
ENSCHIP00000022593	ENSCHIG00000020494	Capra_hircus
ENSOARP00000000410	ENSOARG00000000410	Ovis_aries
ENSECAP00000013711	ENSECAG00000015861	Equus_caballus
ENSEASP00005002746	ENSEASG00005002120	Equus_asinus_asinus
ENSPVAP00000004290	ENSPVAG00000004532	Pteropus_vampyrus
ENSMLUP00000001455	ENSMLUG00000001583	Myotis_lucifugus
ENSUMAP00000001815	ENSUMAG00000001674	Ursus_maritimus
ENSUAMP00000007148	ENSUAMG00000006229	Ursus_americanus
ENSAMEP00000001052	ENSAMEG00000000990	Ailuropoda_melanoleuca
ENSNVIP00000026323	ENSNVIG00000020350	Neovison_vison
ENSMPUP00000006415	ENSMPUG00000006470	Mustela_putorius_furo
ENSCAFP00000016035	ENSCAFG00000010898	Canis_lupus_familiaris
ENSCAFP00020013390	ENSCAFG00020010736	Canis_lupus_dingo
ENSCAFP00020023747	ENSCAFG00020018703	Canis_lupus_dingo
ENSVVUP00000027946	ENSVVUG00000020480	Vulpes_vulpes
ENSPTIP00000008095	ENSPTIG00000009498	Panthera_tigris_altaica
ENSPPRP00000019539	ENSPPRG00000010939	Panthera_pardus
ENSFCAP00000039628	ENSFCAG00000015100	Felis_catus
ENSDORP00000017097	ENSDORG00000024735	Dipodomys_ordii
ENSLAFP00000009112	ENSLAFG00000010888	Loxodonta_africana
ENSPCAP00000011932	ENSPCAG00000012762	Procavia_capensis
ENSDNOP00000001833	ENSDNOG00000002362	Dasypus_novemcinctus
ENSDNOP00000025312	ENSDNOG00000035619	Dasypus_novemcinctus
ENSCHOP00000011219	ENSCHOG00000012669	Choloepus_hoffmanni
ENSMMUP00000013086	ENSMMUG00000010009	Macaca_mulatta
ENSMFAP00000022658	ENSMFAG00000042989	Macaca_fascicularis
ENSMNEP00000031541	ENSMNEG00000039166	Macaca_nemestrina
ENSMLEP00000033916	ENSMLEG00000041112	Mandrillus_leucophaeus
ENSCATP00000035528	ENSCATG00000040611	Cercocebus_atys
ENSTGEP00000035009	ENSTGEG00000027887	Theropithecus_gelada
ENSPANP00000027712	ENSPANG00000023740	Papio_anubis
ENSCSAP00000015736	ENSCSAG00000002304	Chlorocebus_sabaeus
ENSRROP00000011534	ENSRROG00000030105	Rhinopithecus_roxellana
ENSRBIP00000039955	ENSRBIG00000043417	Rhinopithecus_bieti
ENSRROP00000029966	ENSRROG00000038759	Rhinopithecus_roxellana
ENSCANP00000003760	ENSCANG00000013056	Colobus_angolensis_palliatus
ENSPTEP00000004477	ENSPTEG00000005200	Piliocolobus_tephrosceles
ENSCATP00000012400	ENSCATG00000030363	Cercocebus_atys
ENSPANP00000022254	ENSPANG00000035053	Papio_anubis
ENSMLEP00000014455	ENSMLEG00000031390	Mandrillus_leucophaeus
ENSCANP00000005387	ENSCANG00000018204	Colobus_angolensis_palliatus
ENSPPAP00000010789	ENSPPAG00000028595	Pan_paniscus
ENSPTRP00000077721	ENSPTRG00000004444	Pan_troglodytes
ENSGGOP00000013443	ENSGGOG00000013776	Gorilla_gorilla
ENSP00000278903	ENSG00000149547	Homo_sapiens
ENSPPYP00000004610	ENSPPYG00000004033	Pongo_abelii
ENSNLEP00000038496	ENSNLEG00000032257	Nomascus_leucogenys
ENSGGOP00000016671	ENSGGOG00000017085	Gorilla_gorilla
ENSNLEP00000036930	ENSNLEG00000029305	Nomascus_leucogenys
ENSCANP00000023386	ENSCANG00000035118	Colobus_angolensis_palliatus
ENSSBOP00000009363	ENSSBOG00000021524	Saimiri_boliviensis_boliviensis
ENSCJAP00000078014	ENSCJAG00000008390	Callithrix_jacchus
ENSCCAP00000025849	ENSCCAG00000030712	Cebus_capucinus_imitator
ENSANAP00000024046	ENSANAG00000029727	Aotus_nancymaae
ENSCJAP00000071808	ENSCJAG00000062438	Callithrix_jacchus
ENSTSYP00000023233	ENSTSYG00000004747	Carlito_syrichta
ENSTSYP00000024444	ENSTSYG00000033816	Carlito_syrichta
ENSPSMP00000002748	ENSPSMG00000002170	Prolemur_simus
ENSPSMP00000025030	ENSPSMG00000017623	Prolemur_simus
ENSPCOP00000021999	ENSPCOG00000023071	Propithecus_coquereli
ENSPCOP00000008146	ENSPCOG00000015350	Propithecus_coquereli
ENSMICP00000034660	ENSMICG00000003023	Microcebus_murinus
ENSMICP00000035090	ENSMICG00000026788	Microcebus_murinus
ENSOGAP00000001636	ENSOGAG00000001838	Otolemur_garnettii
ENSOCUP00000012614	ENSOCUG00000014670	Oryctolagus_cuniculus
ENSOPRP00000012308	ENSOPRG00000013491	Ochotona_princeps
ENSFCAP00000034738	ENSFCAG00000036418	Felis_catus
ENSPPRP00000000568	ENSPPRG00000024734	Panthera_pardus
ENSCHIP00000030862	ENSCHIG00000025452	Capra_hircus
ENSDORP00000010006	ENSDORG00000010644	Dipodomys_ordii
ENSDORP00000021017	ENSDORG00000024945	Dipodomys_ordii
ENSCCNP00000018594	ENSCCNG00000018820	Castor_canadensis
ENSSDAP00000004314	ENSSDAG00000004029	Spermophilus_dauricus
ENSSTOP00000003861	ENSSTOG00000004299	Ictidomys_tridecemlineatus
ENSCGRP00001006457	ENSCGRG00001008713	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015011482	ENSCGRG00015008816	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000000722	ENSCGRG00000000593	Cricetulus_griseus_CriGri_1.0
ENSCGRP00000017012	ENSCGRG00000012370	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001016678	ENSCGRG00001016941	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015004421	ENSCGRG00015003481	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000008177	ENSMAUG00000009668	Mesocricetus_auratus
ENSMOCP00000006618	ENSMOCG00000006270	Microtus_ochrogaster
ENSMSIP00000001303	ENSMSIG00000001227	Mus_spicilegus
MGP_CAROLIEiJ_P0087255	MGP_CAROLIEiJ_G0031974	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0090821	MGP_SPRETEiJ_G0033100	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000110738	ENSMUSG00000062762	Mus_musculus_strain_reference_(CL57BL6)
ENSRNOP00000042710	ENSRNOG00000030391	Rattus_norvegicus
ENSMUGP00000006655	ENSMUGG00000006145	Meriones_unguiculatus
ENSNGAP00000005606	ENSNGAG00000008005	Nannospalax_galili
ENSJJAP00000002675	ENSJJAG00000004763	Jaculus_jaculus
ENSJJAP00000016295	ENSJJAG00000018184	Jaculus_jaculus
ENSJJAP00000013124	ENSJJAG00000015981	Jaculus_jaculus
ENSJJAP00000012270	ENSJJAG00000015344	Jaculus_jaculus
ENSODEP00000025381	ENSODEG00000018622	Octodon_degus
ENSODEP00000004917	ENSODEG00000003729	Octodon_degus
ENSODEP00000026575	ENSODEG00000020024	Octodon_degus
ENSCLAP00000022379	ENSCLAG00000015350	Chinchilla_lanigera
ENSCPOP00000006552	ENSCPOG00000007272	Cavia_porcellus
ENSCAPP00000004898	ENSCAPG00000007344	Cavia_aperea
ENSHGLP00000003202	ENSHGLG00000002379	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00000026739	ENSHGLG00000019019	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100005320	ENSHGLG00100004038	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000012677	ENSHGLG00000009064	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000019946	ENSFDAG00000008796	Fukomys_damarensis
ENSPEMP00000013371	ENSPEMG00000013442	Peromyscus_maniculatus_bairdii
ENSPEMP00000027700	ENSPEMG00000023433	Peromyscus_maniculatus_bairdii
ENSUPAP00010030346	ENSUPAG00010023825	Urocitellus_parryii
ENSMUGP00000029343	ENSMUGG00000024349	Meriones_unguiculatus
ENSHGLP00000007065	ENSHGLG00000005160	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100026107	ENSHGLG00100019151	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100000243	ENSHGLG00100000209	Heterocephalus_glaber_HetGla_1.0
ENSCCNP00000014926	ENSCCNG00000015382	Castor_canadensis
ENSJJAP00000002008	ENSJJAG00000003126	Jaculus_jaculus
ENSSDAP00000000074	ENSSDAG00000000116	Spermophilus_dauricus
ENSOARP00000013849	ENSOARG00000012932	Ovis_aries
ENSCHIP00000018845	ENSCHIG00000018121	Capra_hircus
ENSSSCP00000049933	ENSSSCG00000015213	Sus_scrofa_strain_reference
ENSTGEP00000002214	ENSTGEG00000001955	Theropithecus_gelada
ENSRROP00000030520	ENSRROG00000039005	Rhinopithecus_roxellana
ENSANAP00000008301	ENSANAG00000022190	Aotus_nancymaae
ENSLAFP00000026588	ENSLAFG00000025850	Loxodonta_africana
ENSMMMP00000001140	ENSMMMG00000001036	Marmota_marmota_marmota
ENSEEUP00000002998	ENSEEUG00000003274	Erinaceus_europaeus
ENSSARP00000004255	ENSSARG00000004652	Sorex_araneus
ENSTBEP00000007587	ENSTBEG00000008763	Tupaia_belangeri
ENSOANP00000010081	ENSOANG00000006304	Ornithorhynchus_anatinus
ENSXETP00000042252	ENSXETG00000010226	Xenopus_tropicalis
ENSLACP00000018775	ENSLACG00000016527	Latimeria_chalumnae
ENSSDUP00000026612	ENSSDUG00000019286	Seriola_dumerili
ENSSLDP00000006592	ENSSLDG00000005238	Seriola_lalandi_dorsalis
ENSSMAP00000002799	ENSSMAG00000001744	Scophthalmus_maximus
ENSLCAP00010032392	ENSLCAG00010015248	Lates_calcarifer
ENSMALP00000004056	ENSMALG00000002948	Monopterus_albus
ENSATEP00000004213	ENSATEG00000002907	Anabas_testudineus
ENSMAMP00000005771	ENSMAMG00000003903	Mastacembelus_armatus
ENSBSLP00000028690	ENSBSLG00000014359	Betta_splendens
ENSLBEP00000016493	ENSLBEG00000012735	Labrus_bergylta
ENSLCRP00005017000	ENSLCRG00005006896	Larimichthys_crocea
ENSCGOP00000013177	ENSCGOG00000006298	Cottoperca_gobio
ENSAOCP00000015755	ENSAOCG00000020558	Amphiprion_ocellaris
ENSAPEP00000014604	ENSAPEG00000010387	Amphiprion_percula
ENSAPOP00000003346	ENSAPOG00000004863	Acanthochromis_polyacanthus
ENSSPAP00000028826	ENSSPAG00000021695	Stegastes_partitus
ENSPRNP00000049015	ENSPRNG00000023409	Parambassis_ranga
ENSACLP00000039827	ENSACLG00000026846	Astatotilapia_calliptera
ENSHBUP00000032616	ENSHBUG00000019028	Haplochromis_burtoni
ENSMZEP00005030856	ENSMZEG00005022982	Maylandia_zebra
ENSNBRP00000025023	ENSNBRG00000019109	Neolamprologus_brichardi
ENSPNYP00000000514	ENSPNYG00000000402	Pundamilia_nyererei
ENSONIP00000014238	ENSONIG00000011311	Oreochromis_niloticus
ENSACIP00000004417	ENSACIG00000003499	Amphilophus_citrinellus
ENSCVAP00000027094	ENSCVAG00000013162	Cyprinodon_variegatus
ENSXCOP00000016683	ENSXCOG00000012581	Xiphophorus_couchianus
ENSXMAP00000013937	ENSXMAG00000013904	Xiphophorus_maculatus
ENSGAFP00000023476	ENSGAFG00000015851	Gambusia_affinis
ENSPLAP00000012473	ENSPLAG00000015806	Poecilia_latipinna
ENSPFOP00000014989	ENSPFOG00000014891	Poecilia_formosa
ENSPMEP00000003818	ENSPMEG00000005018	Poecilia_mexicana
ENSPREP00000015023	ENSPREG00000010134	Poecilia_reticulata
ENSFHEP00000012566	ENSFHEG00000014057	Fundulus_heteroclitus
