ENSNBRP00000029099	ENSNBRG00000022169	Neolamprologus_brichardi	ENSNBRT00000029855
ENSNBRP00000029117	ENSNBRG00000022189	Neolamprologus_brichardi
ENSPRNP00000046363	ENSPRNG00000019076	Parambassis_ranga
ENSGWIP00000034992	ENSGWIG00000018141	Gouania_willdenowi
ENSORLP00015033281	ENSORLG00015018583	Oryzias_latipes_ASM223469v1
ENSORLP00015017589	ENSORLG00015018621	Oryzias_latipes_ASM223469v1
ENSORLP00020019705	ENSORLG00020020704	Oryzias_latipes_ASM223471v1
ENSORLP00000005530	ENSORLG00000004407	Oryzias_latipes_ASM223467v1
ENSOMEP00000004057	ENSOMEG00000005005	Oryzias_melastigma
ENSFHEP00000024530	ENSFHEG00000006175	Fundulus_heteroclitus
ENSCVAP00000022779	ENSCVAG00000005921	Cyprinodon_variegatus
ENSXCOP00000002487	ENSXCOG00000001986	Xiphophorus_couchianus	ENSXCOT00000002521
ENSXCOP00000002491	ENSXCOG00000001990	Xiphophorus_couchianus
ENSXMAP00000011388	ENSXMAG00000011303	Xiphophorus_maculatus
ENSGAFP00000012558	ENSGAFG00000008404	Gambusia_affinis
ENSPFOP00000016615	ENSPFOG00000016534	Poecilia_formosa
ENSPMEP00000016056	ENSPMEG00000019647	Poecilia_mexicana
ENSPLAP00000017093	ENSPLAG00000021950	Poecilia_latipinna
ENSPREP00000030320	ENSPREG00000020534	Poecilia_reticulata
ENSKMAP00000013784	ENSKMAG00000010170	Kryptolebias_marmoratus
ENSAPEP00000007417	ENSAPEG00000005374	Amphiprion_percula
ENSAOCP00000017021	ENSAOCG00000022535	Amphiprion_ocellaris
ENSAPOP00000030150	ENSAPOG00000016524	Acanthochromis_polyacanthus
ENSSPAP00000031175	ENSSPAG00000023372	Stegastes_partitus
ENSACIP00000000987	ENSACIG00000000841	Amphilophus_citrinellus
ENSACIP00000001023	ENSACIG00000000862	Amphilophus_citrinellus	ENSACIT00000001070
ENSPNYP00000024599	ENSPNYG00000018347	Pundamilia_nyererei
ENSMZEP00005013323	ENSMZEG00005009940	Maylandia_zebra
ENSACLP00000019245	ENSACLG00000013052	Astatotilapia_calliptera
ENSHBUP00000002962	ENSHBUG00000004194	Haplochromis_burtoni
ENSONIP00000025094	ENSONIG00000019923	Oreochromis_niloticus
ENSMAMP00000012271	ENSMAMG00000008306	Mastacembelus_armatus
ENSMALP00000004779	ENSMALG00000003086	Monopterus_albus
ENSATEP00000021107	ENSATEG00000014673	Anabas_testudineus
ENSSDUP00000004678	ENSSDUG00000003473	Seriola_dumerili
ENSSLDP00000028941	ENSSLDG00000021789	Seriola_lalandi_dorsalis
ENSSMAP00000018831	ENSSMAG00000011555	Scophthalmus_maximus
ENSLCAP00010023475	ENSLCAG00010010228	Lates_calcarifer
ENSTRUP00000041924	ENSTRUG00000016398	Takifugu_rubripes	ENSTRUT00000042068
ENSTNIP00000003411	ENSTNIG00000012848	Tetraodon_nigroviridis	ENSTNIT00000003502
ENSMMOP00000003212	ENSMMOG00000002533	Mola_mola
ENSLBEP00000020364	ENSLBEG00000015255	Labrus_bergylta
ENSCGOP00000024698	ENSCGOG00000010952	Cottoperca_gobio	ENSCGOT00000026606
ENSGACP00000011260	ENSGACG00000008498	Gasterosteus_aculeatus	ENSGACT00000011283
ENSLCRP00005038139	ENSLCRG00005012363	Larimichthys_crocea
ENSBSLP00000029456	ENSBSLG00000014346	Betta_splendens
ENSCSEP00000019868	ENSCSEG00000012668	Cynoglossus_semilaevis
ENSHCOP00000014473	ENSHCOG00000017846	Hippocampus_comes
ENSPMGP00000005117	ENSPMGG00000004304	Periophthalmus_magnuspinnatus
ENSGMOP00000009511	ENSGMOG00000008880	Gadus_morhua
ENSHHUP00000071492	ENSHHUG00000041153	Hucho_hucho
ENSELUP00000010671	ENSELUG00000011305	Esox_lucius
ENSDCDP00000009253	ENSDCDG00000003819	Denticeps_clupeoides
ENSCHAP00000028491	ENSCHAG00000011438	Clupea_harengus
ENSIPUP00000030913	ENSIPUG00000020828	Ictalurus_punctatus
ENSEEEP00000044755	ENSEEEG00000021118	Electrophorus_electricus
ENSAMXP00005030064	ENSAMXG00005012053	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000043342	ENSAMXG00000012125	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000022879	ENSPNAG00000007424	Pygocentrus_nattereri
ENSDARP00000139353	ENSDARG00000024488	Danio_rerio
ENSPKIP00000005898	ENSPKIG00000022362	Paramormyrops_kingsleyae
ENSSFOP00015008340	ENSSFOG00015005389	Scleropages_formosus
ENSLOCP00000015892	ENSLOCG00000012897	Lepisosteus_oculatus
ENSECRP00000033415	ENSECRG00000022617	Erpetoichthys_calabaricus
ENSECRP00000033394	ENSECRG00000022603	Erpetoichthys_calabaricus
ENSECRP00000033436	ENSECRG00000022629	Erpetoichthys_calabaricus
ENSECRP00000033374	ENSECRG00000022592	Erpetoichthys_calabaricus
ENSPVIP00000018760	ENSPVIG00000014361	Pogona_vitticeps
ENSACAP00000002284	ENSACAG00000001904	Anolis_carolinensis
ENSSMRP00000006711	ENSSMRG00000005445	Salvator_merianae
ENSSMRP00000013394	ENSSMRG00000010423	Salvator_merianae
ENSSPUP00000003189	ENSSPUG00000002379	Sphenodon_punctatus
ENSABRP00000018840	ENSABRG00000016177	Anser_brachyrhynchus
ENSAPLP00000006164	ENSAPLG00000006390	Anas_platyrhynchos_platyrhynchos
ENSGALP00000049348	ENSGALG00000003922	Gallus_gallus
ENSCJPP00005004573	ENSCJPG00005002732	Coturnix_japonica
ENSMGAP00000018762	ENSMGAG00000009314	Meleagris_gallopavo
ENSNMEP00000006764	ENSNMEG00000006908	Numida_meleagris
ENSPMJP00000000109	ENSPMJG00000000127	Parus_major
ENSCCEP00000024454	ENSCCEG00000021723	Cyanistes_caeruleus
ENSFALP00000000399	ENSFALG00000000389	Ficedula_albicollis
ENSJHYP00000000109	ENSJHYG00000000128	Junco_hyemalis
ENSZALP00000007968	ENSZALG00000005211	Zonotrichia_albicollis
ENSSCAP00000010269	ENSSCAG00000007794	Serinus_canaria
ENSTGUP00000002410	ENSTGUG00000002312	Taeniopygia_guttata
ENSLSDP00000010096	ENSLSDG00000007422	Lonchura_striata_domestica
ENSMVIP00005004367	ENSMVIG00005003367	Manacus_vitellinus
ENSLCOP00000016096	ENSLCOG00000011485	Lepidothrix_coronata
ENSMUNP00000011682	ENSMUNG00000008178	Melopsittacus_undulatus
ENSCPUP00000000642	ENSCPUG00000000505	Calidris_pugnax
ENSCPGP00000015747	ENSCPGG00000009428	Calidris_pygmaea
ENSAOWP00000014626	ENSAOWG00000009749	Apteryx_owenii
ENSARWP00000002310	ENSARWG00000001767	Apteryx_rowi
ENSAHAP00000021348	ENSAHAG00000015009	Apteryx_haastii
ENSDNVP00000016382	ENSDNVG00000011483	Dromaius_novaehollandiae
ENSNPEP00000013428	ENSNPEG00000010034	Nothoprocta_perdicaria
ENSCPRP00005004079	ENSCPRG00005002995	Crocodylus_porosus
ENSGAGP00000026495	ENSGAGG00000019310	Gopherus_agassizii
ENSCABP00000015038	ENSCABG00000011214	Chelonoidis_abingdonii
ENSCPBP00000006220	ENSCPBG00000004966	Chrysemys_picta_bellii
ENSPSIP00000002471	ENSPSIG00000002433	Pelodiscus_sinensis
ENSVURP00010006642	ENSVURG00010005155	Vombatus_ursinus
ENSPCIP00000034763	ENSPCIG00000025715	Phascolarctos_cinereus
ENSMEUP00000003050	ENSMEUG00000003326	Notamacropus_eugenii
ENSSHAP00000014208	ENSSHAG00000012147	Sarcophilus_harrisii
ENSMODP00000016461	ENSMODG00000013152	Monodelphis_domestica
ENSDNOP00000027653	ENSDNOG00000042715	Dasypus_novemcinctus
ENSCHOP00000000414	ENSCHOG00000000458	Choloepus_hoffmanni
ENSPCAP00000001703	ENSPCAG00000001711	Procavia_capensis
ENSETEP00000012690	ENSETEG00000015645	Echinops_telfairi
ENSLAFP00000027558	ENSLAFG00000008287	Loxodonta_africana
ENSCHIP00000009977	ENSCHIG00000012498	Capra_hircus
ENSOARP00000015382	ENSOARG00000014321	Ovis_aries
ENSBIXP00000029472	ENSBIXG00000011122	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005046487	ENSBIXG00005031281	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000053858	ENSBTAG00000019262	Bos_taurus
ENSBMUP00000005177	ENSBMUG00000004056	Bos_mutus
ENSBBBP00000016675	ENSBBBG00000024833	Bison_bison_bison
ENSTTRP00000016028	ENSTTRG00000016905	Tursiops_truncatus
ENSSSCP00000018518	ENSSSCG00000017473	Sus_scrofa_strain_reference
ENSVPAP00000001090	ENSVPAG00000001177	Vicugna_pacos
ENSUMAP00000024591	ENSUMAG00000017880	Ursus_maritimus
ENSUAMP00000000769	ENSUAMG00000000586	Ursus_americanus
ENSAMEP00000008504	ENSAMEG00000007989	Ailuropoda_melanoleuca
ENSNVIP00000002948	ENSNVIG00000002325	Neovison_vison
ENSMPUP00000014571	ENSMPUG00000014680	Mustela_putorius_furo
ENSCAFP00020023765	ENSCAFG00020018681	Canis_lupus_dingo
ENSCAFP00000042966	ENSCAFG00000016090	Canis_lupus_familiaris
ENSVVUP00000000967	ENSVVUG00000000844	Vulpes_vulpes
ENSPTIP00000020432	ENSPTIG00000017914	Panthera_tigris_altaica
ENSPPRP00000018858	ENSPPRG00000010395	Panthera_pardus
ENSFCAP00000008944	ENSFCAG00000009642	Felis_catus
ENSMLUP00000007215	ENSMLUG00000007831	Myotis_lucifugus
ENSPVAP00000008103	ENSPVAG00000008579	Pteropus_vampyrus
ENSEEUP00000004704	ENSEEUG00000005036	Erinaceus_europaeus
ENSSARP00000011180	ENSSARG00000012331	Sorex_araneus
ENSECAP00000011684	ENSECAG00000013053	Equus_caballus
