ENSTBEP00000004510	ENSTBEG00000005234	Tupaia_belangeri
ENSLCAP00010026547	ENSLCAG00010012423	Lates_calcarifer
ENSEEUP00000002510	ENSEEUG00000002743	Erinaceus_europaeus
ENSAOWP00000007749	ENSAOWG00000005290	Apteryx_owenii
ENSMOCP00000003467	ENSMOCG00000002775	Microtus_ochrogaster
ENSJHYP00000018204	ENSJHYG00000013876	Junco_hyemalis
ENSPSMP00000017414	ENSPSMG00000012315	Prolemur_simus
ENSMMUP00000030181	ENSMMUG00000022914	Macaca_mulatta
ENSDNVP00000008626	ENSDNVG00000006128	Dromaius_novaehollandiae
ENSMUSP00000023294	ENSMUSG00000022621	Mus_musculus_strain_reference_(CL57BL6)
ENSPPRP00000024107	ENSPPRG00000014642	Panthera_pardus
ENSXETP00000038686	ENSXETG00000017981	Xenopus_tropicalis
ENSNVIP00000007948	ENSNVIG00000006221	Neovison_vison
ENSCHOP00000009881	ENSCHOG00000011171	Choloepus_hoffmanni
ENSLCOP00000009938	ENSLCOG00000007210	Lepidothrix_coronata
ENSZALP00000004506	ENSZALG00000004209	Zonotrichia_albicollis
ENSPMGP00000015801	ENSPMGG00000012946	Periophthalmus_magnuspinnatus
ENSBIXP00005004625	ENSBIXG00005010516	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBSLP00000048816	ENSBSLG00000023251	Betta_splendens
ENSPTRP00000079610	ENSPTRG00000048437	Pan_troglodytes
ENSCJPP00005000179	ENSCJPG00005000259	Coturnix_japonica
ENSPSIP00000015809	ENSPSIG00000014041	Pelodiscus_sinensis
ENSCPGP00000003929	ENSCPGG00000002912	Calidris_pygmaea
ENSOPRP00000011187	ENSOPRG00000012267	Ochotona_princeps
ENSCLAP00000025074	ENSCLAG00000017218	Chinchilla_lanigera
ENSAMXP00000034940	ENSAMXG00000040611	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSMPUP00000001788	ENSMPUG00000001806	Mustela_putorius_furo
ENSATEP00000001569	ENSATEG00000001111	Anabas_testudineus
ENSMZEP00005026499	ENSMZEG00005019758	Maylandia_zebra
ENSMFAP00000026729	ENSMFAG00000044775	Macaca_fascicularis
ENSGAFP00000007620	ENSGAFG00000005188	Gambusia_affinis
ENSRROP00000013810	ENSRROG00000031130	Rhinopithecus_roxellana
ENSMAMP00000012070	ENSMAMG00000008168	Mastacembelus_armatus
ENSMSIP00000027131	ENSMSIG00000022891	Mus_spicilegus
ENSETEP00000011244	ENSETEG00000013859	Echinops_telfairi
ENSHBUP00000027639	ENSHBUG00000010964	Haplochromis_burtoni
ENSIPUP00000036922	ENSIPUG00000024726	Ictalurus_punctatus
ENSCCEP00000005350	ENSCCEG00000005848	Cyanistes_caeruleus
ENSBBBP00000011763	ENSBBBG00000019748	Bison_bison_bison
ENSPPYP00000013385	ENSPPYG00000012000	Pongo_abelii
ENSORLP00000012388	ENSORLG00000009874	Oryzias_latipes_ASM223467v1
ENSCANP00000014876	ENSCANG00000030879	Colobus_angolensis_palliatus
ENSMEUP00000010469	ENSMEUG00000011477	Notamacropus_eugenii
ENSMUGP00000026422	ENSMUGG00000022001	Meriones_unguiculatus
ENSORLP00020001013	ENSORLG00020001721	Oryzias_latipes_ASM223471v1
ENSPFOP00000018061	ENSPFOG00000017960	Poecilia_formosa
ENSCATP00000021184	ENSCATG00000034307	Cercocebus_atys
MGP_SPRETEiJ_P0041324	MGP_SPRETEiJ_G0021073	Mus_spretus_strain_SPRET/EiJ
ENSPREP00000021916	ENSPREG00000014761	Poecilia_reticulata
ENSANAP00000005985	ENSANAG00000021001	Aotus_nancymaae
ENSCGRP00001023763	ENSCGRG00001021894	Cricetulus_griseus_CHOK1GS_HDv1
ENSTSYP00000025440	ENSTSYG00000004323	Carlito_syrichta
ENSCABP00000003470	ENSCABG00000002652	Chelonoidis_abingdonii
ENSLBEP00000004719	ENSLBEG00000003644	Labrus_bergylta
ENSRBIP00000019272	ENSRBIG00000033607	Rhinopithecus_bieti
ENSDARP00000086848	ENSDARG00000063321	Danio_rerio
ENSCAFP00020008530	ENSCAFG00020006938	Canis_lupus_dingo
ENSSTOP00000002432	ENSSTOG00000002723	Ictidomys_tridecemlineatus
ENSXCOP00000027317	ENSXCOG00000020400	Xiphophorus_couchianus
ENSCSEP00000008589	ENSCSEG00000005479	Cynoglossus_semilaevis
ENSMGAP00000010711	ENSMGAG00000010327	Meleagris_gallopavo
ENSKMAP00000017055	ENSKMAG00000012723	Kryptolebias_marmoratus
ENSEEEP00000014434	ENSEEEG00000007188	Electrophorus_electricus
MGP_CAROLIEiJ_P0039506	MGP_CAROLIEiJ_G0020176	Mus_caroli_strain_CAROLI_EIJ
ENSPVAP00000004297	ENSPVAG00000004539	Pteropus_vampyrus
ENSPTIP00000021891	ENSPTIG00000018747	Panthera_tigris_altaica
ENSDNOP00000026356	ENSDNOG00000035151	Dasypus_novemcinctus
ENSCPBP00000015866	ENSCPBG00000011715	Chrysemys_picta_bellii
ENSNPEP00000021230	ENSNPEG00000015750	Nothoprocta_perdicaria
ENSDORP00000015999	ENSDORG00000000003	Dipodomys_ordii
ENSNGAP00000010419	ENSNGAG00000012843	Nannospalax_galili
ENSMICP00000028775	ENSMICG00000031301	Microcebus_murinus
ENSCHIP00000000817	ENSCHIG00000000591	Capra_hircus
ENSSPUP00000016359	ENSSPUG00000012620	Sphenodon_punctatus	ENSSPUT00000017432
ENSAHAP00000021712	ENSAHAG00000015232	Apteryx_haastii
ENSPEMP00000028538	ENSPEMG00000024045	Peromyscus_maniculatus_bairdii
ENSELUP00000023930	ENSELUG00000022766	Esox_lucius
ENSFHEP00000013492	ENSFHEG00000015015	Fundulus_heteroclitus
ENSACAP00000000406	ENSACAG00000000418	Anolis_carolinensis	ENSACAT00000000423
ENSHHUP00000015029	ENSHHUG00000009324	Hucho_hucho
ENSCPUP00000011726	ENSCPUG00000008305	Calidris_pugnax
ENSGGOP00000003614	ENSGGOG00000003674	Gorilla_gorilla
ENSOMEP00000026626	ENSOMEG00000008576	Oryzias_melastigma
ENSPNYP00000006300	ENSPNYG00000004845	Pundamilia_nyererei
ENSACLP00000037932	ENSACLG00000025632	Astatotilapia_calliptera
ENSBMUP00000022525	ENSBMUG00000016951	Bos_mutus
ENSSMRP00000026593	ENSSMRG00000020547	Salvator_merianae	ENSSMRT00000031077
ENSFDAP00000014709	ENSFDAG00000002113	Fukomys_damarensis
ENSTRUP00000031547	ENSTRUG00000012454	Takifugu_rubripes
ENSFALP00000011049	ENSFALG00000010585	Ficedula_albicollis
ENSCGOP00000045057	ENSCGOG00000020202	Cottoperca_gobio
ENSPLAP00000027249	ENSPLAG00000015685	Poecilia_latipinna
ENSOGAP00000008180	ENSOGAG00000009123	Otolemur_garnettii
ENSCMIP00000001574	ENSCMIG00000001002	Callorhinchus_milii
ENSVURP00010031777	ENSVURG00010024278	Vombatus_ursinus
ENSACIP00000000780	ENSACIG00000000670	Amphilophus_citrinellus
ENSSHAP00000002674	ENSSHAG00000002364	Sarcophilus_harrisii
ENSECAP00000036664	ENSECAG00000026942	Equus_caballus
ENSPKIP00000010796	ENSPKIG00000025372	Paramormyrops_kingsleyae
ENSAMXP00005030451	ENSAMXG00005014933	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSNLEP00000040911	ENSNLEG00000030435	Nomascus_leucogenys
ENSSCAP00000011512	ENSSCAG00000008616	Serinus_canaria
ENSMLUP00000013363	ENSMLUG00000014686	Myotis_lucifugus
ENSPCIP00000016055	ENSPCIG00000012436	Phascolarctos_cinereus
ENSMLEP00000016881	ENSMLEG00000032621	Mandrillus_leucophaeus
ENSUMAP00000023520	ENSUMAG00000017116	Ursus_maritimus
ENSPMEP00000023236	ENSPMEG00000004703	Poecilia_mexicana
ENSXMAP00000004579	ENSXMAG00000004569	Xiphophorus_maculatus
ENSNMEP00000000022	ENSNMEG00000000047	Numida_meleagris
ENSPTRP00000058452	ENSPTRG00000014555	Pan_troglodytes
ENSP00000378958	ENSG00000079974	Homo_sapiens
ENSCAFP00000000779	ENSCAFG00000000554	Canis_lupus_familiaris
ENSSFOP00015032434	ENSSFOG00015020738	Scleropages_formosus
ENSCINP00000010211	ENSCING00000004961	Ciona_intestinalis
ENSSARP00000004459	ENSSARG00000004919	Sorex_araneus
ENSTGUP00000016365	ENSTGUG00000016028	Taeniopygia_guttata
ENSEASP00005011751	ENSEASG00005008239	Equus_asinus_asinus
ENSLSDP00000004402	ENSLSDG00000003416	Lonchura_striata_domestica
ENSSDUP00000020303	ENSSDUG00000014765	Seriola_dumerili
ENSMMUP00000062766	ENSMMUG00000063291	Macaca_mulatta
ENSHGLP00000007939	ENSHGLG00000005750	Heterocephalus_glaber_HetGla_female_1.0
ENSGALP00000070299	ENSGALG00000032458	Gallus_gallus
ENSPMJP00000001256	ENSPMJG00000001048	Parus_major
ENSLCRP00005032017	ENSLCRG00005012695	Larimichthys_crocea
ENSMNEP00000007857	ENSMNEG00000028460	Macaca_nemestrina
ENSODEP00000021258	ENSODEG00000015650	Octodon_degus
ENSIPUP00000012025	ENSIPUG00000008148	Ictalurus_punctatus
ENSMNEP00000026552	ENSMNEG00000036723	Macaca_nemestrina
ENSHGLP00100022116	ENSHGLG00100016281	Heterocephalus_glaber_HetGla_1.0
ENSSSCP00000055882	ENSSSCG00000025041	Sus_scrofa_strain_reference
ENSPANP00000024500	ENSPANG00000036121	Papio_anubis
ENSBIXP00000029331	ENSBIXG00000010911	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPTEP00000029570	ENSPTEG00000028936	Piliocolobus_tephrosceles
ENSORLP00015030526	ENSORLG00015014268	Oryzias_latipes_ASM223469v1
ENSLACP00000004187	ENSLACG00000003722	Latimeria_chalumnae
ENSCCNP00000008538	ENSCCNG00000009024	Castor_canadensis
ENSBTAP00000058252	ENSBTAG00000004876	Bos_taurus
ENSOCUP00000008974	ENSOCUG00000010420	Oryctolagus_cuniculus
ENSSLDP00000009974	ENSSLDG00000007947	Seriola_lalandi_dorsalis
ENSSDAP00000001361	ENSSDAG00000001349	Spermophilus_dauricus
ENSCSAP00000001025	ENSCSAG00000004698	Chlorocebus_sabaeus
ENSCCAP00000016363	ENSCCAG00000025944	Cebus_capucinus_imitator
ENSABRP00000000633	ENSABRG00000000365	Anser_brachyrhynchus
ENSTTRP00000002995	ENSTTRG00000003194	Tursiops_truncatus
ENSOARP00000013032	ENSOARG00000012157	Ovis_aries
ENSOARP00000021516	ENSOARG00000020039	Ovis_aries
ENSMVIP00005022398	ENSMVIG00005015715	Manacus_vitellinus
ENSLAFP00000006047	ENSLAFG00000007189	Loxodonta_africana
ENSPNAP00000017910	ENSPNAG00000024254	Pygocentrus_nattereri
ENSPCOP00000025302	ENSPCOG00000024865	Propithecus_coquereli
ENSCGRP00000014932	ENSCGRG00000010820	Cricetulus_griseus_CriGri_1.0
ENSMODP00000045950	ENSMODG00000010838	Monodelphis_domestica
