ENSTSYP00000019910	ENSTSYG00000035004	Carlito_syrichta
ENSOPRP00000009850	ENSOPRG00000010769	Ochotona_princeps
ENSFDAP00000012759	ENSFDAG00000020089	Fukomys_damarensis
ENSSPUP00000006087	ENSSPUG00000004642	Sphenodon_punctatus
ENSMAUP00000013393	ENSMAUG00000013427	Mesocricetus_auratus
ENSCINP00000026283	ENSCING00000014568	Ciona_intestinalis
ENSGMOP00000019363	ENSGMOG00000017972	Gadus_morhua
ENSXMAP00000003895	ENSXMAG00000003887	Xiphophorus_maculatus
ENSAHAP00000026861	ENSAHAG00000018718	Apteryx_haastii
ENSPKIP00000011928	ENSPKIG00000018338	Paramormyrops_kingsleyae
ENSLCAP00010053475	ENSLCAG00010024865	Lates_calcarifer
ENSMLUP00000017207	ENSMLUG00000024707	Myotis_lucifugus
ENSCPGP00000004406	ENSCPGG00000003231	Calidris_pygmaea
ENSGGOP00000042461	ENSGGOG00000014193	Gorilla_gorilla
ENSJHYP00000008432	ENSJHYG00000006674	Junco_hyemalis
ENSOANP00000019621	ENSOANG00000012400	Ornithorhynchus_anatinus
ENSNGAP00000005463	ENSNGAG00000007725	Nannospalax_galili
ENSORLP00015001428	ENSORLG00015002097	Oryzias_latipes_ASM223469v1
ENSBTAP00000065658	ENSBTAG00000050061	Bos_taurus
ENSHGLP00000004333	ENSHGLG00000003168	Heterocephalus_glaber_HetGla_female_1.0
ENSXETP00000017085	ENSXETG00000002806	Xenopus_tropicalis
ENSNPEP00000002532	ENSNPEG00000001950	Nothoprocta_perdicaria
ENSMAMP00000007184	ENSMAMG00000004894	Mastacembelus_armatus
ENSMOCP00000002506	ENSMOCG00000001961	Microtus_ochrogaster
ENSCPUP00000022435	ENSCPUG00000015230	Calidris_pugnax
ENSTGEP00000020836	ENSTGEG00000016772	Theropithecus_gelada
ENSPMJP00000007989	ENSPMJG00000006541	Parus_major
ENSMNEP00000020486	ENSMNEG00000034022	Macaca_nemestrina
ENSEEUP00000005399	ENSEEUG00000005857	Erinaceus_europaeus
ENSPLAP00000021723	ENSPLAG00000005638	Poecilia_latipinna
ENSCAFP00000062416	ENSCAFG00000015888	Canis_lupus_familiaris
ENSFCAP00000052328	ENSFCAG00000002264	Felis_catus
ENSCMIP00000026602	ENSCMIG00000011640	Callorhinchus_milii
ENSCLAP00000007158	ENSCLAG00000005037	Chinchilla_lanigera
ENSNMEP00000002841	ENSNMEG00000003454	Numida_meleagris
ENSNMEP00000002842	ENSNMEG00000003455	Numida_meleagris	ENSNMET00000005505
ENSPSIP00000018097	ENSPSIG00000016029	Pelodiscus_sinensis
ENSOCUP00000005985	ENSOCUG00000011258	Oryctolagus_cuniculus
ENSPCOP00000021082	ENSPCOG00000022535	Propithecus_coquereli
ENSCAPP00000010673	ENSCAPG00000011887	Cavia_aperea
ENSCPGP00000004418	ENSCPGG00000003238	Calidris_pygmaea
ENSPTEP00000010991	ENSPTEG00000012403	Piliocolobus_tephrosceles
ENSACIP00000007006	ENSACIG00000005387	Amphilophus_citrinellus
ENSSHAP00000004309	ENSSHAG00000003794	Sarcophilus_harrisii
ENSPPAP00000004963	ENSPPAG00000020765	Pan_paniscus
ENSPSIP00000019628	ENSPSIG00000017420	Pelodiscus_sinensis
ENSCPBP00000025064	ENSCPBG00000017833	Chrysemys_picta_bellii
ENSDNOP00000022604	ENSDNOG00000038051	Dasypus_novemcinctus
ENSBIXP00005004603	ENSBIXG00005010485	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSATEP00000015759	ENSATEG00000010946	Anabas_testudineus
ENSMMOP00000001175	ENSMMOG00000000995	Mola_mola
ENSHBUP00000032660	ENSHBUG00000000568	Haplochromis_burtoni
ENSCVAP00000010699	ENSCVAG00000012866	Cyprinodon_variegatus
MGP_SPRETEiJ_P0050067	MGP_SPRETEiJ_G0023589	Mus_spretus_strain_SPRET/EiJ
ENSPFOP00000012246	ENSPFOG00000012209	Poecilia_formosa
ENSONIP00000019594	ENSONIG00000015571	Oreochromis_niloticus
ENSMUGP00000017441	ENSMUGG00000014841	Meriones_unguiculatus
ENSNBRP00000018163	ENSNBRG00000013948	Neolamprologus_brichardi
ENSLCRP00005016693	ENSLCRG00005006932	Larimichthys_crocea
ENSFALP00000011868	ENSFALG00000011353	Ficedula_albicollis
ENSSFOP00015016534	ENSSFOG00015010631	Scleropages_formosus
ENSCSAP00000002795	ENSCSAG00000006508	Chlorocebus_sabaeus
ENSACLP00000018315	ENSACLG00000012480	Astatotilapia_calliptera
ENSLCAP00010030300	ENSLCAG00010014233	Lates_calcarifer
ENSPNAP00000011415	ENSPNAG00000017123	Pygocentrus_nattereri
ENSMVIP00005013598	ENSMVIG00005009849	Manacus_vitellinus
ENSPCAP00000006497	ENSPCAG00000006917	Procavia_capensis
ENSECRP00000007674	ENSECRG00000005106	Erpetoichthys_calabaricus
ENSMEUP00000014490	ENSMEUG00000015842	Notamacropus_eugenii
ENSAPEP00000031426	ENSAPEG00000022318	Amphiprion_percula
ENSCGOP00000049030	ENSCGOG00000021867	Cottoperca_gobio
ENSPVIP00000023010	ENSPVIG00000017369	Pogona_vitticeps
ENSCGRP00000016256	ENSCGRG00000011794	Cricetulus_griseus_CriGri_1.0
ENSVVUP00000004767	ENSVVUG00000003752	Vulpes_vulpes
ENSDARP00000138674	ENSDARG00000099194	Danio_rerio
ENSCPOP00000028497	ENSCPOG00000005701	Cavia_porcellus
ENSMUSP00000025562	ENSMUSG00000024660	Mus_musculus_strain_reference_(CL57BL6)
ENSMLEP00000039609	ENSMLEG00000043817	Mandrillus_leucophaeus
ENSRROP00000012324	ENSRROG00000030466	Rhinopithecus_roxellana
ENSAOCP00000022458	ENSAOCG00000007933	Amphiprion_ocellaris
ENSCCNP00000006021	ENSCCNG00000006347	Castor_canadensis
ENSPSMP00000032068	ENSPSMG00000022199	Prolemur_simus
ENSSTOP00000013031	ENSSTOG00000014541	Ictidomys_tridecemlineatus
ENSLAFP00000020873	ENSLAFG00000006290	Loxodonta_africana
ENSLBEP00000024971	ENSLBEG00000019083	Labrus_bergylta
ENSMALP00000006858	ENSMALG00000004878	Monopterus_albus
ENSDORP00000009213	ENSDORG00000009799	Dipodomys_ordii
ENSPRNP00000006154	ENSPRNG00000003682	Parambassis_ranga
ENSCHIP00000027624	ENSCHIG00000023449	Capra_hircus
ENSOMEP00000032587	ENSOMEG00000018103	Oryzias_melastigma
ENSCJAP00000058048	ENSCJAG00000019069	Callithrix_jacchus
ENSORLP00000027702	ENSORLG00000006173	Oryzias_latipes_ASM223467v1
ENSPVAP00000008595	ENSPVAG00000009113	Pteropus_vampyrus
ENSGWIP00000039105	ENSGWIG00000019898	Gouania_willdenowi
ENSMSIP00000031469	ENSMSIG00000026345	Mus_spicilegus
ENSVURP00010003387	ENSVURG00010002477	Vombatus_ursinus
ENSPTRP00000061804	ENSPTRG00000003760	Pan_troglodytes
ENSARWP00000019180	ENSARWG00000013159	Apteryx_rowi
ENSPPYP00000003662	ENSPPYG00000003171	Pongo_abelii
ENSABRP00000001902	ENSABRG00000001880	Anser_brachyrhynchus	ENSABRT00000002836
ENSORLP00020008220	ENSORLG00020009194	Oryzias_latipes_ASM223471v1
ENSKMAP00000028333	ENSKMAG00000020985	Kryptolebias_marmoratus
ENSNVIP00000027568	ENSNVIG00000021280	Neovison_vison
ENSCSEP00000012222	ENSCSEG00000007882	Cynoglossus_semilaevis
ENSCGRP00015012081	ENSCGRG00015009289	Cricetulus_griseus_CriGri-PICR
ENSSBOP00000002577	ENSSBOG00000013254	Saimiri_boliviensis_boliviensis
ENSAMEP00000017803	ENSAMEG00000016838	Ailuropoda_melanoleuca
ENSHGLP00100018029	ENSHGLG00100013292	Heterocephalus_glaber_HetGla_1.0
ENSGALP00000050943	ENSGALG00000007525	Gallus_gallus
ENSLACP00000019854	ENSLACG00000017455	Latimeria_chalumnae
ENSTRUP00000019900	ENSTRUG00000007995	Takifugu_rubripes
ENSDCDP00000036298	ENSDCDG00000024142	Denticeps_clupeoides
ENSPMEP00000020524	ENSPMEG00000023745	Poecilia_mexicana
ENSAPLP00000022033	ENSAPLG00000002075	Anas_platyrhynchos_platyrhynchos
MGP_CAROLIEiJ_P0048092	MGP_CAROLIEiJ_G0022675	Mus_caroli_strain_CAROLI_EIJ
ENSLSDP00000005448	ENSLSDG00000004253	Lonchura_striata_domestica
ENSMFAP00000016874	ENSMFAG00000031558	Macaca_fascicularis
ENSMODP00000033394	ENSMODG00000007601	Monodelphis_domestica
ENSGAFP00000030909	ENSGAFG00000020836	Gambusia_affinis
ENSHCOP00000016702	ENSHCOG00000020489	Hippocampus_comes
ENSCABP00000029986	ENSCABG00000021979	Chelonoidis_abingdonii
ENSLOCP00000008445	ENSLOCG00000006979	Lepisosteus_oculatus
ENSUAMP00000002298	ENSUAMG00000002116	Ursus_americanus
ENSPREP00000017581	ENSPREG00000011883	Poecilia_reticulata
ENSGAGP00000021279	ENSGAGG00000015618	Gopherus_agassizii
ENSSMAP00000021641	ENSSMAG00000013251	Scophthalmus_maximus
ENSGAGP00000021273	ENSGAGG00000015615	Gopherus_agassizii
ENSCCAP00000003672	ENSCCAG00000018638	Cebus_capucinus_imitator
ENSJJAP00000002169	ENSJJAG00000003541	Jaculus_jaculus
ENSCATP00000027414	ENSCATG00000037082	Cercocebus_atys
ENSSCAP00000011312	ENSSCAG00000008510	Serinus_canaria
ENSIPUP00000023831	ENSIPUG00000016095	Ictalurus_punctatus
ENSTGUP00000007122	ENSTGUG00000006913	Taeniopygia_guttata
ENSTBEP00000001917	ENSTBEG00000002190	Tupaia_belangeri
ENSFALP00000011930	ENSFALG00000011422	Ficedula_albicollis
ENSNLEP00000047341	ENSNLEG00000003380	Nomascus_leucogenys
ENSMUGP00000017413	ENSMUGG00000014831	Meriones_unguiculatus
ENSP00000378295	ENSG00000149503	Homo_sapiens
ENSSDAP00000007692	ENSSDAG00000006951	Spermophilus_dauricus
ENSSDUP00000026959	ENSSDUG00000019539	Seriola_dumerili
ENSDNVP00000002706	ENSDNVG00000001940	Dromaius_novaehollandiae
ENSNSUP00000012496	ENSNSUG00000009361	Notechis_scutatus
ENSSSCP00000013896	ENSSSCG00000013066	Sus_scrofa_strain_reference
ENSACAP00000017299	ENSACAG00000027890	Anolis_carolinensis
ENSCGRP00001019660	ENSCGRG00001019028	Cricetulus_griseus_CHOK1GS_HDv1
ENSEASP00005013004	ENSEASG00005009084	Equus_asinus_asinus
ENSRBIP00000033861	ENSRBIG00000040656	Rhinopithecus_bieti
ENSCPRP00005012867	ENSCPRG00005009135	Crocodylus_porosus
ENSBMUP00000000871	ENSBMUG00000000731	Bos_mutus
ENSOANP00000033089	ENSOANG00000032225	Ornithorhynchus_anatinus
ENSMZEP00005001621	ENSMZEG00005001338	Maylandia_zebra
ENSPANP00000029348	ENSPANG00000016661	Papio_anubis
ENSRNOP00000071544	ENSRNOG00000032929	Rattus_norvegicus
ENSPMGP00000000627	ENSPMGG00000000563	Periophthalmus_magnuspinnatus
ENSAPOP00000014648	ENSAPOG00000017598	Acanthochromis_polyacanthus
ENSMMUP00000072578	ENSMMUG00000004420	Macaca_mulatta
ENSAPLP00000002069	ENSAPLG00000002566	Anas_platyrhynchos_platyrhynchos
ENSMLUP00000006735	ENSMLUG00000007350	Myotis_lucifugus
ENSGALP00000012175	ENSGALG00000007537	Gallus_gallus	ENSGALT00000012189
ENSPNYP00000020717	ENSPNYG00000015650	Pundamilia_nyererei
ENSEBUP00000018633	ENSEBUG00000011627	Eptatretus_burgeri
ENSACAP00000017287	ENSACAG00000017552	Anolis_carolinensis
ENSDNVP00000002664	ENSDNVG00000001911	Dromaius_novaehollandiae
ENSCPBP00000025090	ENSCPBG00000017839	Chrysemys_picta_bellii
ENSCJPP00005021922	ENSCJPG00005017505	Coturnix_japonica	ENSCJPT00005030036
ENSXCOP00000026489	ENSXCOG00000019777	Xiphophorus_couchianus
ENSVPAP00000000226	ENSVPAG00000000246	Vicugna_pacos
ENSELUP00000041821	ENSELUG00000022851	Esox_lucius
ENSPEMP00000005892	ENSPEMG00000008252	Peromyscus_maniculatus_bairdii
ENSSCAP00000011332	ENSSCAG00000008519	Serinus_canaria
ENSCANP00000039835	ENSCANG00000043590	Colobus_angolensis_palliatus
ENSPPRP00000012753	ENSPPRG00000006209	Panthera_pardus
ENSCPUP00000022434	ENSCPUG00000015229	Calidris_pugnax
ENSCHAP00000037894	ENSCHAG00000017732	Clupea_harengus
ENSTTRP00000011159	ENSTTRG00000011765	Tursiops_truncatus
ENSCHOP00000001928	ENSCHOG00000002179	Choloepus_hoffmanni
ENSAOWP00000013226	ENSAOWG00000009018	Apteryx_owenii
ENSLAFP00000021701	ENSLAFG00000027028	Loxodonta_africana
ENSMPUP00000013909	ENSMPUG00000014015	Mustela_putorius_furo
ENSUPAP00010006090	ENSUPAG00010004917	Urocitellus_parryii
ENSPCIP00000023523	ENSPCIG00000017818	Phascolarctos_cinereus
ENSSLDP00000029220	ENSSLDG00000022566	Seriola_lalandi_dorsalis
MGP_PahariEiJ_P0021089	MGP_PahariEiJ_G0014169	Mus_pahari_strain_PAHARI_EIJ
ENSMICP00000005352	ENSMICG00000005864	Microcebus_murinus
ENSECAP00000037107	ENSECAG00000009621	Equus_caballus
ENSTGUP00000007143	ENSTGUG00000006928	Taeniopygia_guttata
ENSTNIP00000019174	ENSTNIG00000016083	Tetraodon_nigroviridis
ENSSMRP00000017240	ENSSMRG00000013434	Salvator_merianae
ENSMGAP00000010214	ENSMGAG00000009861	Meleagris_gallopavo
ENSMGAP00000010199	ENSMGAG00000009844	Meleagris_gallopavo
ENSBIXP00000027912	ENSBIXG00000008904	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSAHAP00000026859	ENSAHAG00000018717	Apteryx_haastii
ENSZALP00000004910	ENSZALG00000004614	Zonotrichia_albicollis
ENSOGAP00000011629	ENSOGAG00000012974	Otolemur_garnettii
ENSZALP00000004912	ENSZALG00000004615	Zonotrichia_albicollis
ENSGACP00000007398	ENSGACG00000005590	Gasterosteus_aculeatus
ENSBSLP00000000783	ENSBSLG00000000628	Betta_splendens
ENSCAFP00020016166	ENSCAFG00020012970	Canis_lupus_dingo
ENSFHEP00000003702	ENSFHEG00000004580	Fundulus_heteroclitus
ENSCCEP00000018589	ENSCCEG00000017021	Cyanistes_caeruleus
ENSCCEP00000018588	ENSCCEG00000017020	Cyanistes_caeruleus
ENSSPAP00000019208	ENSSPAG00000014495	Stegastes_partitus
ENSLCOP00000003848	ENSLCOG00000002902	Lepidothrix_coronata
ENSANAP00000035101	ENSANAG00000035094	Aotus_nancymaae
ENSNPEP00000002527	ENSNPEG00000001939	Nothoprocta_perdicaria
ENSAMXP00005056309	ENSAMXG00005025010	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSBBBP00000010877	ENSBBBG00000018936	Bison_bison_bison
ENSCPRP00005012892	ENSCPRG00005009151	Crocodylus_porosus
ENSOARP00000015765	ENSOARG00000014693	Ovis_aries
ENSODEP00000006511	ENSODEG00000004863	Octodon_degus
