ENSLACP00000019147	ENSLACG00000016845	Latimeria_chalumnae
ENSXETP00000002361	ENSXETG00000005820	Xenopus_tropicalis
ENSCHAP00000045192	ENSCHAG00000021003	Clupea_harengus
ENSDCDP00000032656	ENSDCDG00000022380	Denticeps_clupeoides
ENSEEEP00000013600	ENSEEEG00000006797	Electrophorus_electricus
ENSIPUP00000017449	ENSIPUG00000011844	Ictalurus_punctatus
ENSAMXP00000052311	ENSAMXG00000042394	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005057385	ENSAMXG00005025343	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000029391	ENSPNAG00000015449	Pygocentrus_nattereri
ENSDARP00000044985	ENSDARG00000030547	Danio_rerio
ENSHHUP00000053105	ENSHHUG00000031905	Hucho_hucho
ENSHHUP00000059159	ENSHHUG00000035166	Hucho_hucho
ENSELUP00000015442	ENSELUG00000015397	Esox_lucius
ENSPKIP00000008727	ENSPKIG00000024099	Paramormyrops_kingsleyae
ENSSFOP00015020667	ENSSFOG00015013292	Scleropages_formosus
ENSLOCP00000008942	ENSLOCG00000007372	Lepisosteus_oculatus
ENSMAMP00000005980	ENSMAMG00000004070	Mastacembelus_armatus
ENSKMAP00000008247	ENSKMAG00000006193	Kryptolebias_marmoratus
ENSGWIP00000043323	ENSGWIG00000021670	Gouania_willdenowi
ENSTRUP00000040007	ENSTRUG00000021648	Takifugu_rubripes
ENSTNIP00000018153	ENSTNIG00000015099	Tetraodon_nigroviridis
ENSMMOP00000006515	ENSMMOG00000005095	Mola_mola
ENSPMGP00000029076	ENSPMGG00000023407	Periophthalmus_magnuspinnatus
ENSMZEP00005000200	ENSMZEG00005000231	Maylandia_zebra
ENSACLP00000004911	ENSACLG00000003282	Astatotilapia_calliptera
ENSPNYP00000028729	ENSPNYG00000021635	Pundamilia_nyererei
ENSHBUP00000021191	ENSHBUG00000023506	Haplochromis_burtoni
ENSONIP00000015036	ENSONIG00000011943	Oreochromis_niloticus
ENSORLP00015022463	ENSORLG00015001855	Oryzias_latipes_ASM223469v1
ENSORLP00020008702	ENSORLG00020009598	Oryzias_latipes_ASM223471v1
ENSORLP00000031423	ENSORLG00000023113	Oryzias_latipes_ASM223467v1
ENSOMEP00000017525	ENSOMEG00000019214	Oryzias_melastigma
ENSATEP00000030648	ENSATEG00000021168	Anabas_testudineus
ENSSPAP00000002794	ENSSPAG00000002144	Stegastes_partitus
ENSNBRP00000018817	ENSNBRG00000014457	Neolamprologus_brichardi
ENSBSLP00000000587	ENSBSLG00000000494	Betta_splendens
ENSLCRP00005019703	ENSLCRG00005008060	Larimichthys_crocea
ENSAPEP00000030865	ENSAPEG00000021925	Amphiprion_percula
ENSAOCP00000005265	ENSAOCG00000008749	Amphiprion_ocellaris
ENSAPOP00000004693	ENSAPOG00000006342	Acanthochromis_polyacanthus
ENSPRNP00000047329	ENSPRNG00000022765	Parambassis_ranga
ENSACIP00000000610	ENSACIG00000000550	Amphilophus_citrinellus
ENSCGOP00000035647	ENSCGOG00000016494	Cottoperca_gobio
ENSSDUP00000015453	ENSSDUG00000011263	Seriola_dumerili
ENSSLDP00000006864	ENSSLDG00000005460	Seriola_lalandi_dorsalis
ENSCSEP00000001869	ENSCSEG00000001268	Cynoglossus_semilaevis
ENSLCAP00010039268	ENSLCAG00010018360	Lates_calcarifer
ENSPFOP00000012324	ENSPFOG00000012338	Poecilia_formosa
ENSPMEP00000026654	ENSPMEG00000010477	Poecilia_mexicana
ENSPLAP00000027660	ENSPLAG00000016449	Poecilia_latipinna
ENSPREP00000032728	ENSPREG00000022195	Poecilia_reticulata
ENSXCOP00000008556	ENSXCOG00000006539	Xiphophorus_couchianus
ENSXMAP00000010666	ENSXMAG00000010632	Xiphophorus_maculatus
ENSGAFP00000008617	ENSGAFG00000005850	Gambusia_affinis
ENSFHEP00000034912	ENSFHEG00000022905	Fundulus_heteroclitus
ENSCVAP00000022462	ENSCVAG00000005170	Cyprinodon_variegatus
ENSSMAP00000001704	ENSSMAG00000001076	Scophthalmus_maximus
ENSLBEP00000017431	ENSLBEG00000013432	Labrus_bergylta
ENSGACP00000011315	ENSGACG00000008549	Gasterosteus_aculeatus
ENSMALP00000025765	ENSMALG00000017922	Monopterus_albus
ENSGMOP00000008866	ENSGMOG00000008287	Gadus_morhua
ENSHHUP00000011684	ENSHHUG00000007128	Hucho_hucho
ENSHHUP00000077916	ENSHHUG00000045493	Hucho_hucho
ENSELUP00000009961	ENSELUG00000010473	Esox_lucius
ENSCHAP00000053137	ENSCHAG00000024197	Clupea_harengus
ENSDCDP00000018212	ENSDCDG00000014759	Denticeps_clupeoides
ENSAMXP00000019618	ENSAMXG00000019017	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005048206	ENSAMXG00005022043	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000019058	ENSPNAG00000025583	Pygocentrus_nattereri
ENSEEEP00000016147	ENSEEEG00000007999	Electrophorus_electricus
ENSIPUP00000009043	ENSIPUG00000006152	Ictalurus_punctatus
ENSDARP00000022232	ENSDARG00000004218	Danio_rerio
ENSCSEP00000032667	ENSCSEG00000020969	Cynoglossus_semilaevis
ENSSMAP00000000835	ENSSMAG00000000522	Scophthalmus_maximus
ENSGACP00000003958	ENSGACG00000003002	Gasterosteus_aculeatus
ENSKMAP00000016233	ENSKMAG00000012113	Kryptolebias_marmoratus
ENSMMOP00000016255	ENSMMOG00000012409	Mola_mola
ENSTRUP00000001006	ENSTRUG00000022790	Takifugu_rubripes
ENSCGOP00000018742	ENSCGOG00000008988	Cottoperca_gobio
ENSLBEP00000025417	ENSLBEG00000019408	Labrus_bergylta
ENSLCRP00005016476	ENSLCRG00005006866	Larimichthys_crocea
ENSMALP00000032464	ENSMALG00000022361	Monopterus_albus
ENSMAMP00000035960	ENSMAMG00000024143	Mastacembelus_armatus
ENSATEP00000024166	ENSATEG00000016775	Anabas_testudineus
ENSBSLP00000024026	ENSBSLG00000012233	Betta_splendens
ENSSDUP00000031269	ENSSDUG00000022482	Seriola_dumerili
ENSSLDP00000013181	ENSSLDG00000010491	Seriola_lalandi_dorsalis
ENSLCAP00010041682	ENSLCAG00010019525	Lates_calcarifer
ENSPRNP00000021640	ENSPRNG00000011170	Parambassis_ranga
ENSGWIP00000016046	ENSGWIG00000009027	Gouania_willdenowi
ENSPNYP00000028018	ENSPNYG00000021081	Pundamilia_nyererei
ENSHBUP00000028235	ENSHBUG00000011893	Haplochromis_burtoni
ENSMZEP00005034875	ENSMZEG00005026083	Maylandia_zebra
ENSNBRP00000030105	ENSNBRG00000022919	Neolamprologus_brichardi
ENSONIP00000021503	ENSONIG00000017051	Oreochromis_niloticus
ENSACIP00000000023	ENSACIG00000000021	Amphilophus_citrinellus
ENSAPEP00000023728	ENSAPEG00000016875	Amphiprion_percula
ENSAOCP00000012848	ENSAOCG00000017378	Amphiprion_ocellaris
ENSAPOP00000002383	ENSAPOG00000003783	Acanthochromis_polyacanthus
ENSSPAP00000021797	ENSSPAG00000016463	Stegastes_partitus
ENSPFOP00000012132	ENSPFOG00000012051	Poecilia_formosa
ENSPMEP00000013147	ENSPMEG00000015410	Poecilia_mexicana
ENSPLAP00000021365	ENSPLAG00000005073	Poecilia_latipinna
ENSPREP00000010408	ENSPREG00000007098	Poecilia_reticulata
ENSXMAP00000017445	ENSXMAG00000017409	Xiphophorus_maculatus
ENSXCOP00000015370	ENSXCOG00000011641	Xiphophorus_couchianus
ENSGAFP00000018324	ENSGAFG00000012402	Gambusia_affinis
ENSFHEP00000015867	ENSFHEG00000017531	Fundulus_heteroclitus
