ENSCABP00000019173	ENSCABG00000014065	Chelonoidis_abingdonii
ENSGAGP00000015262	ENSGAGG00000011513	Gopherus_agassizii
ENSCPBP00000005744	ENSCPBG00000004562	Chrysemys_picta_bellii
ENSCCEP00000007095	ENSCCEG00000007505	Cyanistes_caeruleus
ENSPMJP00000024417	ENSPMJG00000017961	Parus_major
ENSFALP00000006766	ENSFALG00000006489	Ficedula_albicollis
ENSFALP00000006823	ENSFALG00000006513	Ficedula_albicollis
ENSLSDP00000008661	ENSLSDG00000006451	Lonchura_striata_domestica
ENSTGUP00000005297	ENSTGUG00000005141	Taeniopygia_guttata
ENSJHYP00000003170	ENSJHYG00000002600	Junco_hyemalis
ENSLCOP00000010457	ENSLCOG00000007530	Lepidothrix_coronata
ENSMVIP00005027375	ENSMVIG00005019086	Manacus_vitellinus
ENSCPUP00000011467	ENSCPUG00000008119	Calidris_pugnax
ENSCPGP00000012394	ENSCPGG00000008781	Calidris_pygmaea
ENSCPUP00000011441	ENSCPUG00000008116	Calidris_pugnax
ENSAPLP00000005646	ENSAPLG00000006063	Anas_platyrhynchos_platyrhynchos
ENSABRP00000002380	ENSABRG00000002313	Anser_brachyrhynchus
ENSMUNP00000005520	ENSMUNG00000004532	Melopsittacus_undulatus
ENSCJPP00005018706	ENSCJPG00005015216	Coturnix_japonica
ENSMGAP00000018954	ENSMGAG00000016873	Meleagris_gallopavo
ENSGALP00000065357	ENSGALG00000047639	Gallus_gallus
ENSNMEP00000023208	ENSNMEG00000019812	Numida_meleagris
ENSAOWP00000004753	ENSAOWG00000003308	Apteryx_owenii
ENSNPEP00000010059	ENSNPEG00000007543	Nothoprocta_perdicaria	ENSNPET00000010308
ENSZALP00000005095	ENSZALG00000004748	Zonotrichia_albicollis	ENSZALT00000007590
ENSPVIP00000027108	ENSPVIG00000020172	Pogona_vitticeps
ENSACAP00000009254	ENSACAG00000009283	Anolis_carolinensis
ENSSPUP00000013462	ENSSPUG00000010318	Sphenodon_punctatus
ENSPVAP00000007611	ENSPVAG00000008060	Pteropus_vampyrus
ENSMLUP00000010298	ENSMLUG00000011280	Myotis_lucifugus
ENSCHIP00000000997	ENSCHIG00000001217	Capra_hircus
ENSOARP00000001978	ENSOARG00000001888	Ovis_aries
ENSBIXP00000028940	ENSBIXG00000010375	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005028796	ENSBIXG00005008580	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000062566	ENSBTAG00000023146	Bos_taurus
ENSBMUP00000005449	ENSBMUG00000004278	Bos_mutus
ENSBBBP00000015443	ENSBBBG00000000355	Bison_bison_bison
ENSTTRP00000013655	ENSTTRG00000014393	Tursiops_truncatus
ENSSSCP00000016754	ENSSSCG00000015807	Sus_scrofa_strain_reference
ENSVPAP00000008269	ENSVPAG00000008888	Vicugna_pacos
ENSAMEP00000016244	ENSAMEG00000015403	Ailuropoda_melanoleuca
ENSUMAP00000012577	ENSUMAG00000009313	Ursus_maritimus
ENSNVIP00000013097	ENSNVIG00000010293	Neovison_vison
ENSMPUP00000009415	ENSMPUG00000009491	Mustela_putorius_furo
ENSCAFP00000008748	ENSCAFG00000005841	Canis_lupus_familiaris
ENSVVUP00000027556	ENSVVUG00000020244	Vulpes_vulpes
ENSPPRP00000014913	ENSPPRG00000007693	Panthera_pardus
ENSPTIP00000022558	ENSPTIG00000019285	Panthera_tigris_altaica
ENSFCAP00000025319	ENSFCAG00000030919	Felis_catus
ENSECAP00000026504	ENSECAG00000023769	Equus_caballus
ENSFDAP00000007834	ENSFDAG00000006489	Fukomys_damarensis
ENSCLAP00000001675	ENSCLAG00000001252	Chinchilla_lanigera
ENSCLAP00000001336	ENSCLAG00000001018	Chinchilla_lanigera
ENSFDAP00000017588	ENSFDAG00000006130	Fukomys_damarensis
ENSUPAP00010030427	ENSUPAG00010023895	Urocitellus_parryii
ENSCGRP00001001379	ENSCGRG00001001096	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000009948	ENSCGRG00000007279	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015031559	ENSCGRG00015023776	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000018973	ENSMAUG00000017370	Mesocricetus_auratus
ENSMOCP00000025183	ENSMOCG00000021373	Microtus_ochrogaster
ENSPEMP00000021016	ENSPEMG00000018779	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0087482	MGP_SPRETEiJ_G0032036	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000024332	ENSMSIG00000020547	Mus_spicilegus
ENSMUSP00000113627	ENSMUSG00000037437	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0084009	MGP_CAROLIEiJ_G0030917	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0046914	MGP_PahariEiJ_G0021387	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000031189	ENSRNOG00000025728	Rattus_norvegicus
ENSNGAP00000015408	ENSNGAG00000016421	Nannospalax_galili
ENSJJAP00000000353	ENSJJAG00000000295	Jaculus_jaculus
ENSDORP00000001432	ENSDORG00000001533	Dipodomys_ordii
ENSOCUP00000017607	ENSOCUG00000026361	Oryctolagus_cuniculus
ENSOCUP00000038178	ENSOCUG00000013399	Oryctolagus_cuniculus
ENSOCUP00000045483	ENSOCUG00000024455	Oryctolagus_cuniculus
ENSOPRP00000001964	ENSOPRG00000002106	Ochotona_princeps
ENSTBEP00000008496	ENSTBEG00000009786	Tupaia_belangeri
