ENSCGRP00001010178	ENSCGRG00001012138	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015026398	ENSCGRG00015020006	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000004125	ENSCGRG00000003034	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000025589	ENSMAUG00000022077	Mesocricetus_auratus
ENSPEMP00000034711	ENSPEMG00000027627	Peromyscus_maniculatus_bairdii
ENSMOCP00000002189	ENSMOCG00000001721	Microtus_ochrogaster
ENSMSIP00000021467	ENSMSIG00000018221	Mus_spicilegus
ENSMUSP00000133515	ENSMUSG00000009293	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0023586	MGP_CAROLIEiJ_G0015486	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0024734	MGP_SPRETEiJ_G0016299	Mus_spretus_strain_SPRET/EiJ
MGP_PahariEiJ_P0086744	MGP_PahariEiJ_G0030899	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000001636	ENSRNOG00000001222	Rattus_norvegicus
ENSMUGP00000001671	ENSMUGG00000001571	Meriones_unguiculatus
ENSNGAP00000002881	ENSNGAG00000002914	Nannospalax_galili
ENSJJAP00000005259	ENSJJAG00000010215	Jaculus_jaculus
ENSSTOP00000007124	ENSSTOG00000007968	Ictidomys_tridecemlineatus
ENSSDAP00000025614	ENSSDAG00000023268	Spermophilus_dauricus
ENSUPAP00010030511	ENSUPAG00010023952	Urocitellus_parryii
ENSMMMP00000014217	ENSMMMG00000012664	Marmota_marmota_marmota
ENSCCNP00000011447	ENSCCNG00000011855	Castor_canadensis
ENSHGLP00100014503	ENSHGLG00100010729	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000012947	ENSHGLG00000009258	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000011280	ENSFDAG00000018865	Fukomys_damarensis
ENSCPOP00000022305	ENSCPOG00000035970	Cavia_porcellus
ENSCAPP00000006126	ENSCAPG00000008318	Cavia_aperea
ENSCLAP00000009628	ENSCLAG00000006675	Chinchilla_lanigera
ENSTBEP00000014946	ENSTBEG00000017199	Tupaia_belangeri
ENSDORP00000024885	ENSDORG00000025137	Dipodomys_ordii
ENSOGAP00000010794	ENSOGAG00000012063	Otolemur_garnettii
ENSSSCP00000024078	ENSSSCG00000027165	Sus_scrofa_strain_reference
ENSEEUP00000005657	ENSEEUG00000006241	Erinaceus_europaeus
ENSMEUP00000011693	ENSMEUG00000012826	Notamacropus_eugenii
ENSPCIP00000043211	ENSPCIG00000032087	Phascolarctos_cinereus
ENSSHAP00000002846	ENSSHAG00000002520	Sarcophilus_harrisii
ENSMODP00000044737	ENSMODG00000003406	Monodelphis_domestica
ENSOANP00000024518	ENSOANG00000015568	Ornithorhynchus_anatinus
ENSCCAP00000035127	ENSCCAG00000035488	Cebus_capucinus_imitator
ENSANAP00000035068	ENSANAG00000035084	Aotus_nancymaae
ENSCATP00000003195	ENSCATG00000012779	Cercocebus_atys
ENSMLEP00000015928	ENSMLEG00000032164	Mandrillus_leucophaeus
ENSPANP00000026484	ENSPANG00000032157	Papio_anubis
ENSTGEP00000023211	ENSTGEG00000018797	Theropithecus_gelada
ENSMFAP00000042846	ENSMFAG00000040170	Macaca_fascicularis
ENSMNEP00000008101	ENSMNEG00000028583	Macaca_nemestrina
ENSRBIP00000006365	ENSRBIG00000026486	Rhinopithecus_bieti
ENSRROP00000010160	ENSRROG00000029493	Rhinopithecus_roxellana
ENSCANP00000008383	ENSCANG00000027491	Colobus_angolensis_palliatus
ENSPTEP00000009426	ENSPTEG00000010685	Piliocolobus_tephrosceles
ENSPPAP00000016313	ENSPPAG00000031274	Pan_paniscus
ENSPTRP00000024077	ENSPTRG00000013990	Pan_troglodytes
ENSGGOP00000040729	ENSGGOG00000038153	Gorilla_gorilla
ENSP00000338348	ENSG00000184787	Homo_sapiens
ENSPPYP00000012839	ENSPPYG00000011502	Pongo_abelii
ENSNLEP00000023492	ENSNLEG00000002335	Nomascus_leucogenys
ENSTSYP00000014343	ENSTSYG00000036218	Carlito_syrichta
ENSECAP00000013012	ENSECAG00000015327	Equus_caballus
ENSEASP00005021498	ENSEASG00005014720	Equus_asinus_asinus
ENSMLUP00000010256	ENSMLUG00000011264	Myotis_lucifugus
ENSPTIP00000024291	ENSPTIG00000020440	Panthera_tigris_altaica
ENSPCAP00000011066	ENSPCAG00000011889	Procavia_capensis
ENSLAFP00000001643	ENSLAFG00000001963	Loxodonta_africana
ENSCHOP00000005760	ENSCHOG00000006512	Choloepus_hoffmanni
ENSDNOP00000029410	ENSDNOG00000039206	Dasypus_novemcinctus
ENSCSAP00000003788	ENSCSAG00000007533	Chlorocebus_sabaeus
ENSPCOP00000027234	ENSPCOG00000026083	Propithecus_coquereli
ENSPSMP00000005269	ENSPSMG00000004073	Prolemur_simus
ENSMICP00000047907	ENSMICG00000013001	Microcebus_murinus
ENSBBBP00000006930	ENSBBBG00000002782	Bison_bison_bison
