ENSAPEP00000011120	ENSAPEG00000007839	Amphiprion_percula
ENSAOCP00000031305	ENSAOCG00000023002	Amphiprion_ocellaris
ENSAPOP00000017256	ENSAPOG00000020431	Acanthochromis_polyacanthus
ENSSPAP00000028820	ENSSPAG00000021616	Stegastes_partitus
ENSMZEP00005009519	ENSMZEG00005007121	Maylandia_zebra
ENSPNYP00000020777	ENSPNYG00000015660	Pundamilia_nyererei
ENSACLP00000011759	ENSACLG00000008005	Astatotilapia_calliptera
ENSHBUP00000032123	ENSHBUG00000018225	Haplochromis_burtoni
ENSONIP00000013973	ENSONIG00000011100	Oreochromis_niloticus
ENSNBRP00000027639	ENSNBRG00000021051	Neolamprologus_brichardi
ENSACIP00000008701	ENSACIG00000006687	Amphilophus_citrinellus
ENSFHEP00000022776	ENSFHEG00000003368	Fundulus_heteroclitus
ENSCVAP00000016913	ENSCVAG00000020202	Cyprinodon_variegatus
ENSPFOP00000005366	ENSPFOG00000005402	Poecilia_formosa
ENSPMEP00000033785	ENSPMEG00000022592	Poecilia_mexicana
ENSPLAP00000017457	ENSPLAG00000021949	Poecilia_latipinna
ENSPREP00000015772	ENSPREG00000010638	Poecilia_reticulata
ENSXMAP00000009499	ENSXMAG00000009477	Xiphophorus_maculatus
ENSXCOP00000013467	ENSXCOG00000010199	Xiphophorus_couchianus
ENSGAFP00000019593	ENSGAFG00000013239	Gambusia_affinis
ENSKMAP00000008226	ENSKMAG00000006191	Kryptolebias_marmoratus
ENSCGOP00000047554	ENSCGOG00000021312	Cottoperca_gobio
ENSGACP00000014203	ENSGACG00000010730	Gasterosteus_aculeatus
ENSSDUP00000017362	ENSSDUG00000012518	Seriola_dumerili
ENSSLDP00000003301	ENSSLDG00000002333	Seriola_lalandi_dorsalis
ENSLCAP00010058235	ENSLCAG00010027151	Lates_calcarifer
ENSSMAP00000012444	ENSSMAG00000007604	Scophthalmus_maximus
ENSMAMP00000026266	ENSMAMG00000017534	Mastacembelus_armatus
ENSMALP00000017244	ENSMALG00000012004	Monopterus_albus
ENSBSLP00000031074	ENSBSLG00000015338	Betta_splendens
ENSATEP00000031577	ENSATEG00000021750	Anabas_testudineus
ENSLCRP00005016409	ENSLCRG00005006844	Larimichthys_crocea
ENSLBEP00000029424	ENSLBEG00000022255	Labrus_bergylta
ENSORLP00020007715	ENSORLG00020008594	Oryzias_latipes_ASM223471v1
ENSORLP00015012501	ENSORLG00015013365	Oryzias_latipes_ASM223469v1
ENSORLP00000044976	ENSORLG00000005115	Oryzias_latipes_ASM223467v1
ENSOMEP00000004196	ENSOMEG00000005146	Oryzias_melastigma
ENSCSEP00000024005	ENSCSEG00000015306	Cynoglossus_semilaevis
ENSTNIP00000019282	ENSTNIG00000016190	Tetraodon_nigroviridis
ENSTRUP00000056875	ENSTRUG00000006768	Takifugu_rubripes
ENSMMOP00000018847	ENSMMOG00000014262	Mola_mola
ENSHCOP00000000726	ENSHCOG00000001641	Hippocampus_comes
ENSPMGP00000014066	ENSPMGG00000011371	Periophthalmus_magnuspinnatus
ENSPRNP00000002762	ENSPRNG00000001670	Parambassis_ranga
ENSGWIP00000015980	ENSGWIG00000008989	Gouania_willdenowi
ENSGMOP00000006105	ENSGMOG00000005741	Gadus_morhua
ENSHHUP00000026435	ENSHHUG00000016738	Hucho_hucho
ENSHHUP00000069456	ENSHHUG00000040916	Hucho_hucho
ENSELUP00000021578	ENSELUG00000020696	Esox_lucius
ENSAMXP00000051917	ENSAMXG00000009829	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005000479	ENSAMXG00005000273	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000002422	ENSPNAG00000008813	Pygocentrus_nattereri
ENSIPUP00000019470	ENSIPUG00000012973	Ictalurus_punctatus
ENSDARP00000149114	ENSDARG00000087717	Danio_rerio
