ENSTNIP00000017913	ENSTNIG00000014871	Tetraodon_nigroviridis
ENSTRUP00000056367	ENSTRUG00000025729	Takifugu_rubripes
ENSMMOP00000027761	ENSMMOG00000020988	Mola_mola
ENSLCRP00005051400	ENSLCRG00005019364	Larimichthys_crocea
ENSXCOP00000025795	ENSXCOG00000019283	Xiphophorus_couchianus
ENSXMAP00000033257	ENSXMAG00000027126	Xiphophorus_maculatus
ENSGAFP00000031002	ENSGAFG00000020907	Gambusia_affinis
ENSPMEP00000012168	ENSPMEG00000014319	Poecilia_mexicana
ENSPLAP00000000671	ENSPLAG00000001537	Poecilia_latipinna
ENSCVAP00000002840	ENSCVAG00000004000	Cyprinodon_variegatus
ENSFHEP00000002987	ENSFHEG00000003812	Fundulus_heteroclitus
ENSKMAP00000027548	ENSKMAG00000020438	Kryptolebias_marmoratus
ENSGWIP00000055042	ENSGWIG00000026236	Gouania_willdenowi
ENSPNYP00000008053	ENSPNYG00000006178	Pundamilia_nyererei
ENSACLP00000012655	ENSACLG00000008640	Astatotilapia_calliptera
ENSMZEP00005032667	ENSMZEG00005024336	Maylandia_zebra
ENSHBUP00000025676	ENSHBUG00000007804	Haplochromis_burtoni
ENSONIP00000026547	ENSONIG00000021245	Oreochromis_niloticus
ENSNBRP00000017913	ENSNBRG00000013816	Neolamprologus_brichardi
ENSACIP00000011628	ENSACIG00000009091	Amphilophus_citrinellus
ENSAOCP00000023877	ENSAOCG00000000640	Amphiprion_ocellaris
ENSAPEP00000032980	ENSAPEG00000023433	Amphiprion_percula
ENSSDUP00000012510	ENSSDUG00000009102	Seriola_dumerili
ENSSMAP00000021719	ENSSMAG00000013298	Scophthalmus_maximus
ENSLCAP00010049445	ENSLCAG00010022996	Lates_calcarifer
ENSMALP00000025830	ENSMALG00000017947	Monopterus_albus
ENSPMGP00000006444	ENSPMGG00000005412	Periophthalmus_magnuspinnatus
ENSBSLP00000035766	ENSBSLG00000017504	Betta_splendens
ENSPNAP00000017950	ENSPNAG00000024271	Pygocentrus_nattereri
ENSAMXP00005038752	ENSAMXG00005018361	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00005019171	ENSAMXG00005009967	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000034533	ENSAMXG00000031926	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000019432	ENSPNAG00000005893	Pygocentrus_nattereri
ENSDARP00000046820	ENSDARG00000029710	Danio_rerio
ENSDCDP00000021283	ENSDCDG00000016720	Denticeps_clupeoides
ENSPNYP00000018749	ENSPNYG00000014158	Pundamilia_nyererei
ENSMZEP00005026962	ENSMZEG00005020113	Maylandia_zebra
ENSACLP00000026149	ENSACLG00000017781	Astatotilapia_calliptera
ENSNBRP00000017924	ENSNBRG00000013820	Neolamprologus_brichardi
ENSXMAP00000002743	ENSXMAG00000002735	Xiphophorus_maculatus
ENSTRUP00000005509	ENSTRUG00000002387	Takifugu_rubripes
ENSSDUP00000013955	ENSSDUG00000010156	Seriola_dumerili
ENSSLDP00000010014	ENSSLDG00000007986	Seriola_lalandi_dorsalis
ENSPKIP00000016245	ENSPKIG00000002651	Paramormyrops_kingsleyae
ENSLOCP00000003341	ENSLOCG00000002842	Lepisosteus_oculatus
ENSECAP00000001954	ENSECAG00000002893	Equus_caballus
ENSEASP00005029466	ENSEASG00005020019	Equus_asinus_asinus
ENSSARP00000006535	ENSSARG00000007224	Sorex_araneus
ENSNVIP00000013598	ENSNVIG00000010703	Neovison_vison
ENSMPUP00000019751	ENSMPUG00000019881	Mustela_putorius_furo
ENSCAFP00000033220	ENSCAFG00000024388	Canis_lupus_familiaris
ENSCAFP00020028786	ENSCAFG00020022537	Canis_lupus_dingo
ENSVVUP00000015761	ENSVVUG00000011556	Vulpes_vulpes
ENSUAMP00000021329	ENSUAMG00000016745	Ursus_americanus
ENSUMAP00000025740	ENSUMAG00000018751	Ursus_maritimus
ENSAMEP00000019859	ENSAMEG00000018805	Ailuropoda_melanoleuca
ENSPPRP00000028631	ENSPPRG00000020824	Panthera_pardus
ENSPTIP00000000347	ENSPTIG00000000900	Panthera_tigris_altaica
ENSFCAP00000002864	ENSFCAG00000003109	Felis_catus
ENSBMUP00000010806	ENSBMUG00000008336	Bos_mutus
ENSBIXP00000002887	ENSBIXG00000009321	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000003854	ENSBBBG00000008110	Bison_bison_bison
ENSOARP00000004203	ENSOARG00000003939	Ovis_aries
ENSMLUP00000004211	ENSMLUG00000004630	Myotis_lucifugus
ENSPSMP00000034314	ENSPSMG00000023649	Prolemur_simus
ENSOGAP00000013645	ENSOGAG00000015239	Otolemur_garnettii
ENSSBOP00000001722	ENSSBOG00000009092	Saimiri_boliviensis_boliviensis
ENSCCAP00000028227	ENSCCAG00000032058	Cebus_capucinus_imitator
ENSCJAP00000058654	ENSCJAG00000015552	Callithrix_jacchus
ENSANAP00000003930	ENSANAG00000020024	Aotus_nancymaae
ENSPPAP00000018879	ENSPPAG00000032601	Pan_paniscus
ENSPTRP00000049501	ENSPTRG00000029358	Pan_troglodytes
ENSGGOP00000027978	ENSGGOG00000028005	Gorilla_gorilla
ENSP00000372959	ENSG00000206422	Homo_sapiens
ENSPPYP00000010119	ENSPPYG00000009018	Pongo_abelii
ENSNLEP00000022439	ENSNLEG00000018547	Nomascus_leucogenys
ENSCANP00000028997	ENSCANG00000038036	Colobus_angolensis_palliatus
ENSPTEP00000032965	ENSPTEG00000031564	Piliocolobus_tephrosceles
ENSRBIP00000011794	ENSRBIG00000029811	Rhinopithecus_bieti
ENSRROP00000004422	ENSRROG00000018176	Rhinopithecus_roxellana
ENSCATP00000004478	ENSCATG00000015672	Cercocebus_atys
ENSTGEP00000014918	ENSTGEG00000012121	Theropithecus_gelada
ENSPANP00000010175	ENSPANG00000003355	Papio_anubis
ENSCSAP00000018110	ENSCSAG00000018577	Chlorocebus_sabaeus
ENSMLEP00000002122	ENSMLEG00000008486	Mandrillus_leucophaeus
ENSMFAP00000013114	ENSMFAG00000028007	Macaca_fascicularis
ENSMNEP00000002865	ENSMNEG00000013340	Macaca_nemestrina
ENSMMUP00000046276	ENSMMUG00000049108	Macaca_mulatta
ENSMSIP00000001926	ENSMSIG00000001839	Mus_spicilegus
MGP_SPRETEiJ_P0047410	MGP_SPRETEiJ_G0022753	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000094893	ENSMUSG00000073375	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0045510	MGP_CAROLIEiJ_G0021842	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0045014	MGP_PahariEiJ_G0020829	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000049562	ENSRNOG00000030389	Rattus_norvegicus
ENSMUGP00000014878	ENSMUGG00000012852	Meriones_unguiculatus
ENSCGRP00001008030	ENSCGRG00001010374	Cricetulus_griseus_CHOK1GS_HDv1
