ENSPKIP00000001000	ENSPKIG00000019453	Paramormyrops_kingsleyae
ENSSFOP00015025877	ENSSFOG00015016622	Scleropages_formosus
ENSAMXP00005056928	ENSAMXG00005025218	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000030301	ENSAMXG00000042949	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000031433	ENSPNAG00000005553	Pygocentrus_nattereri
ENSCHAP00000061884	ENSCHAG00000027552	Clupea_harengus
ENSTRUP00000036300	ENSTRUG00000014194	Takifugu_rubripes
ENSTNIP00000001532	ENSTNIG00000000670	Tetraodon_nigroviridis
ENSMMOP00000011291	ENSMMOG00000008696	Mola_mola
ENSLBEP00000003636	ENSLBEG00000002826	Labrus_bergylta
ENSGACP00000008535	ENSGACG00000006433	Gasterosteus_aculeatus
ENSSDUP00000020297	ENSSDUG00000014686	Seriola_dumerili
ENSSLDP00000011737	ENSSLDG00000009335	Seriola_lalandi_dorsalis
ENSLCAP00010043121	ENSLCAG00010020116	Lates_calcarifer
ENSHHUP00000004952	ENSHHUG00000003037	Hucho_hucho
ENSAMXP00000042440	ENSAMXG00000030993	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005031789	ENSAMXG00005015547	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000037851	ENSPNAG00000029927	Pygocentrus_nattereri
ENSEEEP00000034065	ENSEEEG00000016225	Electrophorus_electricus
ENSIPUP00000015788	ENSIPUG00000010698	Ictalurus_punctatus
ENSDARP00000145153	ENSDARG00000019081	Danio_rerio
ENSCHAP00000007979	ENSCHAG00000004887	Clupea_harengus
ENSDCDP00000035929	ENSDCDG00000023999	Denticeps_clupeoides
ENSCGOP00000032491	ENSCGOG00000015063	Cottoperca_gobio
ENSGACP00000021913	ENSGACG00000016594	Gasterosteus_aculeatus
ENSLBEP00000013743	ENSLBEG00000010638	Labrus_bergylta
ENSLBEP00000014009	ENSLBEG00000010689	Labrus_bergylta
ENSTNIP00000004355	ENSTNIG00000001960	Tetraodon_nigroviridis
ENSTNIP00000009112	ENSTNIG00000006351	Tetraodon_nigroviridis
ENSTRUP00000032829	ENSTRUG00000012946	Takifugu_rubripes
ENSMMOP00000021741	ENSMMOG00000016515	Mola_mola
ENSLCRP00005062434	ENSLCRG00005022931	Larimichthys_crocea
ENSMZEP00005009622	ENSMZEG00005007274	Maylandia_zebra
ENSACLP00000023510	ENSACLG00000015960	Astatotilapia_calliptera
