ENSCCAP00000023262	ENSCCAG00000029414	Cebus_capucinus_imitator	ENSCCAT00000040763
ENSSBOP00000019873	ENSSBOG00000026546	Saimiri_boliviensis_boliviensis
ENSCJAP00000034711	ENSCJAG00000018687	Callithrix_jacchus
ENSANAP00000016284	ENSANAG00000026017	Aotus_nancymaae
ENSPTRP00000030462	ENSPTRG00000024278	Pan_troglodytes
ENSPPAP00000020357	ENSPPAG00000033406	Pan_paniscus
ENSP00000366542	ENSG00000197279	Homo_sapiens
ENSGGOP00000013815	ENSGGOG00000014164	Gorilla_gorilla
ENSPPYP00000023983	ENSPPYG00000016363	Pongo_abelii
ENSNLEP00000005400	ENSNLEG00000004453	Nomascus_leucogenys
ENSMNEP00000010101	ENSMNEG00000029473	Macaca_nemestrina
ENSMFAP00000027712	ENSMFAG00000045252	Macaca_fascicularis
ENSMMUP00000027414	ENSMMUG00000020831	Macaca_mulatta
ENSPANP00000013851	ENSPANG00000020542	Papio_anubis
ENSCATP00000009209	ENSCATG00000028094	Cercocebus_atys
ENSTGEP00000003807	ENSTGEG00000003215	Theropithecus_gelada
ENSMLEP00000014072	ENSMLEG00000031193	Mandrillus_leucophaeus
ENSCSAP00000004219	ENSCSAG00000007960	Chlorocebus_sabaeus
ENSPTEP00000039828	ENSPTEG00000036787	Piliocolobus_tephrosceles
ENSCANP00000007048	ENSCANG00000023340	Colobus_angolensis_palliatus
ENSRBIP00000040496	ENSRBIG00000043664	Rhinopithecus_bieti
ENSRROP00000026271	ENSRROG00000036879	Rhinopithecus_roxellana
ENSTSYP00000000616	ENSTSYG00000000669	Carlito_syrichta
ENSOGAP00000021948	ENSOGAG00000034581	Otolemur_garnettii
ENSOGAP00000019203	ENSOGAG00000033916	Otolemur_garnettii
ENSMICP00000031273	ENSMICG00000035192	Microcebus_murinus
ENSTBEP00000004094	ENSTBEG00000004768	Tupaia_belangeri
ENSCHIP00000006349	ENSCHIG00000010224	Capra_hircus
ENSOARP00000019380	ENSOARG00000018053	Ovis_aries
ENSBMUP00000009031	ENSBMUG00000007042	Bos_mutus
ENSBTAP00000003993	ENSBTAG00000031874	Bos_taurus
ENSBIXP00000031146	ENSBIXG00000007672	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005032258	ENSBIXG00005001402	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000005584	ENSBBBG00000014268	Bison_bison_bison
ENSTTRP00000012776	ENSTTRG00000013466	Tursiops_truncatus
ENSVPAP00000011271	ENSVPAG00000012120	Vicugna_pacos
ENSSSCP00000055282	ENSSSCG00000001197	Sus_scrofa_strain_reference
ENSEASP00005017462	ENSEASG00005012080	Equus_asinus_asinus
ENSECAP00000004805	ENSECAG00000006698	Equus_caballus
ENSCAFP00000050042	ENSCAFG00000046612	Canis_lupus_familiaris
ENSVVUP00000027519	ENSVVUG00000020214	Vulpes_vulpes
ENSVVUP00000027525	ENSVVUG00000020219	Vulpes_vulpes
ENSUAMP00000027652	ENSUAMG00000021377	Ursus_americanus
ENSUMAP00000026668	ENSUMAG00000019413	Ursus_maritimus
ENSAMEP00000003364	ENSAMEG00000003201	Ailuropoda_melanoleuca
ENSNVIP00000017942	ENSNVIG00000014033	Neovison_vison
ENSMPUP00000001303	ENSMPUG00000001314	Mustela_putorius_furo
ENSPTIP00000023174	ENSPTIG00000019746	Panthera_tigris_altaica
ENSPPRP00000022582	ENSPPRG00000013043	Panthera_pardus
ENSFCAP00000003334	ENSFCAG00000003619	Felis_catus
ENSSARP00000006003	ENSSARG00000006638	Sorex_araneus
ENSPVAP00000013798	ENSPVAG00000014638	Pteropus_vampyrus
ENSETEP00000013860	ENSETEG00000017081	Echinops_telfairi
