ENSEASP00005030246	ENSEASG00005020598	Equus_asinus_asinus
ENSECAP00000027701	ENSECAG00000029669	Equus_caballus
ENSEEUP00000005209	ENSEEUG00000005751	Erinaceus_europaeus
ENSMLUP00000018063	ENSMLUG00000022408	Myotis_lucifugus
ENSPVAP00000016703	ENSPVAG00000017708	Pteropus_vampyrus
ENSUMAP00000002241	ENSUMAG00000002018	Ursus_maritimus
ENSUAMP00000019333	ENSUAMG00000015272	Ursus_americanus
ENSAMEP00000020721	ENSAMEG00000019669	Ailuropoda_melanoleuca
ENSMPUP00000013763	ENSMPUG00000013866	Mustela_putorius_furo
ENSNVIP00000009309	ENSNVIG00000007361	Neovison_vison
ENSCAFP00000029906	ENSCAFG00000023496	Canis_lupus_familiaris
ENSCAFP00020019757	ENSCAFG00020015695	Canis_lupus_dingo
ENSVVUP00000014014	ENSVVUG00000010253	Vulpes_vulpes
ENSPTIP00000003648	ENSPTIG00000006352	Panthera_tigris_altaica
ENSPPRP00000027265	ENSPPRG00000018596	Panthera_pardus
ENSFCAP00000028046	ENSFCAG00000026253	Felis_catus
ENSBIXP00005012771	ENSBIXG00005016939	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000016067	ENSBIXG00000020358	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000051553	ENSBTAG00000039343	Bos_taurus
ENSBMUP00000030794	ENSBMUG00000023012	Bos_mutus
ENSBBBP00000006061	ENSBBBG00000014658	Bison_bison_bison
ENSCHIP00000030596	ENSCHIG00000025301	Capra_hircus
ENSSSCP00000059356	ENSSSCG00000031426	Sus_scrofa_strain_reference
ENSTTRP00000009095	ENSTTRG00000009610	Tursiops_truncatus
ENSVPAP00000002705	ENSVPAG00000002927	Vicugna_pacos
ENSCCAP00000011788	ENSCCAG00000023663	Cebus_capucinus_imitator
ENSCJAP00000040548	ENSCJAG00000021856	Callithrix_jacchus
ENSSBOP00000004417	ENSSBOG00000018797	Saimiri_boliviensis_boliviensis
ENSANAP00000040309	ENSANAG00000037523	Aotus_nancymaae
ENSPPAP00000006460	ENSPPAG00000025124	Pan_paniscus
ENSPTRP00000084666	ENSPTRG00000044442	Pan_troglodytes
ENSGGOP00000049723	ENSGGOG00000039553	Gorilla_gorilla
ENSP00000362551	ENSG00000177125	Homo_sapiens
ENSPPYP00000021982	ENSPPYG00000019616	Pongo_abelii
ENSNLEP00000022858	ENSNLEG00000018999	Nomascus_leucogenys
ENSPTEP00000018194	ENSPTEG00000019661	Piliocolobus_tephrosceles
ENSCANP00000003126	ENSCANG00000011413	Colobus_angolensis_palliatus
ENSRBIP00000026038	ENSRBIG00000036908	Rhinopithecus_bieti
ENSRROP00000003633	ENSRROG00000014404	Rhinopithecus_roxellana
ENSPANP00000019389	ENSPANG00000024819	Papio_anubis
ENSCATP00000005914	ENSCATG00000018802	Cercocebus_atys
ENSMMUP00000078616	ENSMMUG00000050175	Macaca_mulatta
ENSMFAP00000011238	ENSMFAG00000014178	Macaca_fascicularis
ENSMNEP00000005610	ENSMNEG00000025553	Macaca_nemestrina
ENSMLEP00000005515	ENSMLEG00000024249	Mandrillus_leucophaeus
ENSCSAP00000009844	ENSCSAG00000013684	Chlorocebus_sabaeus
ENSTSYP00000005649	ENSTSYG00000006174	Carlito_syrichta
ENSPSMP00000035059	ENSPSMG00000024167	Prolemur_simus
ENSPCOP00000003344	ENSPCOG00000010113	Propithecus_coquereli
ENSMICP00000038680	ENSMICG00000036866	Microcebus_murinus
ENSOGAP00000015453	ENSOGAG00000007730	Otolemur_garnettii
ENSLAFP00000006829	ENSLAFG00000008146	Loxodonta_africana	ENSLAFT00000008143
ENSETEP00000000739	ENSETEG00000000911	Echinops_telfairi	ENSETET00000000910
ENSCCNP00000031941	ENSCCNG00000030355	Castor_canadensis
ENSDORP00000024850	ENSDORG00000010756	Dipodomys_ordii
ENSJJAP00000008106	ENSJJAG00000012362	Jaculus_jaculus
ENSJJAP00000023061	ENSJJAG00000022934	Jaculus_jaculus
ENSCLAP00000017659	ENSCLAG00000012109	Chinchilla_lanigera
ENSODEP00000025804	ENSODEG00000019126	Octodon_degus
ENSCAPP00000003756	ENSCAPG00000006458	Cavia_aperea
ENSCPOP00000018154	ENSCPOG00000003791	Cavia_porcellus
ENSHGLP00100002889	ENSHGLG00100002227	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000017733	ENSHGLG00000012681	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000012609	ENSFDAG00000019929	Fukomys_damarensis
ENSOCUP00000033514	ENSOCUG00000025964	Oryctolagus_cuniculus
ENSOPRP00000010435	ENSOPRG00000011445	Ochotona_princeps
ENSPEMP00000030485	ENSPEMG00000029809	Peromyscus_maniculatus_bairdii
ENSMOCP00000024745	ENSMOCG00000021068	Microtus_ochrogaster
ENSCGRP00015005244	ENSCGRG00015004129	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001010730	ENSCGRG00001012551	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000025697	ENSCGRG00000018690	Cricetulus_griseus_CriGri_1.0
ENSCGRP00000025579	ENSCGRG00000018560	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000017311	ENSMAUG00000016224	Mesocricetus_auratus
ENSMUSP00000108783	ENSMUSG00000068966	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000015078	ENSMSIG00000012956	Mus_spicilegus
MGP_SPRETEiJ_P0053322	MGP_SPRETEiJ_G0024377	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0051278	MGP_CAROLIEiJ_G0023460	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0062292	MGP_PahariEiJ_G0024917	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000043668	ENSRNOG00000032700	Rattus_norvegicus
ENSMUGP00000021895	ENSMUGG00000018400	Meriones_unguiculatus
ENSNGAP00000015696	ENSNGAG00000016663	Nannospalax_galili
ENSSTOP00000008153	ENSSTOG00000009103	Ictidomys_tridecemlineatus
ENSMMMP00000020029	ENSMMMG00000017703	Marmota_marmota_marmota
ENSSDAP00000000930	ENSSDAG00000000944	Spermophilus_dauricus
ENSTBEP00000001333	ENSTBEG00000001561	Tupaia_belangeri
ENSDNOP00000027153	ENSDNOG00000018524	Dasypus_novemcinctus
ENSSARP00000004470	ENSSARG00000004958	Sorex_araneus
ENSVURP00010012668	ENSVURG00010009775	Vombatus_ursinus
ENSVURP00010023143	ENSVURG00010017733	Vombatus_ursinus
ENSPCIP00000019231	ENSPCIG00000014682	Phascolarctos_cinereus
ENSSHAP00000014523	ENSSHAG00000012399	Sarcophilus_harrisii
ENSOANP00000023223	ENSOANG00000014741	Ornithorhynchus_anatinus
ENSCPGP00000018503	ENSCPGG00000012934	Calidris_pygmaea
ENSCPUP00000023756	ENSCPUG00000016126	Calidris_pugnax
ENSMUNP00000012196	ENSMUNG00000009595	Melopsittacus_undulatus
ENSTGUP00000007641	ENSTGUG00000007424	Taeniopygia_guttata
ENSLSDP00000005547	ENSLSDG00000004313	Lonchura_striata_domestica
ENSSCAP00000022196	ENSSCAG00000015957	Serinus_canaria
ENSZALP00000013155	ENSZALG00000010974	Zonotrichia_albicollis
ENSJHYP00000003400	ENSJHYG00000002807	Junco_hyemalis
ENSCCEP00000010707	ENSCCEG00000010585	Cyanistes_caeruleus
ENSPMJP00000026193	ENSPMJG00000019149	Parus_major
ENSFALP00000014963	ENSFALG00000014348	Ficedula_albicollis
ENSLCOP00000006913	ENSLCOG00000005109	Lepidothrix_coronata
ENSMVIP00005013286	ENSMVIG00005009617	Manacus_vitellinus
ENSMGAP00000016726	ENSMGAG00000015784	Meleagris_gallopavo
ENSGALP00000037868	ENSGALG00000023407	Gallus_gallus
ENSCJPP00005013107	ENSCJPG00005011085	Coturnix_japonica
ENSNMEP00000014802	ENSNMEG00000013220	Numida_meleagris
ENSABRP00000026884	ENSABRG00000022436	Anser_brachyrhynchus
ENSAPLP00000030960	ENSAPLG00000021289	Anas_platyrhynchos_platyrhynchos
ENSAHAP00000006440	ENSAHAG00000004858	Apteryx_haastii
ENSAOWP00000002618	ENSAOWG00000001885	Apteryx_owenii
ENSARWP00000008052	ENSARWG00000005633	Apteryx_rowi
ENSDNVP00000000971	ENSDNVG00000000727	Dromaius_novaehollandiae
ENSNPEP00000017307	ENSNPEG00000012892	Nothoprocta_perdicaria
ENSCPRP00005015558	ENSCPRG00005010908	Crocodylus_porosus
ENSCABP00000016496	ENSCABG00000012251	Chelonoidis_abingdonii
ENSGAGP00000011122	ENSGAGG00000008604	Gopherus_agassizii
ENSPSIP00000001808	ENSPSIG00000001815	Pelodiscus_sinensis
ENSPVIP00000028711	ENSPVIG00000021231	Pogona_vitticeps
ENSACAP00000004594	ENSACAG00000004729	Anolis_carolinensis
ENSNSUP00000026382	ENSNSUG00000018952	Notechis_scutatus
ENSSPUP00000000061	ENSSPUG00000000090	Sphenodon_punctatus
ENSXETP00000049826	ENSXETG00000019922	Xenopus_tropicalis
ENSLACP00000023439	ENSLACG00000015537	Latimeria_chalumnae
ENSHHUP00000052839	ENSHHUG00000031751	Hucho_hucho
ENSHHUP00000072736	ENSHHUG00000042695	Hucho_hucho
ENSELUP00000039281	ENSELUG00000019383	Esox_lucius
ENSTNIP00000003827	ENSTNIG00000001393	Tetraodon_nigroviridis
ENSTRUP00000047870	ENSTRUG00000019918	Takifugu_rubripes
ENSCSEP00000028647	ENSCSEG00000018335	Cynoglossus_semilaevis
ENSGACP00000015896	ENSGACG00000012017	Gasterosteus_aculeatus
ENSHCOP00000011940	ENSHCOG00000014875	Hippocampus_comes
ENSSDUP00000031174	ENSSDUG00000022419	Seriola_dumerili
ENSSLDP00000016796	ENSSLDG00000013299	Seriola_lalandi_dorsalis
ENSLCAP00010052552	ENSLCAG00010024470	Lates_calcarifer
ENSMAMP00000008531	ENSMAMG00000005782	Mastacembelus_armatus
ENSAOCP00000029715	ENSAOCG00000020150	Amphiprion_ocellaris
ENSAPEP00000014075	ENSAPEG00000010054	Amphiprion_percula
ENSAPOP00000015099	ENSAPOG00000018032	Acanthochromis_polyacanthus
ENSSPAP00000016945	ENSSPAG00000012799	Stegastes_partitus
ENSPRNP00000003670	ENSPRNG00000002185	Parambassis_ranga
ENSACLP00000020256	ENSACLG00000013766	Astatotilapia_calliptera
ENSPNYP00000025407	ENSPNYG00000019166	Pundamilia_nyererei
ENSMZEP00005012212	ENSMZEG00005009168	Maylandia_zebra
ENSHBUP00000013149	ENSHBUG00000014899	Haplochromis_burtoni
ENSNBRP00000010428	ENSNBRG00000008125	Neolamprologus_brichardi
ENSONIP00000013723	ENSONIG00000010906	Oreochromis_niloticus
ENSACIP00000027125	ENSACIG00000021012	Amphilophus_citrinellus
ENSLCRP00005011951	ENSLCRG00005005324	Larimichthys_crocea
ENSLBEP00000031241	ENSLBEG00000023595	Labrus_bergylta
ENSCGOP00000007660	ENSCGOG00000003918	Cottoperca_gobio
ENSPFOP00000020470	ENSPFOG00000020344	Poecilia_formosa
ENSPMEP00000009659	ENSPMEG00000011524	Poecilia_mexicana
