ENSXETP00000019524	ENSXETG00000001257	Xenopus_tropicalis
ENSLACP00000013582	ENSLACG00000011957	Latimeria_chalumnae
ENSNSUP00000018139	ENSNSUG00000013283	Notechis_scutatus
ENSPVIP00000018881	ENSPVIG00000014444	Pogona_vitticeps
ENSACAP00000015637	ENSACAG00000015912	Anolis_carolinensis
ENSSMRP00000020441	ENSSMRG00000015908	Salvator_merianae
ENSSPUP00000005355	ENSSPUG00000004125	Sphenodon_punctatus
ENSCPGP00000015946	ENSCPGG00000011226	Calidris_pygmaea
ENSCPUP00000011796	ENSCPUG00000008357	Calidris_pugnax
ENSABRP00000005307	ENSABRG00000004956	Anser_brachyrhynchus
ENSAPLP00000007613	ENSAPLG00000007984	Anas_platyrhynchos_platyrhynchos
ENSMVIP00005025311	ENSMVIG00005017709	Manacus_vitellinus
ENSLCOP00000012841	ENSLCOG00000009272	Lepidothrix_coronata
ENSPMJP00000011297	ENSPMJG00000008776	Parus_major
ENSCCEP00000007974	ENSCCEG00000008312	Cyanistes_caeruleus
ENSLSDP00000020786	ENSLSDG00000014725	Lonchura_striata_domestica
ENSTGUP00000011473	ENSTGUG00000011133	Taeniopygia_guttata
ENSJHYP00000010405	ENSJHYG00000008170	Junco_hyemalis
ENSZALP00000001305	ENSZALG00000001544	Zonotrichia_albicollis
ENSSCAP00000003533	ENSSCAG00000002954	Serinus_canaria
ENSFALP00000014070	ENSFALG00000013482	Ficedula_albicollis
ENSGALP00000054531	ENSGALG00000030607	Gallus_gallus
ENSCJPP00005023031	ENSCJPG00005018298	Coturnix_japonica
ENSNMEP00000013077	ENSNMEG00000011985	Numida_meleagris
ENSMUNP00000002080	ENSMUNG00000001860	Melopsittacus_undulatus
ENSARWP00000010586	ENSARWG00000007352	Apteryx_rowi	ENSARWT00000012060
ENSNPEP00000021236	ENSNPEG00000015756	Nothoprocta_perdicaria	ENSNPET00000021783
ENSAHAP00000011995	ENSAHAG00000008676	Apteryx_haastii
ENSDNVP00000010054	ENSDNVG00000007101	Dromaius_novaehollandiae
ENSAOWP00000017313	ENSAOWG00000011845	Apteryx_owenii
ENSARWP00000010587	ENSARWG00000007353	Apteryx_rowi
ENSNPEP00000021237	ENSNPEG00000015757	Nothoprocta_perdicaria
ENSMGAP00000013656	ENSMGAG00000012954	Meleagris_gallopavo
ENSCPRP00005026408	ENSCPRG00005018308	Crocodylus_porosus
ENSCABP00000004711	ENSCABG00000003551	Chelonoidis_abingdonii
ENSGAGP00000009081	ENSGAGG00000007171	Gopherus_agassizii
ENSCABP00000017916	ENSCABG00000013314	Chelonoidis_abingdonii
ENSCPBP00000033166	ENSCPBG00000023228	Chrysemys_picta_bellii
ENSPSIP00000019341	ENSPSIG00000017178	Pelodiscus_sinensis
ENSSPUP00000005347	ENSSPUG00000004117	Sphenodon_punctatus
ENSNSUP00000018142	ENSNSUG00000013284	Notechis_scutatus
ENSSDAP00000024256	ENSSDAG00000022102	Spermophilus_dauricus
ENSFDAP00000000217	ENSFDAG00000010526	Fukomys_damarensis
ENSOCUP00000004449	ENSOCUG00000005141	Oryctolagus_cuniculus
ENSUMAP00000025664	ENSUMAG00000018712	Ursus_maritimus
ENSPLAP00000022529	ENSPLAG00000007130	Poecilia_latipinna
ENSCVAP00000013003	ENSCVAG00000015469	Cyprinodon_variegatus
ENSMZEP00005010240	ENSMZEG00005007729	Maylandia_zebra
ENSVURP00010007027	ENSVURG00010005449	Vombatus_ursinus
ENSPCIP00000046938	ENSPCIG00000025306	Phascolarctos_cinereus
ENSMEUP00000010051	ENSMEUG00000011029	Notamacropus_eugenii
ENSMODP00000002577	ENSMODG00000002117	Monodelphis_domestica
ENSSHAP00000007365	ENSSHAG00000006402	Sarcophilus_harrisii
ENSTSYP00000021330	ENSTSYG00000037410	Carlito_syrichta
ENSDNOP00000032864	ENSDNOG00000046711	Dasypus_novemcinctus
ENSCLAP00000010682	ENSCLAG00000007370	Chinchilla_lanigera
ENSODEP00000015656	ENSODEG00000011551	Octodon_degus
ENSCPOP00000030333	ENSCPOG00000035070	Cavia_porcellus
ENSCAPP00000000753	ENSCAPG00000000943	Cavia_aperea
ENSHGLP00100027874	ENSHGLG00100021045	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000007874	ENSHGLG00000005705	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000012922	ENSFDAG00000020228	Fukomys_damarensis
ENSUPAP00010002824	ENSUPAG00010002352	Urocitellus_parryii
ENSSTOP00000007559	ENSSTOG00000008439	Ictidomys_tridecemlineatus
ENSMMMP00000019563	ENSMMMG00000017290	Marmota_marmota_marmota
ENSJJAP00000020420	ENSJJAG00000021100	Jaculus_jaculus
ENSOPRP00000008270	ENSOPRG00000009043	Ochotona_princeps
ENSNVIP00000013753	ENSNVIG00000010843	Neovison_vison
ENSMPUP00000011989	ENSMPUG00000012081	Mustela_putorius_furo
ENSAMEP00000007099	ENSAMEG00000006746	Ailuropoda_melanoleuca
ENSCAFP00020010926	ENSCAFG00020008839	Canis_lupus_dingo
ENSCAFP00000040518	ENSCAFG00000032127	Canis_lupus_familiaris
ENSPPRP00000010110	ENSPPRG00000004363	Panthera_pardus
ENSPPRP00000009857	ENSPPRG00000004168	Panthera_pardus
ENSPTIP00000024701	ENSPTIG00000020723	Panthera_tigris_altaica
ENSFCAP00000029252	ENSFCAG00000034483	Felis_catus
ENSUAMP00000004184	ENSUAMG00000003841	Ursus_americanus
ENSVVUP00000028381	ENSVVUG00000020761	Vulpes_vulpes
ENSEEUP00000002436	ENSEEUG00000002675	Erinaceus_europaeus
ENSECAP00000040190	ENSECAG00000019904	Equus_caballus
ENSMLUP00000001806	ENSMLUG00000001989	Myotis_lucifugus
ENSEASP00005030630	ENSEASG00005020853	Equus_asinus_asinus
ENSPVAP00000012519	ENSPVAG00000013274	Pteropus_vampyrus
ENSTTRP00000009086	ENSTTRG00000009590	Tursiops_truncatus
ENSTTRP00000005064	ENSTTRG00000005379	Tursiops_truncatus
ENSVPAP00000010216	ENSVPAG00000010972	Vicugna_pacos
