ENSLOCP00000011185	ENSLOCG00000009171	Lepisosteus_oculatus	ENSLOCT00000011201
ENSECRP00000017165	ENSECRG00000011441	Erpetoichthys_calabaricus	ENSECRT00000017494
ENSAHAP00000019495	ENSAHAG00000013776	Apteryx_haastii
ENSARWP00000004941	ENSARWG00000003560	Apteryx_rowi
ENSAOWP00000024013	ENSAOWG00000016214	Apteryx_owenii
ENSDNVP00000021445	ENSDNVG00000015012	Dromaius_novaehollandiae
ENSNPEP00000014893	ENSNPEG00000011126	Nothoprocta_perdicaria
ENSAPLP00000015020	ENSAPLG00000015161	Anas_platyrhynchos_platyrhynchos
ENSABRP00000016861	ENSABRG00000014768	Anser_brachyrhynchus
ENSMGAP00000002056	ENSMGAG00000002468	Meleagris_gallopavo
ENSCJPP00005027554	ENSCJPG00005021356	Coturnix_japonica
ENSGALP00000006916	ENSGALG00000004341	Gallus_gallus
ENSNMEP00000019156	ENSNMEG00000016561	Numida_meleagris
ENSCPRP00005008570	ENSCPRG00005006125	Crocodylus_porosus
ENSGAGP00000001002	ENSGAGG00000000813	Gopherus_agassizii
ENSCABP00000008255	ENSCABG00000006230	Chelonoidis_abingdonii
ENSCPBP00000020195	ENSCPBG00000014526	Chrysemys_picta_bellii
ENSPSIP00000013194	ENSPSIG00000011807	Pelodiscus_sinensis
ENSSPUP00000013794	ENSSPUG00000010631	Sphenodon_punctatus	ENSSPUT00000014711
ENSSPUP00000013817	ENSSPUG00000010651	Sphenodon_punctatus	ENSSPUT00000014734
ENSACAP00000012546	ENSACAG00000012790	Anolis_carolinensis	ENSACAT00000012802
ENSPVIP00000002600	ENSPVIG00000002205	Pogona_vitticeps	ENSPVIT00000003348
ENSNSUP00000019421	ENSNSUG00000014202	Notechis_scutatus
ENSSMRP00000012406	ENSSMRG00000009693	Salvator_merianae
ENSVPAP00000004562	ENSVPAG00000004925	Vicugna_pacos
ENSSSCP00000054664	ENSSSCG00000035617	Sus_scrofa_strain_reference
ENSTTRP00000014119	ENSTTRG00000014896	Tursiops_truncatus
ENSBIXP00005001152	ENSBIXG00005029434	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000009251	ENSBIXG00000014953	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000055781	ENSBTAG00000046172	Bos_taurus
ENSBMUP00000015922	ENSBMUG00000012120	Bos_mutus
ENSBBBP00000005460	ENSBBBG00000014162	Bison_bison_bison
ENSCHIP00000013604	ENSCHIG00000014957	Capra_hircus
ENSOARP00000016886	ENSOARG00000015730	Ovis_aries
ENSPVAP00000012506	ENSPVAG00000013263	Pteropus_vampyrus
ENSDORP00000016845	ENSDORG00000007324	Dipodomys_ordii
ENSCCNP00000000910	ENSCCNG00000001006	Castor_canadensis
MGP_SPRETEiJ_P0021667	MGP_SPRETEiJ_G0015551	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000044945	ENSMUSG00000033488	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000018517	ENSMSIG00000015721	Mus_spicilegus
MGP_CAROLIEiJ_P0020604	MGP_CAROLIEiJ_G0014744	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0075882	MGP_PahariEiJ_G0027980	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000006924	ENSRNOG00000005177	Rattus_norvegicus
ENSMUGP00000015746	ENSMUGG00000013447	Meriones_unguiculatus
ENSCGRP00001008042	ENSCGRG00001010380	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015017690	ENSCGRG00015013585	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000012703	ENSCGRG00000009229	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000011920	ENSMAUG00000012366	Mesocricetus_auratus
ENSPEMP00000010538	ENSPEMG00000011485	Peromyscus_maniculatus_bairdii
ENSMOCP00000022314	ENSMOCG00000019394	Microtus_ochrogaster
ENSNGAP00000017653	ENSNGAG00000018014	Nannospalax_galili
ENSJJAP00000021709	ENSJJAG00000021983	Jaculus_jaculus
ENSODEP00000002767	ENSODEG00000002133	Octodon_degus
ENSCPOP00000032401	ENSCPOG00000031626	Cavia_porcellus
ENSCLAP00000018357	ENSCLAG00000012581	Chinchilla_lanigera
ENSHGLP00000021784	ENSHGLG00000015561	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100019326	ENSHGLG00100014250	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000017660	ENSFDAG00000006200	Fukomys_damarensis
ENSSDAP00000009859	ENSSDAG00000008972	Spermophilus_dauricus
ENSMMMP00000019458	ENSMMMG00000017156	Marmota_marmota_marmota
ENSUPAP00010003314	ENSUPAG00010002654	Urocitellus_parryii
ENSSTOP00000019656	ENSSTOG00000028002	Ictidomys_tridecemlineatus
ENSOPRP00000016253	ENSOPRG00000019073	Ochotona_princeps
ENSOCUP00000038887	ENSOCUG00000023110	Oryctolagus_cuniculus
ENSCJAP00000077038	ENSCJAG00000066036	Callithrix_jacchus
ENSCJAP00000070348	ENSCJAG00000056914	Callithrix_jacchus
ENSANAP00000013973	ENSANAG00000024902	Aotus_nancymaae
ENSPPYP00000000548	ENSPPYG00000000475	Pongo_abelii
ENSTSYP00000023374	ENSTSYG00000027617	Carlito_syrichta
ENSOGAP00000019636	ENSOGAG00000029135	Otolemur_garnettii
ENSPSMP00000008788	ENSPSMG00000006454	Prolemur_simus
ENSUAMP00000033291	ENSUAMG00000025381	Ursus_americanus
ENSUMAP00000028228	ENSUMAG00000020505	Ursus_maritimus
ENSAMEP00000015274	ENSAMEG00000014497	Ailuropoda_melanoleuca
ENSMPUP00000005067	ENSMPUG00000005105	Mustela_putorius_furo
ENSNVIP00000009681	ENSNVIG00000007664	Neovison_vison
ENSCAFP00020021088	ENSCAFG00020016663	Canis_lupus_dingo
ENSCAFP00000020737	ENSCAFG00000014066	Canis_lupus_familiaris
ENSVVUP00000017439	ENSVVUG00000012856	Vulpes_vulpes
ENSPPRP00000024858	ENSPPRG00000015071	Panthera_pardus
