ENSTGEP00000006162	ENSTGEG00000005044	Theropithecus_gelada
ENSEASP00005025921	ENSEASG00005017691	Equus_asinus_asinus
ENSHCOP00000016882	ENSHCOG00000020707	Hippocampus_comes
ENSPPRP00000026573	ENSPPRG00000017403	Panthera_pardus
ENSPPYP00000024400	ENSPPYG00000008028	Pongo_abelii
F22D3.2a.1	WBGene00017699	Caenorhabditis_elegans_strain_N2
ENSSCAP00000011861	ENSSCAG00000008865	Serinus_canaria
ENSPCAP00000002712	ENSPCAG00000002883	Procavia_capensis
ENSZALP00000009892	ENSZALG00000008428	Zonotrichia_albicollis
ENSPTIP00000023227	ENSPTIG00000019767	Panthera_tigris_altaica
ENSORLP00015012421	ENSORLG00015013300	Oryzias_latipes_ASM223469v1
ENSCSAVP00000005557	ENSCSAVG00000003314	Ciona_savignyi
ENSSDAP00000025307	ENSSDAG00000023001	Spermophilus_dauricus
ENSUPAP00010018323	ENSUPAG00010014537	Urocitellus_parryii
ENSARWP00000025659	ENSARWG00000017412	Apteryx_rowi	ENSARWT00000029040
ENSSSCP00000067355	ENSSSCG00000038715	Sus_scrofa_strain_reference
ENSMNEP00000003600	ENSMNEG00000016670	Macaca_nemestrina
ENSCPBP00000029694	ENSCPBG00000020915	Chrysemys_picta_bellii
ENSBTAP00000010532	ENSBTAG00000008010	Bos_taurus
ENSIPUP00000012068	ENSIPUG00000008174	Ictalurus_punctatus
ENSLCRP00005032397	ENSLCRG00005012669	Larimichthys_crocea
ENSSMAP00000021264	ENSSMAG00000013014	Scophthalmus_maximus
ENSMALP00000013401	ENSMALG00000009476	Monopterus_albus
ENSLCAP00010019503	ENSLCAG00010009195	Lates_calcarifer
ENSMLUP00000014418	ENSMLUG00000015821	Myotis_lucifugus
ENSPMEP00000014993	ENSPMEG00000017498	Poecilia_mexicana
ENSPVIP00000011544	ENSPVIG00000008860	Pogona_vitticeps
ENSMPUP00000000016	ENSMPUG00000000016	Mustela_putorius_furo
ENSOANP00000002008	ENSOANG00000001264	Ornithorhynchus_anatinus
ENSMFAP00000036770	ENSMFAG00000037655	Macaca_fascicularis
ENSAMXP00005034708	ENSAMXG00005016439	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSLBEP00000022070	ENSLBEG00000016937	Labrus_bergylta
ENSVVUP00000042549	ENSVVUG00000030221	Vulpes_vulpes
ENSCABP00000029551	ENSCABG00000021686	Chelonoidis_abingdonii
ENSBIXP00005006629	ENSBIXG00005012063	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCCEP00000025587	ENSCCEG00000022564	Cyanistes_caeruleus
ENSOCUP00000015246	ENSOCUG00000017750	Oryctolagus_cuniculus
ENSCHIP00000033860	ENSCHIG00000027232	Capra_hircus
ENSVPAP00000001574	ENSVPAG00000001705	Vicugna_pacos
ENSJHYP00000006244	ENSJHYG00000005043	Junco_hyemalis
ENSKMAP00000007061	ENSKMAG00000005308	Kryptolebias_marmoratus
ENSSARP00000000552	ENSSARG00000000607	Sorex_araneus
ENSLSDP00000009616	ENSLSDG00000007133	Lonchura_striata_domestica
ENSETEP00000007322	ENSETEG00000009021	Echinops_telfairi
ENSNGAP00000011667	ENSNGAG00000013747	Nannospalax_galili
ENSEBUP00000001680	ENSEBUG00000001363	Eptatretus_burgeri
ENSPTRP00000075208	ENSPTRG00000008826	Pan_troglodytes
ENSACIP00000008070	ENSACIG00000006277	Amphilophus_citrinellus
ENSSLDP00000028959	ENSSLDG00000022360	Seriola_lalandi_dorsalis
ENSCAFP00000027277	ENSCAFG00000018469	Canis_lupus_familiaris
ENSLAFP00000012557	ENSLAFG00000015003	Loxodonta_africana
ENSPLAP00000009874	ENSPLAG00000012718	Poecilia_latipinna
ENSXETP00000028031	ENSXETG00000008626	Xenopus_tropicalis
ENSNLEP00000016294	ENSNLEG00000013463	Nomascus_leucogenys
ENSCJAP00000014521	ENSCJAG00000007820	Callithrix_jacchus
ENSOARP00000002142	ENSOARG00000002034	Ovis_aries
ENSPPAP00000042863	ENSPPAG00000043983	Pan_paniscus
ENSPEMP00000001514	ENSPEMG00000001290	Peromyscus_maniculatus_bairdii
ENSCAFP00020026566	ENSCAFG00020020885	Canis_lupus_dingo
YGR057C_mRNA	YGR057C	Saccharomyces_cerevisiae_strain_S288C
ENSORLP00020025516	ENSORLG00020007520	Oryzias_latipes_ASM223471v1
ENSSPUP00000004759	ENSSPUG00000003680	Sphenodon_punctatus
ENSCPOP00000011098	ENSCPOG00000012335	Cavia_porcellus
MGP_CAROLIEiJ_P0026954	MGP_CAROLIEiJ_G0016444	Mus_caroli_strain_CAROLI_EIJ
ENSABRP00000000749	ENSABRG00000000811	Anser_brachyrhynchus
ENSHGLP00000006429	ENSHGLG00000004697	Heterocephalus_glaber_HetGla_female_1.0
ENSTTRP00000007392	ENSTTRG00000007815	Tursiops_truncatus
ENSTRUP00000040831	ENSTRUG00000015970	Takifugu_rubripes
ENSGMOP00000005228	ENSGMOG00000004940	Gadus_morhua
ENSECRP00000033599	ENSECRG00000022750	Erpetoichthys_calabaricus
ENSMSIP00000023888	ENSMSIG00000020231	Mus_spicilegus
ENSTNIP00000010917	ENSTNIG00000008092	Tetraodon_nigroviridis
ENSGWIP00000004427	ENSGWIG00000002329	Gouania_willdenowi
ENSPCOP00000023213	ENSPCOG00000023738	Propithecus_coquereli
ENSAHAP00000020479	ENSAHAG00000014415	Apteryx_haastii	ENSAHAT00000022589
ENSMEUP00000008050	ENSMEUG00000008810	Notamacropus_eugenii
ENSAPOP00000013276	ENSAPOG00000016096	Acanthochromis_polyacanthus
ENSDNOP00000013960	ENSDNOG00000017991	Dasypus_novemcinctus
ENSMZEP00005021908	ENSMZEG00005016417	Maylandia_zebra
MGP_PahariEiJ_P0033715	MGP_PahariEiJ_G0017574	Mus_pahari_strain_PAHARI_EIJ
ENSOMEP00000027951	ENSOMEG00000010731	Oryzias_melastigma
ENSBIXP00000006597	ENSBIXG00000012693	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSSDUP00000012152	ENSSDUG00000008833	Seriola_dumerili
ENSPSMP00000006728	ENSPSMG00000005050	Prolemur_simus
ENSXMAP00000012123	ENSXMAG00000012094	Xiphophorus_maculatus
ENSCGOP00000038233	ENSCGOG00000017474	Cottoperca_gobio
ENSCLAP00000000184	ENSCLAG00000000185	Chinchilla_lanigera
ENSEEUP00000000911	ENSEEUG00000001020	Erinaceus_europaeus
ENSCVAP00000006325	ENSCVAG00000007887	Cyprinodon_variegatus
ENSCSAP00000004735	ENSCSAG00000008481	Chlorocebus_sabaeus
ENSONIP00000016067	ENSONIG00000012763	Oreochromis_niloticus
ENSAMEP00000002381	ENSAMEG00000002257	Ailuropoda_melanoleuca
ENSHHUP00000078662	ENSHHUG00000045888	Hucho_hucho
ENSPREP00000011858	ENSPREG00000008056	Poecilia_reticulata
ENSSHAP00000020714	ENSSHAG00000017567	Sarcophilus_harrisii
ENSODEP00000011171	ENSODEG00000008313	Octodon_degus
ENSPMGP00000014793	ENSPMGG00000012137	Periophthalmus_magnuspinnatus
ENSCPUP00000015197	ENSCPUG00000010590	Calidris_pugnax
ENSHHUP00000008171	ENSHHUG00000005020	Hucho_hucho
ENSCCAP00000030257	ENSCCAG00000033166	Cebus_capucinus_imitator
ENSHGLP00000009838	ENSHGLG00000007059	Heterocephalus_glaber_HetGla_female_1.0
ENSDARP00000084624	ENSDARG00000062385	Danio_rerio
ENSP00000394249	ENSG00000264187	Homo_sapiens
ENSMVIP00005021546	ENSMVIG00005015148	Manacus_vitellinus
ENSJJAP00000010238	ENSJJAG00000013884	Jaculus_jaculus
ENSBMUP00000021837	ENSBMUG00000016466	Bos_mutus
ENSCGRP00001024244	ENSCGRG00001022220	Cricetulus_griseus_CHOK1GS_HDv1
ENSNMEP00000009980	ENSNMEG00000009535	Numida_meleagris
ENSOGAP00000007321	ENSOGAG00000008179	Otolemur_garnettii
ENSTBEP00000003184	ENSTBEG00000003673	Tupaia_belangeri
ENSMLEP00000016513	ENSMLEG00000032447	Mandrillus_leucophaeus
ENSCSEP00000029426	ENSCSEG00000018835	Cynoglossus_semilaevis
ENSANAP00000006046	ENSANAG00000021077	Aotus_nancymaae
ENSBBBP00000007216	ENSBBBG00000007988	Bison_bison_bison
ENSMAMP00000029029	ENSMAMG00000019531	Mastacembelus_armatus
ENSP00000285071	ENSG00000154803	Homo_sapiens
ENSPTEP00000028316	ENSPTEG00000027986	Piliocolobus_tephrosceles
ENSAOWP00000024437	ENSAOWG00000016513	Apteryx_owenii	ENSAOWT00000027677
ENSLCOP00000018058	ENSLCOG00000012769	Lepidothrix_coronata
ENSFCAP00000042489	ENSFCAG00000005695	Felis_catus
ENSPRNP00000054772	ENSPRNG00000025722	Parambassis_ranga
ENSNVIP00000032299	ENSNVIG00000024901	Neovison_vison
ENSMICP00000035556	ENSMICG00000030599	Microcebus_murinus
MGP_SPRETEiJ_P0028323	MGP_SPRETEiJ_G0017279	Mus_spretus_strain_SPRET/EiJ
ENSVURP00010012708	ENSVURG00010009800	Vombatus_ursinus
ENSPSIP00000017058	ENSPSIG00000015189	Pelodiscus_sinensis
ENSMUNP00000010799	ENSMUNG00000008491	Melopsittacus_undulatus
ENSGGOP00000001526	ENSGGOG00000001544	Gorilla_gorilla
ENSMUSP00000099758	ENSMUSG00000032633	Mus_musculus_strain_reference_(CL57BL6)
ENSHGLP00100003780	ENSHGLG00100002877	Heterocephalus_glaber_HetGla_1.0
ENSNBRP00000003903	ENSNBRG00000003087	Neolamprologus_brichardi
ENSDCDP00000019913	ENSDCDG00000015906	Denticeps_clupeoides
ENSNSUP00000024766	ENSNSUG00000017886	Notechis_scutatus
ENSCPRP00005023008	ENSCPRG00005016006	Crocodylus_porosus
ENSAPLP00000003659	ENSAPLG00000004124	Anas_platyrhynchos_platyrhynchos
ENSELUP00000015263	ENSELUG00000015260	Esox_lucius
ENSSPAP00000021875	ENSSPAG00000016530	Stegastes_partitus
ENSCHAP00000010917	ENSCHAG00000005461	Clupea_harengus
ENSGAGP00000014614	ENSGAGG00000011104	Gopherus_agassizii
ENSDORP00000010457	ENSDORG00000011129	Dipodomys_ordii
ENSCANP00000012261	ENSCANG00000029521	Colobus_angolensis_palliatus
ENSSFOP00015001086	ENSSFOG00015000801	Scleropages_formosus
ENSCJPP00005001390	ENSCJPG00005001424	Coturnix_japonica
ENSPNYP00000002487	ENSPNYG00000001945	Pundamilia_nyererei
ENSPANP00000019739	ENSPANG00000023697	Papio_anubis
ENSGAFP00000019637	ENSGAFG00000013269	Gambusia_affinis
ENSOPRP00000007286	ENSOPRG00000007954	Ochotona_princeps
ENSFDAP00000013861	ENSFDAG00000000766	Fukomys_damarensis
ENSFALP00000014385	ENSFALG00000013783	Ficedula_albicollis
ENSMOCP00000002250	ENSMOCG00000001765	Microtus_ochrogaster
ENSACLP00000031835	ENSACLG00000021572	Astatotilapia_calliptera
ENSPFOP00000009941	ENSPFOG00000009852	Poecilia_formosa
ENSPNAP00000012524	ENSPNAG00000018306	Pygocentrus_nattereri
ENSTSYP00000001510	ENSTSYG00000001624	Carlito_syrichta
