ENSGWIP00000031978	ENSGWIG00000016491	Gouania_willdenowi
ENSCSEP00000006029	ENSCSEG00000003884	Cynoglossus_semilaevis
ENSPFOP00000000004	ENSPFOG00000000002	Poecilia_formosa
ENSPLAP00000027916	ENSPLAG00000016881	Poecilia_latipinna
ENSPMEP00000028531	ENSPMEG00000013711	Poecilia_mexicana
ENSPREP00000007962	ENSPREG00000005451	Poecilia_reticulata
ENSXCOP00000017498	ENSXCOG00000013198	Xiphophorus_couchianus
ENSGAFP00000002964	ENSGAFG00000002019	Gambusia_affinis
ENSFHEP00000018864	ENSFHEG00000020756	Fundulus_heteroclitus
ENSCVAP00000029229	ENSCVAG00000016809	Cyprinodon_variegatus
ENSKMAP00000015173	ENSKMAG00000011343	Kryptolebias_marmoratus
ENSORLP00000043863	ENSORLG00000029351	Oryzias_latipes_ASM223467v1
ENSORLP00020008916	ENSORLG00020009836	Oryzias_latipes_ASM223471v1
ENSOMEP00000006143	ENSOMEG00000007210	Oryzias_melastigma
ENSTNIP00000008107	ENSTNIG00000005419	Tetraodon_nigroviridis
ENSTRUP00000004892	ENSTRUG00000002127	Takifugu_rubripes
ENSMAMP00000024159	ENSMAMG00000016225	Mastacembelus_armatus
ENSMALP00000017757	ENSMALG00000012387	Monopterus_albus
ENSATEP00000022021	ENSATEG00000015175	Anabas_testudineus
ENSSLDP00000013414	ENSSLDG00000010702	Seriola_lalandi_dorsalis
ENSSDUP00000030281	ENSSDUG00000021814	Seriola_dumerili
ENSLCAP00010044269	ENSLCAG00010020561	Lates_calcarifer
ENSLCAP00010053331	ENSLCAG00010024792	Lates_calcarifer
ENSSMAP00000025287	ENSSMAG00000015436	Scophthalmus_maximus
ENSLCRP00005036595	ENSLCRG00005014255	Larimichthys_crocea
ENSMMOP00000024419	ENSMMOG00000018580	Mola_mola
ENSCGOP00000027421	ENSCGOG00000012857	Cottoperca_gobio
ENSGACP00000026612	ENSGACG00000020144	Gasterosteus_aculeatus
ENSAPEP00000011078	ENSAPEG00000007926	Amphiprion_percula
ENSAOCP00000001496	ENSAOCG00000004525	Amphiprion_ocellaris
ENSAPOP00000005363	ENSAPOG00000007066	Acanthochromis_polyacanthus
ENSSPAP00000024430	ENSSPAG00000018451	Stegastes_partitus
ENSPRNP00000029813	ENSPRNG00000014839	Parambassis_ranga
ENSMZEP00005034575	ENSMZEG00005025824	Maylandia_zebra
ENSACLP00000010767	ENSACLG00000007350	Astatotilapia_calliptera
ENSPNYP00000024112	ENSPNYG00000018213	Pundamilia_nyererei
ENSHBUP00000016459	ENSHBUG00000018418	Haplochromis_burtoni
ENSNBRP00000029073	ENSNBRG00000022132	Neolamprologus_brichardi
ENSONIP00000014273	ENSONIG00000011341	Oreochromis_niloticus
ENSACIP00000019698	ENSACIG00000015309	Amphilophus_citrinellus
ENSPMGP00000015590	ENSPMGG00000012787	Periophthalmus_magnuspinnatus
ENSGMOP00000008260	ENSGMOG00000007723	Gadus_morhua
ENSHHUP00000083651	ENSHHUG00000048524	Hucho_hucho
ENSAMXP00005023488	ENSAMXG00005012034	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000037644	ENSAMXG00000033249	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000014859	ENSPNAG00000020856	Pygocentrus_nattereri
ENSEEEP00000047037	ENSEEEG00000022145	Electrophorus_electricus
ENSIPUP00000014751	ENSIPUG00000010038	Ictalurus_punctatus
ENSPKIP00000036108	ENSPKIG00000014788	Paramormyrops_kingsleyae
ENSLOCP00000010645	ENSLOCG00000008741	Lepisosteus_oculatus
ENSECRP00000025100	ENSECRG00000016993	Erpetoichthys_calabaricus
ENSSFOP00015017207	ENSSFOG00015011076	Scleropages_formosus
ENSPKIP00000026207	ENSPKIG00000008765	Paramormyrops_kingsleyae
ENSDCDP00000005748	ENSDCDG00000002777	Denticeps_clupeoides
ENSPVIP00000003910	ENSPVIG00000003194	Pogona_vitticeps	ENSPVIT00000005008
ENSACAP00000022896	ENSACAG00000013064	Anolis_carolinensis	ENSACAT00000030314
ENSNSUP00000016066	ENSNSUG00000011890	Notechis_scutatus	ENSNSUT00000017103
ENSSMRP00000012579	ENSSMRG00000009803	Salvator_merianae
ENSSPUP00000010499	ENSSPUG00000008046	Sphenodon_punctatus
ENSCPBP00000008285	ENSCPBG00000006486	Chrysemys_picta_bellii
ENSGAGP00000022070	ENSGAGG00000016206	Gopherus_agassizii
ENSMUNP00000001337	ENSMUNG00000001152	Melopsittacus_undulatus
ENSABRP00000001483	ENSABRG00000001232	Anser_brachyrhynchus
ENSCPGP00000011874	ENSCPGG00000008467	Calidris_pygmaea
ENSCPUP00000003156	ENSCPUG00000002418	Calidris_pugnax
ENSTGUP00000013095	ENSTGUG00000012723	Taeniopygia_guttata
ENSLSDP00000011228	ENSLSDG00000008228	Lonchura_striata_domestica
ENSCCEP00000019344	ENSCCEG00000017537	Cyanistes_caeruleus
ENSFALP00000002717	ENSFALG00000002603	Ficedula_albicollis
ENSZALP00000004066	ENSZALG00000003885	Zonotrichia_albicollis
ENSJHYP00000005597	ENSJHYG00000004538	Junco_hyemalis
ENSLCOP00000013324	ENSLCOG00000009610	Lepidothrix_coronata
ENSAHAP00000010578	ENSAHAG00000007666	Apteryx_haastii
ENSARWP00000025328	ENSARWG00000017219	Apteryx_rowi
ENSAOWP00000020218	ENSAOWG00000013674	Apteryx_owenii
ENSDNVP00000001045	ENSDNVG00000000781	Dromaius_novaehollandiae
ENSNPEP00000010038	ENSNPEG00000007527	Nothoprocta_perdicaria
ENSPCIP00000023661	ENSPCIG00000017933	Phascolarctos_cinereus
ENSVURP00010003570	ENSVURG00010002798	Vombatus_ursinus
ENSMEUP00000015218	ENSMEUG00000016653	Notamacropus_eugenii
ENSSHAP00000019815	ENSSHAG00000016819	Sarcophilus_harrisii
ENSMODP00000016357	ENSMODG00000013069	Monodelphis_domestica
ENSHGLP00000008630	ENSHGLG00000006225	Heterocephalus_glaber_HetGla_female_1.0
ENSCLAP00000023574	ENSCLAG00000016168	Chinchilla_lanigera
ENSPCAP00000014610	ENSPCAG00000015620	Procavia_capensis
ENSMSIP00000016880	ENSMSIG00000014456	Mus_spicilegus
ENSMUSP00000021685	ENSMUSG00000021260	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0034844	MGP_SPRETEiJ_G0018950	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0033306	MGP_CAROLIEiJ_G0018100	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0083422	MGP_PahariEiJ_G0029857	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000038254	ENSRNOG00000028390	Rattus_norvegicus
ENSMUGP00000015187	ENSMUGG00000013093	Meriones_unguiculatus
