ENSMGAP00000014665	ENSMGAG00000013864	Meleagris_gallopavo
ENSGALP00000049920	ENSGALG00000035217	Gallus_gallus
ENSCJPP00005008065	ENSCJPG00005007286	Coturnix_japonica
ENSNMEP00000017137	ENSNMEG00000015034	Numida_meleagris
ENSAPLP00000002439	ENSAPLG00000003000	Anas_platyrhynchos_platyrhynchos
ENSLSDP00000010519	ENSLSDG00000007749	Lonchura_striata_domestica
ENSSCAP00000011466	ENSSCAG00000008599	Serinus_canaria
ENSJHYP00000024058	ENSJHYG00000018083	Junco_hyemalis
ENSPMJP00000011276	ENSPMJG00000008765	Parus_major
ENSMVIP00005016477	ENSMVIG00005011838	Manacus_vitellinus
ENSLCOP00000022345	ENSLCOG00000015744	Lepidothrix_coronata
ENSMUNP00000013820	ENSMUNG00000010778	Melopsittacus_undulatus
ENSCPGP00000019434	ENSCPGG00000013602	Calidris_pygmaea
ENSCPUP00000022176	ENSCPUG00000015055	Calidris_pugnax
ENSAOWP00000002181	ENSAOWG00000001567	Apteryx_owenii
ENSAHAP00000005898	ENSAHAG00000004516	Apteryx_haastii
ENSARWP00000008755	ENSARWG00000006128	Apteryx_rowi
ENSNPEP00000016787	ENSNPEG00000012493	Nothoprocta_perdicaria
ENSCPRP00005018341	ENSCPRG00005012804	Crocodylus_porosus
ENSCABP00000019290	ENSCABG00000014251	Chelonoidis_abingdonii
ENSGAGP00000001318	ENSGAGG00000001060	Gopherus_agassizii
ENSCPBP00000036214	ENSCPBG00000025163	Chrysemys_picta_bellii
ENSPSIP00000008398	ENSPSIG00000007692	Pelodiscus_sinensis
ENSPVIP00000016142	ENSPVIG00000012493	Pogona_vitticeps
ENSACAP00000009152	ENSACAG00000009365	Anolis_carolinensis
ENSNSUP00000006601	ENSNSUG00000005224	Notechis_scutatus
ENSSMRP00000015359	ENSSMRG00000011921	Salvator_merianae
ENSPTRP00000069118	ENSPTRG00000046049	Pan_troglodytes
ENSGGOP00000035606	ENSGGOG00000039695	Gorilla_gorilla
ENSRROP00000014454	ENSRROG00000031434	Rhinopithecus_roxellana
ENSRBIP00000003669	ENSRBIG00000017475	Rhinopithecus_bieti
ENSANAP00000016351	ENSANAG00000026049	Aotus_nancymaae
ENSTSYP00000005063	ENSTSYG00000005552	Carlito_syrichta
ENSPSMP00000030548	ENSPSMG00000021203	Prolemur_simus
ENSPCOP00000004497	ENSPCOG00000012845	Propithecus_coquereli
ENSMICP00000018311	ENSMICG00000034194	Microcebus_murinus
ENSOGAP00000001200	ENSOGAG00000001348	Otolemur_garnettii
ENSSDAP00000015166	ENSSDAG00000013672	Spermophilus_dauricus
ENSTBEP00000001875	ENSTBEG00000002174	Tupaia_belangeri
ENSUMAP00000014791	ENSUMAG00000010884	Ursus_maritimus
ENSUAMP00000030830	ENSUAMG00000023678	Ursus_americanus
ENSNVIP00000020149	ENSNVIG00000015792	Neovison_vison
ENSCAFP00020020218	ENSCAFG00020016039	Canis_lupus_dingo
ENSCAFP00000052143	ENSCAFG00000023580	Canis_lupus_familiaris
ENSVVUP00000012066	ENSVVUG00000008913	Vulpes_vulpes
ENSPTIP00000009729	ENSPTIG00000010721	Panthera_tigris_altaica
ENSPPRP00000013707	ENSPPRG00000006818	Panthera_pardus
ENSFCAP00000021078	ENSFCAG00000024482	Felis_catus
ENSEEUP00000008548	ENSEEUG00000009330	Erinaceus_europaeus
ENSEASP00005004810	ENSEASG00005003624	Equus_asinus_asinus
ENSPVAP00000016776	ENSPVAG00000017786	Pteropus_vampyrus
ENSMLUP00000022048	ENSMLUG00000029620	Myotis_lucifugus
ENSTTRP00000013298	ENSTTRG00000014022	Tursiops_truncatus
ENSSSCP00000004610	ENSSSCG00000004269	Sus_scrofa_strain_reference
ENSPCAP00000009465	ENSPCAG00000010137	Procavia_capensis
ENSETEP00000009239	ENSETEG00000011392	Echinops_telfairi
ENSCHOP00000001640	ENSCHOG00000001857	Choloepus_hoffmanni
ENSOCUP00000044491	ENSOCUG00000037860	Oryctolagus_cuniculus
ENSOPRP00000008416	ENSOPRG00000009200	Ochotona_princeps
ENSMODP00000055344	ENSMODG00000046810	Monodelphis_domestica
ENSMMOP00000009978	ENSMMOG00000007721	Mola_mola
ENSTRUP00000040410	ENSTRUG00000015818	Takifugu_rubripes
ENSLBEP00000016803	ENSLBEG00000012961	Labrus_bergylta
ENSHCOP00000024428	ENSHCOG00000013763	Hippocampus_comes
ENSSLDP00000024977	ENSSLDG00000019454	Seriola_lalandi_dorsalis
ENSMAMP00000032443	ENSMAMG00000021824	Mastacembelus_armatus
ENSMALP00000003136	ENSMALG00000002330	Monopterus_albus
ENSATEP00000029952	ENSATEG00000020674	Anabas_testudineus
ENSAOCP00000008710	ENSAOCG00000012775	Amphiprion_ocellaris
ENSAPEP00000017382	ENSAPEG00000012442	Amphiprion_percula
ENSAPOP00000025555	ENSAPOG00000008736	Acanthochromis_polyacanthus
ENSSPAP00000010134	ENSSPAG00000007721	Stegastes_partitus
ENSPNYP00000025813	ENSPNYG00000019480	Pundamilia_nyererei
ENSHBUP00000025851	ENSHBUG00000008103	Haplochromis_burtoni
ENSMZEP00005007210	ENSMZEG00005005548	Maylandia_zebra
ENSNBRP00000018079	ENSNBRG00000013949	Neolamprologus_brichardi
ENSACIP00000026656	ENSACIG00000020647	Amphilophus_citrinellus
ENSPFOP00000011861	ENSPFOG00000011888	Poecilia_formosa
ENSPLAP00000028044	ENSPLAG00000017101	Poecilia_latipinna
ENSPMEP00000025882	ENSPMEG00000009170	Poecilia_mexicana
ENSPREP00000033305	ENSPREG00000022571	Poecilia_reticulata
ENSXCOP00000015631	ENSXCOG00000011803	Xiphophorus_couchianus
ENSXMAP00000009446	ENSXMAG00000009427	Xiphophorus_maculatus
ENSGAFP00000011188	ENSGAFG00000007587	Gambusia_affinis
ENSFHEP00000025589	ENSFHEG00000007913	Fundulus_heteroclitus
ENSCVAP00000017846	ENSCVAG00000020999	Cyprinodon_variegatus
ENSPMGP00000024509	ENSPMGG00000019831	Periophthalmus_magnuspinnatus
ENSHHUP00000003381	ENSHHUG00000002146	Hucho_hucho
ENSPNAP00000003421	ENSPNAG00000009838	Pygocentrus_nattereri
