ENSUPAP00010001704	ENSUPAG00010000976	Urocitellus_parryii	ENSUPAT00010001991
ENSSDAP00000024056	ENSSDAG00000021524	Spermophilus_dauricus	ENSSDAT00000027541
ENSMMMP00000001372	ENSMMMG00000001054	Marmota_marmota_marmota
ENSSTOP00000015379	ENSSTOG00000027216	Ictidomys_tridecemlineatus
ENSCCNP00000020750	ENSCCNG00000020659	Castor_canadensis
ENSHGLP00000011495	ENSHGLG00000008240	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100018488	ENSHGLG00100013627	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000003807	ENSFDAG00000013171	Fukomys_damarensis
ENSCLAP00000003226	ENSCLAG00000002313	Chinchilla_lanigera
ENSPEMP00000032327	ENSPEMG00000026505	Peromyscus_maniculatus_bairdii
ENSOCUP00000017096	ENSOCUG00000025985	Oryctolagus_cuniculus
ENSTGEP00000007621	ENSTGEG00000006241	Theropithecus_gelada
ENSPTEP00000041957	ENSPTEG00000038345	Piliocolobus_tephrosceles
ENSCJAP00000078593	ENSCJAG00000018005	Callithrix_jacchus
ENSPSMP00000005634	ENSPSMG00000004272	Prolemur_simus
ENSEASP00005012906	ENSEASG00005009023	Equus_asinus_asinus
ENSECAP00000020699	ENSECAG00000023206	Equus_caballus
ENSMLUP00000006599	ENSMLUG00000007216	Myotis_lucifugus
ENSCHIP00000032259	ENSCHIG00000026301	Capra_hircus
ENSOARP00000018240	ENSOARG00000016989	Ovis_aries
ENSBIXP00005011903	ENSBIXG00005016254	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000038284	ENSBTAG00000026880	Bos_taurus
ENSBMUP00000011386	ENSBMUG00000008763	Bos_mutus
ENSBBBP00000025370	ENSBBBG00000020526	Bison_bison_bison
ENSSSCP00000024342	ENSSSCG00000024474	Sus_scrofa_strain_reference
ENSUAMP00000030175	ENSUAMG00000023165	Ursus_americanus
ENSUMAP00000012177	ENSUMAG00000009094	Ursus_maritimus
ENSAMEP00000007059	ENSAMEG00000006636	Ailuropoda_melanoleuca
ENSCAFP00020000533	ENSCAFG00020000533	Canis_lupus_dingo
ENSCAFP00000010816	ENSCAFG00000007293	Canis_lupus_familiaris
ENSVVUP00000039082	ENSVVUG00000027864	Vulpes_vulpes
ENSNVIP00000005178	ENSNVIG00000004163	Neovison_vison
ENSMPUP00000007401	ENSMPUG00000007457	Mustela_putorius_furo
ENSPPRP00000009474	ENSPPRG00000003932	Panthera_pardus
ENSPTIP00000009538	ENSPTIG00000010585	Panthera_tigris_altaica
ENSFCAP00000019727	ENSFCAG00000000272	Felis_catus
ENSLAFP00000018966	ENSLAFG00000010618	Loxodonta_africana
ENSDNOP00000020196	ENSDNOG00000039943	Dasypus_novemcinctus
ENSVURP00010010201	ENSVURG00010007882	Vombatus_ursinus
ENSPCIP00000000965	ENSPCIG00000000192	Phascolarctos_cinereus
ENSSHAP00000016879	ENSSHAG00000014356	Sarcophilus_harrisii
ENSOANP00000030821	ENSOANG00000032059	Ornithorhynchus_anatinus
