ENSPMAP00000005347	ENSPMAG00000004860	Petromyzon_marinus	ENSPMAT00000005367
ENSEBUP00000005118	ENSEBUG00000003526	Eptatretus_burgeri	ENSEBUT00000005556
ENSGALP00000008904	ENSGALG00000005558	Gallus_gallus
ENSCJPP00005005944	ENSCJPG00005005614	Coturnix_japonica
ENSMGAP00000017811	ENSMGAG00000005694	Meleagris_gallopavo
ENSNMEP00000013216	ENSNMEG00000012091	Numida_meleagris
ENSABRP00000016038	ENSABRG00000014067	Anser_brachyrhynchus
ENSAPLP00000008239	ENSAPLG00000008515	Anas_platyrhynchos_platyrhynchos
ENSCPUP00000017704	ENSCPUG00000012201	Calidris_pugnax
ENSCPGP00000021047	ENSCPGG00000014693	Calidris_pygmaea
ENSMUNP00000018260	ENSMUNG00000013968	Melopsittacus_undulatus
ENSJHYP00000004929	ENSJHYG00000004044	Junco_hyemalis
ENSZALP00000002919	ENSZALG00000002996	Zonotrichia_albicollis
ENSSCAP00000007113	ENSSCAG00000005498	Serinus_canaria
ENSTGUP00000016446	ENSTGUG00000016128	Taeniopygia_guttata
ENSTGUP00000006840	ENSTGUG00000006592	Taeniopygia_guttata
ENSLSDP00000014618	ENSLSDG00000010560	Lonchura_striata_domestica
ENSFALP00000003577	ENSFALG00000003409	Ficedula_albicollis
ENSPMJP00000023971	ENSPMJG00000017652	Parus_major
ENSCCEP00000001867	ENSCCEG00000002175	Cyanistes_caeruleus
ENSMVIP00005009440	ENSMVIG00005006968	Manacus_vitellinus
ENSLCOP00000017907	ENSLCOG00000012638	Lepidothrix_coronata
ENSAOWP00000005904	ENSAOWG00000004046	Apteryx_owenii	ENSAOWT00000006687
ENSAHAP00000018571	ENSAHAG00000013159	Apteryx_haastii	ENSAHAT00000020526
ENSARWP00000004098	ENSARWG00000003007	Apteryx_rowi	ENSARWT00000004736
ENSDNVP00000019244	ENSDNVG00000013487	Dromaius_novaehollandiae	ENSDNVT00000023200
ENSNPEP00000019150	ENSNPEG00000014264	Nothoprocta_perdicaria
ENSCPRP00005021385	ENSCPRG00005014863	Crocodylus_porosus
ENSCABP00000028377	ENSCABG00000020850	Chelonoidis_abingdonii
ENSGAGP00000033758	ENSGAGG00000024028	Gopherus_agassizii
ENSCPBP00000000271	ENSCPBG00000000253	Chrysemys_picta_bellii
ENSPSIP00000014587	ENSPSIG00000013024	Pelodiscus_sinensis
ENSSPUP00000016785	ENSSPUG00000012939	Sphenodon_punctatus
ENSACAP00000011940	ENSACAG00000012119	Anolis_carolinensis
ENSPVIP00000023734	ENSPVIG00000017920	Pogona_vitticeps
ENSACAP00000002430	ENSACAG00000002451	Anolis_carolinensis
ENSNSUP00000021404	ENSNSUG00000015492	Notechis_scutatus
ENSSMRP00000021777	ENSSMRG00000016942	Salvator_merianae
ENSPPAP00000038495	ENSPPAG00000041939	Pan_paniscus
ENSPTRP00000053800	ENSPTRG00000007621	Pan_troglodytes
ENSP00000454836	ENSG00000183751	Homo_sapiens
ENSGGOP00000009169	ENSGGOG00000009378	Gorilla_gorilla
ENSPPYP00000007898	ENSPPYG00000006977	Pongo_abelii
ENSNLEP00000038597	ENSNLEG00000008889	Nomascus_leucogenys
ENSMMUP00000010431	ENSMMUG00000007943	Macaca_mulatta
ENSMFAP00000014489	ENSMFAG00000030302	Macaca_fascicularis
ENSMNEP00000017230	ENSMNEG00000032603	Macaca_nemestrina
ENSTGEP00000004388	ENSTGEG00000003695	Theropithecus_gelada
ENSPANP00000013648	ENSPANG00000007024	Papio_anubis
ENSMLEP00000038622	ENSMLEG00000043359	Mandrillus_leucophaeus
ENSCATP00000014586	ENSCATG00000031298	Cercocebus_atys
ENSCSAP00000007407	ENSCSAG00000011191	Chlorocebus_sabaeus
ENSPTEP00000036442	ENSPTEG00000034233	Piliocolobus_tephrosceles
ENSCANP00000015483	ENSCANG00000031169	Colobus_angolensis_palliatus
ENSRROP00000006959	ENSRROG00000026697	Rhinopithecus_roxellana
ENSRBIP00000017970	ENSRBIG00000032982	Rhinopithecus_bieti
ENSCCAP00000032932	ENSCCAG00000034486	Cebus_capucinus_imitator
ENSCJAP00000068929	ENSCJAG00000062443	Callithrix_jacchus
ENSSBOP00000002740	ENSSBOG00000013923	Saimiri_boliviensis_boliviensis
ENSANAP00000025546	ENSANAG00000030472	Aotus_nancymaae
ENSCJAP00000028116	ENSCJAG00000015245	Callithrix_jacchus
ENSTSYP00000032712	ENSTSYG00000036142	Carlito_syrichta
ENSPCOP00000015990	ENSPCOG00000019749	Propithecus_coquereli
ENSMICP00000036479	ENSMICG00000012787	Microcebus_murinus
ENSOGAP00000009033	ENSOGAG00000010104	Otolemur_garnettii
ENSMOCP00000022670	ENSMOCG00000019634	Microtus_ochrogaster
ENSPEMP00000008005	ENSPEMG00000009768	Peromyscus_maniculatus_bairdii
ENSCGRP00000018365	ENSCGRG00000013364	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001023649	ENSCGRG00001021817	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015018202	ENSCGRG00015013942	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000006911	ENSMAUG00000008718	Mesocricetus_auratus
ENSMUSP00000120911	ENSMUSG00000040688	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0045018	MGP_SPRETEiJ_G0022110	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000009113	ENSMSIG00000008080	Mus_spicilegus
MGP_CAROLIEiJ_P0043101	MGP_CAROLIEiJ_G0021199	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0055405	MGP_PahariEiJ_G0023516	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000018405	ENSRNOG00000013429	Rattus_norvegicus
ENSMUGP00000030829	ENSMUGG00000025640	Meriones_unguiculatus
ENSNGAP00000002656	ENSNGAG00000002428	Nannospalax_galili
ENSJJAP00000002447	ENSJJAG00000004124	Jaculus_jaculus
ENSDORP00000006919	ENSDORG00000007377	Dipodomys_ordii
ENSCLAP00000019444	ENSCLAG00000013342	Chinchilla_lanigera
ENSODEP00000018889	ENSODEG00000013930	Octodon_degus
ENSCPOP00000005415	ENSCPOG00000005998	Cavia_porcellus
ENSCAPP00000017008	ENSCAPG00000016762	Cavia_aperea
ENSHGLP00000003283	ENSHGLG00000002431	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100017461	ENSHGLG00100012878	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000021377	ENSFDAG00000007751	Fukomys_damarensis
ENSUPAP00010021301	ENSUPAG00010016941	Urocitellus_parryii
ENSSTOP00000011622	ENSSTOG00000012964	Ictidomys_tridecemlineatus
ENSTBEP00000000016	ENSTBEG00000000017	Tupaia_belangeri
ENSMLUP00000010666	ENSMLUG00000011684	Myotis_lucifugus
ENSPVAP00000015771	ENSPVAG00000016710	Pteropus_vampyrus
ENSECAP00000017482	ENSECAG00000019299	Equus_caballus
ENSEASP00005006273	ENSEASG00005004649	Equus_asinus_asinus
ENSBTAP00000060788	ENSBTAG00000020366	Bos_taurus
ENSBIXP00000026812	ENSBIXG00000029359	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005000451	ENSBIXG00005030213	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000023805	ENSBMUG00000017851	Bos_mutus
ENSBBBP00000011696	ENSBBBG00000019585	Bison_bison_bison
ENSCHIP00000003846	ENSCHIG00000007747	Capra_hircus
ENSOARP00000018315	ENSOARG00000017059	Ovis_aries
ENSSSCP00000053073	ENSSSCG00000037686	Sus_scrofa_strain_reference
ENSTTRP00000010806	ENSTTRG00000011395	Tursiops_truncatus
ENSUAMP00000024716	ENSUAMG00000019276	Ursus_americanus
ENSUMAP00000030754	ENSUMAG00000022149	Ursus_maritimus
ENSAMEP00000018661	ENSAMEG00000017654	Ailuropoda_melanoleuca
ENSMPUP00000015434	ENSMPUG00000015545	Mustela_putorius_furo
ENSNVIP00000028736	ENSNVIG00000022174	Neovison_vison
ENSCAFP00020033907	ENSCAFG00020026321	Canis_lupus_dingo
ENSCAFP00000028736	ENSCAFG00000019418	Canis_lupus_familiaris
ENSVVUP00000013069	ENSVVUG00000009589	Vulpes_vulpes
ENSPPRP00000004966	ENSPPRG00000000893	Panthera_pardus
ENSPPRP00000006216	ENSPPRG00000001717	Panthera_pardus
ENSPTIP00000009235	ENSPTIG00000010377	Panthera_tigris_altaica
ENSFCAP00000010898	ENSFCAG00000011740	Felis_catus
ENSDNOP00000015517	ENSDNOG00000019996	Dasypus_novemcinctus
ENSSARP00000009917	ENSSARG00000010958	Sorex_araneus
ENSOPRP00000002356	ENSOPRG00000002527	Ochotona_princeps
ENSLAFP00000003928	ENSLAFG00000004699	Loxodonta_africana
ENSPCAP00000002061	ENSPCAG00000002157	Procavia_capensis
ENSETEP00000015765	ENSETEG00000019403	Echinops_telfairi
ENSEEUP00000000675	ENSEEUG00000000761	Erinaceus_europaeus
ENSVURP00010014123	ENSVURG00010010842	Vombatus_ursinus
ENSPCIP00000029292	ENSPCIG00000021811	Phascolarctos_cinereus
ENSMEUP00000003664	ENSMEUG00000004011	Notamacropus_eugenii
ENSMODP00000027702	ENSMODG00000016091	Monodelphis_domestica
ENSSHAP00000017981	ENSSHAG00000015266	Sarcophilus_harrisii
ENSOANP00000015573	ENSOANG00000009819	Ornithorhynchus_anatinus
ENSXETP00000021667	ENSXETG00000005640	Xenopus_tropicalis
ENSCHAP00000029135	ENSCHAG00000012272	Clupea_harengus
ENSDCDP00000021651	ENSDCDG00000015699	Denticeps_clupeoides
ENSAMXP00000028358	ENSAMXG00000042589	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005015517	ENSAMXG00005008192	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000011779	ENSPNAG00000017527	Pygocentrus_nattereri
ENSIPUP00000005258	ENSIPUG00000003568	Ictalurus_punctatus
ENSEEEP00000040436	ENSEEEG00000019130	Electrophorus_electricus
ENSDARP00000068663	ENSDARG00000052344	Danio_rerio
ENSSMAP00000023629	ENSSMAG00000014338	Scophthalmus_maximus
ENSCSEP00000024505	ENSCSEG00000015634	Cynoglossus_semilaevis
ENSSDUP00000011207	ENSSDUG00000008158	Seriola_dumerili
ENSSLDP00000030868	ENSSLDG00000023733	Seriola_lalandi_dorsalis
ENSLCAP00010029073	ENSLCAG00010013421	Lates_calcarifer
ENSMALP00000009858	ENSMALG00000007013	Monopterus_albus
ENSMAMP00000035009	ENSMAMG00000023507	Mastacembelus_armatus
ENSATEP00000035750	ENSATEG00000024571	Anabas_testudineus
ENSBSLP00000030868	ENSBSLG00000015017	Betta_splendens
ENSAOCP00000004495	ENSAOCG00000000453	Amphiprion_ocellaris
ENSAPEP00000014427	ENSAPEG00000010228	Amphiprion_percula
ENSAPOP00000032967	ENSAPOG00000021308	Acanthochromis_polyacanthus
ENSSPAP00000014130	ENSSPAG00000010659	Stegastes_partitus
ENSPRNP00000052345	ENSPRNG00000024435	Parambassis_ranga
