ENSOMEP00000016097	ENSOMEG00000017740	Oryzias_melastigma
ENSORLP00015002638	ENSORLG00015003329	Oryzias_latipes_ASM223469v1
ENSCSEP00000024405	ENSCSEG00000015588	Cynoglossus_semilaevis
ENSTNIP00000003895	ENSTNIG00000005058	Tetraodon_nigroviridis
ENSTRUP00000045168	ENSTRUG00000017620	Takifugu_rubripes
ENSMMOP00000025279	ENSMMOG00000019184	Mola_mola
ENSCGOP00000028980	ENSCGOG00000013580	Cottoperca_gobio
ENSGACP00000001996	ENSGACG00000001532	Gasterosteus_aculeatus
ENSATEP00000006985	ENSATEG00000004918	Anabas_testudineus
ENSBSLP00000020995	ENSBSLG00000010816	Betta_splendens
ENSLCRP00005001747	ENSLCRG00005000890	Larimichthys_crocea
ENSSDUP00000000852	ENSSDUG00000000708	Seriola_dumerili
ENSSLDP00000003602	ENSSLDG00000002872	Seriola_lalandi_dorsalis
ENSMALP00000011263	ENSMALG00000008006	Monopterus_albus
ENSMAMP00000010443	ENSMAMG00000007035	Mastacembelus_armatus
ENSSMAP00000027731	ENSSMAG00000016955	Scophthalmus_maximus
ENSAPOP00000014512	ENSAPOG00000017402	Acanthochromis_polyacanthus
ENSAOCP00000031303	ENSAOCG00000022894	Amphiprion_ocellaris
ENSPRNP00000035244	ENSPRNG00000017659	Parambassis_ranga
ENSPMEP00000021849	ENSPMEG00000002325	Poecilia_mexicana
ENSPFOP00000002507	ENSPFOG00000002648	Poecilia_formosa
ENSKMAP00000020118	ENSKMAG00000014952	Kryptolebias_marmoratus
ENSACLP00000014951	ENSACLG00000010185	Astatotilapia_calliptera
ENSMZEP00005007738	ENSMZEG00005005909	Maylandia_zebra
ENSHCOP00000014654	ENSHCOG00000018074	Hippocampus_comes
ENSGMOP00000012055	ENSGMOG00000011274	Gadus_morhua
ENSHHUP00000072602	ENSHHUG00000042618	Hucho_hucho
ENSELUP00000015828	ENSELUG00000015732	Esox_lucius
ENSPNAP00000002822	ENSPNAG00000009151	Pygocentrus_nattereri	ENSPNAT00000009781
ENSEEEP00000003040	ENSEEEG00000001724	Electrophorus_electricus	ENSEEET00000003086
ENSIPUP00000006466	ENSIPUG00000004478	Ictalurus_punctatus	ENSIPUT00000006753
ENSDARP00000120706	ENSDARG00000040332	Danio_rerio
ENSSFOP00015036115	ENSSFOG00015022981	Scleropages_formosus
ENSEEEP00000003041	ENSEEEG00000001726	Electrophorus_electricus
ENSPVAP00000012828	ENSPVAG00000013599	Pteropus_vampyrus
ENSMLUP00000002888	ENSMLUG00000003176	Myotis_lucifugus
ENSECAP00000011149	ENSECAG00000013289	Equus_caballus
ENSEASP00005005869	ENSEASG00005004332	Equus_asinus_asinus
ENSCHIP00000028463	ENSCHIG00000023981	Capra_hircus
ENSOARP00000007181	ENSOARG00000006709	Ovis_aries
ENSBIXP00000022609	ENSBIXG00000025406	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005027786	ENSBIXG00005030096	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000001456	ENSBTAG00000001101	Bos_taurus
ENSBMUP00000029786	ENSBMUG00000022271	Bos_mutus
ENSBBBP00000020924	ENSBBBG00000007937	Bison_bison_bison
ENSTTRP00000015316	ENSTTRG00000016159	Tursiops_truncatus
ENSSSCP00000060353	ENSSSCG00000032860	Sus_scrofa_strain_reference
ENSVPAP00000000386	ENSVPAG00000000414	Vicugna_pacos
ENSUAMP00000028361	ENSUAMG00000021935	Ursus_americanus
ENSUAMP00000002254	ENSUAMG00000002081	Ursus_americanus
ENSUMAP00000017886	ENSUMAG00000013152	Ursus_maritimus
ENSAMEP00000010477	ENSAMEG00000009975	Ailuropoda_melanoleuca
ENSCAFP00020026542	ENSCAFG00020020851	Canis_lupus_dingo
ENSCAFP00000042865	ENSCAFG00000028524	Canis_lupus_familiaris
ENSVVUP00000037666	ENSVVUG00000026916	Vulpes_vulpes
ENSMPUP00000015735	ENSMPUG00000015842	Mustela_putorius_furo
ENSNVIP00000029946	ENSNVIG00000023081	Neovison_vison
ENSPPRP00000010310	ENSPPRG00000004546	Panthera_pardus
ENSPTIP00000000789	ENSPTIG00000001878	Panthera_tigris_altaica
ENSFCAP00000040100	ENSFCAG00000042719	Felis_catus
ENSEEUP00000008424	ENSEEUG00000009246	Erinaceus_europaeus
ENSSARP00000010839	ENSSARG00000012009	Sorex_araneus
ENSCCNP00000022973	ENSCCNG00000022590	Castor_canadensis
ENSDORP00000027641	ENSDORG00000029083	Dipodomys_ordii
ENSCLAP00000016504	ENSCLAG00000011350	Chinchilla_lanigera
ENSODEP00000019328	ENSODEG00000014258	Octodon_degus
ENSCPOP00000032595	ENSCPOG00000034175	Cavia_porcellus
ENSCAPP00000001956	ENSCAPG00000004217	Cavia_aperea
ENSHGLP00100010183	ENSHGLG00100007574	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000019351	ENSHGLG00000013856	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000022461	ENSFDAG00000020859	Fukomys_damarensis
ENSCGRP00001023424	ENSCGRG00001021656	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015025291	ENSCGRG00015019203	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000025401	ENSCGRG00000018395	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000007527	ENSMAUG00000009183	Mesocricetus_auratus
ENSPEMP00000016914	ENSPEMG00000015999	Peromyscus_maniculatus_bairdii
ENSMUSP00000074009	ENSMUSG00000062157	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0067722	MGP_SPRETEiJ_G0027622	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000004170	ENSMSIG00000003842	Mus_spicilegus
MGP_CAROLIEiJ_P0065180	MGP_CAROLIEiJ_G0026642	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0080264	MGP_PahariEiJ_G0028975	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000048303	ENSRNOG00000033984	Rattus_norvegicus
ENSMUGP00000025004	ENSMUGG00000020882	Meriones_unguiculatus
ENSNGAP00000004330	ENSNGAG00000005645	Nannospalax_galili
ENSJJAP00000007498	ENSJJAG00000011888	Jaculus_jaculus
ENSUPAP00010026700	ENSUPAG00010021115	Urocitellus_parryii
ENSSTOP00000021517	ENSSTOG00000022523	Ictidomys_tridecemlineatus
ENSSDAP00000022572	ENSSDAG00000020498	Spermophilus_dauricus
ENSMMMP00000020993	ENSMMMG00000018513	Marmota_marmota_marmota
ENSOCUP00000026487	ENSOCUG00000001490	Oryctolagus_cuniculus
ENSOPRP00000014297	ENSOPRG00000015652	Ochotona_princeps
ENSTBEP00000014812	ENSTBEG00000017038	Tupaia_belangeri
ENSPTRP00000041109	ENSPTRG00000000343	Pan_troglodytes
ENSPPAP00000032245	ENSPPAG00000039009	Pan_paniscus
ENSP00000327824	ENSG00000185436	Homo_sapiens
ENSGGOP00000046211	ENSGGOG00000004445	Gorilla_gorilla
ENSPPYP00000001991	ENSPPYG00000001722	Pongo_abelii
ENSNLEP00000010841	ENSNLEG00000008884	Nomascus_leucogenys
ENSPANP00000000355	ENSPANG00000014431	Papio_anubis
ENSTGEP00000005876	ENSTGEG00000004840	Theropithecus_gelada
ENSCATP00000008809	ENSCATG00000026704	Cercocebus_atys
ENSMLEP00000039943	ENSMLEG00000043990	Mandrillus_leucophaeus
ENSMFAP00000005923	ENSMFAG00000002613	Macaca_fascicularis
ENSMMUP00000030358	ENSMMUG00000023057	Macaca_mulatta
ENSMNEP00000021472	ENSMNEG00000034482	Macaca_nemestrina
ENSCSAP00000017070	ENSCSAG00000000938	Chlorocebus_sabaeus
ENSPTEP00000012824	ENSPTEG00000014408	Piliocolobus_tephrosceles
ENSCANP00000039033	ENSCANG00000043195	Colobus_angolensis_palliatus
ENSRBIP00000030307	ENSRBIG00000039009	Rhinopithecus_bieti
ENSRROP00000037155	ENSRROG00000042009	Rhinopithecus_roxellana
ENSCCAP00000032671	ENSCCAG00000034363	Cebus_capucinus_imitator
ENSCCAP00000016912	ENSCCAG00000026264	Cebus_capucinus_imitator
ENSSBOP00000010806	ENSSBOG00000022222	Saimiri_boliviensis_boliviensis
ENSCJAP00000038837	ENSCJAG00000020867	Callithrix_jacchus
ENSANAP00000012165	ENSANAG00000024019	Aotus_nancymaae
ENSTSYP00000011291	ENSTSYG00000012308	Carlito_syrichta
ENSPCOP00000017021	ENSPCOG00000020307	Propithecus_coquereli
ENSPSMP00000018461	ENSPSMG00000013097	Prolemur_simus
ENSMICP00000025116	ENSMICG00000035775	Microcebus_murinus
ENSOGAP00000009586	ENSOGAG00000010712	Otolemur_garnettii
ENSLAFP00000029295	ENSLAFG00000031890	Loxodonta_africana
ENSPCAP00000007479	ENSPCAG00000008015	Procavia_capensis
ENSETEP00000004197	ENSETEG00000005156	Echinops_telfairi
ENSCHOP00000006199	ENSCHOG00000006994	Choloepus_hoffmanni
ENSDNOP00000024182	ENSDNOG00000038570	Dasypus_novemcinctus
ENSVURP00010030224	ENSVURG00010023111	Vombatus_ursinus
ENSPCIP00000018652	ENSPCIG00000014263	Phascolarctos_cinereus
ENSMEUP00000012849	ENSMEUG00000014083	Notamacropus_eugenii
ENSSHAP00000007217	ENSSHAG00000006271	Sarcophilus_harrisii
ENSMODP00000016333	ENSMODG00000013053	Monodelphis_domestica
ENSOANP00000003501	ENSOANG00000002208	Ornithorhynchus_anatinus
ENSSPUP00000020881	ENSSPUG00000016046	Sphenodon_punctatus
ENSPVIP00000027246	ENSPVIG00000020256	Pogona_vitticeps
ENSABRP00000013937	ENSABRG00000012376	Anser_brachyrhynchus
ENSAPLP00000003034	ENSAPLG00000003557	Anas_platyrhynchos_platyrhynchos
ENSGALP00000068923	ENSGALG00000004231	Gallus_gallus
ENSCJPP00005005361	ENSCJPG00005005151	Coturnix_japonica
ENSMGAP00000005844	ENSMGAG00000005889	Meleagris_gallopavo
ENSNMEP00000013032	ENSNMEG00000011946	Numida_meleagris
ENSCCEP00000018300	ENSCCEG00000016799	Cyanistes_caeruleus
ENSPMJP00000000328	ENSPMJG00000000281	Parus_major
ENSTGUP00000001190	ENSTGUG00000001157	Taeniopygia_guttata
ENSLSDP00000000754	ENSLSDG00000000604	Lonchura_striata_domestica
ENSSCAP00000009076	ENSSCAG00000006911	Serinus_canaria
ENSJHYP00000000448	ENSJHYG00000000409	Junco_hyemalis
ENSZALP00000020342	ENSZALG00000016019	Zonotrichia_albicollis
ENSFALP00000000510	ENSFALG00000000497	Ficedula_albicollis
ENSLCOP00000013340	ENSLCOG00000009621	Lepidothrix_coronata
ENSCPGP00000026021	ENSCPGG00000017937	Calidris_pygmaea
ENSCPUP00000023981	ENSCPUG00000016259	Calidris_pugnax
ENSAOWP00000015880	ENSAOWG00000010820	Apteryx_owenii
ENSAHAP00000014497	ENSAHAG00000010447	Apteryx_haastii
ENSARWP00000016096	ENSARWG00000011104	Apteryx_rowi
ENSDNVP00000012134	ENSDNVG00000008558	Dromaius_novaehollandiae
ENSMUNP00000011537	ENSMUNG00000009082	Melopsittacus_undulatus
ENSNPEP00000014067	ENSNPEG00000010508	Nothoprocta_perdicaria
ENSCPRP00005023955	ENSCPRG00005016621	Crocodylus_porosus
ENSGAGP00000001844	ENSGAGG00000001473	Gopherus_agassizii
ENSCABP00000002462	ENSCABG00000001927	Chelonoidis_abingdonii
ENSCPBP00000000136	ENSCPBG00000000138	Chrysemys_picta_bellii
ENSXETP00000033712	ENSXETG00000015888	Xenopus_tropicalis
ENSCPGP00000000832	ENSCPGG00000000649	Calidris_pygmaea
ENSCPUP00000011524	ENSCPUG00000008179	Calidris_pugnax
ENSNMEP00000012263	ENSNMEG00000011381	Numida_meleagris
ENSDNVP00000002518	ENSDNVG00000001813	Dromaius_novaehollandiae
ENSGAGP00000015040	ENSGAGG00000011368	Gopherus_agassizii
ENSCPBP00000007636	ENSCPBG00000006014	Chrysemys_picta_bellii
