ENSEBUP00000008901	ENSEBUG00000005758	Eptatretus_burgeri	ENSEBUT00000009415
ENSEBUP00000024650	ENSEBUG00000015216	Eptatretus_burgeri	ENSEBUT00000025226
ENSPVAP00000012178	ENSPVAG00000012909	Pteropus_vampyrus
ENSMLUP00000005366	ENSMLUG00000005863	Myotis_lucifugus
ENSECAP00000000296	ENSECAG00000000110	Equus_caballus
ENSEASP00005024887	ENSEASG00005016813	Equus_asinus_asinus
ENSUAMP00000027574	ENSUAMG00000021324	Ursus_americanus
ENSUMAP00000009503	ENSUMAG00000007159	Ursus_maritimus
ENSAMEP00000001717	ENSAMEG00000001645	Ailuropoda_melanoleuca
ENSAMEP00000000529	ENSAMEG00000000475	Ailuropoda_melanoleuca
ENSMPUP00000010125	ENSMPUG00000010201	Mustela_putorius_furo
ENSNVIP00000017708	ENSNVIG00000013821	Neovison_vison
ENSCAFP00020001406	ENSCAFG00020001236	Canis_lupus_dingo
ENSCAFP00000009638	ENSCAFG00000006410	Canis_lupus_familiaris
ENSVVUP00000027052	ENSVVUG00000019867	Vulpes_vulpes
ENSPTIP00000024560	ENSPTIG00000020609	Panthera_tigris_altaica
ENSPPRP00000019600	ENSPPRG00000010928	Panthera_pardus
ENSFCAP00000018012	ENSFCAG00000024759	Felis_catus
ENSCHIP00000013642	ENSCHIG00000014991	Capra_hircus
ENSOARP00000000142	ENSOARG00000000163	Ovis_aries
ENSBIXP00000004528	ENSBIXG00000010859	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000028778	ENSBTAG00000021592	Bos_taurus
ENSBIXP00005005288	ENSBIXG00005007468	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000025020	ENSBMUG00000017893	Bos_mutus
ENSBBBP00000013700	ENSBBBG00000021421	Bison_bison_bison
ENSTTRP00000011670	ENSTTRG00000012302	Tursiops_truncatus
ENSSSCP00000016786	ENSSSCG00000015840	Sus_scrofa_strain_reference
ENSVPAP00000010247	ENSVPAG00000011004	Vicugna_pacos
ENSEEUP00000004564	ENSEEUG00000004926	Erinaceus_europaeus
ENSSARP00000005610	ENSSARG00000006157	Sorex_araneus
MGP_SPRETEiJ_P0087611	MGP_SPRETEiJ_G0032079	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000031480	ENSMSIG00000026253	Mus_spicilegus
ENSMUSP00000033991	ENSMUSG00000031583	Mus_musculus_strain_reference_(CL57BL6)
