ENSUAMP00000009098	ENSUAMG00000007608	Ursus_americanus
ENSHHUP00000018702	ENSHHUG00000011661	Hucho_hucho
ENSSDUP00000030222	ENSSDUG00000021784	Seriola_dumerili
MGP_PahariEiJ_P0083410	MGP_PahariEiJ_G0029853	Mus_pahari_strain_PAHARI_EIJ
ENSAPOP00000023324	ENSAPOG00000005057	Acanthochromis_polyacanthus
MGP_CAROLIEiJ_P0033294	MGP_CAROLIEiJ_G0018096	Mus_caroli_strain_CAROLI_EIJ
ENSCGRP00015017251	ENSCGRG00015013302	Cricetulus_griseus_CriGri-PICR
ENSFALP00000002668	ENSFALG00000002563	Ficedula_albicollis
ENSACLP00000007355	ENSACLG00000004987	Astatotilapia_calliptera
ENSAHAP00000010672	ENSAHAG00000007717	Apteryx_haastii	ENSAHAT00000011801
ENSGGOP00000018672	ENSGGOG00000001232	Gorilla_gorilla
ENSPREP00000017430	ENSPREG00000011789	Poecilia_reticulata
ENSSTOP00000022911	ENSSTOG00000021531	Ictidomys_tridecemlineatus
ENSEEEP00000046987	ENSEEEG00000022113	Electrophorus_electricus
ENSRNOP00000007602	ENSRNOG00000005776	Rattus_norvegicus
ENSPCIP00000042467	ENSPCIG00000031539	Phascolarctos_cinereus
ENSTNIP00000011113	ENSTNIG00000008283	Tetraodon_nigroviridis
ENSMALP00000017599	ENSMALG00000012273	Monopterus_albus
ENSORLP00015018893	ENSORLG00015019973	Oryzias_latipes_ASM223469v1
ENSMZEP00005023054	ENSMZEG00005017268	Maylandia_zebra
ENSLBEP00000019058	ENSLBEG00000014648	Labrus_bergylta
ENSSSCP00000002714	ENSSSCG00000002507	Sus_scrofa_strain_reference
ENSORLP00000033599	ENSORLG00000010826	Oryzias_latipes_ASM223467v1
ENSSPAP00000002523	ENSSPAG00000001910	Stegastes_partitus
ENSXMAP00000028924	ENSXMAG00000020344	Xiphophorus_maculatus
ENSOPRP00000006527	ENSOPRG00000007129	Ochotona_princeps
ENSRBIP00000025099	ENSRBIG00000036432	Rhinopithecus_bieti
ENSPTEP00000005773	ENSPTEG00000006680	Piliocolobus_tephrosceles
ENSPEMP00000008111	ENSPEMG00000009858	Peromyscus_maniculatus_bairdii
ENSCPOP00000029351	ENSCPOG00000038490	Cavia_porcellus
ENSDARP00000105860	ENSDARG00000062510	Danio_rerio
ENSAOCP00000008201	ENSAOCG00000012153	Amphiprion_ocellaris
ENSATEP00000019713	ENSATEG00000013742	Anabas_testudineus
ENSSBOP00000037882	ENSSBOG00000035019	Saimiri_boliviensis_boliviensis
ENSPNAP00000014772	ENSPNAG00000020713	Pygocentrus_nattereri
ENSCSAP00000006705	ENSCSAG00000010477	Chlorocebus_sabaeus
ENSUMAP00000002583	ENSUMAG00000002286	Ursus_maritimus
ENSODEP00000017097	ENSODEG00000012597	Octodon_degus
ENSPLAP00000012756	ENSPLAG00000016147	Poecilia_latipinna
ENSBIXP00005012789	ENSBIXG00005016977	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSMVIP00005008242	ENSMVIG00005006171	Manacus_vitellinus
ENSVURP00010003281	ENSVURG00010002640	Vombatus_ursinus
ENSHHUP00000029145	ENSHHUG00000018596	Hucho_hucho
MGP_SPRETEiJ_P0034832	MGP_SPRETEiJ_G0018946	Mus_spretus_strain_SPRET/EiJ
ENSCGRP00001019622	ENSCGRG00001019007	Cricetulus_griseus_CHOK1GS_HDv1
ENSPKIP00000025979	ENSPKIG00000008623	Paramormyrops_kingsleyae
ENSELUP00000043116	ENSELUG00000001427	Esox_lucius
ENSBSLP00000054291	ENSBSLG00000025500	Betta_splendens
ENSCHAP00000040975	ENSCHAG00000019184	Clupea_harengus
ENSMPUP00000003001	ENSMPUG00000003031	Mustela_putorius_furo
ENSONIP00000013922	ENSONIG00000011060	Oreochromis_niloticus
ENSABRP00000001686	ENSABRG00000001713	Anser_brachyrhynchus
ENSZALP00000004042	ENSZALG00000003875	Zonotrichia_albicollis
ENSPNYP00000011773	ENSPNYG00000008884	Pundamilia_nyererei
ENSHBUP00000001027	ENSHBUG00000002206	Haplochromis_burtoni
ENSSDAP00000021914	ENSSDAG00000019928	Spermophilus_dauricus
ENSOANP00000023265	ENSOANG00000014770	Ornithorhynchus_anatinus
ENSAPLP00000021553	ENSAPLG00000028283	Anas_platyrhynchos_platyrhynchos
ENSSFOP00015017038	ENSSFOG00015010977	Scleropages_formosus
ENSACAP00000012849	ENSACAG00000013085	Anolis_carolinensis
ENSCVAP00000003953	ENSCVAG00000005227	Cyprinodon_variegatus
ENSCCAP00000009505	ENSCCAG00000022493	Cebus_capucinus_imitator
ENSGWIP00000044069	ENSGWIG00000021942	Gouania_willdenowi
ENSPMJP00000022962	ENSPMJG00000016993	Parus_major
ENSBTAP00000023987	ENSBTAG00000018019	Bos_taurus
ENSHGLP00000007817	ENSHGLG00000005672	Heterocephalus_glaber_HetGla_female_1.0
ENSNGAP00000024681	ENSNGAG00000022871	Nannospalax_galili
ENSTTRP00000011506	ENSTTRG00000012140	Tursiops_truncatus
ENSNPEP00000010071	ENSNPEG00000007542	Nothoprocta_perdicaria	ENSNPET00000010323
ENSDORP00000021341	ENSDORG00000008688	Dipodomys_ordii
ENSHHUP00000081927	ENSHHUG00000047618	Hucho_hucho
ENSOMEP00000033247	ENSOMEG00000019117	Oryzias_melastigma
ENSUPAP00010026289	ENSUPAG00010020757	Urocitellus_parryii
ENSCJAP00000056776	ENSCJAG00000048221	Callithrix_jacchus
ENSPSIP00000014591	ENSPSIG00000013079	Pelodiscus_sinensis
ENSSFOP00015004420	ENSSFOG00015002904	Scleropages_formosus
ENSDNVP00000000863	ENSDNVG00000000657	Dromaius_novaehollandiae	ENSDNVT00000001046
ENSPSMP00000034517	ENSPSMG00000023782	Prolemur_simus
ENSGMOP00000013291	ENSGMOG00000012414	Gadus_morhua
ENSLOCP00000010567	ENSLOCG00000008679	Lepisosteus_oculatus
ENSANAP00000003849	ENSANAG00000019961	Aotus_nancymaae
ENSDCDP00000005662	ENSDCDG00000002745	Denticeps_clupeoides
ENSMSIP00000017065	ENSMSIG00000014599	Mus_spicilegus
ENSMMOP00000024408	ENSMMOG00000018574	Mola_mola
ENSSCAP00000009694	ENSSCAG00000007376	Serinus_canaria
ENSAMEP00000012037	ENSAMEG00000011451	Ailuropoda_melanoleuca
ENSLACP00000016701	ENSLACG00000014710	Latimeria_chalumnae
ENSSMRP00000012622	ENSSMRG00000009844	Salvator_merianae
ENSPANP00000013197	ENSPANG00000004313	Papio_anubis
ENSSLDP00000013666	ENSSLDG00000010901	Seriola_lalandi_dorsalis
ENSNVIP00000006221	ENSNVIG00000004962	Neovison_vison
ENSSMAP00000025086	ENSSMAG00000015344	Scophthalmus_maximus
ENSCAFP00020014038	ENSCAFG00020011313	Canis_lupus_dingo
ENSPMGP00000025769	ENSPMGG00000020792	Periophthalmus_magnuspinnatus
ENSECRP00000025463	ENSECRG00000017188	Erpetoichthys_calabaricus
ENSSHAP00000010778	ENSSHAG00000009291	Sarcophilus_harrisii
ENSSFOP00015017057	ENSSFOG00015010987	Scleropages_formosus
ENSMFAP00000018945	ENSMFAG00000032487	Macaca_fascicularis
ENSGACP00000017353	ENSGACG00000013118	Gasterosteus_aculeatus
ENSJHYP00000005466	ENSJHYG00000004467	Junco_hyemalis
ENSMUNP00000001318	ENSMUNG00000001135	Melopsittacus_undulatus
ENSARWP00000025333	ENSARWG00000017223	Apteryx_rowi	ENSARWT00000028688
ENSCGRP00000000808	ENSCGRG00000000647	Cricetulus_griseus_CriGri_1.0
ENSNVIP00000006194	ENSNVIG00000004955	Neovison_vison
ENSTGEP00000006931	ENSTGEG00000005665	Theropithecus_gelada
ENSCLAP00000022830	ENSCLAG00000015659	Chinchilla_lanigera
ENSXETP00000049503	ENSXETG00000002150	Xenopus_tropicalis
ENSCPGP00000011770	ENSCPGG00000008402	Calidris_pygmaea
ENSBIXP00000031800	ENSBIXG00000014203	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSEASP00005031675	ENSEASG00005021564	Equus_asinus_asinus
ENSCANP00000017991	ENSCANG00000032447	Colobus_angolensis_palliatus
ENSCATP00000037578	ENSCATG00000041505	Cercocebus_atys
ENSACIP00000014587	ENSACIG00000011320	Amphilophus_citrinellus
ENSMOCP00000009654	ENSMOCG00000009839	Microtus_ochrogaster
ENSECAP00000031344	ENSECAG00000031995	Equus_caballus
ENSGAGP00000035003	ENSGAGG00000024880	Gopherus_agassizii
ENSAOWP00000020261	ENSAOWG00000013712	Apteryx_owenii	ENSAOWT00000022957
ENSLSDP00000011145	ENSLSDG00000008201	Lonchura_striata_domestica
ENSPCOP00000014974	ENSPCOG00000019197	Propithecus_coquereli
ENSIPUP00000014556	ENSIPUG00000009933	Ictalurus_punctatus
ENSMUSP00000068258	ENSMUSG00000048251	Mus_musculus_strain_reference_(CL57BL6)
ENSCMIP00000021213	ENSCMIG00000009707	Callorhinchus_milii
ENSLAFP00000007753	ENSLAFG00000009254	Loxodonta_africana
ENSMMUP00000080850	ENSMMUG00000003261	Macaca_mulatta
ENSTRUP00000008287	ENSTRUG00000003531	Takifugu_rubripes
ENSORLP00020021018	ENSORLG00020022065	Oryzias_latipes_ASM223471v1
ENSACAP00000019064	ENSACAG00000028097	Anolis_carolinensis
ENSLCAP00010048207	ENSLCAG00010022395	Lates_calcarifer
ENSCHIP00000021570	ENSCHIG00000019860	Capra_hircus
ENSRROP00000013359	ENSRROG00000030930	Rhinopithecus_roxellana
ENSCPRP00005014499	ENSCPRG00005010215	Crocodylus_porosus
ENSCCNP00000007948	ENSCCNG00000008449	Castor_canadensis
ENSECRP00000025492	ENSECRG00000017236	Erpetoichthys_calabaricus
ENSBBBP00000015295	ENSBBBG00000023103	Bison_bison_bison
ENSNLEP00000000829	ENSNLEG00000000711	Nomascus_leucogenys
ENSMGAP00000014001	ENSMGAG00000013254	Meleagris_gallopavo
ENSLCRP00005035620	ENSLCRG00005013913	Larimichthys_crocea
ENSCAFP00000026270	ENSCAFG00000017809	Canis_lupus_familiaris
ENSPFOP00000021484	ENSPFOG00000007224	Poecilia_formosa
ENSPPRP00000012900	ENSPPRG00000006314	Panthera_pardus
ENSPTRP00000052505	ENSPTRG00000006707	Pan_troglodytes
ENSGAFP00000016188	ENSGAFG00000010939	Gambusia_affinis
ENSNMEP00000011537	ENSNMEG00000010866	Numida_meleagris
ENSAMXP00005000283	ENSAMXG00005000175	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCSEP00000006060	ENSCSEG00000003909	Cynoglossus_semilaevis
ENSCPBP00000034547	ENSCPBG00000024090	Chrysemys_picta_bellii
ENSJJAP00000012632	ENSJJAG00000015610	Jaculus_jaculus
ENSHGLP00100021156	ENSHGLG00100015582	Heterocephalus_glaber_HetGla_1.0
ENSP00000349723	ENSG00000127152	Homo_sapiens
ENSBMUP00000005429	ENSBMUG00000004272	Bos_mutus
