ENSPLAP00000002941	ENSPLAG00000004343	Poecilia_latipinna
ENSPMEP00000025316	ENSPMEG00000008207	Poecilia_mexicana
ENSPREP00000016624	ENSPREG00000011241	Poecilia_reticulata
ENSXMAP00000022497	ENSXMAG00000027725	Xiphophorus_maculatus
ENSXCOP00000012528	ENSXCOG00000009473	Xiphophorus_couchianus
ENSGAFP00000022813	ENSGAFG00000015426	Gambusia_affinis
ENSCVAP00000029873	ENSCVAG00000017912	Cyprinodon_variegatus
ENSORLP00020025938	ENSORLG00020008169	Oryzias_latipes_ASM223471v1
ENSORLP00015026120	ENSORLG00015007577	Oryzias_latipes_ASM223469v1
ENSORLP00000036722	ENSORLG00000023730	Oryzias_latipes_ASM223467v1
ENSOMEP00000020887	ENSOMEG00000000605	Oryzias_melastigma
ENSMMOP00000000630	ENSMMOG00000000539	Mola_mola
ENSTRUP00000056617	ENSTRUG00000019522	Takifugu_rubripes
ENSSMAP00000004718	ENSSMAG00000002922	Scophthalmus_maximus	ENSSMAT00000004792
ENSCSEP00000000314	ENSCSEG00000000232	Cynoglossus_semilaevis	ENSCSET00000000338
ENSSLDP00000024824	ENSSLDG00000019338	Seriola_lalandi_dorsalis
ENSSDUP00000002426	ENSSDUG00000001872	Seriola_dumerili
ENSLBEP00000026630	ENSLBEG00000020251	Labrus_bergylta
ENSMAMP00000005053	ENSMAMG00000003388	Mastacembelus_armatus
ENSMALP00000009671	ENSMALG00000006871	Monopterus_albus
ENSATEP00000032230	ENSATEG00000022185	Anabas_testudineus
ENSAPEP00000033704	ENSAPEG00000023947	Amphiprion_percula
ENSAOCP00000002736	ENSAOCG00000005891	Amphiprion_ocellaris
ENSAPOP00000028969	ENSAPOG00000014581	Acanthochromis_polyacanthus
ENSSPAP00000014900	ENSSPAG00000011227	Stegastes_partitus
ENSKMAP00000005561	ENSKMAG00000004217	Kryptolebias_marmoratus
ENSACLP00000033290	ENSACLG00000022553	Astatotilapia_calliptera
ENSMZEP00005011348	ENSMZEG00005008526	Maylandia_zebra
ENSPNYP00000030352	ENSPNYG00000022878	Pundamilia_nyererei
ENSHBUP00000033547	ENSHBUG00000020550	Haplochromis_burtoni
ENSNBRP00000008010	ENSNBRG00000006240	Neolamprologus_brichardi
ENSACIP00000031516	ENSACIG00000024345	Amphilophus_citrinellus
ENSHCOP00000003085	ENSHCOG00000004348	Hippocampus_comes
ENSPMGP00000023814	ENSPMGG00000019266	Periophthalmus_magnuspinnatus
ENSAMXP00000033142	ENSAMXG00000042330	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000002861	ENSPNAG00000009221	Pygocentrus_nattereri
ENSIPUP00000000941	ENSIPUG00000000674	Ictalurus_punctatus
ENSDARP00000128158	ENSDARG00000096971	Danio_rerio
ENSSFOP00015023734	ENSSFOG00015015244	Scleropages_formosus
