ENSPTEP00000028943	ENSPTEG00000028449	Piliocolobus_tephrosceles	ENSPTET00000040291
ENSPTEP00000008550	ENSPTEG00000009703	Piliocolobus_tephrosceles	ENSPTET00000013020
FBpp0081606	FBgn0005777	Drosophila_melanogaster	FBtr0082128
Y39B6A.2a.1	WBGene00012665	Caenorhabditis_elegans_strain_N2	Y39B6A.2a.1
ENSPMAP00000005901	ENSPMAG00000005308	Petromyzon_marinus	ENSPMAT00000005928
ENSEBUP00000017473	ENSEBUG00000010920	Eptatretus_burgeri	ENSEBUT00000018049
ENSGALP00000071572	ENSGALG00000049393	Gallus_gallus
ENSNMEP00000001852	ENSNMEG00000002379	Numida_meleagris
ENSCCEP00000004645	ENSCCEG00000005104	Cyanistes_caeruleus
ENSAOWP00000019087	ENSAOWG00000012977	Apteryx_owenii
ENSOANP00000018931	ENSOANG00000011946	Ornithorhynchus_anatinus
ENSUPAP00010011790	ENSUPAG00010009565	Urocitellus_parryii
ENSSTOP00000023709	ENSSTOG00000021131	Ictidomys_tridecemlineatus
ENSSDAP00000014274	ENSSDAG00000012866	Spermophilus_dauricus
ENSMMMP00000015497	ENSMMMG00000013822	Marmota_marmota_marmota
ENSDORP00000004369	ENSDORG00000004665	Dipodomys_ordii
ENSCLAP00000002136	ENSCLAG00000001548	Chinchilla_lanigera
ENSODEP00000011849	ENSODEG00000008796	Octodon_degus
ENSCPOP00000023321	ENSCPOG00000023554	Cavia_porcellus
ENSCAPP00000016645	ENSCAPG00000016491	Cavia_aperea
ENSHGLP00000022417	ENSHGLG00000015987	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100021259	ENSHGLG00100015657	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000011225	ENSFDAG00000018843	Fukomys_damarensis
ENSOCUP00000018147	ENSOCUG00000021025	Oryctolagus_cuniculus
ENSBIXP00005020904	ENSBIXG00005023931	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000012545	ENSBIXG00000017613	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000010538	ENSBTAG00000008014	Bos_taurus
ENSBMUP00000025715	ENSBMUG00000019277	Bos_mutus
ENSBBBP00000006112	ENSBBBG00000014726	Bison_bison_bison
ENSCHIP00000029466	ENSCHIG00000024557	Capra_hircus
ENSSSCP00000003354	ENSSSCG00000003098	Sus_scrofa_strain_reference
ENSTTRP00000001515	ENSTTRG00000001607	Tursiops_truncatus
ENSPVAP00000003363	ENSPVAG00000003557	Pteropus_vampyrus
ENSVPAP00000005322	ENSVPAG00000005731	Vicugna_pacos
ENSOARP00000011348	ENSOARG00000010573	Ovis_aries
ENSMLUP00000020742	ENSMLUG00000025083	Myotis_lucifugus
ENSEASP00005005373	ENSEASG00005003995	Equus_asinus_asinus
ENSMPUP00000005237	ENSMPUG00000005275	Mustela_putorius_furo
ENSNVIP00000012103	ENSNVIG00000009605	Neovison_vison
ENSCAFP00020001935	ENSCAFG00020001676	Canis_lupus_dingo
ENSVVUP00000003547	ENSVVUG00000002773	Vulpes_vulpes
ENSUMAP00000032910	ENSUMAG00000023710	Ursus_maritimus
ENSUAMP00000004396	ENSUAMG00000002482	Ursus_americanus
ENSAMEP00000009058	ENSAMEG00000008577	Ailuropoda_melanoleuca
ENSPPRP00000016940	ENSPPRG00000009086	Panthera_pardus
ENSFCAP00000013159	ENSFCAG00000014185	Felis_catus
ENSPTIP00000016345	ENSPTIG00000015154	Panthera_tigris_altaica
ENSGGOP00000024743	ENSGGOG00000024504	Gorilla_gorilla
ENSGGOP00000007406	ENSGGOG00000007562	Gorilla_gorilla
ENSP00000012443	ENSG00000011485	Homo_sapiens
ENSPPAP00000031314	ENSPPAG00000038591	Pan_paniscus
ENSPTRP00000067026	ENSPTRG00000011181	Pan_troglodytes
ENSPPYP00000011348	ENSPPYG00000010148	Pongo_abelii
ENSNLEP00000003310	ENSNLEG00000002629	Nomascus_leucogenys
ENSTGEP00000028102	ENSTGEG00000022631	Theropithecus_gelada
ENSCSAP00000014980	ENSCSAG00000003061	Chlorocebus_sabaeus
ENSMNEP00000011128	ENSMNEG00000029801	Macaca_nemestrina
ENSMFAP00000043721	ENSMFAG00000034179	Macaca_fascicularis
ENSPANP00000039376	ENSPANG00000002966	Papio_anubis
ENSMLEP00000039840	ENSMLEG00000043928	Mandrillus_leucophaeus
ENSMMUP00000031561	ENSMMUG00000000217	Macaca_mulatta
ENSCATP00000014975	ENSCATG00000031479	Cercocebus_atys
ENSRROP00000007308	ENSRROG00000027318	Rhinopithecus_roxellana
ENSRBIP00000040094	ENSRBIG00000043486	Rhinopithecus_bieti
ENSPTEP00000041827	ENSPTEG00000038250	Piliocolobus_tephrosceles
ENSCANP00000010750	ENSCANG00000028758	Colobus_angolensis_palliatus
ENSCJAP00000022053	ENSCJAG00000011891	Callithrix_jacchus
ENSSBOP00000037296	ENSSBOG00000034724	Saimiri_boliviensis_boliviensis
ENSCCAP00000006964	ENSCCAG00000021171	Cebus_capucinus_imitator
ENSANAP00000042135	ENSANAG00000038336	Aotus_nancymaae
ENSTSYP00000023175	ENSTSYG00000002480	Carlito_syrichta
ENSPCOP00000015689	ENSPCOG00000019586	Propithecus_coquereli
ENSPCOP00000004429	ENSPCOG00000012766	Propithecus_coquereli
ENSMICP00000039701	ENSMICG00000031666	Microcebus_murinus
ENSPSMP00000008680	ENSPSMG00000006234	Prolemur_simus
ENSOGAP00000014316	ENSOGAG00000015987	Otolemur_garnettii
ENSTBEP00000002855	ENSTBEG00000003303	Tupaia_belangeri
ENSCCNP00000021940	ENSCCNG00000021660	Castor_canadensis
ENSLAFP00000005652	ENSLAFG00000006728	Loxodonta_africana
