ENSOARP00000000894	ENSOARG00000000866	Ovis_aries
ENSCHIP00000010983	ENSCHIG00000013311	Capra_hircus
ENSBTAP00000042665	ENSBTAG00000031919	Bos_taurus
ENSBMUP00000014731	ENSBMUG00000011200	Bos_mutus
ENSBBBP00000004127	ENSBBBG00000013071	Bison_bison_bison
ENSSSCP00000000517	ENSSSCG00000000487	Sus_scrofa_strain_reference
ENSMPUP00000017395	ENSMPUG00000017506	Mustela_putorius_furo
ENSNVIP00000013252	ENSNVIG00000010458	Neovison_vison
ENSUMAP00000028563	ENSUMAG00000020751	Ursus_maritimus
ENSUAMP00000023847	ENSUAMG00000018658	Ursus_americanus
ENSAMEP00000009009	ENSAMEG00000008562	Ailuropoda_melanoleuca
ENSPPRP00000005347	ENSPPRG00000001138	Panthera_pardus
ENSPTIP00000017527	ENSPTIG00000015940	Panthera_tigris_altaica
ENSFCAP00000013272	ENSFCAG00000014306	Felis_catus
ENSVVUP00000013892	ENSVVUG00000010179	Vulpes_vulpes
ENSCAFP00020021504	ENSCAFG00020017006	Canis_lupus_dingo
ENSECAP00000049314	ENSECAG00000041781	Equus_caballus
ENSEASP00005011443	ENSEASG00005008050	Equus_asinus_asinus
ENSMLUP00000002367	ENSMLUG00000002606	Myotis_lucifugus
ENSPTRP00000045787	ENSPTRG00000005201	Pan_troglodytes
ENSPPAP00000033481	ENSPPAG00000039610	Pan_paniscus
ENSP00000381089	ENSG00000175782	Homo_sapiens
ENSGGOP00000026736	ENSGGOG00000012605	Gorilla_gorilla
ENSPPYP00000005414	ENSPPYG00000004753	Pongo_abelii
ENSNLEP00000004520	ENSNLEG00000003749	Nomascus_leucogenys
ENSMFAP00000022284	ENSMFAG00000004066	Macaca_fascicularis
ENSMMUP00000018634	ENSMMUG00000014187	Macaca_mulatta
ENSMNEP00000042721	ENSMNEG00000044092	Macaca_nemestrina
ENSPANP00000005972	ENSPANG00000009136	Papio_anubis
ENSTGEP00000027690	ENSTGEG00000022345	Theropithecus_gelada
ENSCATP00000038213	ENSCATG00000041806	Cercocebus_atys
ENSMLEP00000029336	ENSMLEG00000038881	Mandrillus_leucophaeus
ENSCSAP00000000603	ENSCSAG00000004248	Chlorocebus_sabaeus
ENSPTEP00000032733	ENSPTEG00000031400	Piliocolobus_tephrosceles
ENSCANP00000017652	ENSCANG00000032275	Colobus_angolensis_palliatus
ENSRBIP00000012214	ENSRBIG00000030051	Rhinopithecus_bieti
ENSRROP00000040105	ENSRROG00000043342	Rhinopithecus_roxellana
ENSCCAP00000027168	ENSCCAG00000031394	Cebus_capucinus_imitator
ENSSBOP00000033520	ENSSBOG00000032921	Saimiri_boliviensis_boliviensis
ENSCJAP00000013861	ENSCJAG00000007448	Callithrix_jacchus
ENSANAP00000031294	ENSANAG00000033390	Aotus_nancymaae
ENSPSMP00000003749	ENSPSMG00000003036	Prolemur_simus
ENSPCOP00000032159	ENSPCOG00000028864	Propithecus_coquereli
ENSMICP00000019990	ENSMICG00000029927	Microcebus_murinus
ENSHGLP00000001124	ENSHGLG00000000887	Heterocephalus_glaber_HetGla_female_1.0
