ENSVURP00010009698	ENSVURG00010007473	Vombatus_ursinus
ENSPCIP00000053819	ENSPCIG00000022995	Phascolarctos_cinereus
ENSMEUP00000015274	ENSMEUG00000016708	Notamacropus_eugenii
ENSSHAP00000015786	ENSSHAG00000013450	Sarcophilus_harrisii
ENSMODP00000000795	ENSMODG00000000665	Monodelphis_domestica
ENSCHOP00000004023	ENSCHOG00000004538	Choloepus_hoffmanni
ENSDNOP00000034484	ENSDNOG00000015792	Dasypus_novemcinctus
ENSLAFP00000021078	ENSLAFG00000008067	Loxodonta_africana
ENSPCAP00000008463	ENSPCAG00000009064	Procavia_capensis
ENSMSIP00000013378	ENSMSIG00000011445	Mus_spicilegus
ENSMUSP00000113998	ENSMUSG00000008730	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0062017	MGP_SPRETEiJ_G0026402	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0059632	MGP_CAROLIEiJ_G0025453	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0070593	MGP_PahariEiJ_G0026897	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000061079	ENSRNOG00000019333	Rattus_norvegicus
ENSMUGP00000017863	ENSMUGG00000015167	Meriones_unguiculatus
ENSCGRP00000007129	ENSCGRG00000005188	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015035460	ENSCGRG00015026618	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001013950	ENSCGRG00001014954	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000004145	ENSMAUG00000004979	Mesocricetus_auratus
ENSMOCP00000009134	ENSMOCG00000009217	Microtus_ochrogaster
ENSPEMP00000023667	ENSPEMG00000020639	Peromyscus_maniculatus_bairdii
ENSNGAP00000023773	ENSNGAG00000022219	Nannospalax_galili
ENSJJAP00000023368	ENSJJAG00000023146	Jaculus_jaculus
ENSCCNP00000024202	ENSCCNG00000023711	Castor_canadensis
ENSSDAP00000001436	ENSSDAG00000001365	Spermophilus_dauricus
ENSSTOP00000021713	ENSSTOG00000020558	Ictidomys_tridecemlineatus
ENSUPAP00010028247	ENSUPAG00010022316	Urocitellus_parryii
ENSP00000407442	ENSG00000163349	Homo_sapiens
ENSGGOP00000045556	ENSGGOG00000012442	Gorilla_gorilla
ENSPPAP00000027189	ENSPPAG00000036666	Pan_paniscus
ENSPTRP00000001943	ENSPTRG00000001130	Pan_troglodytes
ENSPPYP00000001172	ENSPPYG00000001004	Pongo_abelii
ENSNLEP00000031261	ENSNLEG00000004610	Nomascus_leucogenys
ENSCANP00000003174	ENSCANG00000010608	Colobus_angolensis_palliatus
ENSPTEP00000032614	ENSPTEG00000031277	Piliocolobus_tephrosceles
ENSRROP00000002475	ENSRROG00000009739	Rhinopithecus_roxellana
