ENSGALP00000052796	ENSGALG00000042079	Gallus_gallus
ENSMGAP00000012436	ENSMGAG00000011823	Meleagris_gallopavo
ENSCJPP00005025424	ENSCJPG00005019952	Coturnix_japonica
ENSNMEP00000019914	ENSNMEG00000017099	Numida_meleagris
ENSAPLP00000006937	ENSAPLG00000007233	Anas_platyrhynchos_platyrhynchos
ENSABRP00000014708	ENSABRG00000012425	Anser_brachyrhynchus
ENSZALP00000017761	ENSZALG00000014320	Zonotrichia_albicollis
ENSJHYP00000012166	ENSJHYG00000009502	Junco_hyemalis
ENSSCAP00000005373	ENSSCAG00000004302	Serinus_canaria
ENSTGUP00000010696	ENSTGUG00000010336	Taeniopygia_guttata
ENSLSDP00000021490	ENSLSDG00000015194	Lonchura_striata_domestica
ENSFALP00000014092	ENSFALG00000013502	Ficedula_albicollis
ENSCCEP00000022976	ENSCCEG00000020674	Cyanistes_caeruleus
ENSPMJP00000004735	ENSPMJG00000004074	Parus_major
ENSLCOP00000013168	ENSLCOG00000009503	Lepidothrix_coronata
ENSMVIP00005017113	ENSMVIG00005012211	Manacus_vitellinus
ENSCPGP00000003222	ENSCPGG00000002376	Calidris_pygmaea
ENSCPUP00000017036	ENSCPUG00000011743	Calidris_pugnax
ENSMUNP00000022336	ENSMUNG00000016796	Melopsittacus_undulatus
ENSAOWP00000022157	ENSAOWG00000014984	Apteryx_owenii
ENSARWP00000021901	ENSARWG00000014762	Apteryx_rowi
ENSAHAP00000022607	ENSAHAG00000015725	Apteryx_haastii
ENSDNVP00000022760	ENSDNVG00000015832	Dromaius_novaehollandiae
ENSNPEP00000005427	ENSNPEG00000004107	Nothoprocta_perdicaria
ENSCPRP00005023920	ENSCPRG00005016572	Crocodylus_porosus
ENSGAGP00000007772	ENSGAGG00000006198	Gopherus_agassizii
ENSCABP00000013715	ENSCABG00000010264	Chelonoidis_abingdonii
ENSCPBP00000005327	ENSCPBG00000004266	Chrysemys_picta_bellii
ENSPSIP00000006964	ENSPSIG00000006311	Pelodiscus_sinensis
ENSPVIP00000027879	ENSPVIG00000020702	Pogona_vitticeps
ENSACAP00000002222	ENSACAG00000002089	Anolis_carolinensis
ENSNSUP00000024855	ENSNSUG00000017941	Notechis_scutatus
ENSSMRP00000028464	ENSSMRG00000021875	Salvator_merianae
ENSSPUP00000020486	ENSSPUG00000015655	Sphenodon_punctatus
ENSVURP00010005370	ENSVURG00010004209	Vombatus_ursinus
ENSVURP00010006173	ENSVURG00010004793	Vombatus_ursinus
ENSPCIP00000003720	ENSPCIG00000003050	Phascolarctos_cinereus
ENSMEUP00000012878	ENSMEUG00000014106	Notamacropus_eugenii
ENSMODP00000010091	ENSMODG00000008119	Monodelphis_domestica
ENSPPAP00000021963	ENSPPAG00000034176	Pan_paniscus
ENSPTRP00000003607	ENSPTRG00000002135	Pan_troglodytes
ENSP00000264187	ENSG00000116962	Homo_sapiens
ENSGGOP00000025112	ENSGGOG00000000381	Gorilla_gorilla
ENSPPYP00000000091	ENSPPYG00000000091	Pongo_abelii
ENSNLEP00000003819	ENSNLEG00000003070	Nomascus_leucogenys
ENSTGEP00000017282	ENSTGEG00000013957	Theropithecus_gelada
ENSCATP00000004922	ENSCATG00000016642	Cercocebus_atys
ENSMLEP00000024714	ENSMLEG00000036527	Mandrillus_leucophaeus
ENSPANP00000003533	ENSPANG00000010412	Papio_anubis
