ENSGGOP00000033350	ENSGGOG00000037616	Gorilla_gorilla	ENSGGOT00000052717
ENSPTRP00000086166	ENSPTRG00000049447	Pan_troglodytes	ENSPTRT00000089301
ENSMFAP00000010776	ENSMFAG00000009942	Macaca_fascicularis	ENSMFAT00000043234
ENSMNEP00000006421	ENSMNEG00000027419	Macaca_nemestrina	ENSMNET00000030219
ENSMLEP00000035586	ENSMLEG00000041930	Mandrillus_leucophaeus	ENSMLET00000059185
ENSPANP00000028589	ENSPANG00000034161	Papio_anubis	ENSPANT00000044469
ENSPANP00000042715	ENSPANG00000034931	Papio_anubis	ENSPANT00000051321
ENSTGEP00000002045	ENSTGEG00000001810	Theropithecus_gelada	ENSTGET00000002550
ENSPANP00000029791	ENSPANG00000031260	Papio_anubis	ENSPANT00000033686
ENSTGEP00000004996	ENSTGEG00000004181	Theropithecus_gelada	ENSTGET00000006080
ENSMFAP00000015010	ENSMFAG00000030729	Macaca_fascicularis	ENSMFAT00000065529
ENSCATP00000023762	ENSCATG00000035434	Cercocebus_atys	ENSCATT00000047982
ENSPTEP00000026172	ENSPTEG00000026279	Piliocolobus_tephrosceles	ENSPTET00000036849
ENSCJAP00000069635	ENSCJAG00000055680	Callithrix_jacchus	ENSCJAT00000094528
