ENSPTIP00000011942	ENSPTIG00000012187	Panthera_tigris_altaica
ENSPPRP00000017371	ENSPPRG00000009346	Panthera_pardus
ENSPPRP00000006103	ENSPPRG00000001628	Panthera_pardus
ENSCAFP00020022128	ENSCAFG00020017490	Canis_lupus_dingo
ENSVVUP00000011074	ENSVVUG00000008185	Vulpes_vulpes
ENSBBBP00000028248	ENSBBBG00000024861	Bison_bison_bison
ENSCCNP00000005193	ENSCCNG00000005554	Castor_canadensis
ENSSDAP00000021824	ENSSDAG00000019857	Spermophilus_dauricus
ENSPTEP00000027964	ENSPTEG00000027733	Piliocolobus_tephrosceles
ENSVURP00010006325	ENSVURG00010004907	Vombatus_ursinus
ENSVURP00010008014	ENSVURG00010006201	Vombatus_ursinus
ENSPCIP00000020714	ENSPCIG00000015741	Phascolarctos_cinereus
ENSAPLP00000020673	ENSAPLG00000028568	Anas_platyrhynchos_platyrhynchos
