ENSCSEP00000031154	ENSCSEG00000019932	Cynoglossus_semilaevis
ENSPMGP00000025662	ENSPMGG00000020716	Periophthalmus_magnuspinnatus
ENSBSLP00000051390	ENSBSLG00000024320	Betta_splendens
ENSMAMP00000018197	ENSMAMG00000012283	Mastacembelus_armatus
ENSATEP00000002061	ENSATEG00000001474	Anabas_testudineus
ENSSLDP00000004322	ENSSLDG00000003450	Seriola_lalandi_dorsalis
ENSSDUP00000013534	ENSSDUG00000009819	Seriola_dumerili
ENSSMAP00000014627	ENSSMAG00000008967	Scophthalmus_maximus
ENSLCRP00005000226	ENSLCRG00005000157	Larimichthys_crocea
ENSLBEP00000029557	ENSLBEG00000022368	Labrus_bergylta
ENSAPEP00000016364	ENSAPEG00000011683	Amphiprion_percula
ENSAOCP00000027072	ENSAOCG00000015615	Amphiprion_ocellaris
ENSAPOP00000000941	ENSAPOG00000002174	Acanthochromis_polyacanthus
ENSSPAP00000011442	ENSSPAG00000008702	Stegastes_partitus
ENSACLP00000002198	ENSACLG00000001513	Astatotilapia_calliptera
ENSMZEP00005011720	ENSMZEG00005008796	Maylandia_zebra
ENSHBUP00000023316	ENSHBUG00000004038	Haplochromis_burtoni
ENSNBRP00000022907	ENSNBRG00000016976	Neolamprologus_brichardi
ENSPNYP00000000218	ENSPNYG00000000170	Pundamilia_nyererei
ENSONIP00000022275	ENSONIG00000017665	Oreochromis_niloticus
ENSACIP00000021274	ENSACIG00000016009	Amphilophus_citrinellus
ENSPRNP00000053821	ENSPRNG00000025290	Parambassis_ranga
ENSXMAP00000010360	ENSXMAG00000010315	Xiphophorus_maculatus
ENSXCOP00000013710	ENSXCOG00000010371	Xiphophorus_couchianus
ENSGAFP00000010104	ENSGAFG00000006862	Gambusia_affinis
ENSPFOP00000000386	ENSPFOG00000000301	Poecilia_formosa
ENSPFOP00000000887	ENSPFOG00000000776	Poecilia_formosa
ENSPMEP00000002533	ENSPMEG00000003594	Poecilia_mexicana
ENSPLAP00000013755	ENSPLAG00000000394	Poecilia_latipinna
ENSPREP00000029042	ENSPREG00000019651	Poecilia_reticulata
ENSFHEP00000025250	ENSFHEG00000007352	Fundulus_heteroclitus
ENSCVAP00000026548	ENSCVAG00000013235	Cyprinodon_variegatus
ENSKMAP00000012136	ENSKMAG00000009132	Kryptolebias_marmoratus
ENSORLP00000009292	ENSORLG00000007413	Oryzias_latipes_ASM223467v1
ENSORLP00015025341	ENSORLG00015006393	Oryzias_latipes_ASM223469v1
ENSORLP00020005560	ENSORLG00020006413	Oryzias_latipes_ASM223471v1
ENSOMEP00000010164	ENSOMEG00000011448	Oryzias_melastigma
ENSMALP00000007088	ENSMALG00000005029	Monopterus_albus
ENSLCAP00010015133	ENSLCAG00010007141	Lates_calcarifer
ENSCGOP00000031048	ENSCGOG00000014207	Cottoperca_gobio
ENSMMOP00000012167	ENSMMOG00000009350	Mola_mola
ENSGACP00000024384	ENSGACG00000018444	Gasterosteus_aculeatus
ENSTRUP00000024767	ENSTRUG00000009860	Takifugu_rubripes
ENSTNIP00000001335	ENSTNIG00000017068	Tetraodon_nigroviridis
ENSGWIP00000051730	ENSGWIG00000024825	Gouania_willdenowi
ENSHCOP00000002660	ENSHCOG00000003858	Hippocampus_comes
ENSGMOP00000016569	ENSGMOG00000015440	Gadus_morhua
ENSHHUP00000011114	ENSHHUG00000006797	Hucho_hucho
ENSHHUP00000011264	ENSHHUG00000006826	Hucho_hucho
ENSHHUP00000018553	ENSHHUG00000011544	Hucho_hucho
ENSELUP00000004312	ENSELUG00000005473	Esox_lucius
ENSPKIP00000015875	ENSPKIG00000002429	Paramormyrops_kingsleyae
ENSAMXP00005035369	ENSAMXG00005016962	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000014189	ENSAMXG00000013794	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000014189
ENSPNAP00000033736	ENSPNAG00000022567	Pygocentrus_nattereri
ENSIPUP00000004549	ENSIPUG00000003200	Ictalurus_punctatus
ENSEEEP00000046224	ENSEEEG00000021757	Electrophorus_electricus
ENSDARP00000087985	ENSDARG00000067545	Danio_rerio
ENSDCDP00000018521	ENSDCDG00000014896	Denticeps_clupeoides
ENSDCDP00000016117	ENSDCDG00000012894	Denticeps_clupeoides
ENSCHAP00000039214	ENSCHAG00000018347	Clupea_harengus
ENSPKIP00000016045	ENSPKIG00000002484	Paramormyrops_kingsleyae
ENSSFOP00015027482	ENSSFOG00015017640	Scleropages_formosus
ENSLOCP00000011279	ENSLOCG00000009244	Lepisosteus_oculatus
ENSECRP00000018674	ENSECRG00000012360	Erpetoichthys_calabaricus
ENSACAP00000003391	ENSACAG00000003397	Anolis_carolinensis
ENSPVIP00000034287	ENSPVIG00000025046	Pogona_vitticeps
ENSNSUP00000026548	ENSNSUG00000019048	Notechis_scutatus
ENSSMRP00000022798	ENSSMRG00000017682	Salvator_merianae
ENSSPUP00000009102	ENSSPUG00000007079	Sphenodon_punctatus
ENSMVIP00005023755	ENSMVIG00005016633	Manacus_vitellinus
ENSLCOP00000010935	ENSLCOG00000007945	Lepidothrix_coronata
ENSSCAP00000018072	ENSSCAG00000013049	Serinus_canaria
ENSZALP00000012550	ENSZALG00000010515	Zonotrichia_albicollis
ENSLSDP00000000403	ENSLSDG00000000323	Lonchura_striata_domestica
ENSTGUP00000000639	ENSTGUG00000000622	Taeniopygia_guttata
ENSFALP00000008820	ENSFALG00000008445	Ficedula_albicollis
ENSPMJP00000009681	ENSPMJG00000007716	Parus_major
ENSCCEP00000007506	ENSCCEG00000007556	Cyanistes_caeruleus
ENSCPUP00000001064	ENSCPUG00000000837	Calidris_pugnax
ENSCPGP00000022311	ENSCPGG00000015450	Calidris_pygmaea
ENSMUNP00000007112	ENSMUNG00000005681	Melopsittacus_undulatus
ENSABRP00000019690	ENSABRG00000016868	Anser_brachyrhynchus
ENSAPLP00000021369	ENSAPLG00000013888	Anas_platyrhynchos_platyrhynchos
ENSGALP00000005930	ENSGALG00000003744	Gallus_gallus
ENSCJPP00005013445	ENSCJPG00005011338	Coturnix_japonica
ENSMGAP00000004967	ENSMGAG00000004996	Meleagris_gallopavo
ENSNMEP00000021036	ENSNMEG00000018041	Numida_meleagris
ENSAOWP00000015111	ENSAOWG00000010179	Apteryx_owenii
ENSARWP00000007274	ENSARWG00000005104	Apteryx_rowi
ENSAHAP00000002493	ENSAHAG00000001480	Apteryx_haastii
ENSDNVP00000002654	ENSDNVG00000001894	Dromaius_novaehollandiae
ENSNPEP00000006648	ENSNPEG00000004994	Nothoprocta_perdicaria
ENSCPRP00005019067	ENSCPRG00005013333	Crocodylus_porosus
ENSCPBP00000001942	ENSCPBG00000001580	Chrysemys_picta_bellii
ENSCPBP00000001985	ENSCPBG00000001605	Chrysemys_picta_bellii
ENSGAGP00000023179	ENSGAGG00000016989	Gopherus_agassizii
ENSCABP00000009942	ENSCABG00000007470	Chelonoidis_abingdonii
ENSPSIP00000004416	ENSPSIG00000004119	Pelodiscus_sinensis
ENSPTRP00000029845	ENSPTRG00000017470	Pan_troglodytes
ENSPPAP00000017935	ENSPPAG00000032090	Pan_paniscus
ENSP00000257527	ENSG00000135074	Homo_sapiens
ENSGGOP00000013814	ENSGGOG00000014156	Gorilla_gorilla
ENSNLEP00000005017	ENSNLEG00000004135	Nomascus_leucogenys
ENSMLEP00000021341	ENSMLEG00000034880	Mandrillus_leucophaeus
ENSCATP00000016747	ENSCATG00000032288	Cercocebus_atys
ENSMFAP00000042905	ENSMFAG00000034190	Macaca_fascicularis
ENSMMUP00000068374	ENSMMUG00000021549	Macaca_mulatta
ENSMNEP00000041291	ENSMNEG00000043474	Macaca_nemestrina
ENSCSAP00000006837	ENSCSAG00000010615	Chlorocebus_sabaeus
