ENSCCNP00000032569	ENSCCNG00000030880	Castor_canadensis	ENSCCNT00000040880
ENSDORP00000017511	ENSDORG00000024036	Dipodomys_ordii	ENSDORT00000034921
ENSMUGP00000008524	ENSMUGG00000007694	Meriones_unguiculatus	ENSMUGT00000010045
ENSUPAP00010026681	ENSUPAG00010021104	Urocitellus_parryii	ENSUPAT00010030382
ENSCLAP00000023641	ENSCLAG00000016218	Chinchilla_lanigera	ENSCLAT00000023866
ENSOCUP00000018856	ENSOCUG00000022392	Oryctolagus_cuniculus	ENSOCUT00000032094
ENSOPRP00000006362	ENSOPRG00000006956	Ochotona_princeps	ENSOPRT00000006947
ENSGGOP00000006525	ENSGGOG00000006672	Gorilla_gorilla	ENSGGOT00000006696
ENSP00000413405	ENSG00000119227	Homo_sapiens	ENST00000412723
ENSPTRP00000085739	ENSPTRG00000045912	Pan_troglodytes
ENSPPAP00000036476	ENSPPAG00000040999	Pan_paniscus
ENSPPYP00000016160	ENSPPYG00000014451	Pongo_abelii
ENSTGEP00000033489	ENSTGEG00000026742	Theropithecus_gelada
ENSPANP00000008254	ENSPANG00000004650	Papio_anubis
ENSCATP00000040125	ENSCATG00000042638	Cercocebus_atys
ENSCSAP00000004971	ENSCSAG00000008709	Chlorocebus_sabaeus
ENSMMUP00000068476	ENSMMUG00000031409	Macaca_mulatta
ENSMFAP00000029086	ENSMFAG00000041828	Macaca_fascicularis
ENSRBIP00000011055	ENSRBIG00000029378	Rhinopithecus_bieti
ENSRROP00000010194	ENSRROG00000029507	Rhinopithecus_roxellana
ENSSBOP00000029922	ENSSBOG00000031263	Saimiri_boliviensis_boliviensis
ENSCJAP00000066137	ENSCJAG00000044486	Callithrix_jacchus
ENSPSMP00000010194	ENSPSMG00000007417	Prolemur_simus
ENSMICP00000051492	ENSMICG00000049336	Microcebus_murinus
ENSCHOP00000001042	ENSCHOG00000001176	Choloepus_hoffmanni
ENSNVIP00000010003	ENSNVIG00000007890	Neovison_vison
ENSETEP00000002284	ENSETEG00000002791	Echinops_telfairi
ENSCGRP00015029472	ENSCGRG00015022252	Cricetulus_griseus_CriGri-PICR
ENSMUGP00000008516	ENSMUGG00000007688	Meriones_unguiculatus
ENSCMIP00000019570	ENSCMIG00000009110	Callorhinchus_milii
