ENSPREP00000015915	ENSPREG00000010733	Poecilia_reticulata
ENSLCAP00010025526	ENSLCAG00010011934	Lates_calcarifer
ENSBSLP00000048577	ENSBSLG00000023143	Betta_splendens
ENSAMXP00005030654	ENSAMXG00005015023	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSLAFP00000011237	ENSLAFG00000013431	Loxodonta_africana
ENSOCUP00000013700	ENSOCUG00000015948	Oryctolagus_cuniculus
ENSLCOP00000017404	ENSLCOG00000012315	Lepidothrix_coronata
ENSPKIP00000008770	ENSPKIG00000024121	Paramormyrops_kingsleyae
ENSPEMP00000021318	ENSPEMG00000019006	Peromyscus_maniculatus_bairdii
ENSCHIP00000021030	ENSCHIG00000019482	Capra_hircus
ENSPNYP00000004089	ENSPNYG00000003189	Pundamilia_nyererei
ENSHHUP00000014017	ENSHHUG00000008670	Hucho_hucho
ENSSMAP00000012849	ENSSMAG00000007917	Scophthalmus_maximus
ENSGWIP00000028430	ENSGWIG00000014827	Gouania_willdenowi
ENSAOCP00000030108	ENSAOCG00000001538	Amphiprion_ocellaris
ENSTGEP00000013590	ENSTGEG00000011039	Theropithecus_gelada
ENSRROP00000016924	ENSRROG00000032581	Rhinopithecus_roxellana
ENSSPAP00000022756	ENSSPAG00000017191	Stegastes_partitus
ENSORLP00020001119	ENSORLG00020001827	Oryzias_latipes_ASM223471v1
ENSVVUP00000033031	ENSVVUG00000023882	Vulpes_vulpes
ENSACLP00000038844	ENSACLG00000026204	Astatotilapia_calliptera
ENSLOCP00000015239	ENSLOCG00000012378	Lepisosteus_oculatus
ENSRNOP00000027782	ENSRNOG00000020487	Rattus_norvegicus
ENSATEP00000008499	ENSATEG00000005968	Anabas_testudineus
ENSMFAP00000011487	ENSMFAG00000016209	Macaca_fascicularis
ENSHCOP00000008806	ENSHCOG00000011136	Hippocampus_comes
ENSFCAP00000012181	ENSFCAG00000013134	Felis_catus
ENSCGOP00000013764	ENSCGOG00000006719	Cottoperca_gobio
ENSMEUP00000010630	ENSMEUG00000011666	Notamacropus_eugenii
ENSCSAP00000017650	ENSCSAG00000000349	Chlorocebus_sabaeus
ENSTBEP00000015217	ENSTBEG00000017499	Tupaia_belangeri
ENSJJAP00000020227	ENSJJAG00000020968	Jaculus_jaculus
ENSODEP00000024690	ENSODEG00000018075	Octodon_degus
ENSPANP00000030190	ENSPANG00000029623	Papio_anubis
ENSORLP00000041896	ENSORLG00000030078	Oryzias_latipes_ASM223467v1
ENSPTEP00000013825	ENSPTEG00000015459	Piliocolobus_tephrosceles
ENSUAMP00000016555	ENSUAMG00000013173	Ursus_americanus
ENSLCRP00005062656	ENSLCRG00005023004	Larimichthys_crocea
ENSNVIP00000017130	ENSNVIG00000013432	Neovison_vison
ENSPTEP00000017029	ENSPTEG00000018590	Piliocolobus_tephrosceles
ENSMSIP00000007539	ENSMSIG00000006709	Mus_spicilegus
ENSXCOP00000005069	ENSXCOG00000003981	Xiphophorus_couchianus
ENSOGAP00000008873	ENSOGAG00000009928	Otolemur_garnettii
F35D11.5.1	WBGene00018046	Caenorhabditis_elegans_strain_N2
ENSCAFP00020016277	ENSCAFG00020013061	Canis_lupus_dingo
ENSMNEP00000036868	ENSMNEG00000041517	Macaca_nemestrina
ENSECAP00000021043	ENSECAG00000023640	Equus_caballus
ENSMPUP00000010038	ENSMPUG00000010114	Mustela_putorius_furo
ENSAPEP00000003307	ENSAPEG00000002385	Amphiprion_percula
ENSPTIP00000011643	ENSPTIG00000011990	Panthera_tigris_altaica
ENSPCOP00000004693	ENSPCOG00000013088	Propithecus_coquereli
ENSBBBP00000018474	ENSBBBG00000011374	Bison_bison_bison
ENSMZEP00005007817	ENSMZEG00005005964	Maylandia_zebra
ENSMUGP00000027885	ENSMUGG00000023179	Meriones_unguiculatus
