ENSPNAP00000012155	ENSPNAG00000003501	Pygocentrus_nattereri
ENSAMXP00000007883	ENSAMXG00000007669	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSIPUP00000000968	ENSIPUG00000000699	Ictalurus_punctatus
ENSEEEP00000024849	ENSEEEG00000012038	Electrophorus_electricus
ENSDARP00000117151	ENSDARG00000094451	Danio_rerio
ENSDARP00000119415	ENSDARG00000078114	Danio_rerio
ENSDCDP00000017705	ENSDCDG00000014429	Denticeps_clupeoides
ENSELUP00000013950	ENSELUG00000014011	Esox_lucius
ENSSFOP00015016478	ENSSFOG00015010621	Scleropages_formosus
ENSLOCP00000017633	ENSLOCG00000014318	Lepisosteus_oculatus
ENSECRP00000022470	ENSECRG00000015204	Erpetoichthys_calabaricus
ENSLCRP00005059895	ENSLCRG00005022155	Larimichthys_crocea
ENSTRUP00000001416	ENSTRUG00000000591	Takifugu_rubripes
ENSMAMP00000017564	ENSMAMG00000011103	Mastacembelus_armatus
ENSACAP00000010758	ENSACAG00000010932	Anolis_carolinensis	ENSACAT00000010981
ENSPVIP00000002357	ENSPVIG00000002017	Pogona_vitticeps	ENSPVIT00000003048
ENSNSUP00000027237	ENSNSUG00000019512	Notechis_scutatus
ENSSMRP00000006941	ENSSMRG00000005619	Salvator_merianae
ENSGAGP00000013987	ENSGAGG00000010647	Gopherus_agassizii
ENSCABP00000026609	ENSCABG00000019540	Chelonoidis_abingdonii
ENSDORP00000000959	ENSDORG00000001021	Dipodomys_ordii
ENSCCNP00000030362	ENSCCNG00000029073	Castor_canadensis
ENSCGRP00001009691	ENSCGRG00001011752	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000006936	ENSCGRG00000005054	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015004825	ENSCGRG00015003774	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000011837	ENSMAUG00000012322	Mesocricetus_auratus
ENSPEMP00000027934	ENSPEMG00000023601	Peromyscus_maniculatus_bairdii
ENSMSIP00000021538	ENSMSIG00000018268	Mus_spicilegus
ENSMUSP00000001156	ENSMUSG00000001128	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0094886	MGP_SPRETEiJ_G0034120	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0091137	MGP_CAROLIEiJ_G0032970	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0088777	MGP_PahariEiJ_G0031513	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000031039	ENSRNOG00000025811	Rattus_norvegicus
ENSMUGP00000005825	ENSMUGG00000005372	Meriones_unguiculatus
ENSNGAP00000012708	ENSNGAG00000014488	Nannospalax_galili
ENSJJAP00000003968	ENSJJAG00000008020	Jaculus_jaculus
ENSUPAP00010021557	ENSUPAG00010017141	Urocitellus_parryii
ENSSTOP00000008903	ENSSTOG00000009926	Ictidomys_tridecemlineatus
ENSSDAP00000000098	ENSSDAG00000000121	Spermophilus_dauricus
ENSMMMP00000013984	ENSMMMG00000012461	Marmota_marmota_marmota
ENSHGLP00100000491	ENSHGLG00100000413	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000001155	ENSHGLG00000000905	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000005265	ENSFDAG00000014332	Fukomys_damarensis
ENSCLAP00000002849	ENSCLAG00000002051	Chinchilla_lanigera
ENSODEP00000012327	ENSODEG00000009141	Octodon_degus
ENSCPOP00000006537	ENSCPOG00000007256	Cavia_porcellus
ENSCAPP00000008581	ENSCAPG00000010257	Cavia_aperea
ENSOCUP00000013701	ENSOCUG00000015944	Oryctolagus_cuniculus
ENSOPRP00000005014	ENSOPRG00000005451	Ochotona_princeps
ENSTBEP00000007822	ENSTBEG00000009026	Tupaia_belangeri
ENSPPAP00000033805	ENSPPAG00000039755	Pan_paniscus
ENSPTRP00000037513	ENSPTRG00000021849	Pan_troglodytes
ENSGGOP00000008516	ENSGGOG00000008708	Gorilla_gorilla
ENSP00000247153	ENSG00000126759	Homo_sapiens
ENSPPYP00000022718	ENSPPYG00000020298	Pongo_abelii
ENSNLEP00000004138	ENSNLEG00000003373	Nomascus_leucogenys
ENSMLEP00000029027	ENSMLEG00000038719	Mandrillus_leucophaeus
ENSCATP00000043489	ENSCATG00000044282	Cercocebus_atys
ENSMMUP00000041095	ENSMMUG00000032465	Macaca_mulatta
ENSMFAP00000018354	ENSMFAG00000032256	Macaca_fascicularis
ENSMNEP00000004855	ENSMNEG00000022170	Macaca_nemestrina
ENSPANP00000001236	ENSPANG00000012370	Papio_anubis
ENSTGEP00000006354	ENSTGEG00000005214	Theropithecus_gelada
ENSCSAP00000009771	ENSCSAG00000013608	Chlorocebus_sabaeus
ENSCANP00000018465	ENSCANG00000032680	Colobus_angolensis_palliatus
ENSPTEP00000008849	ENSPTEG00000010048	Piliocolobus_tephrosceles
ENSRROP00000036094	ENSRROG00000041514	Rhinopithecus_roxellana
ENSRBIP00000020006	ENSRBIG00000033991	Rhinopithecus_bieti
ENSSBOP00000027371	ENSSBOG00000030100	Saimiri_boliviensis_boliviensis
ENSCCAP00000016564	ENSCCAG00000026071	Cebus_capucinus_imitator
ENSCJAP00000023066	ENSCJAG00000012592	Callithrix_jacchus
ENSANAP00000028193	ENSANAG00000031945	Aotus_nancymaae
ENSTSYP00000010691	ENSTSYG00000011642	Carlito_syrichta
ENSPCOP00000028895	ENSPCOG00000027123	Propithecus_coquereli
ENSMICP00000041485	ENSMICG00000047059	Microcebus_murinus
ENSPSMP00000023068	ENSPSMG00000016328	Prolemur_simus
ENSOGAP00000010386	ENSOGAG00000011605	Otolemur_garnettii
ENSBTAP00000064331	ENSBTAG00000015815	Bos_taurus
ENSBMUP00000034864	ENSBMUG00000025953	Bos_mutus
ENSBIXP00000005634	ENSBIXG00000011798	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000013479	ENSBBBG00000021165	Bison_bison_bison
ENSOARP00000013793	ENSOARG00000012877	Ovis_aries
ENSCHIP00000023375	ENSCHIG00000020966	Capra_hircus
ENSTTRP00000009486	ENSTTRG00000010000	Tursiops_truncatus
ENSSSCP00000030234	ENSSSCG00000012278	Sus_scrofa_strain_reference
ENSECAP00000015357	ENSECAG00000017644	Equus_caballus
ENSEASP00005006443	ENSEASG00005004762	Equus_asinus_asinus
ENSPVAP00000005038	ENSPVAG00000005321	Pteropus_vampyrus
ENSMLUP00000020046	ENSMLUG00000028893	Myotis_lucifugus
ENSAMEP00000013568	ENSAMEG00000012869	Ailuropoda_melanoleuca
ENSUAMP00000027708	ENSUAMG00000021417	Ursus_americanus
ENSMPUP00000013296	ENSMPUG00000013395	Mustela_putorius_furo
ENSNVIP00000022542	ENSNVIG00000017541	Neovison_vison
ENSCAFP00020027231	ENSCAFG00020021367	Canis_lupus_dingo
ENSCAFP00000022343	ENSCAFG00000015163	Canis_lupus_familiaris
ENSVVUP00000023938	ENSVVUG00000017556	Vulpes_vulpes
ENSPPRP00000010551	ENSPPRG00000004673	Panthera_pardus
ENSPTIP00000019937	ENSPTIG00000017568	Panthera_tigris_altaica
ENSFCAP00000007591	ENSFCAG00000008191	Felis_catus
ENSEEUP00000012367	ENSEEUG00000013560	Erinaceus_europaeus
ENSSARP00000007144	ENSSARG00000007892	Sorex_araneus
ENSLAFP00000003336	ENSLAFG00000003998	Loxodonta_africana
ENSPCAP00000013225	ENSPCAG00000014143	Procavia_capensis
ENSETEP00000008673	ENSETEG00000010675	Echinops_telfairi
ENSDNOP00000034758	ENSDNOG00000043948	Dasypus_novemcinctus
ENSMOCP00000008685	ENSMOCG00000008725	Microtus_ochrogaster
ENSPCIP00000039222	ENSPCIG00000028802	Phascolarctos_cinereus
ENSVURP00010017043	ENSVURG00010013041	Vombatus_ursinus
ENSMODP00000013517	ENSMODG00000010789	Monodelphis_domestica
