ENSCPGP00000013093	ENSCPGG00000009276	Calidris_pygmaea	ENSCPGT00000014352
ENSCPUP00000029334	ENSCPUG00000019652	Calidris_pugnax	ENSCPUT00000034530
ENSABRP00000013887	ENSABRG00000012111	Anser_brachyrhynchus
ENSAOWP00000018523	ENSAOWG00000012589	Apteryx_owenii
ENSARWP00000027602	ENSARWG00000018660	Apteryx_rowi
ENSAHAP00000019251	ENSAHAG00000013579	Apteryx_haastii
ENSDNVP00000020254	ENSDNVG00000014160	Dromaius_novaehollandiae
ENSCPRP00005024536	ENSCPRG00005017060	Crocodylus_porosus
ENSGAGP00000019208	ENSGAGG00000014197	Gopherus_agassizii
ENSCABP00000024966	ENSCABG00000018369	Chelonoidis_abingdonii
ENSCPBP00000020813	ENSCPBG00000014938	Chrysemys_picta_bellii
ENSPSIP00000011594	ENSPSIG00000010426	Pelodiscus_sinensis
ENSNSUP00000022140	ENSNSUG00000016098	Notechis_scutatus
ENSSMRP00000007637	ENSSMRG00000006115	Salvator_merianae
ENSSPUP00000011872	ENSSPUG00000008997	Sphenodon_punctatus
ENSVURP00010013688	ENSVURG00010010446	Vombatus_ursinus
ENSPCIP00000045932	ENSPCIG00000019608	Phascolarctos_cinereus
ENSSHAP00000001399	ENSSHAG00000001246	Sarcophilus_harrisii
ENSMEUP00000000172	ENSMEUG00000000180	Notamacropus_eugenii
ENSMODP00000018697	ENSMODG00000014951	Monodelphis_domestica
ENSPTRP00000082326	ENSPTRG00000048166	Pan_troglodytes
ENSPTRP00000018181	ENSPTRG00000010653	Pan_troglodytes
ENSPPAP00000018435	ENSPPAG00000032301	Pan_paniscus
ENSP00000428579	ENSG00000188039	Homo_sapiens
ENSGGOP00000015952	ENSGGOG00000016341	Gorilla_gorilla
ENSPPYP00000010866	ENSPPYG00000009696	Pongo_abelii
ENSNLEP00000006763	ENSNLEG00000005585	Nomascus_leucogenys
ENSTGEP00000013768	ENSTGEG00000011163	Theropithecus_gelada
ENSPANP00000035159	ENSPANG00000034320	Papio_anubis
ENSCATP00000004877	ENSCATG00000016343	Cercocebus_atys
ENSMLEP00000009626	ENSMLEG00000028951	Mandrillus_leucophaeus
ENSMFAP00000034578	ENSMFAG00000003774	Macaca_fascicularis
ENSMNEP00000011059	ENSMNEG00000029893	Macaca_nemestrina
ENSMMUP00000024346	ENSMMUG00000018503	Macaca_mulatta
ENSCSAP00000002006	ENSCSAG00000005700	Chlorocebus_sabaeus
ENSRROP00000011019	ENSRROG00000029874	Rhinopithecus_roxellana
ENSRBIP00000037209	ENSRBIG00000042201	Rhinopithecus_bieti
ENSPTEP00000035685	ENSPTEG00000033630	Piliocolobus_tephrosceles
ENSCANP00000016907	ENSCANG00000031897	Colobus_angolensis_palliatus
ENSSBOP00000027681	ENSSBOG00000030232	Saimiri_boliviensis_boliviensis
ENSCJAP00000017255	ENSCJAG00000009420	Callithrix_jacchus
ENSCCAP00000030670	ENSCCAG00000033354	Cebus_capucinus_imitator
ENSANAP00000003746	ENSANAG00000019827	Aotus_nancymaae
ENSTSYP00000023213	ENSTSYG00000007884	Carlito_syrichta
ENSPCOP00000024643	ENSPCOG00000024527	Propithecus_coquereli
ENSPSMP00000020999	ENSPSMG00000014864	Prolemur_simus
ENSMICP00000003149	ENSMICG00000003445	Microcebus_murinus
ENSOGAP00000005429	ENSOGAG00000006070	Otolemur_garnettii
ENSMUSP00000124804	ENSMUSG00000048148	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0088527	MGP_SPRETEiJ_G0032346	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000032142	ENSMSIG00000026898	Mus_spicilegus
MGP_CAROLIEiJ_P0085022	MGP_CAROLIEiJ_G0031225	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0047882	MGP_PahariEiJ_G0021690	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000069961	ENSRNOG00000052129	Rattus_norvegicus
ENSMUGP00000015621	ENSMUGG00000013439	Meriones_unguiculatus
ENSPEMP00000027932	ENSPEMG00000023600	Peromyscus_maniculatus_bairdii
ENSMOCP00000010994	ENSMOCG00000011227	Microtus_ochrogaster
ENSCGRP00001012138	ENSCGRG00001013606	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015008270	ENSCGRG00015006353	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000007178	ENSCGRG00000005219	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000012505	ENSMAUG00000012768	Mesocricetus_auratus
ENSNGAP00000015644	ENSNGAG00000016596	Nannospalax_galili
ENSJJAP00000014986	ENSJJAG00000017294	Jaculus_jaculus
ENSUPAP00010027373	ENSUPAG00010021632	Urocitellus_parryii
ENSSDAP00000008945	ENSSDAG00000008080	Spermophilus_dauricus
ENSMMMP00000026499	ENSMMMG00000023213	Marmota_marmota_marmota
ENSSTOP00000013103	ENSSTOG00000014626	Ictidomys_tridecemlineatus
ENSBTAP00000064265	ENSBTAG00000009328	Bos_taurus
ENSBIXP00000042533	ENSBIXG00000026549	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005011351	ENSBIXG00005015837	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000011454	ENSBMUG00000008693	Bos_mutus
ENSBBBP00000003436	ENSBBBG00000012497	Bison_bison_bison
ENSCHIP00000005752	ENSCHIG00000009765	Capra_hircus
ENSOARP00000019970	ENSOARG00000018596	Ovis_aries
ENSTTRP00000014242	ENSTTRG00000015023	Tursiops_truncatus
ENSSSCP00000054369	ENSSSCG00000013865	Sus_scrofa_strain_reference
ENSUMAP00000016873	ENSUMAG00000012380	Ursus_maritimus
ENSUAMP00000012757	ENSUAMG00000010305	Ursus_americanus
ENSAMEP00000010651	ENSAMEG00000010118	Ailuropoda_melanoleuca
ENSNVIP00000019639	ENSNVIG00000015394	Neovison_vison
ENSMPUP00000015910	ENSMPUG00000016016	Mustela_putorius_furo
ENSCAFP00020012780	ENSCAFG00020010280	Canis_lupus_dingo
ENSCAFP00000065937	ENSCAFG00000015626	Canis_lupus_familiaris
ENSVVUP00000022465	ENSVVUG00000016498	Vulpes_vulpes
ENSPTIP00000002353	ENSPTIG00000005272	Panthera_tigris_altaica
ENSPPRP00000003744	ENSPPRG00000000158	Panthera_pardus
ENSFCAP00000012218	ENSFCAG00000013175	Felis_catus
ENSPVAP00000004099	ENSPVAG00000004329	Pteropus_vampyrus
ENSMLUP00000012657	ENSMLUG00000013904	Myotis_lucifugus
ENSECAP00000013831	ENSECAG00000016197	Equus_caballus
ENSEASP00005000563	ENSEASG00005000508	Equus_asinus_asinus
ENSLAFP00000005980	ENSLAFG00000007110	Loxodonta_africana
ENSPCAP00000013726	ENSPCAG00000014631	Procavia_capensis
ENSETEP00000004799	ENSETEG00000005913	Echinops_telfairi
ENSDNOP00000031600	ENSDNOG00000044492	Dasypus_novemcinctus
ENSOPRP00000013695	ENSOPRG00000014979	Ochotona_princeps
ENSCLAP00000010816	ENSCLAG00000007464	Chinchilla_lanigera
ENSODEP00000002141	ENSODEG00000001676	Octodon_degus
ENSCPOP00000020000	ENSCPOG00000024668	Cavia_porcellus
ENSCAPP00000017268	ENSCAPG00000016965	Cavia_aperea
ENSHGLP00000003200	ENSHGLG00000002377	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016989	ENSHGLG00100012531	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000006605	ENSFDAG00000015343	Fukomys_damarensis
ENSDNOP00000033033	ENSDNOG00000039700	Dasypus_novemcinctus
ENSSARP00000003051	ENSSARG00000003328	Sorex_araneus
ENSOANP00000012530	ENSOANG00000007868	Ornithorhynchus_anatinus
ENSXETP00000048781	ENSXETG00000020984	Xenopus_tropicalis
ENSLACP00000020611	ENSLACG00000018112	Latimeria_chalumnae
ENSSFOP00015034311	ENSSFOG00015021848	Scleropages_formosus
ENSPKIP00000018022	ENSPKIG00000003695	Paramormyrops_kingsleyae
ENSECRP00000017766	ENSECRG00000011849	Erpetoichthys_calabaricus
