ENSLAFP00000024876	ENSLAFG00000027018	Loxodonta_africana	ENSLAFT00000035036
ENSLAFP00000025054	ENSLAFG00000029259	Loxodonta_africana	ENSLAFT00000037398
ENSPCAP00000012145	ENSPCAG00000013049	Procavia_capensis	ENSPCAT00000013001
ENSUAMP00000005632	ENSUAMG00000004993	Ursus_americanus
ENSUMAP00000011494	ENSUMAG00000008645	Ursus_maritimus
ENSAMEP00000016105	ENSAMEG00000015285	Ailuropoda_melanoleuca
ENSNVIP00000011051	ENSNVIG00000008757	Neovison_vison
ENSMPUP00000003567	ENSMPUG00000003596	Mustela_putorius_furo
ENSCAFP00000045047	ENSCAFG00000043513	Canis_lupus_familiaris
ENSCAFP00000054545	ENSCAFG00000049336	Canis_lupus_familiaris
ENSPPRP00000023535	ENSPPRG00000013799	Panthera_pardus
ENSPTIP00000008888	ENSPTIG00000010129	Panthera_tigris_altaica
ENSBIXP00005038727	ENSBIXG00005020861	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000017048	ENSBMUG00000012908	Bos_mutus
ENSBIXP00000035237	ENSBIXG00000000669	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000054473	ENSBTAG00000024788	Bos_taurus
ENSBBBP00000018985	ENSBBBG00000012136	Bison_bison_bison
ENSOARP00000011823	ENSOARG00000011028	Ovis_aries
ENSCHIP00000006351	ENSCHIG00000010229	Capra_hircus
ENSEASP00005007758	ENSEASG00005005658	Equus_asinus_asinus
ENSEEUP00000000601	ENSEEUG00000000681	Erinaceus_europaeus
ENSSARP00000001019	ENSSARG00000001124	Sorex_araneus
ENSCGRP00001003864	ENSCGRG00001004801	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015030095	ENSCGRG00015022638	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000026491	ENSCGRG00000019566	Cricetulus_griseus_CriGri_1.0
ENSPEMP00000031035	ENSPEMG00000030627	Peromyscus_maniculatus_bairdii
ENSMUSP00000150438	ENSMUSG00000075068	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0054998	MGP_SPRETEiJ_G0024844	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000000766	ENSMSIG00000000788	Mus_spicilegus
MGP_CAROLIEiJ_P0052914	MGP_CAROLIEiJ_G0023934	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0063900	MGP_PahariEiJ_G0025371	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000008924	ENSRNOG00000006819	Rattus_norvegicus
ENSNGAP00000014383	ENSNGAG00000015705	Nannospalax_galili
ENSDORP00000000877	ENSDORG00000000936	Dipodomys_ordii
ENSCPOP00000021181	ENSCPOG00000026080	Cavia_porcellus
ENSSDAP00000001507	ENSSDAG00000001499	Spermophilus_dauricus
ENSUPAP00010026817	ENSUPAG00010021210	Urocitellus_parryii
ENSMMMP00000018767	ENSMMMG00000016607	Marmota_marmota_marmota
ENSOCUP00000008564	ENSOCUG00000009945	Oryctolagus_cuniculus
ENSTBEP00000000274	ENSTBEG00000000323	Tupaia_belangeri
ENSDNOP00000034743	ENSDNOG00000037974	Dasypus_novemcinctus
