ENSSSCP00000056130	ENSSSCG00000030637	Sus_scrofa_strain_reference
ENSTSYP00000013349	ENSTSYG00000014549	Carlito_syrichta
ENSFCAP00000027006	ENSFCAG00000032529	Felis_catus
ENSMUGP00000001365	ENSMUGG00000001275	Meriones_unguiculatus
ENSBIXP00005016361	ENSBIXG00005020057	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCAFP00020016570	ENSCAFG00020013280	Canis_lupus_dingo
ENSRBIP00000011577	ENSRBIG00000029671	Rhinopithecus_bieti
ENSMMUP00000005954	ENSMMUG00000004468	Macaca_mulatta
ENSUMAP00000031918	ENSUMAG00000023014	Ursus_maritimus
ENSCAFP00000040197	ENSCAFG00000031996	Canis_lupus_familiaris
ENSMUSP00000036699	ENSMUSG00000041037	Mus_musculus_strain_reference_(CL57BL6)
ENSCCAP00000020100	ENSCCAG00000027901	Cebus_capucinus_imitator
ENSDNOP00000008329	ENSDNOG00000010754	Dasypus_novemcinctus
ENSCATP00000012897	ENSCATG00000030598	Cercocebus_atys
ENSCPOP00000026307	ENSCPOG00000031699	Cavia_porcellus
ENSANAP00000034935	ENSANAG00000035041	Aotus_nancymaae
ENSPVAP00000015931	ENSPVAG00000016891	Pteropus_vampyrus
ENSCGRP00015018568	ENSCGRG00015014309	Cricetulus_griseus_CriGri-PICR
ENSPCAP00000013190	ENSPCAG00000014163	Procavia_capensis
ENSVVUP00000011924	ENSVVUG00000008805	Vulpes_vulpes
ENSBTAP00000067614	ENSBTAG00000052481	Bos_taurus
ENSP00000387535	ENSG00000167378	Homo_sapiens
ENSTTRP00000014006	ENSTTRG00000014773	Tursiops_truncatus
ENSMNEP00000023799	ENSMNEG00000035490	Macaca_nemestrina
ENSTGEP00000022280	ENSTGEG00000018033	Theropithecus_gelada
ENSRROP00000020243	ENSRROG00000034068	Rhinopithecus_roxellana
ENSMOCP00000013123	ENSMOCG00000013018	Microtus_ochrogaster
ENSCGRP00001011594	ENSCGRG00001013212	Cricetulus_griseus_CHOK1GS_HDv1
ENSHGLP00100024104	ENSHGLG00100017707	Heterocephalus_glaber_HetGla_1.0
ENSMMMP00000018213	ENSMMMG00000016160	Marmota_marmota_marmota
ENSNGAP00000013534	ENSNGAG00000015082	Nannospalax_galili
ENSEASP00005019688	ENSEASG00005013543	Equus_asinus_asinus
ENSOPRP00000012088	ENSOPRG00000013248	Ochotona_princeps
ENSCLAP00000002357	ENSCLAG00000001709	Chinchilla_lanigera
ENSVURP00010011505	ENSVURG00010008891	Vombatus_ursinus
ENSFDAP00000020735	ENSFDAG00000008226	Fukomys_damarensis
ENSOGAP00000008518	ENSOGAG00000009518	Otolemur_garnettii
MGP_PahariEiJ_P0046265	MGP_PahariEiJ_G0021189	Mus_pahari_strain_PAHARI_EIJ
ENSSBOP00000022756	ENSSBOG00000027908	Saimiri_boliviensis_boliviensis
ENSSARP00000006235	ENSSARG00000006875	Sorex_araneus
ENSRNOP00000071992	ENSRNOG00000046500	Rattus_norvegicus
ENSECAP00000050056	ENSECAG00000041292	Equus_caballus
ENSMSIP00000027792	ENSMSIG00000023429	Mus_spicilegus
ENSNLEP00000001942	ENSNLEG00000001642	Nomascus_leucogenys
ENSSDAP00000010458	ENSSDAG00000009498	Spermophilus_dauricus	ENSSDAT00000011870
ENSPSMP00000016250	ENSPSMG00000011569	Prolemur_simus
