ENSGALP00000043740	ENSGALG00000039336	Gallus_gallus	ENSGALT00000047269
ENSNMEP00000002156	ENSNMEG00000002758	Numida_meleagris	ENSNMET00000004434
ENSCJPP00005002933	ENSCJPG00005003206	Coturnix_japonica	ENSCJPT00005005356
ENSMEUP00000012136	ENSMEUG00000013308	Notamacropus_eugenii
ENSVURP00010003938	ENSVURG00010003112	Vombatus_ursinus
ENSSHAP00000003115	ENSSHAG00000002757	Sarcophilus_harrisii
ENSCHIP00000026832	ENSCHIG00000023022	Capra_hircus
ENSOARP00000012286	ENSOARG00000011460	Ovis_aries
ENSBIXP00000012761	ENSBIXG00000003043	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005022603	ENSBIXG00005025456	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000028232	ENSBTAG00000021185	Bos_taurus
ENSBMUP00000006152	ENSBMUG00000004816	Bos_mutus
ENSBBBP00000020498	ENSBBBG00000003180	Bison_bison_bison
ENSTTRP00000001691	ENSTTRG00000001795	Tursiops_truncatus
ENSUMAP00000033063	ENSUMAG00000023837	Ursus_maritimus
ENSUAMP00000006107	ENSUAMG00000005380	Ursus_americanus
ENSAMEP00000016017	ENSAMEG00000015191	Ailuropoda_melanoleuca
ENSMPUP00000004378	ENSMPUG00000004411	Mustela_putorius_furo
ENSNVIP00000014238	ENSNVIG00000011203	Neovison_vison
ENSCAFP00000006035	ENSCAFG00000004068	Canis_lupus_familiaris
ENSCAFP00020034179	ENSCAFG00020026531	Canis_lupus_dingo
ENSVVUP00000032159	ENSVVUG00000023352	Vulpes_vulpes
ENSFCAP00000041120	ENSFCAG00000045134	Felis_catus
ENSFCAP00000041690	ENSFCAG00000046705	Felis_catus
ENSPPRP00000017526	ENSPPRG00000009458	Panthera_pardus
ENSEASP00005005930	ENSEASG00005004365	Equus_asinus_asinus
ENSECAP00000008232	ENSECAG00000010376	Equus_caballus
ENSSSCP00000074071	ENSSSCG00000003124	Sus_scrofa_strain_reference
ENSPVAP00000003827	ENSPVAG00000004044	Pteropus_vampyrus
ENSMLUP00000013969	ENSMLUG00000015335	Myotis_lucifugus
ENSTSYP00000003563	ENSTSYG00000003923	Carlito_syrichta
ENSTBEP00000003933	ENSTBEG00000004581	Tupaia_belangeri
ENSCCNP00000022570	ENSCCNG00000022188	Castor_canadensis
ENSJJAP00000010477	ENSJJAG00000014071	Jaculus_jaculus
ENSCGRP00015016063	ENSCGRG00015012350	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000012616	ENSCGRG00000009157	Cricetulus_griseus_CriGri_1.0
ENSPEMP00000030084	ENSPEMG00000029855	Peromyscus_maniculatus_bairdii
ENSMOCP00000024541	ENSMOCG00000020933	Microtus_ochrogaster
ENSMUSP00000134400	ENSMUSG00000041578	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0080798	MGP_SPRETEiJ_G0030295	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000021809	ENSMSIG00000018526	Mus_spicilegus
MGP_CAROLIEiJ_P0077492	MGP_CAROLIEiJ_G0029215	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0045844	MGP_PahariEiJ_G0021072	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000018858	ENSRNOG00000013890	Rattus_norvegicus
ENSMUGP00000021217	ENSMUGG00000017877	Meriones_unguiculatus
ENSMUGP00000021204	ENSMUGG00000017867	Meriones_unguiculatus
ENSCPOP00000028153	ENSCPOG00000036687	Cavia_porcellus
ENSCAPP00000008372	ENSCAPG00000010090	Cavia_aperea
ENSODEP00000008634	ENSODEG00000006452	Octodon_degus
ENSCLAP00000002718	ENSCLAG00000001963	Chinchilla_lanigera
ENSHGLP00100023183	ENSHGLG00100017032	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000019469	ENSHGLG00000013944	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000022319	ENSFDAG00000007064	Fukomys_damarensis
ENSSTOP00000021393	ENSSTOG00000024356	Ictidomys_tridecemlineatus
ENSUPAP00010012423	ENSUPAG00010010106	Urocitellus_parryii
ENSMMMP00000014741	ENSMMMG00000013129	Marmota_marmota_marmota
ENSNGAP00000005952	ENSNGAG00000008671	Nannospalax_galili
ENSSDAP00000012061	ENSSDAG00000010885	Spermophilus_dauricus
ENSDORP00000023618	ENSDORG00000027827	Dipodomys_ordii
ENSOPRP00000002891	ENSOPRG00000003156	Ochotona_princeps
ENSPSMP00000034671	ENSPSMG00000023876	Prolemur_simus
ENSMICP00000049113	ENSMICG00000042307	Microcebus_murinus
ENSPCOP00000019669	ENSPCOG00000021790	Propithecus_coquereli
ENSOGAP00000017185	ENSOGAG00000034554	Otolemur_garnettii
ENSP00000221996	ENSG00000105392	Homo_sapiens
ENSPTRP00000019249	ENSPTRG00000011217	Pan_troglodytes
ENSGGOP00000020970	ENSGGOG00000016158	Gorilla_gorilla
ENSTGEP00000030083	ENSTGEG00000024161	Theropithecus_gelada
ENSPANP00000005647	ENSPANG00000010183	Papio_anubis
ENSMLEP00000002639	ENSMLEG00000010899	Mandrillus_leucophaeus
ENSCATP00000038967	ENSCATG00000042146	Cercocebus_atys
ENSCSAP00000015117	ENSCSAG00000002921	Chlorocebus_sabaeus
ENSMFAP00000043755	ENSMFAG00000039279	Macaca_fascicularis
ENSMNEP00000016300	ENSMNEG00000032189	Macaca_nemestrina
ENSMMUP00000062943	ENSMMUG00000049999	Macaca_mulatta
ENSPTEP00000042846	ENSPTEG00000039096	Piliocolobus_tephrosceles
ENSCANP00000030342	ENSCANG00000038836	Colobus_angolensis_palliatus
ENSRROP00000006558	ENSRROG00000025759	Rhinopithecus_roxellana
ENSCCAP00000033552	ENSCCAG00000034793	Cebus_capucinus_imitator
ENSSBOP00000037770	ENSSBOG00000034973	Saimiri_boliviensis_boliviensis
ENSCJAP00000039007	ENSCJAG00000020968	Callithrix_jacchus
ENSANAP00000037442	ENSANAG00000036213	Aotus_nancymaae
ENSPCAP00000011751	ENSPCAG00000012620	Procavia_capensis
ENSPCAP00000010347	ENSPCAG00000011158	Procavia_capensis
ENSLAFP00000006100	ENSLAFG00000007254	Loxodonta_africana
ENSETEP00000004589	ENSETEG00000005645	Echinops_telfairi
ENSDNOP00000030096	ENSDNOG00000012299	Dasypus_novemcinctus
ENSXETP00000020097	ENSXETG00000003251	Xenopus_tropicalis
ENSEBUP00000002692	ENSEBUG00000002056	Eptatretus_burgeri
ENSEEEP00000000400	ENSEEEG00000000293	Electrophorus_electricus
ENSIPUP00000028451	ENSIPUG00000019269	Ictalurus_punctatus
ENSDARP00000063834	ENSDARG00000043483	Danio_rerio
ENSLBEP00000017972	ENSLBEG00000013848	Labrus_bergylta
ENSGACP00000007660	ENSGACG00000005793	Gasterosteus_aculeatus
ENSLCRP00005026281	ENSLCRG00005010499	Larimichthys_crocea
ENSPRNP00000047019	ENSPRNG00000022651	Parambassis_ranga
ENSGWIP00000012881	ENSGWIG00000007444	Gouania_willdenowi
ENSLOCP00000017459	ENSLOCG00000014175	Lepisosteus_oculatus
ENSPVIP00000032660	ENSPVIG00000023930	Pogona_vitticeps
ENSNSUP00000009311	ENSNSUG00000007120	Notechis_scutatus
ENSGAGP00000030114	ENSGAGG00000021725	Gopherus_agassizii
ENSCABP00000031793	ENSCABG00000023206	Chelonoidis_abingdonii
ENSCPBP00000011998	ENSCPBG00000009076	Chrysemys_picta_bellii
ENSXETP00000020226	ENSXETG00000003199	Xenopus_tropicalis
ENSECRP00000003584	ENSECRG00000002456	Erpetoichthys_calabaricus
ENSSPAP00000000469	ENSSPAG00000000385	Stegastes_partitus
ENSFHEP00000015846	ENSFHEG00000000877	Fundulus_heteroclitus
ENSTRUP00000001179	ENSTRUG00000000498	Takifugu_rubripes
ENSPSIP00000020558	ENSPSIG00000018193	Pelodiscus_sinensis
ENSPMAP00000001321	ENSPMAG00000001190	Petromyzon_marinus
