ENSDCDP00000027431	ENSDCDG00000020040	Denticeps_clupeoides	ENSDCDT00000036439
ENSGWIP00000034471	ENSGWIG00000017832	Gouania_willdenowi
ENSSMAP00000028334	ENSSMAG00000017345	Scophthalmus_maximus
ENSLCAP00010032271	ENSLCAG00010015195	Lates_calcarifer
ENSECRP00000007004	ENSECRG00000004678	Erpetoichthys_calabaricus
ENSLOCP00000016763	ENSLOCG00000013593	Lepisosteus_oculatus
ENSCMIP00000000982	ENSCMIG00000000666	Callorhinchus_milii
ENSORLP00020016224	ENSORLG00020017246	Oryzias_latipes_ASM223471v1
ENSLBEP00000017870	ENSLBEG00000013784	Labrus_bergylta
ENSAPEP00000031847	ENSAPEG00000022618	Amphiprion_percula
ENSAPOP00000017243	ENSAPOG00000020412	Acanthochromis_polyacanthus
ENSDCDP00000028300	ENSDCDG00000020443	Denticeps_clupeoides	ENSDCDT00000037386
ENSSDUP00000016588	ENSSDUG00000012113	Seriola_dumerili
ENSAMXP00000049014	ENSAMXG00000041195	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000039459
ENSMZEP00005028676	ENSMZEG00005021380	Maylandia_zebra
ENSPKIP00000020564	ENSPKIG00000005269	Paramormyrops_kingsleyae	ENSPKIT00000001182
ENSPLAP00000014832	ENSPLAG00000018607	Poecilia_latipinna
ENSBSLP00000031470	ENSBSLG00000015535	Betta_splendens
ENSAMXP00005019890	ENSAMXG00005010325	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSTRUP00000055641	ENSTRUG00000025655	Takifugu_rubripes
ENSORLP00000033429	ENSORLG00000027368	Oryzias_latipes_ASM223467v1
ENSHHUP00000079003	ENSHHUG00000046086	Hucho_hucho
ENSFHEP00000032454	ENSFHEG00000018919	Fundulus_heteroclitus
ENSGACP00000003503	ENSGACG00000002677	Gasterosteus_aculeatus
ENSCHAP00000027220	ENSCHAG00000013235	Clupea_harengus	ENSCHAT00000029606
ENSAOCP00000003269	ENSAOCG00000006524	Amphiprion_ocellaris
ENSPNYP00000000789	ENSPNYG00000000654	Pundamilia_nyererei
ENSCGOP00000030548	ENSCGOG00000014180	Cottoperca_gobio
FBpp0297538	FBgn0033777	Drosophila_melanogaster
ENSOMEP00000010240	ENSOMEG00000011519	Oryzias_melastigma
ENSHCOP00000010311	ENSHCOG00000012889	Hippocampus_comes
ENSLACP00000016339	ENSLACG00000014396	Latimeria_chalumnae
ENSKMAP00000008321	ENSKMAG00000006267	Kryptolebias_marmoratus
ENSELUP00000026251	ENSELUG00000002070	Esox_lucius
ENSPFOP00000000624	ENSPFOG00000000683	Poecilia_formosa
ENSMALP00000013546	ENSMALG00000009581	Monopterus_albus
ENSIPUP00000011078	ENSIPUG00000007556	Ictalurus_punctatus
ENSCSEP00000016237	ENSCSEG00000010454	Cynoglossus_semilaevis
ENSMMOP00000004574	ENSMMOG00000003646	Mola_mola
ENSCVAP00000004876	ENSCVAG00000006177	Cyprinodon_variegatus
ENSSFOP00015019083	ENSSFOG00015012288	Scleropages_formosus	ENSSFOT00015019302
ENSPMEP00000030363	ENSPMEG00000016690	Poecilia_mexicana
ENSORLP00015016808	ENSORLG00015017808	Oryzias_latipes_ASM223469v1
ENSXETP00000028585	ENSXETG00000008287	Xenopus_tropicalis
ENSACIP00000001899	ENSACIG00000001549	Amphilophus_citrinellus
ENSPNAP00000016791	ENSPNAG00000022975	Pygocentrus_nattereri
ENSHHUP00000002444	ENSHHUG00000001573	Hucho_hucho
ENSNBRP00000001545	ENSNBRG00000001278	Neolamprologus_brichardi
ENSMAMP00000034204	ENSMAMG00000022981	Mastacembelus_armatus
ENSSPAP00000029138	ENSSPAG00000021918	Stegastes_partitus
ENSPRNP00000046023	ENSPRNG00000022237	Parambassis_ranga
ENSGMOP00000020921	ENSGMOG00000019449	Gadus_morhua
ENSSLDP00000009857	ENSSLDG00000007859	Seriola_lalandi_dorsalis
ENSLCRP00005022989	ENSLCRG00005009278	Larimichthys_crocea
ENSPMGP00000006715	ENSPMGG00000005614	Periophthalmus_magnuspinnatus
ENSATEP00000020049	ENSATEG00000013998	Anabas_testudineus
ENSACLP00000034895	ENSACLG00000023631	Astatotilapia_calliptera
ENSXMAP00000030985	ENSXMAG00000026791	Xiphophorus_maculatus
ENSPREP00000020708	ENSPREG00000014010	Poecilia_reticulata
ENSDARP00000126436	ENSDARG00000096457	Danio_rerio
ENSGAFP00000013541	ENSGAFG00000009140	Gambusia_affinis
ENSHBUP00000018873	ENSHBUG00000020983	Haplochromis_burtoni
ENSXCOP00000010870	ENSXCOG00000008209	Xiphophorus_couchianus
ENSEEEP00000002768	ENSEEEG00000001589	Electrophorus_electricus
