ENSPVIP00000032066	ENSPVIG00000023536	Pogona_vitticeps	ENSPVIT00000039275
ENSACAP00000007339	ENSACAG00000007512	Anolis_carolinensis	ENSACAT00000007495
ENSNSUP00000002177	ENSNSUG00000001843	Notechis_scutatus
ENSSMRP00000018316	ENSSMRG00000014245	Salvator_merianae
ENSSPUP00000022864	ENSSPUG00000017553	Sphenodon_punctatus
ENSAHAP00000026318	ENSAHAG00000018329	Apteryx_haastii
ENSAOWP00000027634	ENSAOWG00000018627	Apteryx_owenii
ENSARWP00000005889	ENSARWG00000004201	Apteryx_rowi
ENSDNVP00000007609	ENSDNVG00000005402	Dromaius_novaehollandiae
ENSNPEP00000006361	ENSNPEG00000004814	Nothoprocta_perdicaria
ENSZALP00000020105	ENSZALG00000015861	Zonotrichia_albicollis
ENSJHYP00000010565	ENSJHYG00000008295	Junco_hyemalis
ENSSCAP00000011888	ENSSCAG00000008886	Serinus_canaria
ENSTGUP00000001069	ENSTGUG00000001046	Taeniopygia_guttata
ENSLSDP00000002339	ENSLSDG00000001875	Lonchura_striata_domestica
ENSFALP00000007435	ENSFALG00000007127	Ficedula_albicollis
ENSPMJP00000007174	ENSPMJG00000005944	Parus_major
ENSCCEP00000014941	ENSCCEG00000014208	Cyanistes_caeruleus
ENSLCOP00000014662	ENSLCOG00000010504	Lepidothrix_coronata
ENSMVIP00005009877	ENSMVIG00005007266	Manacus_vitellinus
ENSMUNP00000008791	ENSMUNG00000006956	Melopsittacus_undulatus
ENSCPUP00000028634	ENSCPUG00000019259	Calidris_pugnax
ENSCPGP00000011530	ENSCPGG00000008220	Calidris_pygmaea
ENSGALP00000011869	ENSGALG00000007346	Gallus_gallus
ENSMGAP00000006533	ENSMGAG00000006517	Meleagris_gallopavo
ENSCJPP00005003546	ENSCJPG00005003698	Coturnix_japonica
ENSNMEP00000009097	ENSNMEG00000008837	Numida_meleagris
ENSABRP00000001735	ENSABRG00000001776	Anser_brachyrhynchus
ENSAPLP00000005970	ENSAPLG00000006380	Anas_platyrhynchos_platyrhynchos
ENSCPRP00005011026	ENSCPRG00005007878	Crocodylus_porosus
ENSGAGP00000021693	ENSGAGG00000015917	Gopherus_agassizii
ENSCABP00000002793	ENSCABG00000002153	Chelonoidis_abingdonii
ENSCPBP00000022184	ENSCPBG00000015875	Chrysemys_picta_bellii
ENSPSIP00000018172	ENSPSIG00000016161	Pelodiscus_sinensis
ENSVURP00010031863	ENSVURG00010024343	Vombatus_ursinus
ENSPCIP00000043127	ENSPCIG00000036832	Phascolarctos_cinereus
ENSMEUP00000004627	ENSMEUG00000005059	Notamacropus_eugenii
ENSSHAP00000017070	ENSSHAG00000014509	Sarcophilus_harrisii
ENSMODP00000045692	ENSMODG00000042238	Monodelphis_domestica
ENSCCNP00000012911	ENSCCNG00000013409	Castor_canadensis
ENSCCNP00000013099	ENSCCNG00000013606	Castor_canadensis
ENSDORP00000009846	ENSDORG00000010476	Dipodomys_ordii
ENSCGRP00000007778	ENSCGRG00000005669	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015034861	ENSCGRG00015026225	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001005872	ENSCGRG00001007782	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000004735	ENSMAUG00000006351	Mesocricetus_auratus
ENSPEMP00000022447	ENSPEMG00000019810	Peromyscus_maniculatus_bairdii
ENSMOCP00000016490	ENSMOCG00000015379	Microtus_ochrogaster
ENSMSIP00000025015	ENSMSIG00000021144	Mus_spicilegus
MGP_SPRETEiJ_P0047860	MGP_SPRETEiJ_G0022886	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000038613	ENSMUSG00000033960	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0045935	MGP_CAROLIEiJ_G0021970	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0038548	MGP_PahariEiJ_G0018708	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000035031	ENSRNOG00000027938	Rattus_norvegicus
ENSMUGP00000030317	ENSMUGG00000025181	Meriones_unguiculatus
ENSNGAP00000011628	ENSNGAG00000013727	Nannospalax_galili
ENSJJAP00000004216	ENSJJAG00000008684	Jaculus_jaculus
ENSUPAP00010003520	ENSUPAG00010002904	Urocitellus_parryii
ENSSTOP00000021494	ENSSTOG00000025736	Ictidomys_tridecemlineatus
ENSSDAP00000005748	ENSSDAG00000005354	Spermophilus_dauricus
ENSMMMP00000026708	ENSMMMG00000023373	Marmota_marmota_marmota
ENSCPOP00000005298	ENSCPOG00000005872	Cavia_porcellus
ENSCAPP00000001450	ENSCAPG00000002816	Cavia_aperea
ENSODEP00000005001	ENSODEG00000003790	Octodon_degus
ENSCLAP00000011315	ENSCLAG00000007806	Chinchilla_lanigera
ENSHGLP00100014683	ENSHGLG00100010871	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023083	ENSHGLG00000016460	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000006274	ENSFDAG00000015115	Fukomys_damarensis
ENSOCUP00000012118	ENSOCUG00000014102	Oryctolagus_cuniculus
ENSOPRP00000005030	ENSOPRG00000005479	Ochotona_princeps
ENSTBEP00000014477	ENSTBEG00000016634	Tupaia_belangeri
ENSPTRP00000032963	ENSPTRG00000002395	Pan_troglodytes
ENSPPAP00000010555	ENSPPAG00000028488	Pan_paniscus
ENSP00000364526	ENSG00000165757	Homo_sapiens
ENSGGOP00000047371	ENSGGOG00000017151	Gorilla_gorilla
ENSPPYP00000002543	ENSPPYG00000002183	Pongo_abelii
ENSNLEP00000020713	ENSNLEG00000017054	Nomascus_leucogenys
ENSTGEP00000035050	ENSTGEG00000027941	Theropithecus_gelada
ENSCATP00000025651	ENSCATG00000036286	Cercocebus_atys
ENSPANP00000045728	ENSPANG00000022942	Papio_anubis
ENSMLEP00000039084	ENSMLEG00000043580	Mandrillus_leucophaeus
ENSMFAP00000003490	ENSMFAG00000001494	Macaca_fascicularis
ENSMMUP00000028393	ENSMMUG00000021559	Macaca_mulatta
ENSMNEP00000003871	ENSMNEG00000018085	Macaca_nemestrina
ENSCSAP00000007865	ENSCSAG00000011666	Chlorocebus_sabaeus
ENSPTEP00000021506	ENSPTEG00000022541	Piliocolobus_tephrosceles
ENSCANP00000023322	ENSCANG00000035084	Colobus_angolensis_palliatus
ENSRROP00000010860	ENSRROG00000029811	Rhinopithecus_roxellana
ENSRBIP00000025038	ENSRBIG00000036418	Rhinopithecus_bieti
ENSCCAP00000003704	ENSCCAG00000018801	Cebus_capucinus_imitator
ENSSBOP00000017905	ENSSBOG00000025596	Saimiri_boliviensis_boliviensis
ENSCJAP00000058730	ENSCJAG00000013253	Callithrix_jacchus
ENSANAP00000035548	ENSANAG00000035310	Aotus_nancymaae
ENSTSYP00000017220	ENSTSYG00000029375	Carlito_syrichta
ENSPCOP00000001922	ENSPCOG00000005935	Propithecus_coquereli
ENSPSMP00000036081	ENSPSMG00000024817	Prolemur_simus
ENSMICP00000006174	ENSMICG00000006774	Microcebus_murinus
ENSOGAP00000017829	ENSOGAG00000024773	Otolemur_garnettii
ENSCHIP00000011440	ENSCHIG00000013597	Capra_hircus
ENSOARP00000015784	ENSOARG00000014717	Ovis_aries
ENSBTAP00000001595	ENSBTAG00000001204	Bos_taurus
ENSBIXP00000035149	ENSBIXG00000018354	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005027063	ENSBIXG00005029133	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000013018	ENSBMUG00000009940	Bos_mutus
ENSBBBP00000019171	ENSBBBG00000002349	Bison_bison_bison
ENSTTRP00000015790	ENSTTRG00000016654	Tursiops_truncatus
