ENSPTEP00000000171	ENSPTEG00000000230	Piliocolobus_tephrosceles
ENSCHOP00000009767	ENSCHOG00000011044	Choloepus_hoffmanni
ENSUPAP00010019964	ENSUPAG00010015802	Urocitellus_parryii
ENSPSIP00000014370	ENSPSIG00000012883	Pelodiscus_sinensis
ENSPPYP00000017639	ENSPPYG00000015773	Pongo_abelii
ENSPVAP00000014325	ENSPVAG00000015201	Pteropus_vampyrus
ENSLBEP00000035819	ENSLBEG00000026868	Labrus_bergylta
ENSMICP00000048701	ENSMICG00000041653	Microcebus_murinus
ENSELUP00000042473	ENSELUG00000023704	Esox_lucius
ENSCINP00000030968	ENSCING00000019861	Ciona_intestinalis	ENSCINT00000031785
ENSORLP00020009634	ENSORLG00020010530	Oryzias_latipes_ASM223471v1
ENSFHEP00000027550	ENSFHEG00000011099	Fundulus_heteroclitus
ENSPCOP00000026297	ENSPCOG00000025501	Propithecus_coquereli
ENSCATP00000030914	ENSCATG00000038607	Cercocebus_atys
ENSMODP00000041618	ENSMODG00000046369	Monodelphis_domestica
F45H10.2.3	WBGene00009739	Caenorhabditis_elegans_strain_N2
ENSDNOP00000011482	ENSDNOG00000014819	Dasypus_novemcinctus
ENSIPUP00000020004	ENSIPUG00000013566	Ictalurus_punctatus
ENSANAP00000038594	ENSANAG00000036737	Aotus_nancymaae
ENSPPRP00000023802	ENSPPRG00000014061	Panthera_pardus
ENSORLP00015023319	ENSORLG00015000085	Oryzias_latipes_ASM223469v1
ENSOCUP00000011723	ENSOCUG00000013627	Oryctolagus_cuniculus
ENSDNVP00000015906	ENSDNVG00000011191	Dromaius_novaehollandiae
ENSVPAP00000008210	ENSVPAG00000008823	Vicugna_pacos
ENSMZEP00005033005	ENSMZEG00005024607	Maylandia_zebra
ENSNVIP00000022270	ENSNVIG00000017379	Neovison_vison
ENSODEP00000025509	ENSODEG00000018773	Octodon_degus
ENSECAP00000033171	ENSECAG00000029282	Equus_caballus
MGP_CAROLIEiJ_P0026609	MGP_CAROLIEiJ_G0016333	Mus_caroli_strain_CAROLI_EIJ
ENSMMOP00000005433	ENSMMOG00000004299	Mola_mola
ENSMUSP00000053145	ENSMUSG00000044894	Mus_musculus_strain_reference_(CL57BL6)
ENSCPGP00000015413	ENSCPGG00000010864	Calidris_pygmaea
ENSAMXP00005001022	ENSAMXG00005000655	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCHAP00000033190	ENSCHAG00000015813	Clupea_harengus
ENSTNIP00000004471	ENSTNIG00000002046	Tetraodon_nigroviridis
ENSHCOP00000004077	ENSHCOG00000005457	Hippocampus_comes
ENSTGEP00000031438	ENSTGEG00000025154	Theropithecus_gelada
ENSSARP00000012704	ENSSARG00000014047	Sorex_araneus
ENSABRP00000019046	ENSABRG00000016335	Anser_brachyrhynchus
ENSNLEP00000015621	ENSNLEG00000012867	Nomascus_leucogenys
ENSRROP00000024020	ENSRROG00000035832	Rhinopithecus_roxellana
ENSAMEP00000018758	ENSAMEG00000017762	Ailuropoda_melanoleuca
ENSGAFP00000011398	ENSGAFG00000007733	Gambusia_affinis
ENSPEMP00000002513	ENSPEMG00000002846	Peromyscus_maniculatus_bairdii
ENSAPEP00000026440	ENSAPEG00000018787	Amphiprion_percula
ENSMUGP00000022445	ENSMUGG00000018807	Meriones_unguiculatus
ENSPMJP00000007679	ENSPMJG00000006309	Parus_major
ENSDCDP00000034850	ENSDCDG00000023405	Denticeps_clupeoides
ENSTSYP00000031004	ENSTSYG00000036259	Carlito_syrichta
ENSSTOP00000017157	ENSSTOG00000020757	Ictidomys_tridecemlineatus
ENSTRUP00000057535	ENSTRUG00000024111	Takifugu_rubripes
ENSFDAP00000004623	ENSFDAG00000013806	Fukomys_damarensis
ENSVVUP00000033949	ENSVVUG00000024537	Vulpes_vulpes
ENSLCRP00005047616	ENSLCRG00005018037	Larimichthys_crocea
ENSBMUP00000003196	ENSBMUG00000002537	Bos_mutus
ENSEBUP00000024731	ENSEBUG00000015266	Eptatretus_burgeri
