ENSMGAP00000011779	ENSMGAG00000011267	Meleagris_gallopavo
ENSGALP00000046214	ENSGALG00000042371	Gallus_gallus
ENSCJPP00005015497	ENSCJPG00005012840	Coturnix_japonica
ENSNMEP00000010817	ENSNMEG00000010206	Numida_meleagris
ENSABRP00000003829	ENSABRG00000003577	Anser_brachyrhynchus
ENSAPLP00000030557	ENSAPLG00000007607	Anas_platyrhynchos_platyrhynchos
ENSMVIP00005019454	ENSMVIG00005013774	Manacus_vitellinus
ENSLCOP00000019532	ENSLCOG00000013825	Lepidothrix_coronata
ENSZALP00000002298	ENSZALG00000002526	Zonotrichia_albicollis
ENSJHYP00000012001	ENSJHYG00000009366	Junco_hyemalis
ENSSCAP00000001192	ENSSCAG00000000998	Serinus_canaria
ENSLSDP00000011592	ENSLSDG00000008523	Lonchura_striata_domestica
ENSTGUP00000003952	ENSTGUG00000003830	Taeniopygia_guttata
ENSFALP00000009523	ENSFALG00000009129	Ficedula_albicollis
ENSCCEP00000009042	ENSCCEG00000009236	Cyanistes_caeruleus
ENSPMJP00000009493	ENSPMJG00000007589	Parus_major
ENSMUNP00000000844	ENSMUNG00000000774	Melopsittacus_undulatus
ENSCPGP00000000181	ENSCPGG00000000140	Calidris_pygmaea
ENSCPUP00000014531	ENSCPUG00000010209	Calidris_pugnax
ENSAHAP00000019159	ENSAHAG00000013551	Apteryx_haastii
ENSARWP00000019804	ENSARWG00000013577	Apteryx_rowi
ENSAOWP00000009333	ENSAOWG00000006426	Apteryx_owenii
ENSDNVP00000009962	ENSDNVG00000007034	Dromaius_novaehollandiae
ENSNPEP00000012423	ENSNPEG00000008980	Nothoprocta_perdicaria
ENSCPRP00005007139	ENSCPRG00005005066	Crocodylus_porosus
ENSGAGP00000031758	ENSGAGG00000022812	Gopherus_agassizii
ENSCABP00000021503	ENSCABG00000015718	Chelonoidis_abingdonii
ENSCPBP00000032460	ENSCPBG00000022761	Chrysemys_picta_bellii
ENSPSIP00000010737	ENSPSIG00000009669	Pelodiscus_sinensis
ENSSPUP00000017100	ENSSPUG00000013246	Sphenodon_punctatus
ENSSPUP00000017093	ENSSPUG00000013212	Sphenodon_punctatus
ENSPVIP00000006690	ENSPVIG00000005526	Pogona_vitticeps
ENSACAP00000014754	ENSACAG00000015012	Anolis_carolinensis
ENSNSUP00000027396	ENSNSUG00000019597	Notechis_scutatus
ENSSMRP00000013237	ENSSMRG00000010301	Salvator_merianae
ENSLAFP00000014872	ENSLAFG00000017741	Loxodonta_africana
ENSPCAP00000005900	ENSPCAG00000006337	Procavia_capensis
ENSETEP00000008281	ENSETEG00000010198	Echinops_telfairi
ENSPPAP00000001110	ENSPPAG00000004217	Pan_paniscus
ENSPTRP00000025530	ENSPTRG00000014811	Pan_troglodytes
ENSP00000292246	ENSG00000160746	Homo_sapiens
ENSGGOP00000013799	ENSGGOG00000014133	Gorilla_gorilla
ENSPPYP00000015622	ENSPPYG00000013965	Pongo_abelii
ENSNLEP00000007153	ENSNLEG00000005909	Nomascus_leucogenys
ENSCATP00000023408	ENSCATG00000035251	Cercocebus_atys
