ENSDORP00000012961	ENSDORG00000013785	Dipodomys_ordii
ENSPTIP00000022342	ENSPTIG00000019193	Panthera_tigris_altaica
ENSPTRP00000083947	ENSPTRG00000022429	Pan_troglodytes
ENSPPYP00000023359	ENSPPYG00000020870	Pongo_abelii
ENSVPAP00000009029	ENSVPAG00000009701	Vicugna_pacos
ENSPPRP00000011928	ENSPPRG00000005619	Panthera_pardus
ENSBTAP00000036249	ENSBTAG00000020127	Bos_taurus
ENSPCOP00000022068	ENSPCOG00000023105	Propithecus_coquereli
ENSTSYP00000013233	ENSTSYG00000014420	Carlito_syrichta
ENSUAMP00000026344	ENSUAMG00000020429	Ursus_americanus	ENSUAMT00000029395
ENSECAP00000019849	ENSECAG00000021992	Equus_caballus
ENSMPUP00000009137	ENSMPUG00000009214	Mustela_putorius_furo
ENSMNEP00000045044	ENSMNEG00000045070	Macaca_nemestrina
ENSBIXP00005008110	ENSBIXG00005013244	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCHIP00000002586	ENSCHIG00000006118	Capra_hircus
ENSCAFP00000028768	ENSCAFG00000019451	Canis_lupus_familiaris
ENSBMUP00000019475	ENSBMUG00000014713	Bos_mutus
ENSPEMP00000012264	ENSPEMG00000012644	Peromyscus_maniculatus_bairdii
ENSMLUP00000013019	ENSMLUG00000014306	Myotis_lucifugus
ENSCJAP00000026483	ENSCJAG00000014368	Callithrix_jacchus
ENSANAP00000024791	ENSANAG00000030105	Aotus_nancymaae
ENSMFAP00000015756	ENSMFAG00000031072	Macaca_fascicularis
ENSSARP00000007109	ENSSARG00000007852	Sorex_araneus
ENSMUSP00000010127	ENSMUSG00000031397	Mus_musculus_strain_reference_(CL57BL6)
ENSCSAP00000003069	ENSCSAG00000006779	Chlorocebus_sabaeus
ENSTGEP00000014779	ENSTGEG00000012013	Theropithecus_gelada
ENSODEP00000005882	ENSODEG00000004431	Octodon_degus
ENSOCUP00000000763	ENSOCUG00000000883	Oryctolagus_cuniculus
ENSPCAP00000005097	ENSPCAG00000005426	Procavia_capensis
ENSCATP00000019400	ENSCATG00000033495	Cercocebus_atys
ENSRBIP00000020630	ENSRBIG00000034298	Rhinopithecus_bieti
ENSVVUP00000041560	ENSVVUG00000029580	Vulpes_vulpes
ENSSDAP00000020165	ENSSDAG00000018370	Spermophilus_dauricus
ENSSTOP00000004502	ENSSTOG00000005014	Ictidomys_tridecemlineatus
ENSMUGP00000009191	ENSMUGG00000008211	Meriones_unguiculatus
ENSOGAP00000000804	ENSOGAG00000000901	Otolemur_garnettii
ENSPANP00000046645	ENSPANG00000011938	Papio_anubis
ENSCCAP00000032595	ENSCCAG00000034334	Cebus_capucinus_imitator
ENSSSCP00000020565	ENSSSCG00000029443	Sus_scrofa_strain_reference
MGP_CAROLIEiJ_P0091834	MGP_CAROLIEiJ_G0033173	Mus_caroli_strain_CAROLI_EIJ
ENSEASP00005028211	ENSEASG00005019179	Equus_asinus_asinus
ENSSBOP00000006436	ENSSBOG00000020176	Saimiri_boliviensis_boliviensis
ENSPTEP00000019186	ENSPTEG00000020549	Piliocolobus_tephrosceles
ENSOARP00000005897	ENSOARG00000005493	Ovis_aries
ENSUMAP00000028502	ENSUMAG00000020693	Ursus_maritimus	ENSUMAT00000033711
ENSFCAP00000010585	ENSFCAG00000011392	Felis_catus
ENSP00000358931	ENSG00000007350	Homo_sapiens
ENSMMUP00000017972	ENSMMUG00000013667	Macaca_mulatta
ENSEEUP00000000042	ENSEEUG00000000046	Erinaceus_europaeus
ENSNLEP00000016785	ENSNLEG00000013813	Nomascus_leucogenys
ENSETEP00000007981	ENSETEG00000009828	Echinops_telfairi
ENSJJAP00000005390	ENSJJAG00000010328	Jaculus_jaculus
ENSPPAP00000009398	ENSPPAG00000027923	Pan_paniscus
ENSCPOP00000010583	ENSCPOG00000011767	Cavia_porcellus
