ENSSSCP00000008388	ENSSSCG00000007858	Sus_scrofa_strain_reference
ENSVPAP00000003164	ENSVPAG00000003420	Vicugna_pacos
ENSOARP00000013703	ENSOARG00000012794	Ovis_aries	ENSOART00000013908
ENSCHIP00000010066	ENSCHIG00000012668	Capra_hircus	ENSCHIT00000017839
ENSBTAP00000025874	ENSBTAG00000019423	Bos_taurus	ENSBTAT00000025874
ENSBMUP00000004789	ENSBMUG00000003743	Bos_mutus	ENSBMUT00000005560
ENSBIXP00005035776	ENSBIXG00005002773	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000013892	ENSBBBG00000008475	Bison_bison_bison
ENSUMAP00000010825	ENSUMAG00000008143	Ursus_maritimus
ENSUAMP00000021498	ENSUAMG00000016880	Ursus_americanus
ENSAMEP00000009341	ENSAMEG00000008863	Ailuropoda_melanoleuca
ENSMPUP00000013092	ENSMPUG00000013190	Mustela_putorius_furo
ENSNVIP00000022631	ENSNVIG00000017565	Neovison_vison
ENSCAFP00000058108	ENSCAFG00000024109	Canis_lupus_familiaris
ENSCAFP00020027927	ENSCAFG00020021898	Canis_lupus_dingo
ENSVVUP00000031931	ENSVVUG00000023190	Vulpes_vulpes
ENSEEUP00000007630	ENSEEUG00000008375	Erinaceus_europaeus
ENSSARP00000002708	ENSSARG00000002964	Sorex_araneus
ENSMLUP00000012980	ENSMLUG00000014269	Myotis_lucifugus
ENSODEP00000002660	ENSODEG00000002062	Octodon_degus
ENSCLAP00000019367	ENSCLAG00000013277	Chinchilla_lanigera
ENSCPOP00000003617	ENSCPOG00000004009	Cavia_porcellus
ENSCAPP00000009659	ENSCAPG00000011071	Cavia_aperea
ENSHGLP00100014212	ENSHGLG00100010503	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00100020242	ENSHGLG00100014931	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000016000	ENSHGLG00000011441	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000013829	ENSFDAG00000000751	Fukomys_damarensis
ENSUPAP00010011068	ENSUPAG00010008911	Urocitellus_parryii
ENSSTOP00000026225	ENSSTOG00000028432	Ictidomys_tridecemlineatus
ENSSDAP00000000071	ENSSDAG00000000023	Spermophilus_dauricus
ENSMMMP00000026015	ENSMMMG00000022772	Marmota_marmota_marmota
ENSMUSP00000095690	ENSMUSG00000030945	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000001672	ENSMSIG00000001518	Mus_spicilegus
MGP_SPRETEiJ_P0085205	MGP_SPRETEiJ_G0031493	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0081818	MGP_CAROLIEiJ_G0030379	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0018607	MGP_PahariEiJ_G0013590	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000016400	ENSMUGG00000014017	Meriones_unguiculatus
ENSMUGP00000016865	ENSMUGG00000014387	Meriones_unguiculatus
ENSPEMP00000005452	ENSPEMG00000007868	Peromyscus_maniculatus_bairdii
ENSMOCP00000013136	ENSMOCG00000013016	Microtus_ochrogaster
ENSCGRP00000000078	ENSCGRG00000000098	Cricetulus_griseus_CriGri_1.0
ENSCGRP00000001122	ENSCGRG00000000874	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001002159	ENSCGRG00001002242	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015016788	ENSCGRG00015012865	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000014951	ENSMAUG00000014539	Mesocricetus_auratus
ENSNGAP00000024653	ENSNGAG00000022848	Nannospalax_galili
ENSCCNP00000030761	ENSCCNG00000029376	Castor_canadensis
ENSOCUP00000033054	ENSOCUG00000005933	Oryctolagus_cuniculus
ENSPCOP00000004220	ENSPCOG00000012386	Propithecus_coquereli
ENSMICP00000000194	ENSMICG00000000215	Microcebus_murinus
ENSOGAP00000010964	ENSOGAG00000012254	Otolemur_garnettii
ENSTSYP00000001855	ENSTSYG00000002008	Carlito_syrichta
ENSLAFP00000009046	ENSLAFG00000010811	Loxodonta_africana
ENSPCAP00000003213	ENSPCAG00000003428	Procavia_capensis
ENSPCIP00000039947	ENSPCIG00000029248	Phascolarctos_cinereus
ENSMEUP00000002734	ENSMEUG00000002992	Notamacropus_eugenii
ENSSHAP00000022351	ENSSHAG00000018918	Sarcophilus_harrisii
ENSMODP00000008466	ENSMODG00000006833	Monodelphis_domestica
