ENSPMEP00000002314	ENSPMEG00000003364	Poecilia_mexicana
ENSPLAP00000028012	ENSPLAG00000017067	Poecilia_latipinna
ENSPREP00000028544	ENSPREG00000019314	Poecilia_reticulata
ENSGAFP00000009739	ENSGAFG00000006632	Gambusia_affinis
ENSXMAP00000024037	ENSXMAG00000021731	Xiphophorus_maculatus
ENSFHEP00000025477	ENSFHEG00000007723	Fundulus_heteroclitus
ENSORLP00000035499	ENSORLG00000023063	Oryzias_latipes_ASM223467v1
ENSORLP00020006118	ENSORLG00020006950	Oryzias_latipes_ASM223471v1
ENSORLP00015025074	ENSORLG00015006002	Oryzias_latipes_ASM223469v1
ENSOMEP00000028091	ENSOMEG00000010948	Oryzias_melastigma
ENSCSEP00000025390	ENSCSEG00000016209	Cynoglossus_semilaevis	ENSCSET00000025727
ENSPRNP00000008002	ENSPRNG00000004765	Parambassis_ranga
ENSGWIP00000050971	ENSGWIG00000024712	Gouania_willdenowi
ENSKMAP00000011513	ENSKMAG00000008666	Kryptolebias_marmoratus
ENSATEP00000002926	ENSATEG00000002088	Anabas_testudineus
ENSMAMP00000017784	ENSMAMG00000012017	Mastacembelus_armatus
ENSHCOP00000004880	ENSHCOG00000006419	Hippocampus_comes
ENSLBEP00000036815	ENSLBEG00000027514	Labrus_bergylta
ENSLCAP00010015996	ENSLCAG00010007631	Lates_calcarifer
ENSSMAP00000014102	ENSSMAG00000008660	Scophthalmus_maximus	ENSSMAT00000014288
ENSAOCP00000016193	ENSAOCG00000021080	Amphiprion_ocellaris
ENSAPEP00000016991	ENSAPEG00000012153	Amphiprion_percula
ENSSPAP00000024102	ENSSPAG00000018216	Stegastes_partitus
ENSBSLP00000010559	ENSBSLG00000005511	Betta_splendens
ENSPMGP00000022232	ENSPMGG00000017990	Periophthalmus_magnuspinnatus
ENSCHAP00000028194	ENSCHAG00000013624	Clupea_harengus
