ENSSLDP00000001956	ENSSLDG00000001604	Seriola_lalandi_dorsalis
ENSSDUP00000029242	ENSSDUG00000021074	Seriola_dumerili
ENSSMAP00000027323	ENSSMAG00000016714	Scophthalmus_maximus
ENSLCAP00010016112	ENSLCAG00010007684	Lates_calcarifer
ENSLCAP00010016117	ENSLCAG00010007687	Lates_calcarifer
ENSMALP00000001680	ENSMALG00000001250	Monopterus_albus
ENSMAMP00000025219	ENSMAMG00000016950	Mastacembelus_armatus
ENSATEP00000036111	ENSATEG00000024820	Anabas_testudineus
ENSBSLP00000036892	ENSBSLG00000018008	Betta_splendens
ENSCSEP00000033945	ENSCSEG00000021771	Cynoglossus_semilaevis
ENSCGOP00000002691	ENSCGOG00000001397	Cottoperca_gobio
ENSLBEP00000029519	ENSLBEG00000022345	Labrus_bergylta
ENSMMOP00000014430	ENSMMOG00000011043	Mola_mola
ENSTRUP00000049150	ENSTRUG00000023829	Takifugu_rubripes
ENSLCRP00005055412	ENSLCRG00005020657	Larimichthys_crocea
ENSAOCP00000028143	ENSAOCG00000017579	Amphiprion_ocellaris
ENSAPOP00000031470	ENSAPOG00000018724	Acanthochromis_polyacanthus
ENSPRNP00000008534	ENSPRNG00000005080	Parambassis_ranga
ENSMZEP00005020093	ENSMZEG00005015083	Maylandia_zebra
ENSACLP00000020073	ENSACLG00000013648	Astatotilapia_calliptera
ENSMZEP00005020107	ENSMZEG00005015091	Maylandia_zebra
ENSPNYP00000021553	ENSPNYG00000016286	Pundamilia_nyererei
ENSHBUP00000001042	ENSHBUG00000002226	Haplochromis_burtoni
ENSNBRP00000024537	ENSNBRG00000018765	Neolamprologus_brichardi
ENSGWIP00000047007	ENSGWIG00000023174	Gouania_willdenowi
ENSPLAP00000005863	ENSPLAG00000007882	Poecilia_latipinna
ENSPREP00000006056	ENSPREG00000004206	Poecilia_reticulata
ENSPFOP00000016410	ENSPFOG00000016355	Poecilia_formosa
ENSPMEP00000007450	ENSPMEG00000009082	Poecilia_mexicana
ENSXMAP00000035468	ENSXMAG00000025779	Xiphophorus_maculatus
ENSXCOP00000017795	ENSXCOG00000013405	Xiphophorus_couchianus
ENSGAFP00000016215	ENSGAFG00000010952	Gambusia_affinis
ENSCVAP00000031234	ENSCVAG00000020357	Cyprinodon_variegatus
ENSKMAP00000008206	ENSKMAG00000006184	Kryptolebias_marmoratus
ENSORLP00000030644	ENSORLG00000030091	Oryzias_latipes_ASM223467v1
ENSORLP00020020353	ENSORLG00020021374	Oryzias_latipes_ASM223471v1
ENSORLP00015016626	ENSORLG00015017596	Oryzias_latipes_ASM223469v1
ENSOMEP00000001066	ENSOMEG00000001947	Oryzias_melastigma
ENSHCOP00000000164	ENSHCOG00000000912	Hippocampus_comes
