ENSCPBP00000020130	ENSCPBG00000014494	Chrysemys_picta_bellii
ENSCABP00000007425	ENSCABG00000005620	Chelonoidis_abingdonii
ENSPSIP00000005705	ENSPSIG00000005286	Pelodiscus_sinensis
ENSCPGP00000014528	ENSCPGG00000010268	Calidris_pygmaea
ENSCPUP00000026322	ENSCPUG00000017726	Calidris_pugnax
ENSLSDP00000020003	ENSLSDG00000014195	Lonchura_striata_domestica
ENSTGUP00000002651	ENSTGUG00000002573	Taeniopygia_guttata
ENSSCAP00000002637	ENSSCAG00000002292	Serinus_canaria
ENSFALP00000004252	ENSFALG00000004082	Ficedula_albicollis
ENSPMJP00000009858	ENSPMJG00000007845	Parus_major
ENSJHYP00000003205	ENSJHYG00000002649	Junco_hyemalis
ENSLCOP00000006447	ENSLCOG00000004785	Lepidothrix_coronata
ENSMVIP00005016046	ENSMVIG00005011537	Manacus_vitellinus
ENSMUNP00000010413	ENSMUNG00000008230	Melopsittacus_undulatus
ENSAPLP00000019546	ENSAPLG00000010929	Anas_platyrhynchos_platyrhynchos
ENSCPRP00005013249	ENSCPRG00005009370	Crocodylus_porosus
ENSCCEP00000009628	ENSCCEG00000009749	Cyanistes_caeruleus
ENSZALP00000018260	ENSZALG00000014646	Zonotrichia_albicollis
ENSCJPP00005003403	ENSCJPG00005003586	Coturnix_japonica
ENSMGAP00000001188	ENSMGAG00000001700	Meleagris_gallopavo
ENSGALP00000039814	ENSGALG00000004093	Gallus_gallus
ENSNMEP00000011744	ENSNMEG00000011031	Numida_meleagris
ENSABRP00000007883	ENSABRG00000007170	Anser_brachyrhynchus
ENSARWP00000009814	ENSARWG00000006842	Apteryx_rowi
ENSAHAP00000010860	ENSAHAG00000007841	Apteryx_haastii
ENSAOWP00000016935	ENSAOWG00000011563	Apteryx_owenii
ENSDNVP00000007639	ENSDNVG00000005423	Dromaius_novaehollandiae
ENSNPEP00000018734	ENSNPEG00000013964	Nothoprocta_perdicaria
ENSACAP00000001008	ENSACAG00000001024	Anolis_carolinensis
ENSPVIP00000009171	ENSPVIG00000007313	Pogona_vitticeps
ENSNSUP00000029064	ENSNSUG00000020617	Notechis_scutatus
ENSSMRP00000011741	ENSSMRG00000009224	Salvator_merianae
ENSSPUP00000004690	ENSSPUG00000003611	Sphenodon_punctatus
ENSVURP00010014093	ENSVURG00010010806	Vombatus_ursinus
ENSPCIP00000009387	ENSPCIG00000007687	Phascolarctos_cinereus
ENSMEUP00000012270	ENSMEUG00000013453	Notamacropus_eugenii
ENSMODP00000005244	ENSMODG00000004255	Monodelphis_domestica
ENSSHAP00000019643	ENSSHAG00000016678	Sarcophilus_harrisii
ENSCCNP00000000680	ENSCCNG00000000725	Castor_canadensis
ENSDORP00000009380	ENSDORG00000009980	Dipodomys_ordii
ENSMUSP00000128247	ENSMUSG00000031241	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0096271	MGP_SPRETEiJ_G0034503	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000031673	ENSMSIG00000026476	Mus_spicilegus
MGP_CAROLIEiJ_P0092505	MGP_CAROLIEiJ_G0033339	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0090116	MGP_PahariEiJ_G0031875	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000003190	ENSRNOG00000002346	Rattus_norvegicus
ENSMUGP00000012079	ENSMUGG00000010541	Meriones_unguiculatus
ENSPEMP00000027625	ENSPEMG00000023383	Peromyscus_maniculatus_bairdii
ENSMOCP00000002180	ENSMOCG00000001712	Microtus_ochrogaster
ENSCGRP00001020636	ENSCGRG00001019725	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015023527	ENSCGRG00015017869	Cricetulus_griseus_CriGri-PICR
