ENSAOWP00000012137	ENSAOWG00000008320	Apteryx_owenii
ENSARWP00000012103	ENSARWG00000008300	Apteryx_rowi
ENSAHAP00000026036	ENSAHAG00000018165	Apteryx_haastii
ENSDNVP00000005033	ENSDNVG00000003602	Dromaius_novaehollandiae
ENSNPEP00000001540	ENSNPEG00000001194	Nothoprocta_perdicaria
ENSSCAP00000001232	ENSSCAG00000001024	Serinus_canaria
ENSLSDP00000009894	ENSLSDG00000007310	Lonchura_striata_domestica
ENSFALP00000012045	ENSFALG00000011535	Ficedula_albicollis
ENSCCEP00000015014	ENSCCEG00000014273	Cyanistes_caeruleus
ENSJHYP00000013733	ENSJHYG00000010636	Junco_hyemalis
ENSZALP00000000070	ENSZALG00000000080	Zonotrichia_albicollis
ENSCCEP00000021871	ENSCCEG00000019801	Cyanistes_caeruleus
ENSCCEP00000021869	ENSCCEG00000019800	Cyanistes_caeruleus
ENSCCEP00000000758	ENSCCEG00000001006	Cyanistes_caeruleus
ENSCJPP00005002298	ENSCJPG00005002495	Coturnix_japonica
ENSACAP00000018855	ENSACAG00000027977	Anolis_carolinensis
ENSPTIP00000021661	ENSPTIG00000018752	Panthera_tigris_altaica
ENSPPRP00000004844	ENSPPRG00000000804	Panthera_pardus
ENSFCAP00000008211	ENSFCAG00000008858	Felis_catus
ENSECAP00000012558	ENSECAG00000014334	Equus_caballus
ENSMNEP00000000924	ENSMNEG00000004495	Macaca_nemestrina
ENSCJAP00000058215	ENSCJAG00000041183	Callithrix_jacchus
ENSTSYP00000026364	ENSTSYG00000000144	Carlito_syrichta
ENSTSYP00000034953	ENSTSYG00000026971	Carlito_syrichta
ENSCCAP00000030966	ENSCCAG00000033526	Cebus_capucinus_imitator
ENSCJAP00000035253	ENSCJAG00000018949	Callithrix_jacchus
ENSSBOP00000025780	ENSSBOG00000029342	Saimiri_boliviensis_boliviensis
ENSVVUP00000015755	ENSVVUG00000011552	Vulpes_vulpes
ENSPTRP00000006478	ENSPTRG00000003768	Pan_troglodytes
ENSPPAP00000041928	ENSPPAG00000043560	Pan_paniscus
ENSGGOP00000021503	ENSGGOG00000013557	Gorilla_gorilla
ENSPPAP00000001676	ENSPPAG00000007374	Pan_paniscus
ENSPTRP00000060860	ENSPTRG00000039432	Pan_troglodytes
ENSGGOP00000047622	ENSGGOG00000042744	Gorilla_gorilla
ENSP00000331901	ENSG00000254772	Homo_sapiens
ENSNLEP00000004513	ENSNLEG00000003528	Nomascus_leucogenys
ENSMMUP00000008675	ENSMMUG00000006598	Macaca_mulatta
ENSMFAP00000010421	ENSMFAG00000007224	Macaca_fascicularis
ENSMMUP00000052661	ENSMMUG00000016009	Macaca_mulatta
ENSMFAP00000035843	ENSMFAG00000034295	Macaca_fascicularis
ENSMNEP00000044038	ENSMNEG00000044626	Macaca_nemestrina
ENSTGEP00000020218	ENSTGEG00000016259	Theropithecus_gelada
ENSMLEP00000005204	ENSMLEG00000023252	Mandrillus_leucophaeus
ENSCATP00000030669	ENSCATG00000038495	Cercocebus_atys
ENSCSAP00000002848	ENSCSAG00000006560	Chlorocebus_sabaeus
ENSRROP00000038970	ENSRROG00000042836	Rhinopithecus_roxellana
ENSRBIP00000037251	ENSRBIG00000042208	Rhinopithecus_bieti
ENSRBIP00000042508	ENSRBIG00000044514	Rhinopithecus_bieti
ENSRROP00000043387	ENSRROG00000044752	Rhinopithecus_roxellana
ENSRROP00000026256	ENSRROG00000036867	Rhinopithecus_roxellana
ENSPTEP00000011497	ENSPTEG00000012950	Piliocolobus_tephrosceles
ENSCANP00000025763	ENSCANG00000036288	Colobus_angolensis_palliatus
