ENSCPRP00005009032	ENSCPRG00005006432	Crocodylus_porosus	ENSCPRT00005010627
ENSNSUP00000010484	ENSNSUG00000007956	Notechis_scutatus	ENSNSUT00000011187
ENSVURP00010029247	ENSVURG00010022379	Vombatus_ursinus
ENSPCIP00000044550	ENSPCIG00000033739	Phascolarctos_cinereus
ENSMEUP00000011599	ENSMEUG00000012727	Notamacropus_eugenii
ENSMODP00000021676	ENSMODG00000017370	Monodelphis_domestica
ENSSHAP00000010902	ENSSHAG00000009398	Sarcophilus_harrisii
ENSSARP00000007481	ENSSARG00000008284	Sorex_araneus
ENSEEUP00000010787	ENSEEUG00000011831	Erinaceus_europaeus
ENSPVAP00000004726	ENSPVAG00000004998	Pteropus_vampyrus
ENSUMAP00000006510	ENSUMAG00000005104	Ursus_maritimus
ENSUAMP00000009624	ENSUAMG00000007983	Ursus_americanus
ENSAMEP00000010686	ENSAMEG00000010171	Ailuropoda_melanoleuca
ENSMPUP00000002488	ENSMPUG00000002517	Mustela_putorius_furo
ENSCAFP00020002770	ENSCAFG00020002340	Canis_lupus_dingo
ENSCAFP00000017046	ENSCAFG00000011602	Canis_lupus_familiaris
ENSVVUP00000026055	ENSVVUG00000019126	Vulpes_vulpes
ENSUAMP00000000200	ENSUAMG00000000240	Ursus_americanus
ENSVVUP00000002560	ENSVVUG00000002030	Vulpes_vulpes
ENSPTIP00000001290	ENSPTIG00000003315	Panthera_tigris_altaica
ENSPPRP00000001678	ENSPPRG00000023933	Panthera_pardus
ENSPTIP00000021659	ENSPTIG00000018711	Panthera_tigris_altaica
ENSFCAP00000050401	ENSFCAG00000023640	Felis_catus
ENSOARP00000011757	ENSOARG00000010966	Ovis_aries
ENSCHIP00000017739	ENSCHIG00000017454	Capra_hircus
ENSBIXP00005004109	ENSBIXG00005010091	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000016034	ENSBTAG00000012089	Bos_taurus
ENSBIXP00000000506	ENSBIXG00000029755	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBBBP00000013244	ENSBBBG00000005619	Bison_bison_bison
ENSCHIP00000003602	ENSCHIG00000007755	Capra_hircus
ENSVPAP00000007969	ENSVPAG00000008563	Vicugna_pacos
ENSTTRP00000005407	ENSTTRG00000005725	Tursiops_truncatus
ENSSSCP00000072463	ENSSSCG00000031650	Sus_scrofa_strain_reference
ENSECAP00000049166	ENSECAG00000016413	Equus_caballus
ENSEASP00005030665	ENSEASG00005020876	Equus_asinus_asinus
ENSRBIP00000033321	ENSRBIG00000040414	Rhinopithecus_bieti
ENSRROP00000029625	ENSRROG00000038610	Rhinopithecus_roxellana
ENSPTEP00000034482	ENSPTEG00000032709	Piliocolobus_tephrosceles
