ENSCHOP00000005906	ENSCHOG00000006670	Choloepus_hoffmanni
ENSPTEP00000007003	ENSPTEG00000008008	Piliocolobus_tephrosceles
ENSLACP00000020951	ENSLACG00000018408	Latimeria_chalumnae
ENSSFOP00015006307	ENSSFOG00015004149	Scleropages_formosus
ENSPKIP00000012141	ENSPKIG00000000039	Paramormyrops_kingsleyae
ENSIPUP00000036422	ENSIPUG00000024398	Ictalurus_punctatus
ENSEEEP00000011438	ENSEEEG00000005745	Electrophorus_electricus
ENSAMXP00000006129	ENSAMXG00000005982	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005015668	ENSAMXG00005008257	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000028880	ENSPNAG00000003239	Pygocentrus_nattereri
ENSDARP00000100814	ENSDARG00000074222	Danio_rerio
ENSCHAP00000011768	ENSCHAG00000006494	Clupea_harengus
ENSTRUP00000006376	ENSTRUG00000002741	Takifugu_rubripes
ENSTNIP00000007434	ENSTNIG00000004777	Tetraodon_nigroviridis
ENSMMOP00000016494	ENSMMOG00000012574	Mola_mola
ENSLBEP00000001901	ENSLBEG00000001462	Labrus_bergylta
ENSLCRP00005024251	ENSLCRG00005009730	Larimichthys_crocea
ENSHCOP00000002907	ENSHCOG00000004147	Hippocampus_comes
ENSORLP00015022036	ENSORLG00015001223	Oryzias_latipes_ASM223469v1
ENSORLP00015017764	ENSORLG00015018827	Oryzias_latipes_ASM223469v1
ENSORLP00000040725	ENSORLG00000013672	Oryzias_latipes_ASM223467v1
ENSORLP00020028389	ENSORLG00020011832	Oryzias_latipes_ASM223471v1
ENSOMEP00000016311	ENSOMEG00000017944	Oryzias_melastigma
ENSBSLP00000013729	ENSBSLG00000007226	Betta_splendens
ENSLCAP00010031648	ENSLCAG00010014870	Lates_calcarifer
ENSLCAP00010047630	ENSLCAG00010022131	Lates_calcarifer
ENSSDUP00000032588	ENSSDUG00000023409	Seriola_dumerili
