ENSAOWP00000010232	ENSAOWG00000007047	Apteryx_owenii	ENSAOWT00000011628
ENSARWP00000018806	ENSARWG00000012934	Apteryx_rowi	ENSARWT00000021375
ENSAHAP00000005236	ENSAHAG00000004026	Apteryx_haastii	ENSAHAT00000005878
ENSDNVP00000010225	ENSDNVG00000007226	Dromaius_novaehollandiae	ENSDNVT00000012300
ENSNPEP00000007623	ENSNPEG00000005710	Nothoprocta_perdicaria
ENSCPUP00000007431	ENSCPUG00000005371	Calidris_pugnax
ENSCPGP00000002589	ENSCPGG00000001934	Calidris_pygmaea
ENSCCEP00000014699	ENSCCEG00000014009	Cyanistes_caeruleus
ENSPMJP00000018334	ENSPMJG00000013734	Parus_major
ENSFALP00000002179	ENSFALG00000002098	Ficedula_albicollis
ENSTGUP00000008441	ENSTGUG00000008182	Taeniopygia_guttata
ENSLSDP00000024447	ENSLSDG00000017152	Lonchura_striata_domestica
ENSSCAP00000007791	ENSSCAG00000005976	Serinus_canaria
ENSJHYP00000017607	ENSJHYG00000013450	Junco_hyemalis
ENSZALP00000001867	ENSZALG00000002246	Zonotrichia_albicollis
ENSLCOP00000000370	ENSLCOG00000000348	Lepidothrix_coronata
ENSMVIP00005004506	ENSMVIG00005003486	Manacus_vitellinus
ENSCJPP00005007185	ENSCJPG00005006625	Coturnix_japonica
ENSMUNP00000002592	ENSMUNG00000002273	Melopsittacus_undulatus
ENSGALP00000021456	ENSGALG00000013157	Gallus_gallus
ENSMGAP00000006940	ENSMGAG00000006862	Meleagris_gallopavo
ENSNMEP00000009092	ENSNMEG00000008821	Numida_meleagris
ENSABRP00000022722	ENSABRG00000019242	Anser_brachyrhynchus
ENSCPRP00005020404	ENSCPRG00005014198	Crocodylus_porosus
ENSGAGP00000000166	ENSGAGG00000000144	Gopherus_agassizii
ENSCABP00000008357	ENSCABG00000006209	Chelonoidis_abingdonii
ENSCPBP00000001007	ENSCPBG00000000816	Chrysemys_picta_bellii
ENSPSIP00000007121	ENSPSIG00000006556	Pelodiscus_sinensis
ENSNSUP00000006921	ENSNSUG00000005354	Notechis_scutatus
ENSPVIP00000026446	ENSPVIG00000019748	Pogona_vitticeps
ENSSMRP00000012868	ENSSMRG00000010036	Salvator_merianae
ENSSPUP00000016980	ENSSPUG00000013138	Sphenodon_punctatus
ENSSHAP00000011618	ENSSHAG00000009983	Sarcophilus_harrisii
ENSMODP00000046952	ENSMODG00000004026	Monodelphis_domestica
ENSPCIP00000039622	ENSPCIG00000029075	Phascolarctos_cinereus
ENSVURP00010012547	ENSVURG00010009691	Vombatus_ursinus
ENSMEUP00000002688	ENSMEUG00000002947	Notamacropus_eugenii
ENSCHOP00000011209	ENSCHOG00000012656	Choloepus_hoffmanni
ENSDNOP00000001609	ENSDNOG00000002076	Dasypus_novemcinctus
ENSBIXP00000021673	ENSBIXG00000024700	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000023720	ENSBTAG00000017845	Bos_taurus
ENSCHIP00000029959	ENSCHIG00000024902	Capra_hircus
ENSOARP00000010216	ENSOARG00000009520	Ovis_aries
ENSCHIP00000027419	ENSCHIG00000023332	Capra_hircus
ENSBMUP00000023085	ENSBMUG00000017355	Bos_mutus
ENSBIXP00000009321	ENSBIXG00000015038	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005019329	ENSBIXG00005022572	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000018507	ENSBBBG00000011456	Bison_bison_bison
ENSTTRP00000010024	ENSTTRG00000010573	Tursiops_truncatus
ENSSSCP00000072040	ENSSSCG00000010996	Sus_scrofa_strain_reference
ENSSARP00000001362	ENSSARG00000001502	Sorex_araneus
ENSCAFP00020019655	ENSCAFG00020015621	Canis_lupus_dingo
ENSCAFP00000002694	ENSCAFG00000001844	Canis_lupus_familiaris
ENSVVUP00000028879	ENSVVUG00000021112	Vulpes_vulpes
ENSNVIP00000000676	ENSNVIG00000000579	Neovison_vison
ENSUAMP00000033721	ENSUAMG00000025679	Ursus_americanus
ENSUMAP00000007775	ENSUMAG00000005990	Ursus_maritimus
ENSAMEP00000007922	ENSAMEG00000007519	Ailuropoda_melanoleuca
ENSPTIP00000017928	ENSPTIG00000016207	Panthera_tigris_altaica
ENSPPRP00000003841	ENSPPRG00000000153	Panthera_pardus
ENSFCAP00000016291	ENSFCAG00000019280	Felis_catus
ENSECAP00000015620	ENSECAG00000017942	Equus_caballus
ENSEASP00005005772	ENSEASG00005004262	Equus_asinus_asinus
ENSMLUP00000010039	ENSMLUG00000011010	Myotis_lucifugus
ENSPVAP00000010819	ENSPVAG00000011476	Pteropus_vampyrus
ENSRBIP00000028731	ENSRBIG00000038252	Rhinopithecus_bieti
ENSRROP00000014172	ENSRROG00000031300	Rhinopithecus_roxellana
ENSCANP00000010217	ENSCANG00000028503	Colobus_angolensis_palliatus
ENSPTEP00000012580	ENSPTEG00000014113	Piliocolobus_tephrosceles
ENSMNEP00000032580	ENSMNEG00000039600	Macaca_nemestrina
ENSMMUP00000063374	ENSMMUG00000020148	Macaca_mulatta
ENSMFAP00000026720	ENSMFAG00000044782	Macaca_fascicularis
ENSMLEP00000020741	ENSMLEG00000034585	Mandrillus_leucophaeus
ENSTGEP00000013703	ENSTGEG00000011118	Theropithecus_gelada
ENSPANP00000019152	ENSPANG00000025295	Papio_anubis
ENSCATP00000003640	ENSCATG00000013812	Cercocebus_atys
ENSCSAP00000006156	ENSCSAG00000009948	Chlorocebus_sabaeus
ENSPTRP00000035663	ENSPTRG00000020856	Pan_troglodytes
ENSPPAP00000009091	ENSPPAG00000027764	Pan_paniscus
ENSP00000489189	ENSG00000107262	Homo_sapiens
ENSGGOP00000016131	ENSGGOG00000016534	Gorilla_gorilla
ENSPPYP00000021443	ENSPPYG00000019138	Pongo_abelii
ENSNLEP00000046813	ENSNLEG00000030668	Nomascus_leucogenys
ENSCCAP00000018310	ENSCCAG00000026996	Cebus_capucinus_imitator
ENSSBOP00000016789	ENSSBOG00000025067	Saimiri_boliviensis_boliviensis
ENSSBOP00000022003	ENSSBOG00000027567	Saimiri_boliviensis_boliviensis
ENSCCAP00000032624	ENSCCAG00000034340	Cebus_capucinus_imitator
ENSCJAP00000014938	ENSCJAG00000008074	Callithrix_jacchus
ENSANAP00000025154	ENSANAG00000030300	Aotus_nancymaae
ENSTSYP00000019717	ENSTSYG00000031769	Carlito_syrichta
ENSPCOP00000017652	ENSPCOG00000020650	Propithecus_coquereli
ENSPSMP00000025018	ENSPSMG00000017606	Prolemur_simus
ENSMICP00000011013	ENSMICG00000012099	Microcebus_murinus
ENSOGAP00000000687	ENSOGAG00000000772	Otolemur_garnettii
ENSCCNP00000020714	ENSCCNG00000020638	Castor_canadensis
ENSDORP00000018099	ENSDORG00000027936	Dipodomys_ordii
ENSCLAP00000014748	ENSCLAG00000010177	Chinchilla_lanigera
ENSCPOP00000003130	ENSCPOG00000003465	Cavia_porcellus
ENSODEP00000020504	ENSODEG00000015127	Octodon_degus
ENSHGLP00000008262	ENSHGLG00000005978	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100020496	ENSHGLG00100015097	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000012046	ENSFDAG00000019460	Fukomys_damarensis
ENSCGRP00015006979	ENSCGRG00015005377	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001024562	ENSCGRG00001022434	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000014028	ENSCGRG00000010160	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000016130	ENSMAUG00000015379	Mesocricetus_auratus
ENSMOCP00000013079	ENSMOCG00000012982	Microtus_ochrogaster
ENSPEMP00000000636	ENSPEMG00000000459	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0064242	MGP_SPRETEiJ_G0026850	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000007860	ENSMSIG00000006980	Mus_spicilegus
ENSMUSP00000030125	ENSMUSG00000028416	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0061811	MGP_CAROLIEiJ_G0025902	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0057472	MGP_PahariEiJ_G0024025	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000011455	ENSRNOG00000008277	Rattus_norvegicus
ENSMUGP00000022472	ENSMUGG00000018832	Meriones_unguiculatus
ENSNGAP00000011283	ENSNGAG00000013468	Nannospalax_galili
ENSJJAP00000024292	ENSJJAG00000023807	Jaculus_jaculus
ENSMMMP00000009810	ENSMMMG00000008733	Marmota_marmota_marmota
ENSMMMP00000013563	ENSMMMG00000012088	Marmota_marmota_marmota
ENSSDAP00000000558	ENSSDAG00000000607	Spermophilus_dauricus
