ENSCHOP00000005935	ENSCHOG00000006706	Choloepus_hoffmanni
ENSDNOP00000019775	ENSDNOG00000039466	Dasypus_novemcinctus
ENSLAFP00000010508	ENSLAFG00000012569	Loxodonta_africana
ENSPCAP00000008212	ENSPCAG00000008836	Procavia_capensis
ENSP00000356257	ENSG00000163431	Homo_sapiens
ENSGGOP00000021439	ENSGGOG00000028449	Gorilla_gorilla
ENSPPAP00000024628	ENSPPAG00000035452	Pan_paniscus
ENSPTRP00000003081	ENSPTRG00000001841	Pan_troglodytes
ENSPPYP00000000399	ENSPPYG00000000357	Pongo_abelii
ENSNLEP00000021972	ENSNLEG00000018088	Nomascus_leucogenys
ENSMNEP00000031430	ENSMNEG00000039137	Macaca_nemestrina
ENSMFAP00000041993	ENSMFAG00000039790	Macaca_fascicularis
ENSCATP00000032329	ENSCATG00000039243	Cercocebus_atys
ENSTGEP00000025056	ENSTGEG00000020217	Theropithecus_gelada
ENSMMUP00000002571	ENSMMUG00000001923	Macaca_mulatta
ENSMLEP00000038824	ENSMLEG00000043462	Mandrillus_leucophaeus
ENSPANP00000006433	ENSPANG00000011450	Papio_anubis
ENSCSAP00000010189	ENSCSAG00000014056	Chlorocebus_sabaeus
ENSCANP00000007091	ENSCANG00000023390	Colobus_angolensis_palliatus
ENSCANP00000011218	ENSCANG00000029030	Colobus_angolensis_palliatus
ENSPTEP00000027618	ENSPTEG00000027439	Piliocolobus_tephrosceles
ENSRROP00000006685	ENSRROG00000026084	Rhinopithecus_roxellana
ENSRBIP00000002513	ENSRBIG00000012326	Rhinopithecus_bieti
ENSSBOP00000027330	ENSSBOG00000030087	Saimiri_boliviensis_boliviensis
ENSCCAP00000005122	ENSCCAG00000020253	Cebus_capucinus_imitator
ENSCJAP00000071025	ENSCJAG00000062096	Callithrix_jacchus
ENSANAP00000031740	ENSANAG00000033606	Aotus_nancymaae
ENSTSYP00000014084	ENSTSYG00000029478	Carlito_syrichta
ENSPSMP00000000624	ENSPSMG00000000493	Prolemur_simus
ENSMICP00000047056	ENSMICG00000001547	Microcebus_murinus
ENSPCOP00000026755	ENSPCOG00000025793	Propithecus_coquereli
ENSOGAP00000005513	ENSOGAG00000006170	Otolemur_garnettii
ENSUAMP00000025876	ENSUAMG00000020098	Ursus_americanus
ENSUMAP00000005212	ENSUMAG00000004144	Ursus_maritimus
ENSAMEP00000012674	ENSAMEG00000012044	Ailuropoda_melanoleuca
ENSNVIP00000018505	ENSNVIG00000014488	Neovison_vison
ENSMPUP00000010814	ENSMPUG00000010900	Mustela_putorius_furo
ENSPPRP00000010756	ENSPPRG00000004818	Panthera_pardus
ENSPTIP00000013891	ENSPTIG00000013474	Panthera_tigris_altaica
ENSFCAP00000000413	ENSFCAG00000000446	Felis_catus
ENSEASP00005029268	ENSEASG00005019905	Equus_asinus_asinus
