ENSCATP00000034607	ENSCATG00000040182	Cercocebus_atys
ENSPCIP00000031687	ENSPCIG00000023531	Phascolarctos_cinereus
ENSUAMP00000002151	ENSUAMG00000001996	Ursus_americanus
ENSSMRP00000003389	ENSSMRG00000002839	Salvator_merianae
ENSCJPP00005026833	ENSCJPG00005020828	Coturnix_japonica
ENSLOCP00000013713	ENSLOCG00000011160	Lepisosteus_oculatus
ENSRNOP00000014354	ENSRNOG00000010536	Rattus_norvegicus
ENSJJAP00000014007	ENSJJAG00000016580	Jaculus_jaculus
ENSPEMP00000029205	ENSPEMG00000031007	Peromyscus_maniculatus_bairdii
ENSHHUP00000025367	ENSHHUG00000015960	Hucho_hucho
ENSMLUP00000009178	ENSMLUG00000010062	Myotis_lucifugus
ENSGALP00000068551	ENSGALG00000008519	Gallus_gallus
ENSORLP00020034157	ENSORLG00020020534	Oryzias_latipes_ASM223471v1
ENSFALP00000014282	ENSFALG00000013685	Ficedula_albicollis
ENSGAGP00000016863	ENSGAGG00000012590	Gopherus_agassizii
ENSCPGP00000003712	ENSCPGG00000002752	Calidris_pygmaea
ENSMODP00000008737	ENSMODG00000007047	Monodelphis_domestica
MGP_CAROLIEiJ_P0075076	MGP_CAROLIEiJ_G0028661	Mus_caroli_strain_CAROLI_EIJ
ENSCCAP00000020922	ENSCCAG00000028267	Cebus_capucinus_imitator
ENSPMEP00000032059	ENSPMEG00000019728	Poecilia_mexicana
ENSSDAP00000016670	ENSSDAG00000014936	Spermophilus_dauricus
ENSMFAP00000027723	ENSMFAG00000045119	Macaca_fascicularis
ENSNGAP00000024161	ENSNGAG00000022501	Nannospalax_galili
ENSHGLP00100020357	ENSHGLG00100015012	Heterocephalus_glaber_HetGla_1.0
ENSCABP00000005638	ENSCABG00000004178	Chelonoidis_abingdonii
ENSLCRP00005013500	ENSLCRG00005005851	Larimichthys_crocea
ENSECAP00000003935	ENSECAG00000003791	Equus_caballus
ENSPPYP00000014996	ENSPPYG00000013408	Pongo_abelii
