ENSMGAP00000007776	ENSMGAG00000007643	Meleagris_gallopavo
ENSCJPP00005013813	ENSCJPG00005011619	Coturnix_japonica
ENSGALP00000048071	ENSGALG00000042227	Gallus_gallus
ENSNMEP00000001434	ENSNMEG00000001823	Numida_meleagris
ENSAPLP00000021572	ENSAPLG00000029767	Anas_platyrhynchos_platyrhynchos
ENSCPGP00000001273	ENSCPGG00000001006	Calidris_pygmaea
ENSCPUP00000016454	ENSCPUG00000011378	Calidris_pugnax
ENSTGUP00000003648	ENSTGUG00000003551	Taeniopygia_guttata
ENSLSDP00000010883	ENSLSDG00000008012	Lonchura_striata_domestica
ENSSCAP00000021934	ENSSCAG00000015772	Serinus_canaria
ENSFALP00000000066	ENSFALG00000000061	Ficedula_albicollis
ENSCCEP00000012721	ENSCCEG00000012266	Cyanistes_caeruleus
ENSPMJP00000020975	ENSPMJG00000015572	Parus_major
ENSMVIP00005013916	ENSMVIG00005010061	Manacus_vitellinus
ENSDNVP00000023091	ENSDNVG00000016060	Dromaius_novaehollandiae
ENSCPBP00000001679	ENSCPBG00000001364	Chrysemys_picta_bellii
ENSGAGP00000018408	ENSGAGG00000013626	Gopherus_agassizii
ENSCPBP00000033194	ENSCPBG00000023245	Chrysemys_picta_bellii
ENSPSIP00000007677	ENSPSIG00000007063	Pelodiscus_sinensis
