FBpp0082980	FBgn0038578	Drosophila_melanogaster	FBtr0083558
Y113G7B.18b.1	WBGene00007017	Caenorhabditis_elegans_strain_N2	Y113G7B.18b.1
ENSLACP00000005703	ENSLACG00000005067	Latimeria_chalumnae
ENSPVIP00000009775	ENSPVIG00000007765	Pogona_vitticeps
ENSCCNP00000020879	ENSCCNG00000020783	Castor_canadensis
ENSARWP00000001270	ENSARWG00000001035	Apteryx_rowi
ENSARWP00000001271	ENSARWG00000001037	Apteryx_rowi
ENSAHAP00000023982	ENSAHAG00000016752	Apteryx_haastii
ENSAOWP00000015921	ENSAOWG00000010839	Apteryx_owenii
ENSDNVP00000024352	ENSDNVG00000016909	Dromaius_novaehollandiae
ENSNPEP00000016907	ENSNPEG00000012581	Nothoprocta_perdicaria
ENSSCAP00000004407	ENSSCAG00000003601	Serinus_canaria
ENSTGUP00000014519	ENSTGUG00000014124	Taeniopygia_guttata
ENSJHYP00000023825	ENSJHYG00000017914	Junco_hyemalis
ENSZALP00000021510	ENSZALG00000016843	Zonotrichia_albicollis
ENSTGUP00000013230	ENSTGUG00000012845	Taeniopygia_guttata
ENSTGUP00000015868	ENSTGUG00000015536	Taeniopygia_guttata
ENSLSDP00000000084	ENSLSDG00000000094	Lonchura_striata_domestica
ENSFALP00000000303	ENSFALG00000000295	Ficedula_albicollis
ENSCCEP00000027450	ENSCCEG00000023973	Cyanistes_caeruleus
ENSPMJP00000024300	ENSPMJG00000017877	Parus_major
ENSLCOP00000019861	ENSLCOG00000014084	Lepidothrix_coronata
ENSMVIP00005017377	ENSMVIG00005012359	Manacus_vitellinus
ENSCPGP00000009739	ENSCPGG00000006932	Calidris_pygmaea
ENSCPUP00000004953	ENSCPUG00000003650	Calidris_pugnax
ENSMUNP00000003315	ENSMUNG00000002823	Melopsittacus_undulatus
ENSABRP00000027306	ENSABRG00000022726	Anser_brachyrhynchus
ENSAPLP00000014984	ENSAPLG00000015087	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000016132	ENSMGAG00000015204	Meleagris_gallopavo
ENSCJPP00005003884	ENSCJPG00005003976	Coturnix_japonica
ENSGALP00000027778	ENSGALG00000017218	Gallus_gallus
ENSNMEP00000023093	ENSNMEG00000019701	Numida_meleagris
ENSCPRP00005022034	ENSCPRG00005015350	Crocodylus_porosus
ENSGAGP00000001281	ENSGAGG00000001036	Gopherus_agassizii
ENSCABP00000015590	ENSCABG00000011653	Chelonoidis_abingdonii
ENSCPBP00000034399	ENSCPBG00000023986	Chrysemys_picta_bellii
ENSPSIP00000004667	ENSPSIG00000004370	Pelodiscus_sinensis
ENSSPUP00000020419	ENSSPUG00000015657	Sphenodon_punctatus
ENSACAP00000014208	ENSACAG00000014462	Anolis_carolinensis	ENSACAT00000014499
ENSPVIP00000009772	ENSPVIG00000007763	Pogona_vitticeps	ENSPVIT00000012434
ENSNSUP00000025150	ENSNSUG00000018104	Notechis_scutatus	ENSNSUT00000026727
ENSSMRP00000012613	ENSSMRG00000009836	Salvator_merianae
ENSVURP00010013343	ENSVURG00010010274	Vombatus_ursinus
ENSPCIP00000004145	ENSPCIG00000003395	Phascolarctos_cinereus
ENSMEUP00000013884	ENSMEUG00000015206	Notamacropus_eugenii
ENSSHAP00000004812	ENSSHAG00000004223	Sarcophilus_harrisii
ENSMODP00000000462	ENSMODG00000000383	Monodelphis_domestica
ENSCGRP00001017426	ENSCGRG00001017473	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000021484	ENSCGRG00000015600	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015003597	ENSCGRG00015002853	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000000617	ENSMAUG00000000493	Mesocricetus_auratus
ENSPEMP00000028540	ENSPEMG00000024047	Peromyscus_maniculatus_bairdii
ENSMOCP00000021463	ENSMOCG00000018802	Microtus_ochrogaster
ENSMUSP00000034411	ENSMUSG00000031935	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000019104	ENSMSIG00000016253	Mus_spicilegus
MGP_SPRETEiJ_P0090319	MGP_SPRETEiJ_G0032914	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0086775	MGP_CAROLIEiJ_G0031794	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0022437	MGP_PahariEiJ_G0014670	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000014435	ENSRNOG00000010496	Rattus_norvegicus
ENSMUGP00000032200	ENSMUGG00000026804	Meriones_unguiculatus
ENSNGAP00000004395	ENSNGAG00000005765	Nannospalax_galili
ENSDORP00000004681	ENSDORG00000005005	Dipodomys_ordii
ENSEEUP00000006416	ENSEEUG00000007036	Erinaceus_europaeus
ENSSARP00000005051	ENSSARG00000005589	Sorex_araneus
ENSETEP00000014759	ENSETEG00000018166	Echinops_telfairi
ENSOPRP00000013920	ENSOPRG00000015243	Ochotona_princeps
ENSPVAP00000003403	ENSPVAG00000003601	Pteropus_vampyrus
ENSMLUP00000010454	ENSMLUG00000011467	Myotis_lucifugus
ENSEASP00005017778	ENSEASG00005012254	Equus_asinus_asinus
ENSECAP00000040380	ENSECAG00000011329	Equus_caballus
ENSCHIP00000012765	ENSCHIG00000014403	Capra_hircus
ENSOARP00000002185	ENSOARG00000002077	Ovis_aries
ENSBIXP00000000761	ENSBIXG00000029413	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005032268	ENSBIXG00005012764	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000004623	ENSBTAG00000003552	Bos_taurus
ENSBMUP00000023192	ENSBMUG00000017419	Bos_mutus
ENSBBBP00000019851	ENSBBBG00000013353	Bison_bison_bison
ENSTTRP00000001071	ENSTTRG00000001141	Tursiops_truncatus
ENSSSCP00000061127	ENSSSCG00000014949	Sus_scrofa_strain_reference
ENSVPAP00000008675	ENSVPAG00000009324	Vicugna_pacos
ENSCPOP00000012747	ENSCPOG00000014149	Cavia_porcellus
ENSCAPP00000004818	ENSCAPG00000007278	Cavia_aperea
ENSCLAP00000025055	ENSCLAG00000017202	Chinchilla_lanigera
ENSODEP00000003065	ENSODEG00000002353	Octodon_degus
ENSHGLP00000008580	ENSHGLG00000006191	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100003223	ENSHGLG00100002459	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000016899	ENSFDAG00000005569	Fukomys_damarensis
ENSCCNP00000020860	ENSCCNG00000020692	Castor_canadensis
ENSMMMP00000004463	ENSMMMG00000004045	Marmota_marmota_marmota
ENSSTOP00000007256	ENSSTOG00000008098	Ictidomys_tridecemlineatus
ENSSDAP00000011988	ENSSDAG00000010816	Spermophilus_dauricus
ENSUPAP00010001941	ENSUPAG00010001622	Urocitellus_parryii
ENSOCUP00000011030	ENSOCUG00000012818	Oryctolagus_cuniculus
ENSSBOP00000000710	ENSSBOG00000003072	Saimiri_boliviensis_boliviensis
ENSCJAP00000006996	ENSCJAG00000003839	Callithrix_jacchus
ENSCCAP00000032894	ENSCCAG00000034414	Cebus_capucinus_imitator
ENSANAP00000029458	ENSANAG00000032438	Aotus_nancymaae
ENSP00000251871	ENSG00000042429	Homo_sapiens
ENSPPYP00000004320	ENSPPYG00000003776	Pongo_abelii
ENSNLEP00000008650	ENSNLEG00000007096	Nomascus_leucogenys
ENSCSAP00000014624	ENSCSAG00000003426	Chlorocebus_sabaeus
ENSMNEP00000008810	ENSMNEG00000028879	Macaca_nemestrina
ENSTGEP00000012700	ENSTGEG00000010368	Theropithecus_gelada
ENSP00000492220	ENSG00000284057	Homo_sapiens
ENSMMUP00000067188	ENSMMUG00000013601	Macaca_mulatta
ENSPPAP00000030721	ENSPPAG00000038273	Pan_paniscus
ENSPTRP00000071124	ENSPTRG00000004178	Pan_troglodytes
ENSGGOP00000052399	ENSGGOG00000010401	Gorilla_gorilla
ENSRROP00000019736	ENSRROG00000033837	Rhinopithecus_roxellana
ENSRBIP00000034419	ENSRBIG00000040881	Rhinopithecus_bieti
ENSPTEP00000037033	ENSPTEG00000034696	Piliocolobus_tephrosceles
ENSCANP00000000321	ENSCANG00000000374	Colobus_angolensis_palliatus
ENSCATP00000001933	ENSCATG00000008395	Cercocebus_atys
ENSMLEP00000007726	ENSMLEG00000027939	Mandrillus_leucophaeus
ENSMFAP00000033333	ENSMFAG00000003118	Macaca_fascicularis
ENSPANP00000047177	ENSPANG00000022409	Papio_anubis
ENSTSYP00000029091	ENSTSYG00000009789	Carlito_syrichta
ENSMICP00000013400	ENSMICG00000014697	Microcebus_murinus
ENSMICP00000037594	ENSMICG00000032791	Microcebus_murinus
ENSPCOP00000013312	ENSPCOG00000018257	Propithecus_coquereli
ENSPSMP00000031012	ENSPSMG00000021504	Prolemur_simus
ENSOGAP00000002259	ENSOGAG00000002525	Otolemur_garnettii
ENSTBEP00000008110	ENSTBEG00000009364	Tupaia_belangeri
ENSCHOP00000009223	ENSCHOG00000010414	Choloepus_hoffmanni
ENSDNOP00000018286	ENSDNOG00000038310	Dasypus_novemcinctus
ENSLAFP00000015581	ENSLAFG00000018587	Loxodonta_africana
ENSPCAP00000007526	ENSPCAG00000008048	Procavia_capensis
ENSUMAP00000009104	ENSUMAG00000006899	Ursus_maritimus
ENSUAMP00000035394	ENSUAMG00000026834	Ursus_americanus
ENSAMEP00000013587	ENSAMEG00000012892	Ailuropoda_melanoleuca
ENSMPUP00000010586	ENSMPUG00000010667	Mustela_putorius_furo
ENSNVIP00000006613	ENSNVIG00000005216	Neovison_vison
ENSCAFP00000006253	ENSCAFG00000004211	Canis_lupus_familiaris
ENSCAFP00020020960	ENSCAFG00020016574	Canis_lupus_dingo
ENSVVUP00000015622	ENSVVUG00000011459	Vulpes_vulpes
ENSPPRP00000024597	ENSPPRG00000014853	Panthera_pardus
ENSPTIP00000023382	ENSPTIG00000019841	Panthera_tigris_altaica
ENSFCAP00000041514	ENSFCAG00000012475	Felis_catus
ENSOANP00000031909	ENSOANG00000011716	Ornithorhynchus_anatinus
ENSOANP00000032586	ENSOANG00000028723	Ornithorhynchus_anatinus
ENSCMIP00000031396	ENSCMIG00000013456	Callorhinchus_milii
ENSORLP00020034366	ENSORLG00020020824	Oryzias_latipes_ASM223471v1
ENSORLP00000031702	ENSORLG00000000709	Oryzias_latipes_ASM223467v1
ENSORLP00015027636	ENSORLG00015009864	Oryzias_latipes_ASM223469v1
ENSOMEP00000034470	ENSOMEG00000021125	Oryzias_melastigma
ENSCVAP00000017247	ENSCVAG00000020332	Cyprinodon_variegatus
ENSHBUP00000032602	ENSHBUG00000018997	Haplochromis_burtoni
ENSTNIP00000009208	ENSTNIG00000006440	Tetraodon_nigroviridis
ENSTRUP00000010138	ENSTRUG00000004276	Takifugu_rubripes
ENSCGOP00000013101	ENSCGOG00000006060	Cottoperca_gobio
ENSGACP00000017475	ENSGACG00000013203	Gasterosteus_aculeatus
ENSLBEP00000012347	ENSLBEG00000009459	Labrus_bergylta
ENSSMAP00000031097	ENSSMAG00000019055	Scophthalmus_maximus
ENSCSEP00000010058	ENSCSEG00000006452	Cynoglossus_semilaevis
ENSPFOP00000017982	ENSPFOG00000017880	Poecilia_formosa
ENSPMEP00000001706	ENSPMEG00000000028	Poecilia_mexicana
ENSPLAP00000021171	ENSPLAG00000004712	Poecilia_latipinna
ENSPREP00000030674	ENSPREG00000020764	Poecilia_reticulata
ENSXCOP00000012401	ENSXCOG00000009368	Xiphophorus_couchianus
ENSXMAP00000007789	ENSXMAG00000007752	Xiphophorus_maculatus
ENSGAFP00000003441	ENSGAFG00000002318	Gambusia_affinis
ENSFHEP00000005929	ENSFHEG00000006948	Fundulus_heteroclitus
ENSKMAP00000003569	ENSKMAG00000002684	Kryptolebias_marmoratus
ENSMZEP00005032963	ENSMZEG00005024570	Maylandia_zebra
ENSACLP00000022903	ENSACLG00000015519	Astatotilapia_calliptera
ENSPNYP00000007243	ENSPNYG00000005525	Pundamilia_nyererei
ENSNBRP00000008577	ENSNBRG00000006703	Neolamprologus_brichardi
ENSONIP00000001731	ENSONIG00000001372	Oreochromis_niloticus
ENSACIP00000006867	ENSACIG00000005393	Amphilophus_citrinellus
ENSGWIP00000046091	ENSGWIG00000022781	Gouania_willdenowi
ENSPRNP00000020636	ENSPRNG00000010269	Parambassis_ranga
ENSATEP00000006454	ENSATEG00000004510	Anabas_testudineus
ENSBSLP00000033198	ENSBSLG00000016138	Betta_splendens
ENSMAMP00000025728	ENSMAMG00000017250	Mastacembelus_armatus
ENSMALP00000018632	ENSMALG00000012989	Monopterus_albus
ENSSDUP00000004793	ENSSDUG00000003561	Seriola_dumerili
ENSSLDP00000009988	ENSSLDG00000007952	Seriola_lalandi_dorsalis
ENSLCAP00010056102	ENSLCAG00010026176	Lates_calcarifer
ENSAOCP00000009944	ENSAOCG00000014128	Amphiprion_ocellaris
ENSAPEP00000025196	ENSAPEG00000017905	Amphiprion_percula
ENSAPOP00000029833	ENSAPOG00000016016	Acanthochromis_polyacanthus
ENSSPAP00000029630	ENSSPAG00000022276	Stegastes_partitus
ENSLCRP00005057134	ENSLCRG00005021229	Larimichthys_crocea
ENSMMOP00000006638	ENSMMOG00000005188	Mola_mola
ENSHCOP00000015115	ENSHCOG00000018684	Hippocampus_comes
ENSGMOP00000014233	ENSGMOG00000013256	Gadus_morhua
ENSPMGP00000015567	ENSPMGG00000012761	Periophthalmus_magnuspinnatus
ENSCVAP00000031142	ENSCVAG00000020296	Cyprinodon_variegatus
ENSTNIP00000004940	ENSTNIG00000002422	Tetraodon_nigroviridis
ENSHHUP00000034526	ENSHHUG00000021647	Hucho_hucho
ENSCHAP00000027704	ENSCHAG00000013048	Clupea_harengus
ENSDCDP00000028707	ENSDCDG00000020469	Denticeps_clupeoides
ENSEEEP00000015302	ENSEEEG00000007605	Electrophorus_electricus
ENSIPUP00000021665	ENSIPUG00000014647	Ictalurus_punctatus
ENSAMXP00000017142	ENSAMXG00000016638	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005010587	ENSAMXG00005005852	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000031789	ENSPNAG00000006998	Pygocentrus_nattereri
ENSHHUP00000052143	ENSHHUG00000031354	Hucho_hucho
ENSELUP00000015823	ENSELUG00000015752	Esox_lucius
ENSDARP00000023604	ENSDARG00000006345	Danio_rerio
ENSPKIP00000005519	ENSPKIG00000022155	Paramormyrops_kingsleyae
ENSSFOP00015024054	ENSSFOG00015015449	Scleropages_formosus
ENSLOCP00000008991	ENSLOCG00000007406	Lepisosteus_oculatus
ENSECRP00000005799	ENSECRG00000003873	Erpetoichthys_calabaricus
ENSPMAP00000006083	ENSPMAG00000005489	Petromyzon_marinus
ENSEBUP00000019305	ENSEBUG00000012014	Eptatretus_burgeri
ENSXETP00000027764	ENSXETG00000008807	Xenopus_tropicalis
ENSCVAP00000017705	ENSCVAG00000020839	Cyprinodon_variegatus
ENSPMGP00000013499	ENSPMGG00000011101	Periophthalmus_magnuspinnatus
ENSCINP00000003317	ENSCING00000001648	Ciona_intestinalis
