ENSTBEP00000001293	ENSTBEG00000001472	Tupaia_belangeri
ENSLCRP00005042923	ENSLCRG00005016489	Larimichthys_crocea
ENSPSIP00000014271	ENSPSIG00000012749	Pelodiscus_sinensis
ENSPPAP00000028201	ENSPPAG00000037150	Pan_paniscus
ENSMUSP00000022749	ENSMUSG00000022149	Mus_musculus_strain_reference_(CL57BL6)
ENSSMAP00000020025	ENSSMAG00000012284	Scophthalmus_maximus
ENSMFAP00000043817	ENSMFAG00000039299	Macaca_fascicularis
ENSCPGP00000016574	ENSCPGG00000011641	Calidris_pygmaea
ENSONIP00000014005	ENSONIG00000011123	Oreochromis_niloticus
ENSNLEP00000019939	ENSNLEG00000016425	Nomascus_leucogenys
ENSCGOP00000050673	ENSCGOG00000022457	Cottoperca_gobio
ENSARWP00000011354	ENSARWG00000007883	Apteryx_rowi
ENSNSUP00000023027	ENSNSUG00000016686	Notechis_scutatus
ENSAMXP00000054046	ENSAMXG00000012950	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSRNOP00000018545	ENSRNOG00000013736	Rattus_norvegicus
ENSTGUP00000002220	ENSTGUG00000002149	Taeniopygia_guttata
ENSOGAP00000010806	ENSOGAG00000012072	Otolemur_garnettii
ENSAPEP00000002055	ENSAPEG00000001520	Amphiprion_percula
ENSELUP00000002988	ENSELUG00000004297	Esox_lucius
ENSOANP00000030031	ENSOANG00000028792	Ornithorhynchus_anatinus
MGP_SPRETEiJ_P0039529	MGP_SPRETEiJ_G0020537	Mus_spretus_strain_SPRET/EiJ
ENSOPRP00000013440	ENSOPRG00000014728	Ochotona_princeps
ENSCATP00000029296	ENSCATG00000037892	Cercocebus_atys
ENSSCAP00000011091	ENSSCAG00000008362	Serinus_canaria
ENSAPOP00000001737	ENSAPOG00000003104	Acanthochromis_polyacanthus
ENSAPLP00000008678	ENSAPLG00000008988	Anas_platyrhynchos_platyrhynchos
ENSOMEP00000030660	ENSOMEG00000015074	Oryzias_melastigma
ENSVPAP00000004084	ENSVPAG00000004396	Vicugna_pacos
ENSACAP00000009962	ENSACAG00000010148	Anolis_carolinensis
ENSMEUP00000005312	ENSMEUG00000005814	Notamacropus_eugenii
ENSPSMP00000002947	ENSPSMG00000002380	Prolemur_simus
ENSOARP00000010207	ENSOARG00000009510	Ovis_aries
ENSCAFP00000027486	ENSCAFG00000018626	Canis_lupus_familiaris
ENSMUGP00000009920	ENSMUGG00000008806	Meriones_unguiculatus
ENSMALP00000023719	ENSMALG00000016421	Monopterus_albus
ENSCANP00000039788	ENSCANG00000043574	Colobus_angolensis_palliatus
ENSCCAP00000000122	ENSCCAG00000000687	Cebus_capucinus_imitator
ENSKMAP00000023895	ENSKMAG00000017710	Kryptolebias_marmoratus
ENSPEMP00000005989	ENSPEMG00000008329	Peromyscus_maniculatus_bairdii
ENSMPUP00000014684	ENSMPUG00000014793	Mustela_putorius_furo
ENSEEEP00000039234	ENSEEEG00000018607	Electrophorus_electricus
ENSCVAP00000000118	ENSCVAG00000023342	Cyprinodon_variegatus
ENSZALP00000009664	ENSZALG00000008267	Zonotrichia_albicollis
ENSMLEP00000002849	ENSMLEG00000011885	Mandrillus_leucophaeus
ENSMZEP00005006839	ENSMZEG00005005264	Maylandia_zebra
ENSTSYP00000008644	ENSTSYG00000009398	Carlito_syrichta
ENSLAFP00000017649	ENSLAFG00000023078	Loxodonta_africana
ENSTRUP00000047561	ENSTRUG00000018574	Takifugu_rubripes
ENSLCAP00010047785	ENSLCAG00010022204	Lates_calcarifer
ENSLOCP00000013990	ENSLOCG00000011377	Lepisosteus_oculatus
ENSGWIP00000032440	ENSGWIG00000016417	Gouania_willdenowi
ENSORLP00020011006	ENSORLG00020011968	Oryzias_latipes_ASM223471v1
ENSATEP00000014355	ENSATEG00000010002	Anabas_testudineus
ENSDNVP00000018754	ENSDNVG00000013101	Dromaius_novaehollandiae
ENSPCOP00000001401	ENSPCOG00000004423	Propithecus_coquereli
ENSMOCP00000020846	ENSMOCG00000018405	Microtus_ochrogaster
ENSGACP00000020928	ENSGACG00000015856	Gasterosteus_aculeatus
ENSSSCP00000017860	ENSSSCG00000016856	Sus_scrofa_strain_reference
ENSMODP00000025406	ENSMODG00000020310	Monodelphis_domestica
ENSMSIP00000028700	ENSMSIG00000024122	Mus_spicilegus
ENSMMUP00000026132	ENSMMUG00000019878	Macaca_mulatta
ENSTTRP00000011113	ENSTTRG00000011709	Tursiops_truncatus
ENSPVAP00000000996	ENSPVAG00000001055	Pteropus_vampyrus
ENSPTIP00000025588	ENSPTIG00000021299	Panthera_tigris_altaica
ENSSMAP00000019977	ENSSMAG00000012220	Scophthalmus_maximus
ENSXETP00000036973	ENSXETG00000013153	Xenopus_tropicalis
ENSHCOP00000018296	ENSHCOG00000002725	Hippocampus_comes
ENSDORP00000006441	ENSDORG00000006874	Dipodomys_ordii
ENSPLAP00000027566	ENSPLAG00000016279	Poecilia_latipinna
ENSAMXP00005038528	ENSAMXG00005018271	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSABRP00000006705	ENSABRG00000006141	Anser_brachyrhynchus
ENSSTOP00000002194	ENSSTOG00000002454	Ictidomys_tridecemlineatus
ENSNBRP00000013216	ENSNBRG00000010281	Neolamprologus_brichardi
ENSAOCP00000004930	ENSAOCG00000008363	Amphiprion_ocellaris
MGP_CAROLIEiJ_P0037767	MGP_CAROLIEiJ_G0019640	Mus_caroli_strain_CAROLI_EIJ
ENSSHAP00000009952	ENSSHAG00000008614	Sarcophilus_harrisii
ENSSPUP00000009503	ENSSPUG00000007256	Sphenodon_punctatus
ENSPPYP00000017221	ENSPPYG00000015416	Pongo_abelii
ENSFHEP00000017954	ENSFHEG00000019720	Fundulus_heteroclitus
ENSCSAP00000012987	ENSCSAG00000016939	Chlorocebus_sabaeus
ENSSPAP00000029920	ENSSPAG00000022506	Stegastes_partitus
ENSDARP00000121323	ENSDARG00000016319	Danio_rerio
ENSNGAP00000011495	ENSNGAG00000013631	Nannospalax_galili
ENSAHAP00000010879	ENSAHAG00000007854	Apteryx_haastii
ENSGGOP00000015531	ENSGGOG00000015918	Gorilla_gorilla
ENSPTEP00000021221	ENSPTEG00000022325	Piliocolobus_tephrosceles
ENSPMGP00000020809	ENSPMGG00000016864	Periophthalmus_magnuspinnatus
ENSMMMP00000001432	ENSMMMG00000001324	Marmota_marmota_marmota
ENSGMOP00000009807	ENSGMOG00000009172	Gadus_morhua
ENSAMEP00000018064	ENSAMEG00000017094	Ailuropoda_melanoleuca
ENSDCDP00000048441	ENSDCDG00000029988	Denticeps_clupeoides	ENSDCDT00000060008
ENSFDAP00000022968	ENSFDAG00000021228	Fukomys_damarensis
ENSPMEP00000019607	ENSPMEG00000022644	Poecilia_mexicana
ENSMAUP00000020224	ENSMAUG00000018301	Mesocricetus_auratus
ENSCGRP00015024655	ENSCGRG00015018722	Cricetulus_griseus_CriGri-PICR
ENSBSLP00000040374	ENSBSLG00000019536	Betta_splendens
ENSEASP00005020249	ENSEASG00005013943	Equus_asinus_asinus
ENSORLP00015033861	ENSORLG00015019589	Oryzias_latipes_ASM223469v1
