FBpp0309857	FBgn0031832	Drosophila_melanogaster	FBtr0343162
ZK858.7.1	WBGene00014120	Caenorhabditis_elegans_strain_N2	ZK858.7.1
ENSPCIP00000001917	ENSPCIG00000001546	Phascolarctos_cinereus
ENSVURP00010010148	ENSVURG00010007840	Vombatus_ursinus
ENSMEUP00000008388	ENSMEUG00000009179	Notamacropus_eugenii
ENSMODP00000004632	ENSMODG00000003784	Monodelphis_domestica
ENSSHAP00000012561	ENSSHAG00000010754	Sarcophilus_harrisii
ENSLAFP00000018589	ENSLAFG00000032216	Loxodonta_africana
ENSPCAP00000011271	ENSPCAG00000012098	Procavia_capensis
ENSETEP00000002859	ENSETEG00000003490	Echinops_telfairi
ENSETEP00000014033	ENSETEG00000017282	Echinops_telfairi
ENSCCNP00000003184	ENSCCNG00000003332	Castor_canadensis
ENSDORP00000006047	ENSDORG00000006458	Dipodomys_ordii
ENSCLAP00000020399	ENSCLAG00000013978	Chinchilla_lanigera
ENSODEP00000007586	ENSODEG00000005657	Octodon_degus
ENSHGLP00100005431	ENSHGLG00100004120	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000021563	ENSHGLG00000015405	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000006328	ENSFDAG00000015117	Fukomys_damarensis
ENSCPOP00000012442	ENSCPOG00000013809	Cavia_porcellus
ENSCAPP00000015321	ENSCAPG00000015467	Cavia_aperea
ENSSDAP00000000361	ENSSDAG00000000413	Spermophilus_dauricus
ENSSTOP00000006140	ENSSTOG00000006863	Ictidomys_tridecemlineatus
ENSUPAP00010001243	ENSUPAG00010001068	Urocitellus_parryii
ENSMMMP00000000644	ENSMMMG00000000614	Marmota_marmota_marmota
ENSCGRP00000008945	ENSCGRG00000006540	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001002925	ENSCGRG00001003385	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015013934	ENSCGRG00015010706	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000006906	ENSMAUG00000008719	Mesocricetus_auratus
ENSMOCP00000026555	ENSMOCG00000022320	Microtus_ochrogaster
ENSPEMP00000027473	ENSPEMG00000023268	Peromyscus_maniculatus_bairdii
ENSMSIP00000024381	ENSMSIG00000020606	Mus_spicilegus
MGP_SPRETEiJ_P0056934	MGP_SPRETEiJ_G0025264	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000044687	ENSMUSG00000037376	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0054817	MGP_CAROLIEiJ_G0024344	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0065799	MGP_PahariEiJ_G0025789	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000028893	ENSRNOG00000021270	Rattus_norvegicus
ENSMUGP00000020188	ENSMUGG00000017062	Meriones_unguiculatus
ENSNGAP00000013754	ENSNGAG00000015251	Nannospalax_galili
ENSJJAP00000003673	ENSJJAG00000007315	Jaculus_jaculus
ENSOCUP00000018321	ENSOCUG00000014669	Oryctolagus_cuniculus
ENSOPRP00000007835	ENSOPRG00000008564	Ochotona_princeps
ENSP00000203001	ENSG00000089195	Homo_sapiens
ENSGGOP00000008402	ENSGGOG00000008597	Gorilla_gorilla	ENSGGOT00000008634
ENSPTRP00000022686	ENSPTRG00000013231	Pan_troglodytes	ENSPTRT00000024590
ENSPPAP00000027472	ENSPPAG00000036809	Pan_paniscus	ENSPPAT00000050312
ENSPPYP00000011952	ENSPPYG00000010691	Pongo_abelii
ENSNLEP00000016966	ENSNLEG00000013957	Nomascus_leucogenys
ENSMMUP00000018054	ENSMMUG00000013728	Macaca_mulatta
ENSMFAP00000025749	ENSMFAG00000044360	Macaca_fascicularis
ENSMNEP00000037495	ENSMNEG00000041831	Macaca_nemestrina
ENSCATP00000036608	ENSCATG00000041111	Cercocebus_atys
ENSMLEP00000033164	ENSMLEG00000040762	Mandrillus_leucophaeus
ENSCSAP00000009618	ENSCSAG00000013461	Chlorocebus_sabaeus
ENSPANP00000017032	ENSPANG00000009284	Papio_anubis
ENSTGEP00000017507	ENSTGEG00000014155	Theropithecus_gelada
ENSPTEP00000004109	ENSPTEG00000004838	Piliocolobus_tephrosceles
ENSCANP00000000644	ENSCANG00000002381	Colobus_angolensis_palliatus
ENSRROP00000044770	ENSRROG00000045329	Rhinopithecus_roxellana
ENSRBIP00000014081	ENSRBIG00000031132	Rhinopithecus_bieti
ENSSBOP00000034888	ENSSBOG00000033602	Saimiri_boliviensis_boliviensis
ENSSBOP00000005800	ENSSBOG00000019803	Saimiri_boliviensis_boliviensis
ENSCCAP00000018226	ENSCCAG00000026939	Cebus_capucinus_imitator
ENSCJAP00000039641	ENSCJAG00000021296	Callithrix_jacchus
ENSANAP00000006366	ENSANAG00000021260	Aotus_nancymaae
ENSTSYP00000003924	ENSTSYG00000004286	Carlito_syrichta
