ENSLBEP00000033472	ENSLBEG00000025205	Labrus_bergylta	ENSLBET00000034943
ENSCJAP00000052182	ENSCJAG00000000002	Callithrix_jacchus
MGP_CAROLIEiJ_P0000006	MGP_CAROLIEiJ_G0000004	Mus_caroli_strain_CAROLI_EIJ
ENSOGAP00000008494	ENSOGAG00000009488	Otolemur_garnettii
ENSMPUP00000007901	ENSMPUG00000007959	Mustela_putorius_furo
ENSPTEP00000020491	ENSPTEG00000021725	Piliocolobus_tephrosceles
ENSFCAP00000052666	ENSFCAG00000050655	Felis_catus
ENSPEMP00000037197	ENSPEMG00000027488	Peromyscus_maniculatus_bairdii
ENSSPUP00000000762	ENSSPUG00000000627	Sphenodon_punctatus
ENSUMAP00000034131	ENSUMAG00000024554	Ursus_maritimus
ENSOANP00000027139	ENSOANG00000021325	Ornithorhynchus_anatinus
ENSPPAP00000017529	ENSPPAG00000031867	Pan_paniscus
ENSPSIP00000008716	ENSPSIG00000007935	Pelodiscus_sinensis
ENSANAP00000003097	ENSANAG00000019454	Aotus_nancymaae
MGP_SPRETEiJ_P0000005	MGP_SPRETEiJ_G0000004	Mus_spretus_strain_SPRET/EiJ
ENSAOWP00000016804	ENSAOWG00000011479	Apteryx_owenii
ENSMMUP00000035192	ENSMMUG00000030305	Macaca_mulatta
ENSFDAP00000005469	ENSFDAG00000014471	Fukomys_damarensis
ENSBIXP00000028603	ENSBIXG00000009872	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSCPBP00000037721	ENSCPBG00000026127	Chrysemys_picta_bellii
ENSMMMP00000005648	ENSMMMG00000005033	Marmota_marmota_marmota
ENSPCIP00000025089	ENSPCIG00000018872	Phascolarctos_cinereus
ENSMSIP00000005514	ENSMSIG00000004977	Mus_spicilegus
ENSTBEP00000001305	ENSTBEG00000001499	Tupaia_belangeri
ENSPTEP00000020404	ENSPTEG00000021654	Piliocolobus_tephrosceles
ENSCHIP00000026508	ENSCHIG00000022824	Capra_hircus
ENSLSDP00000004140	ENSLSDG00000003216	Lonchura_striata_domestica
ENSAOWP00000006911	ENSAOWG00000004761	Apteryx_owenii
ENSSHAP00000006387	ENSSHAG00000005558	Sarcophilus_harrisii
ENSCPBP00000037730	ENSCPBG00000026136	Chrysemys_picta_bellii
ENSVVUP00000008658	ENSVVUG00000006486	Vulpes_vulpes
ENSHGLP00000003599	ENSHGLG00000002658	Heterocephalus_glaber_HetGla_female_1.0
ENSCGRP00015028758	ENSCGRG00015021676	Cricetulus_griseus_CriGri-PICR
