ENSMSIP00000020387	ENSMSIG00000017321	Mus_spicilegus	ENSMSIT00000025744
ENSAPOP00000009788	ENSAPOG00000012133	Acanthochromis_polyacanthus
ENSLCRP00005011530	ENSLCRG00005005190	Larimichthys_crocea
ENSPKIP00000014681	ENSPKIG00000001666	Paramormyrops_kingsleyae
ENSJHYP00000021023	ENSJHYG00000015895	Junco_hyemalis	ENSJHYT00000025345
ENSELUP00000014556	ENSELUG00000014596	Esox_lucius
ENSEEEP00000026945	ENSEEEG00000013009	Electrophorus_electricus
ENSNVIP00000014192	ENSNVIG00000011173	Neovison_vison
ENSELUP00000026151	ENSELUG00000001933	Esox_lucius
ENSFHEP00000001076	ENSFHEG00000001835	Fundulus_heteroclitus
ENSCGOP00000013737	ENSCGOG00000006659	Cottoperca_gobio
ENSMALP00000011896	ENSMALG00000008449	Monopterus_albus
ENSPKIP00000020632	ENSPKIG00000005326	Paramormyrops_kingsleyae
ENSPNAP00000004586	ENSPNAG00000011021	Pygocentrus_nattereri
ENSPMGP00000027701	ENSPMGG00000022305	Periophthalmus_magnuspinnatus
ENSLOCP00000017832	ENSLOCG00000014491	Lepisosteus_oculatus
ENSDARP00000068351	ENSDARG00000052082	Danio_rerio
ENSGWIP00000033648	ENSGWIG00000017351	Gouania_willdenowi
ENSPNAP00000006426	ENSPNAG00000007205	Pygocentrus_nattereri
ENSAPEP00000019722	ENSAPEG00000014101	Amphiprion_percula
ENSTRUP00000052521	ENSTRUG00000011597	Takifugu_rubripes
ENSOMEP00000027745	ENSOMEG00000010345	Oryzias_melastigma
ENSPREP00000020519	ENSPREG00000013448	Poecilia_reticulata
ENSMZEP00005029162	ENSMZEG00005021737	Maylandia_zebra
ENSACIP00000018853	ENSACIG00000014438	Amphilophus_citrinellus
ENSSFOP00015035742	ENSSFOG00015022765	Scleropages_formosus
ENSGMOP00000008364	ENSGMOG00000007826	Gadus_morhua
ENSEBUP00000024640	ENSEBUG00000015205	Eptatretus_burgeri
ENSPNYP00000008586	ENSPNYG00000006571	Pundamilia_nyererei
ENSMMOP00000016379	ENSMMOG00000012496	Mola_mola
ENSLCAP00010015932	ENSLCAG00010007551	Lates_calcarifer
ENSAMXP00005027219	ENSAMXG00005013654	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSORLP00000041539	ENSORLG00000021916	Oryzias_latipes_ASM223467v1
ENSECRP00000016156	ENSECRG00000010785	Erpetoichthys_calabaricus
ENSNBRP00000027799	ENSNBRG00000021196	Neolamprologus_brichardi
ENSDARP00000051546	ENSDARG00000035557	Danio_rerio
ENSAOCP00000020042	ENSAOCG00000003867	Amphiprion_ocellaris
ENSDCDP00000003140	ENSDCDG00000001612	Denticeps_clupeoides
ENSKMAP00000029810	ENSKMAG00000022049	Kryptolebias_marmoratus
ENSIPUP00000031869	ENSIPUG00000021410	Ictalurus_punctatus
ENSHHUP00000013374	ENSHHUG00000008112	Hucho_hucho
ENSXMAP00000037108	ENSXMAG00000022890	Xiphophorus_maculatus
ENSSFOP00015000772	ENSSFOG00015000238	Scleropages_formosus
ENSSDUP00000028085	ENSSDUG00000020299	Seriola_dumerili
ENSSCAP00000001942	ENSSCAG00000001691	Serinus_canaria
ENSHHUP00000071603	ENSHHUG00000041943	Hucho_hucho
ENSSPAP00000021811	ENSSPAG00000016481	Stegastes_partitus
ENSIPUP00000008356	ENSIPUG00000005735	Ictalurus_punctatus
ENSATEP00000028103	ENSATEG00000019419	Anabas_testudineus
ENSXCOP00000002948	ENSXCOG00000001843	Xiphophorus_couchianus
ENSHCOP00000007013	ENSHCOG00000008895	Hippocampus_comes
ENSIPUP00000002209	ENSIPUG00000001603	Ictalurus_punctatus
ENSHBUP00000001274	ENSHBUG00000002469	Haplochromis_burtoni
ENSLBEP00000035093	ENSLBEG00000026361	Labrus_bergylta
ENSDCDP00000006993	ENSDCDG00000003701	Denticeps_clupeoides
FBpp0071427	FBgn0052672	Drosophila_melanogaster
ENSGAFP00000008174	ENSGAFG00000005558	Gambusia_affinis
ENSHHUP00000062666	ENSHHUG00000037028	Hucho_hucho
ENSAMXP00000031059	ENSAMXG00000039481	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSEEEP00000034003	ENSEEEG00000016196	Electrophorus_electricus
ENSCHAP00000000792	ENSCHAG00000000564	Clupea_harengus
ENSSMAP00000015233	ENSSMAG00000009350	Scophthalmus_maximus
ENSCSEP00000003931	ENSCSEG00000002569	Cynoglossus_semilaevis
ENSCVAP00000002860	ENSCVAG00000004018	Cyprinodon_variegatus
ENSACLP00000006443	ENSACLG00000004351	Astatotilapia_calliptera
ENSPLAP00000023805	ENSPLAG00000009451	Poecilia_latipinna
ENSCGRP00000023404	ENSCGRG00000016949	Cricetulus_griseus_CriGri_1.0
ENSSLDP00000013051	ENSSLDG00000010385	Seriola_lalandi_dorsalis
ENSORLP00015026008	ENSORLG00015007429	Oryzias_latipes_ASM223469v1
ENSAMXP00005037508	ENSAMXG00005017837	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPRNP00000025407	ENSPRNG00000012882	Parambassis_ranga
ENSPMEP00000021787	ENSPMEG00000002225	Poecilia_mexicana
ENSGACP00000025635	ENSGACG00000019396	Gasterosteus_aculeatus
ENSORLP00020009592	ENSORLG00020010484	Oryzias_latipes_ASM223471v1
ENSBSLP00000022964	ENSBSLG00000011540	Betta_splendens
