ENSABRP00000006901	ENSABRG00000006353	Anser_brachyrhynchus	ENSABRT00000009952
ENSZALP00000015625	ENSZALG00000012780	Zonotrichia_albicollis
ENSLSDP00000022309	ENSLSDG00000015762	Lonchura_striata_domestica
ENSLCOP00000021848	ENSLCOG00000015435	Lepidothrix_coronata
ENSARWP00000012232	ENSARWG00000008457	Apteryx_rowi
ENSTGUP00000005445	ENSTGUG00000005300	Taeniopygia_guttata
ENSTGUP00000005444	ENSTGUG00000005299	Taeniopygia_guttata
ENSCPGP00000027532	ENSCPGG00000018982	Calidris_pygmaea
ENSPMJP00000018840	ENSPMJG00000014129	Parus_major
ENSNMEP00000014610	ENSNMEG00000013085	Numida_meleagris
ENSSCAP00000007880	ENSSCAG00000006043	Serinus_canaria
ENSMGAP00000002350	ENSMGAG00000002741	Meleagris_gallopavo
ENSAOWP00000014592	ENSAOWG00000009961	Apteryx_owenii
ENSAPLP00000012081	ENSAPLG00000012318	Anas_platyrhynchos_platyrhynchos
ENSNPEP00000010411	ENSNPEG00000007819	Nothoprocta_perdicaria
ENSJHYP00000002773	ENSJHYG00000002305	Junco_hyemalis
ENSAHAP00000026834	ENSAHAG00000018694	Apteryx_haastii
ENSCPUP00000015059	ENSCPUG00000010501	Calidris_pugnax
ENSMUNP00000001323	ENSMUNG00000001138	Melopsittacus_undulatus
ENSFALP00000007353	ENSFALG00000007049	Ficedula_albicollis
ENSCJPP00005014375	ENSCJPG00005012004	Coturnix_japonica
ENSCCEP00000008252	ENSCCEG00000008550	Cyanistes_caeruleus
ENSCABP00000007317	ENSCABG00000005536	Chelonoidis_abingdonii
