ENSMLUP00000010592	ENSMLUG00000011622	Myotis_lucifugus
ENSCGOP00000036573	ENSCGOG00000016770	Cottoperca_gobio
ENSGGOP00000040120	ENSGGOG00000025198	Gorilla_gorilla
MGP_CAROLIEiJ_P0032240	MGP_CAROLIEiJ_G0017735	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000007365	ENSRNOG00000005286	Rattus_norvegicus
ENSJJAP00000017490	ENSJJAG00000019025	Jaculus_jaculus
ENSMSIP00000003412	ENSMSIG00000003151	Mus_spicilegus
ENSPMGP00000016584	ENSPMGG00000013619	Periophthalmus_magnuspinnatus
ENSPVAP00000016186	ENSPVAG00000017157	Pteropus_vampyrus
ENSDNVP00000017272	ENSDNVG00000012076	Dromaius_novaehollandiae
ENSCPBP00000036383	ENSCPBG00000025281	Chrysemys_picta_bellii
ENSMMUP00000033007	ENSMMUG00000011514	Macaca_mulatta
ENSCABP00000013400	ENSCABG00000010049	Chelonoidis_abingdonii
ENSFDAP00000005973	ENSFDAG00000014847	Fukomys_damarensis
ENSCMIP00000006699	ENSCMIG00000003753	Callorhinchus_milii
ENSSMRP00000018851	ENSSMRG00000014678	Salvator_merianae
ENSPCIP00000032037	ENSPCIG00000023777	Phascolarctos_cinereus	ENSPCIT00000039388
ENSABRP00000014081	ENSABRG00000012468	Anser_brachyrhynchus
ENSMUNP00000013732	ENSMUNG00000010713	Melopsittacus_undulatus
ENSSPAP00000006851	ENSSPAG00000005245	Stegastes_partitus
ENSCCAP00000014140	ENSCCAG00000024866	Cebus_capucinus_imitator
ENSOCUP00000010361	ENSOCUG00000012042	Oryctolagus_cuniculus
ENSAHAP00000006433	ENSAHAG00000004838	Apteryx_haastii
ENSSBOP00000002323	ENSSBOG00000011793	Saimiri_boliviensis_boliviensis
ENSBMUP00000016692	ENSBMUG00000012618	Bos_mutus
ENSBBBP00000024502	ENSBBBG00000019503	Bison_bison_bison
ENSAOCP00000016202	ENSAOCG00000021119	Amphiprion_ocellaris
ENSSPUP00000011068	ENSSPUG00000008496	Sphenodon_punctatus
ENSMMMP00000010546	ENSMMMG00000009368	Marmota_marmota_marmota
ENSVURP00010001632	ENSVURG00010001363	Vombatus_ursinus	ENSVURT00010001864
ENSSDAP00000000535	ENSSDAG00000000542	Spermophilus_dauricus
ENSMAUP00000013724	ENSMAUG00000013698	Mesocricetus_auratus
ENSSARP00000009118	ENSSARG00000010064	Sorex_araneus
ENSMUSP00000128127	ENSMUSG00000020953	Mus_musculus_strain_reference_(CL57BL6)
ENSANAP00000024016	ENSANAG00000029746	Aotus_nancymaae
ENSVVUP00000041347	ENSVVUG00000029419	Vulpes_vulpes
ENSMOCP00000022808	ENSMOCG00000019723	Microtus_ochrogaster
ENSCAFP00000018787	ENSCAFG00000012762	Canis_lupus_familiaris
ENSGMOP00000001452	ENSGMOG00000001380	Gadus_morhua
ENSMEUP00000011726	ENSMEUG00000012859	Notamacropus_eugenii
ENSPTEP00000022741	ENSPTEG00000023620	Piliocolobus_tephrosceles
ENSXETP00000052936	ENSXETG00000016940	Xenopus_tropicalis
ENSPCOP00000022424	ENSPCOG00000023301	Propithecus_coquereli
ENSACAP00000014596	ENSACAG00000014832	Anolis_carolinensis
ENSNVIP00000004612	ENSNVIG00000003618	Neovison_vison
ENSMZEP00005005768	ENSMZEG00005004465	Maylandia_zebra
ENSONIP00000002350	ENSONIG00000001879	Oreochromis_niloticus
ENSOPRP00000011794	ENSOPRG00000012922	Ochotona_princeps
ENSMFAP00000024051	ENSMFAG00000043586	Macaca_fascicularis
ENSVPAP00000010861	ENSVPAG00000011675	Vicugna_pacos
ENSCSEP00000017485	ENSCSEG00000011217	Cynoglossus_semilaevis
ENSORLP00000013280	ENSORLG00000010591	Oryzias_latipes_ASM223467v1
ENSCHOP00000006549	ENSCHOG00000007388	Choloepus_hoffmanni
ENSPRNP00000006402	ENSPRNG00000003847	Parambassis_ranga
ENSMAMP00000000027	ENSMAMG00000000022	Mastacembelus_armatus
ENSSTOP00000000504	ENSSTOG00000000556	Ictidomys_tridecemlineatus
ENSSSCP00000021950	ENSSSCG00000022679	Sus_scrofa_strain_reference
ENSPNAP00000031472	ENSPNAG00000018823	Pygocentrus_nattereri
ENSPANP00000034132	ENSPANG00000011160	Papio_anubis
ENSMLEP00000034213	ENSMLEG00000041242	Mandrillus_leucophaeus
ENSSHAP00000016526	ENSSHAG00000014060	Sarcophilus_harrisii	ENSSHAT00000016664
ENSBTAP00000063099	ENSBTAG00000021844	Bos_taurus
ENSMMOP00000017522	ENSMMOG00000013311	Mola_mola
ENSUMAP00000008803	ENSUMAG00000006665	Ursus_maritimus
ENSCPUP00000004001	ENSCPUG00000003015	Calidris_pugnax
MGP_PahariEiJ_P0082355	MGP_PahariEiJ_G0029491	Mus_pahari_strain_PAHARI_EIJ
ENSCCEP00000009320	ENSCCEG00000009460	Cyanistes_caeruleus
ENSCSAP00000011826	ENSCSAG00000015743	Chlorocebus_sabaeus
ENSCPGP00000008187	ENSCPGG00000005836	Calidris_pygmaea
ENSRBIP00000005651	ENSRBIG00000024567	Rhinopithecus_bieti
ENSMODP00000021913	ENSMODG00000017567	Monodelphis_domestica	ENSMODT00000022297
ENSACIP00000015331	ENSACIG00000011889	Amphilophus_citrinellus
ENSEBUP00000021112	ENSEBUG00000013055	Eptatretus_burgeri
ENSCHAP00000023879	ENSCHAG00000011736	Clupea_harengus
ENSELUP00000027637	ENSELUG00000003893	Esox_lucius
ENSSDUP00000015358	ENSSDUG00000011195	Seriola_dumerili
ENSLCRP00005007951	ENSLCRG00005001307	Larimichthys_crocea
ENSSCAP00000015478	ENSSCAG00000011326	Serinus_canaria
ENSHCOP00000017173	ENSHCOG00000021205	Hippocampus_comes
ENSLCOP00000015770	ENSLCOG00000011256	Lepidothrix_coronata
ENSTGEP00000000739	ENSTGEG00000000718	Theropithecus_gelada
ENSPSIP00000010603	ENSPSIG00000009539	Pelodiscus_sinensis
ENSNSUP00000005950	ENSNSUG00000004777	Notechis_scutatus
ENSAMEP00000016765	ENSAMEG00000015859	Ailuropoda_melanoleuca
ENSJHYP00000007076	ENSJHYG00000005678	Junco_hyemalis
ENSCATP00000001577	ENSCATG00000007110	Cercocebus_atys
ENSEASP00005001202	ENSEASG00005000969	Equus_asinus_asinus
ENSNPEP00000007157	ENSNPEG00000005373	Nothoprocta_perdicaria
ENSMPUP00000005319	ENSMPUG00000005358	Mustela_putorius_furo
ENSPCAP00000002166	ENSPCAG00000002318	Procavia_capensis
ENSHBUP00000031032	ENSHBUG00000016503	Haplochromis_burtoni
ENSPKIP00000033481	ENSPKIG00000013154	Paramormyrops_kingsleyae
ENSNBRP00000029603	ENSNBRG00000022518	Neolamprologus_brichardi
ENSHGLP00000002965	ENSHGLG00000002211	Heterocephalus_glaber_HetGla_female_1.0
ENSAPOP00000003269	ENSAPOG00000004761	Acanthochromis_polyacanthus
ENSACLP00000024997	ENSACLG00000016965	Astatotilapia_calliptera
ENSAMXP00000008362	ENSAMXG00000008138	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLACP00000012179	ENSLACG00000010719	Latimeria_chalumnae
ENSPPAP00000039046	ENSPPAG00000042223	Pan_paniscus
ENSEEEP00000003532	ENSEEEG00000001946	Electrophorus_electricus
ENSSLDP00000000085	ENSSLDG00000000072	Seriola_lalandi_dorsalis
ENSCPRP00005000677	ENSCPRG00005000540	Crocodylus_porosus
ENSEEUP00000002281	ENSEEUG00000002488	Erinaceus_europaeus
ENSPEMP00000014884	ENSPEMG00000014561	Peromyscus_maniculatus_bairdii
