ENSTRUP00000055652	ENSTRUG00000023081	Takifugu_rubripes
ENSTNIP00000005834	ENSTNIG00000003251	Tetraodon_nigroviridis
ENSGWIP00000051478	ENSGWIG00000024943	Gouania_willdenowi
ENSHCOP00000009824	ENSHCOG00000012345	Hippocampus_comes
ENSBSLP00000010455	ENSBSLG00000005414	Betta_splendens
ENSPMGP00000007782	ENSPMGG00000006457	Periophthalmus_magnuspinnatus
ENSCGOP00000029726	ENSCGOG00000013856	Cottoperca_gobio
ENSGACP00000025229	ENSGACG00000019078	Gasterosteus_aculeatus
ENSLBEP00000037691	ENSLBEG00000028131	Labrus_bergylta
ENSLCRP00005009003	ENSLCRG00005004251	Larimichthys_crocea
ENSSLDP00000007543	ENSSLDG00000006000	Seriola_lalandi_dorsalis
ENSSDUP00000010415	ENSSDUG00000007611	Seriola_dumerili
ENSLCAP00010021265	ENSLCAG00010010021	Lates_calcarifer
ENSFHEP00000016117	ENSFHEG00000000455	Fundulus_heteroclitus
ENSCVAP00000027690	ENSCVAG00000014214	Cyprinodon_variegatus
ENSXCOP00000011920	ENSXCOG00000009024	Xiphophorus_couchianus
ENSXMAP00000032565	ENSXMAG00000027596	Xiphophorus_maculatus
ENSGAFP00000003798	ENSGAFG00000002602	Gambusia_affinis
ENSPFOP00000005335	ENSPFOG00000005458	Poecilia_formosa
ENSPMEP00000010606	ENSPMEG00000012563	Poecilia_mexicana
ENSPLAP00000002998	ENSPLAG00000004400	Poecilia_latipinna
ENSPREP00000004862	ENSPREG00000003401	Poecilia_reticulata
ENSKMAP00000001162	ENSKMAG00000000924	Kryptolebias_marmoratus
ENSORLP00020024454	ENSORLG00020000121	Oryzias_latipes_ASM223471v1
ENSORLP00000035512	ENSORLG00000029894	Oryzias_latipes_ASM223467v1
ENSORLP00015002563	ENSORLG00015003236	Oryzias_latipes_ASM223469v1
ENSOMEP00000014932	ENSOMEG00000016466	Oryzias_melastigma
ENSAOCP00000019595	ENSAOCG00000002993	Amphiprion_ocellaris
ENSAPEP00000005095	ENSAPEG00000003679	Amphiprion_percula
ENSAPEP00000031437	ENSAPEG00000022325	Amphiprion_percula
ENSAOCP00000019461	ENSAOCG00000002855	Amphiprion_ocellaris
ENSAPOP00000005655	ENSAPOG00000007385	Acanthochromis_polyacanthus
ENSSPAP00000006101	ENSSPAG00000004700	Stegastes_partitus
ENSPRNP00000009726	ENSPRNG00000005640	Parambassis_ranga
ENSMMOP00000016915	ENSMMOG00000012884	Mola_mola
ENSMAMP00000021955	ENSMAMG00000014772	Mastacembelus_armatus
ENSMALP00000022663	ENSMALG00000015830	Monopterus_albus
ENSATEP00000003744	ENSATEG00000002628	Anabas_testudineus
ENSATEP00000003787	ENSATEG00000002666	Anabas_testudineus
ENSMZEP00005028048	ENSMZEG00005020929	Maylandia_zebra
ENSHBUP00000018915	ENSHBUG00000021027	Haplochromis_burtoni
ENSACLP00000020124	ENSACLG00000013671	Astatotilapia_calliptera
ENSPNYP00000028411	ENSPNYG00000021388	Pundamilia_nyererei
ENSNBRP00000004775	ENSNBRG00000003791	Neolamprologus_brichardi
ENSCSEP00000006140	ENSCSEG00000003959	Cynoglossus_semilaevis
ENSGMOP00000013785	ENSGMOG00000012885	Gadus_morhua
ENSELUP00000003047	ENSELUG00000004332	Esox_lucius
ENSAMXP00000028279	ENSAMXG00000036344	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000044246
ENSAMXP00005001522	ENSAMXG00005000878	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000014665	ENSPNAG00000020610	Pygocentrus_nattereri
ENSEEEP00000034794	ENSEEEG00000016552	Electrophorus_electricus
ENSIPUP00000012083	ENSIPUG00000008220	Ictalurus_punctatus
ENSDARP00000135787	ENSDARG00000102776	Danio_rerio
ENSDCDP00000001163	ENSDCDG00000000658	Denticeps_clupeoides	ENSDCDT00000001283
ENSDCDP00000046306	ENSDCDG00000029023	Denticeps_clupeoides	ENSDCDT00000057691
ENSCHAP00000003834	ENSCHAG00000002490	Clupea_harengus	ENSCHAT00000004343
ENSSFOP00015033452	ENSSFOG00015021359	Scleropages_formosus
